Date,Open,High,Low,Close,Currency
2015-01-01,9.9406,9.9628,9.9389,9.9477,NAD
2015-01-02,9.9483,10.0263,9.9355,9.9499,NAD
2015-01-05,9.9296,9.9772,9.8795,9.9603,NAD
2015-01-06,9.9588,10.0015,9.8831,9.9014,NAD
2015-01-07,9.8978,9.9308,9.8509,9.8853,NAD
2015-01-08,9.8756,9.9044,9.7708,9.7902,NAD
2015-01-09,9.7883,9.8169,9.6704,9.6874,NAD
2015-01-12,9.6848,9.708,9.6025,9.6225,NAD
2015-01-13,9.6176,9.673,9.5722,9.6314,NAD
2015-01-14,9.6271,9.6908,9.531,9.5752,NAD
2015-01-15,9.5729,9.7054,9.5472,9.6655,NAD
2015-01-16,9.6606,9.6932,9.578,9.6375,NAD
2015-01-19,9.6377,9.7506,9.6321,9.7449,NAD
2015-01-20,9.7373,9.7615,9.5568,9.5633,NAD
2015-01-21,9.5608,9.6026,9.2997,9.3293,NAD
2015-01-22,9.3235,9.3606,9.1721,9.2032,NAD
2015-01-23,9.2018,9.2482,9.16,9.1816,NAD
2015-01-26,9.1681,9.2326,9.1566,9.1907,NAD
2015-01-27,9.1871,9.3519,9.1577,9.3439,NAD
2015-01-28,9.341,9.3704,9.1986,9.2327,NAD
2015-01-29,9.2303,9.2981,9.1164,9.1579,NAD
2015-01-30,9.1572,9.2089,9.066,9.1466,NAD
2015-02-02,9.1429,9.1971,9.0711,9.1508,NAD
2015-02-03,9.1442,9.203,9.0851,9.1663,NAD
2015-02-04,9.1598,9.1989,9.0573,9.1293,NAD
2015-02-05,9.1215,9.1574,9.0481,9.0623,NAD
2015-02-06,9.0559,9.2276,9.0469,9.1971,NAD
2015-02-09,9.1743,9.3331,9.1706,9.2962,NAD
2015-02-10,9.2896,9.3637,9.2525,9.2795,NAD
2015-02-11,9.2765,9.418,9.2619,9.3525,NAD
2015-02-12,9.3494,9.4466,9.341,9.3681,NAD
2015-02-13,9.3604,9.4135,9.3174,9.3706,NAD
2015-02-16,9.3693,9.4019,9.314,9.353,NAD
2015-02-17,9.3503,9.4391,9.2998,9.4222,NAD
2015-02-18,9.4189,9.4612,9.3026,9.307,NAD
2015-02-19,9.3056,9.3544,9.2535,9.3444,NAD
2015-02-20,9.3423,9.3669,9.2546,9.2974,NAD
2015-02-23,9.2695,9.3353,9.2218,9.2569,NAD
2015-02-24,9.2515,9.2693,9.0956,9.1917,NAD
2015-02-25,9.1864,9.263,9.1582,9.2073,NAD
2015-02-26,9.2056,9.2428,9.1317,9.2216,NAD
2015-02-27,9.2191,9.3779,9.193,9.3278,NAD
2015-03-02,9.3409,9.3974,9.3079,9.3897,NAD
2015-03-03,9.3876,9.4877,9.3486,9.4046,NAD
2015-03-04,9.4015,9.5304,9.3738,9.5035,NAD
2015-03-05,9.5011,9.5218,9.4091,9.4855,NAD
2015-03-06,9.4841,9.6008,9.4171,9.538,NAD
2015-03-09,9.5323,9.6378,9.5141,9.5931,NAD
2015-03-10,9.5902,9.7799,9.5793,9.7274,NAD
2015-03-11,9.7256,9.7571,9.5833,9.6379,NAD
2015-03-12,9.6365,9.7031,9.5636,9.6952,NAD
2015-03-13,9.6924,9.794,9.6378,9.7628,NAD
2015-03-16,9.7491,9.7747,9.6701,9.7054,NAD
2015-03-17,9.7029,9.7325,9.6469,9.6587,NAD
2015-03-18,9.6514,9.8444,9.6093,9.7724,NAD
2015-03-19,9.7692,9.8155,9.5782,9.6685,NAD
2015-03-20,9.6668,9.7047,9.54,9.5686,NAD
2015-03-23,9.5629,9.629,9.4916,9.5047,NAD
2015-03-24,9.5041,9.5494,9.4163,9.4445,NAD
2015-03-25,9.4413,9.491,9.3925,9.4671,NAD
2015-03-26,9.4623,9.6256,9.451,9.6108,NAD
2015-03-27,9.6106,9.6382,9.532,9.546,NAD
2015-03-30,9.5457,9.6071,9.5306,9.5873,NAD
2015-03-31,9.5844,9.6077,9.531,9.5635,NAD
2015-04-01,9.5587,9.5824,9.4734,9.5063,NAD
2015-04-02,9.5061,9.5521,9.4622,9.5106,NAD
2015-04-03,9.5056,9.5676,9.4292,9.4503,NAD
2015-04-06,9.4685,9.4718,9.382,9.449,NAD
2015-04-07,9.4442,9.5237,9.4323,9.5047,NAD
2015-04-08,9.4975,9.5193,9.3881,9.4213,NAD
2015-04-09,9.4137,9.5028,9.3915,9.4915,NAD
2015-04-10,9.4905,9.5473,9.4574,9.5435,NAD
2015-04-13,9.532,9.6561,9.5214,9.634,NAD
2015-04-14,9.627,9.6633,9.5756,9.6151,NAD
2015-04-15,9.6116,9.8604,9.5952,9.8136,NAD
2015-04-16,9.8064,9.8618,9.7575,9.8129,NAD
2015-04-17,9.8096,9.9352,9.7768,9.8607,NAD
2015-04-20,9.8659,9.9548,9.8249,9.9309,NAD
2015-04-21,9.9223,9.9494,9.8426,9.8729,NAD
2015-04-22,9.8699,10.0023,9.8495,9.99,NAD
2015-04-23,9.9886,10.047,9.9583,10.0045,NAD
2015-04-24,10.0047,10.0846,9.929,9.9383,NAD
2015-04-27,9.9462,9.9781,9.8828,9.9241,NAD
2015-04-28,9.9198,9.9495,9.8098,9.8585,NAD
2015-04-29,9.8554,9.8768,9.7735,9.8062,NAD
2015-04-30,9.8027,9.8975,9.7822,9.8581,NAD
2015-05-01,9.855,9.9359,9.7991,9.914,NAD
2015-05-04,9.9159,9.9795,9.8804,9.9699,NAD
2015-05-05,9.9684,9.9988,9.9089,9.9262,NAD
2015-05-06,9.9221,10.0308,9.8983,9.9722,NAD
2015-05-07,9.9676,10.0437,9.875,9.9027,NAD
2015-05-08,9.8962,9.9835,9.8276,9.8758,NAD
2015-05-11,9.8541,9.9977,9.8294,9.9815,NAD
2015-05-12,9.9785,10.0893,9.9595,10.0383,NAD
2015-05-13,10.0333,10.0498,9.9026,9.9345,NAD
2015-05-14,9.9306,9.9825,9.8088,9.8357,NAD
2015-05-15,9.8291,9.8835,9.7595,9.8024,NAD
2015-05-18,9.8119,9.8522,9.7426,9.764,NAD
2015-05-19,9.7591,9.8057,9.7044,9.7363,NAD
2015-05-20,9.7254,9.797,9.6822,9.6986,NAD
2015-05-21,9.6872,9.7629,9.5891,9.7061,NAD
2015-05-22,9.6991,9.7287,9.6151,9.675,NAD
2015-05-25,9.6777,9.7401,9.6683,9.6924,NAD
2015-05-26,9.6835,9.7423,9.6641,9.7155,NAD
2015-05-27,9.7121,9.7599,9.644,9.6595,NAD
2015-05-28,9.6543,9.7761,9.6381,9.7543,NAD
2015-05-29,9.7529,9.7924,9.6919,9.7599,NAD
2015-06-01,9.7696,9.8405,9.7451,9.7937,NAD
2015-06-02,9.7928,9.8709,9.7718,9.8426,NAD
2015-06-03,9.8408,9.8934,9.8106,9.8859,NAD
2015-06-04,9.8817,9.9665,9.8397,9.9112,NAD
2015-06-05,9.9097,10.1218,9.8859,10.1055,NAD
2015-06-08,10.1057,10.1467,10.0457,10.052,NAD
2015-06-09,10.0506,10.1265,10.0419,10.0844,NAD
2015-06-10,10.0805,10.1107,10.0023,10.0465,NAD
2015-06-11,10.0451,10.127,10.0033,10.0452,NAD
2015-06-12,10.0446,10.1308,10.032,10.0367,NAD
2015-06-15,10.0437,10.0976,10.0342,10.0621,NAD
2015-06-16,10.0574,10.1266,10.0162,10.0586,NAD
2015-06-17,10.0561,10.111,10.0197,10.0307,NAD
2015-06-18,10.0252,10.0726,9.9681,10.0183,NAD
2015-06-19,10.016,10.0495,9.8722,9.9256,NAD
2015-06-22,9.9014,9.9528,9.8045,9.8273,NAD
2015-06-23,9.8245,9.9156,9.811,9.8706,NAD
2015-06-24,9.8646,9.903,9.7678,9.8142,NAD
2015-06-25,9.807,9.8406,9.742,9.8212,NAD
2015-06-26,9.8139,9.9185,9.787,9.9123,NAD
2015-06-29,9.8821,10.0122,9.8479,9.8721,NAD
2015-06-30,9.8645,9.9078,9.7062,9.7428,NAD
2015-07-01,9.7344,9.7739,9.7026,9.7256,NAD
2015-07-02,9.7197,9.8218,9.7122,9.7686,NAD
2015-07-03,9.7609,9.8377,9.7195,9.7949,NAD
2015-07-06,9.7944,9.8673,9.7626,9.7905,NAD
2015-07-07,9.7882,9.8481,9.7452,9.7989,NAD
2015-07-08,9.793,9.8789,9.764,9.8654,NAD
2015-07-09,9.8588,9.887,9.7887,9.8461,NAD
