Date,Open,High,Low,Close,Currency
2015-01-01,6.4281,6.4346,6.4095,6.4161,NOK
2015-01-02,6.4122,6.4733,6.408,6.4435,NOK
2015-01-05,6.4419,6.5074,6.4256,6.4933,NOK
2015-01-06,6.4918,6.5915,6.4632,6.5451,NOK
2015-01-07,6.5429,6.6116,6.4812,6.521,NOK
2015-01-08,6.5181,6.528,6.4257,6.4428,NOK
2015-01-09,6.441,6.5037,6.4312,6.4556,NOK
2015-01-12,6.4546,6.5222,6.4426,6.4686,NOK
2015-01-13,6.4653,6.5035,6.4222,6.4887,NOK
2015-01-14,6.4853,6.4939,6.3684,6.3769,NOK
2015-01-15,6.3756,6.4882,6.3306,6.3367,NOK
2015-01-16,6.3329,6.4613,6.2791,6.3019,NOK
2015-01-19,6.3019,6.4121,6.2982,6.3853,NOK
2015-01-20,6.3842,6.404,6.3101,6.3333,NOK
2015-01-21,6.3304,6.3649,6.1348,6.1493,NOK
2015-01-22,6.1465,6.2038,6.1305,6.1811,NOK
2015-01-23,6.1792,6.29,6.1581,6.2572,NOK
2015-01-26,6.2585,6.2796,6.2084,6.2577,NOK
2015-01-27,6.2551,6.2716,6.2074,6.233,NOK
2015-01-28,6.2301,6.2686,6.1869,6.2477,NOK
2015-01-29,6.2462,6.2651,6.1699,6.2049,NOK
2015-01-30,6.2039,6.2164,6.0656,6.0695,NOK
2015-02-02,6.0673,6.0933,6.0359,6.0884,NOK
2015-02-03,6.0855,6.0938,6.0167,6.0528,NOK
2015-02-04,6.0535,6.0803,5.9936,6.0457,NOK
2015-02-05,6.0427,6.0825,6.0128,6.0442,NOK
2015-02-06,6.0423,6.0998,5.9885,6.0905,NOK
2015-02-09,6.0792,6.1235,6.0694,6.1089,NOK
2015-02-10,6.1059,6.1094,5.9963,6.0221,NOK
2015-02-11,6.0214,6.0769,5.9911,6.0529,NOK
2015-02-12,6.0504,6.1782,6.0274,6.1076,NOK
2015-02-13,6.1042,6.1332,6.0462,6.0963,NOK
2015-02-16,6.0996,6.1052,6.0431,6.0718,NOK
2015-02-17,6.0696,6.0917,6.0484,6.0654,NOK
2015-02-18,6.0619,6.101,6.0234,6.0434,NOK
2015-02-19,6.0415,6.0889,6.0201,6.0725,NOK
2015-02-20,6.0706,6.1253,5.9836,6.0095,NOK
2015-02-23,6.0017,6.0724,5.9932,6.0606,NOK
