Date,Open,High,Low,Close,Currency
2015-01-01,86.34,87.39,86.32,87.26,NPR
2015-01-02,87.27,87.81,85.49,85.93,NPR
2015-01-05,85.53,86.84,85.23,86.25,NPR
2015-01-06,85.82,86.56,85.6,85.94,NPR
2015-01-07,85.91,86.05,84.92,85.55,NPR
2015-01-08,85.53,85.62,84.33,84.76,NPR
2015-01-09,84.74,84.91,83.74,84.04,NPR
2015-01-12,84.05,84.64,82.63,83.07,NPR
2015-01-13,82.63,83.39,82.4,83.16,NPR
2015-01-14,83.12,83.82,82.35,83.24,NPR
2015-01-15,82.82,84.55,81.8,83.02,NPR
2015-01-16,82.58,83.62,81.73,82.6,NPR
2015-01-19,82.22,83.07,81.88,82.7,NPR
2015-01-20,82.23,82.77,81.45,81.48,NPR
2015-01-21,81.48,81.76,79.55,79.92,NPR
2015-01-22,79.91,80.18,79.21,79.74,NPR
2015-01-23,79.73,80.27,78.48,79.13,NPR
2015-01-26,78.56,79.24,78.27,78.78,NPR
2015-01-27,78.36,79.36,78.18,79.24,NPR
2015-01-28,79.21,79.72,77.95,78.38,NPR
2015-01-29,77.98,79.44,77.95,78.45,NPR
2015-01-30,78.05,78.46,77.32,77.75,NPR
2015-02-02,77.72,78.75,77.03,78.7,NPR
2015-02-03,78.67,79.88,77.58,79.47,NPR
2015-02-04,79.46,79.63,78.44,78.58,NPR
2015-02-05,78.57,79.71,78.27,79.43,NPR
2015-02-06,79.42,79.52,78.65,78.82,NPR
2015-02-09,78.69,80.04,78.66,79.79,NPR
2015-02-10,79.37,80.29,78.57,79.03,NPR
2015-02-11,78.64,79.21,78.41,78.85,NPR
2015-02-12,78.83,80.16,78.52,79.71,NPR
2015-02-13,79.29,80.13,78.93,79.94,NPR
2015-02-16,79.92,80.14,79.45,79.78,NPR
2015-02-17,79.77,80.46,79.45,80.26,NPR
2015-02-18,79.84,80.53,79.77,80.09,NPR
2015-02-19,80.07,80.62,79.09,79.82,NPR
2015-02-20,79.41,80.16,79.21,79.47,NPR
2015-02-23,79.44,79.52,78.6,79.34,NPR
2015-02-24,79.29,79.78,78.2,79.72,NPR
2015-02-25,79.3,79.96,79.2,79.73,NPR
2015-02-26,79.71,79.89,78.8,78.95,NPR
2015-02-27,78.93,79.48,78.65,79.1,NPR
2015-03-02,79.23,79.79,78.37,78.97,NPR
2015-03-03,78.56,79.69,78.5,79.28,NPR
2015-03-04,78.87,80.29,78.52,80.15,NPR
2015-03-05,80.14,80.64,79.09,79.65,NPR
2015-03-06,79.24,79.85,78.35,78.79,NPR
2015-03-09,78.38,80.01,78.35,79.42,NPR
2015-03-10,79.01,79.89,78.7,79.15,NPR
2015-03-11,78.75,79.68,78.29,78.78,NPR
2015-03-12,78.38,79.25,78.1,78.84,NPR
2015-03-13,78.81,79.28,78.18,78.81,NPR
2015-03-16,78.73,79.2,78.0,78.68,NPR
2015-03-17,78.28,79.07,77.99,78.45,NPR
2015-03-18,78.02,80.41,77.81,79.83,NPR
2015-03-19,79.82,80.2,78.37,78.65,NPR
2015-03-20,78.63,79.67,78.24,79.62,NPR
2015-03-23,79.57,80.12,78.63,79.56,NPR
2015-03-24,79.17,80.17,78.92,79.74,NPR
2015-03-25,79.72,79.98,79.24,79.68,NPR
2015-03-26,79.64,80.9,79.55,80.33,NPR
2015-03-27,80.33,80.83,78.69,79.19,NPR
2015-03-30,78.77,79.49,78.64,79.12,NPR
2015-03-31,79.1,79.14,78.02,78.82,NPR
2015-04-01,78.82,79.53,78.26,79.23,NPR
2015-04-02,78.84,79.65,78.6,79.64,NPR
2015-04-03,79.22,80.46,79.11,80.1,NPR
2015-04-06,79.88,80.41,79.22,79.73,NPR
2015-04-07,79.3,80.11,79.24,79.65,NPR
2015-04-08,79.64,80.44,79.27,79.4,NPR
2015-04-09,79.38,79.64,78.74,79.17,NPR
2015-04-10,79.16,79.78,78.3,79.33,NPR
2015-04-13,78.87,79.63,78.58,79.41,NPR
2015-04-14,78.98,80.38,78.94,80.11,NPR
2015-04-15,79.7,81.26,79.18,81.21,NPR
2015-04-16,81.16,82.11,80.53,81.8,NPR
2015-04-17,81.79,82.97,81.03,81.46,NPR
2015-04-20,81.21,83.04,81.11,82.35,NPR
2015-04-21,81.94,82.81,81.3,81.89,NPR
2015-04-22,81.47,82.85,81.42,82.14,NPR
2015-04-23,81.73,83.62,81.5,83.43,NPR
2015-04-24,83.43,84.45,82.78,83.5,NPR
2015-04-27,83.05,84.28,82.96,84.05,NPR
2015-04-28,83.61,84.11,83.13,83.96,NPR
2015-04-29,83.93,84.8,83.46,84.27,NPR
2015-04-30,84.24,85.31,83.21,84.03,NPR
2015-05-01,83.6,84.15,82.72,83.46,NPR
2015-05-04,83.04,83.98,82.87,83.9,NPR
2015-05-05,83.48,84.58,83.26,84.13,NPR
2015-05-06,83.7,85.15,83.54,84.4,NPR
2015-05-07,84.37,85.69,84.07,84.75,NPR
2015-05-08,84.3,85.36,84.03,84.76,NPR
2015-05-11,84.27,84.7,83.69,84.42,NPR
2015-05-12,84.41,85.73,84.35,85.44,NPR
2015-05-13,85.41,85.85,84.85,85.65,NPR
2015-05-14,85.62,85.83,84.68,85.0,NPR
2015-05-15,84.97,85.44,84.04,84.6,NPR
2015-05-18,84.16,85.03,83.33,83.84,NPR
2015-05-19,83.41,84.06,82.99,83.29,NPR
2015-05-20,83.25,84.07,82.89,83.65,NPR
2015-05-21,83.21,83.71,82.98,83.48,NPR
2015-05-22,83.48,83.64,82.46,82.78,NPR
2015-05-25,82.71,82.92,82.28,82.62,NPR
2015-05-26,82.54,83.38,81.82,82.33,NPR
2015-05-27,81.91,83.04,81.63,82.25,NPR
2015-05-28,81.85,82.2,81.22,82.1,NPR
2015-05-29,82.08,82.65,81.09,82.03,NPR
2015-06-01,81.67,81.94,81.07,81.4,NPR
2015-06-02,81.39,82.58,80.95,82.35,NPR
2015-06-03,82.33,82.57,81.67,82.11,NPR
2015-06-04,82.07,82.57,81.73,81.91,NPR
2015-06-05,81.9,82.09,81.06,82.0,NPR
2015-06-08,81.97,82.74,81.36,82.55,NPR
2015-06-09,82.54,83.17,81.76,82.96,NPR
2015-06-10,82.92,83.74,82.41,83.48,NPR
2015-06-11,83.47,83.5,82.29,83.14,NPR
2015-06-12,83.13,83.48,82.69,83.06,NPR
2015-06-15,83.05,83.37,82.38,83.04,NPR
2015-06-16,82.99,83.83,82.78,83.74,NPR
2015-06-17,83.73,83.95,82.73,83.94,NPR
2015-06-18,83.85,84.21,83.08,83.42,NPR
2015-06-19,83.4,83.62,82.52,83.23,NPR
2015-06-22,83.17,83.33,82.4,82.77,NPR
2015-06-23,82.71,83.23,81.96,83.15,NPR
2015-06-24,82.72,83.32,81.67,82.75,NPR
2015-06-25,82.27,82.77,81.64,82.65,NPR
2015-06-26,82.62,82.82,81.86,82.77,NPR
2015-06-29,82.6,83.44,82.07,82.69,NPR
2015-06-30,82.27,82.58,81.21,81.69,NPR
2015-07-01,81.47,81.71,80.83,81.01,NPR
2015-07-02,80.97,81.4,80.02,81.23,NPR
2015-07-03,81.12,81.3,80.29,81.01,NPR
2015-07-06,80.98,81.28,79.92,80.52,NPR
2015-07-07,80.49,80.93,79.35,80.29,NPR
2015-07-08,79.87,80.67,79.36,80.43,NPR
2015-07-09,80.0,80.78,78.64,80.68,NPR
2015-07-10,80.26,81.01,79.3,80.98,NPR
2015-07-13,80.47,80.51,79.26,79.85,NPR
2015-07-14,79.84,80.24,78.88,80.02,NPR
2015-07-15,79.97,80.43,77.96,78.94,NPR
2015-07-16,78.53,79.13,77.99,79.13,NPR
2015-07-17,78.72,79.14,77.73,79.02,NPR
2015-07-20,78.61,79.02,77.81,78.3,NPR
2015-07-21,77.91,79.22,77.81,79.01,NPR
2015-07-22,78.62,78.8,77.65,78.07,NPR
2015-07-23,77.95,78.94,77.72,78.14,NPR
2015-07-24,77.91,78.97,77.52,78.19,NPR
2015-07-27,77.87,79.46,77.78,78.9,NPR
2015-07-28,78.44,79.29,78.12,79.21,NPR
2015-07-29,78.79,79.51,78.44,78.99,NPR
2015-07-30,78.59,79.43,78.16,78.85,NPR
2015-07-31,78.45,79.31,77.98,78.4,NPR
2015-08-03,77.96,78.52,77.3,78.2,NPR
2015-08-04,77.76,78.48,77.21,77.96,NPR
2015-08-05,77.53,77.99,76.88,77.4,NPR
2015-08-06,77.03,77.97,76.91,77.84,NPR
2015-08-07,77.44,78.57,77.35,77.99,NPR
2015-08-10,77.58,79.0,77.0,78.8,NPR
2015-08-11,78.37,79.36,77.76,78.44,NPR
2015-08-12,78.03,80.41,77.77,80.18,NPR
2015-08-13,79.8,80.64,79.28,79.84,NPR
2015-08-14,79.43,80.34,79.13,79.76,NPR
2015-08-17,79.35,80.41,79.08,80.09,NPR
2015-08-18,79.7,80.34,79.4,80.21,NPR
2015-08-19,79.79,80.58,78.85,79.54,NPR
2015-08-20,79.17,80.32,79.01,80.14,NPR
2015-08-21,79.75,81.04,79.13,79.55,NPR
2015-08-24,79.16,81.03,78.73,80.24,NPR
2015-08-25,79.87,80.52,79.18,79.31,NPR
2015-08-26,79.3,80.24,79.1,79.98,NPR
2015-08-27,79.6,80.18,79.03,80.06,NPR
2015-08-28,80.03,80.3,79.53,80.17,NPR
2015-08-31,80.14,81.11,79.42,80.95,NPR
2015-09-01,80.58,80.94,79.87,79.9,NPR
2015-09-02,79.89,80.61,79.1,79.81,NPR
2015-09-03,79.44,80.69,79.34,80.44,NPR
2015-09-04,80.4,80.94,79.62,80.05,NPR
2015-09-07,79.7,80.67,79.66,80.35,NPR
