Date,Open,High,Low,Close,Currency
2015-01-01,49.94,50.0,49.93,49.97,RUB
2015-01-02,49.98,52.56,49.64,49.85,RUB
2015-01-05,49.86,51.99,49.0,51.36,RUB
2015-01-06,51.35,54.46,51.07,53.37,RUB
2015-01-07,53.34,54.27,52.45,53.24,RUB
2015-01-08,53.02,53.26,50.22,50.61,RUB
2015-01-09,50.59,52.63,50.34,51.85,RUB
2015-01-12,51.65,53.31,51.35,52.78,RUB
2015-01-13,52.76,55.72,52.17,54.63,RUB
2015-01-14,54.5,55.86,53.73,53.84,RUB
2015-01-15,53.82,55.32,52.61,54.54,RUB
2015-01-16,54.45,54.84,53.86,54.34,RUB
2015-01-19,54.27,54.96,53.53,54.45,RUB
2015-01-20,54.34,54.77,53.6,53.86,RUB
2015-01-21,53.74,54.69,52.55,52.92,RUB
2015-01-22,52.84,53.13,51.65,51.84,RUB
2015-01-23,51.83,53.01,50.74,51.66,RUB
2015-01-26,51.43,55.8,51.2,54.94,RUB
2015-01-27,54.75,54.86,53.44,54.55,RUB
2015-01-28,54.52,54.73,53.64,54.24,RUB
2015-01-29,54.21,55.42,53.87,54.61,RUB
2015-01-30,54.59,56.81,53.99,54.38,RUB
2015-02-02,54.25,55.38,53.92,54.38,RUB
2015-02-03,54.33,54.39,52.15,52.54,RUB
2015-02-04,52.49,54.62,51.92,54.0,RUB
2015-02-05,53.96,54.93,52.65,53.52,RUB
2015-02-06,53.49,54.22,52.63,53.59,RUB
2015-02-09,53.5,53.67,52.01,52.83,RUB
2015-02-10,52.82,53.21,51.79,52.0,RUB
2015-02-11,52.0,52.94,51.26,51.65,RUB
2015-02-12,51.65,53.46,51.21,52.19,RUB
2015-02-13,52.18,52.43,50.49,51.01,RUB
2015-02-16,51.0,51.03,49.79,50.69,RUB
2015-02-17,50.68,51.11,49.99,50.45,RUB
2015-02-18,50.43,50.53,49.02,49.45,RUB
2015-02-19,49.44,50.06,49.05,49.54,RUB
2015-02-20,49.53,50.19,49.11,49.38,RUB
2015-02-23,49.07,51.38,48.97,50.76,RUB
2015-02-24,50.7,50.95,49.62,50.63,RUB
2015-02-25,50.6,50.78,49.14,49.35,RUB
2015-02-26,49.18,49.75,48.22,48.87,RUB
2015-02-27,48.85,49.88,48.7,49.33,RUB
2015-03-02,49.28,50.22,48.89,49.92,RUB
2015-03-03,49.98,50.12,49.32,49.53,RUB
2015-03-04,49.52,50.26,49.16,49.86,RUB
2015-03-05,49.77,50.06,48.53,48.74,RUB
2015-03-06,48.67,48.92,47.26,47.88,RUB
2015-03-09,47.81,48.57,47.62,48.24,RUB
2015-03-10,48.19,49.64,47.52,49.23,RUB
2015-03-11,49.11,49.86,47.96,48.33,RUB
2015-03-12,48.31,48.51,47.59,48.22,RUB
2015-03-13,48.12,49.12,47.54,48.69,RUB
2015-03-16,48.54,49.19,48.13,48.69,RUB
2015-03-17,48.53,48.79,47.92,48.11,RUB
2015-03-18,47.99,48.12,46.78,47.24,RUB
2015-03-19,47.23,47.71,46.47,47.3,RUB
2015-03-20,47.23,47.91,46.86,47.24,RUB
2015-03-23,47.09,47.54,46.73,46.94,RUB
2015-03-24,46.9,47.14,45.98,46.18,RUB
2015-03-25,46.16,46.46,45.3,45.91,RUB
2015-03-26,45.8,46.28,44.87,45.94,RUB
2015-03-27,45.92,46.44,45.41,46.03,RUB
2015-03-30,45.87,46.42,45.25,45.46,RUB
2015-03-31,45.44,46.01,44.96,45.88,RUB
2015-04-01,45.88,46.13,45.39,45.65,RUB
2015-04-02,45.65,45.83,44.63,44.84,RUB
2015-04-03,44.78,45.82,44.38,45.28,RUB
2015-04-06,45.31,45.59,44.13,44.37,RUB
2015-04-07,44.34,44.66,43.74,44.01,RUB
2015-04-08,43.99,44.12,42.58,42.77,RUB
2015-04-09,42.76,42.8,41.17,41.23,RUB
2015-04-10,41.2,42.68,39.83,42.65,RUB
2015-04-13,42.61,42.81,41.09,41.31,RUB
2015-04-14,41.29,41.74,40.47,40.77,RUB
2015-04-15,40.76,40.91,40.16,40.49,RUB
2015-04-16,40.43,41.11,39.93,40.87,RUB
2015-04-17,40.86,43.13,40.57,42.37,RUB
2015-04-20,42.36,43.96,41.98,43.63,RUB
2015-04-21,43.63,44.16,43.2,43.81,RUB
2015-04-22,43.73,44.05,42.32,42.64,RUB
2015-04-23,42.63,42.79,41.54,41.84,RUB
2015-04-24,41.81,42.52,41.31,41.8,RUB
2015-04-27,41.7,43.15,41.25,42.86,RUB
2015-04-28,42.82,43.44,42.42,42.86,RUB
2015-04-29,42.83,43.39,42.12,42.36,RUB
2015-04-30,42.31,43.29,42.05,42.82,RUB
2015-05-01,42.8,42.84,42.26,42.6,RUB
2015-05-04,42.58,43.2,42.03,43.08,RUB
2015-05-05,43.0,43.17,41.59,41.92,RUB
2015-05-06,41.83,42.41,41.27,41.92,RUB
2015-05-07,41.87,42.35,41.12,41.29,RUB
2015-05-08,41.26,42.64,41.18,42.33,RUB
2015-05-11,42.02,42.9,41.58,42.34,RUB
2015-05-12,42.26,42.65,41.46,41.59,RUB
2015-05-13,41.55,42.13,40.77,41.15,RUB
2015-05-14,41.12,42.58,40.97,41.75,RUB
2015-05-15,41.74,41.91,40.85,41.24,RUB
2015-05-18,41.14,41.22,40.2,40.48,RUB
2015-05-19,40.46,40.82,40.21,40.51,RUB
2015-05-20,40.43,41.11,40.29,40.72,RUB
2015-05-21,40.7,41.25,40.51,40.98,RUB
2015-05-22,40.97,41.13,40.46,40.71,RUB
2015-05-25,40.69,40.78,40.09,40.59,RUB
2015-05-26,40.57,41.07,40.41,40.89,RUB
2015-05-27,40.86,41.79,40.7,41.5,RUB
2015-05-28,41.48,42.56,41.42,42.3,RUB
2015-05-29,42.23,42.79,41.71,42.08,RUB
2015-06-01,41.99,42.88,41.74,42.82,RUB
2015-06-02,42.79,43.0,42.24,42.57,RUB
2015-06-03,42.52,43.74,42.32,43.61,RUB
2015-06-04,43.59,45.53,43.39,45.15,RUB
2015-06-05,44.98,45.59,44.35,45.19,RUB
2015-06-08,45.03,45.39,44.61,45.12,RUB
2015-06-09,45.12,45.34,44.59,45.12,RUB
2015-06-10,45.1,45.2,43.85,44.34,RUB
2015-06-11,44.32,44.66,43.77,44.59,RUB
2015-06-12,44.58,44.92,44.1,44.47,RUB
2015-06-15,44.72,45.12,44.0,44.22,RUB
2015-06-16,44.21,44.84,43.33,43.98,RUB
2015-06-17,43.97,44.12,43.37,43.88,RUB
2015-06-18,43.85,44.23,43.39,43.75,RUB
2015-06-19,43.73,44.54,43.38,44.03,RUB
2015-06-22,44.02,44.23,43.42,43.84,RUB
2015-06-23,43.83,44.27,43.39,43.66,RUB
2015-06-24,43.61,44.21,43.4,43.84,RUB
2015-06-25,43.81,44.47,43.57,44.39,RUB
2015-06-26,44.37,44.75,44.09,44.48,RUB
2015-06-29,44.38,45.26,44.31,44.93,RUB
2015-06-30,44.88,45.17,43.87,44.27,RUB
2015-07-01,44.25,44.58,44.08,44.34,RUB
2015-07-02,44.31,44.54,44.0,44.28,RUB
2015-07-03,44.24,44.59,43.88,44.49,RUB
2015-07-06,44.56,45.06,44.14,44.95,RUB
2015-07-07,44.92,45.31,44.31,44.61,RUB
2015-07-08,44.66,45.36,44.34,45.11,RUB
2015-07-09,45.02,45.35,44.56,45.0,RUB
2015-07-10,44.93,45.26,44.11,44.51,RUB
2015-07-13,44.39,44.74,44.15,44.38,RUB
2015-07-14,44.35,44.71,44.04,44.34,RUB
2015-07-15,44.3,44.67,43.84,44.03,RUB
2015-07-16,44.03,44.26,43.66,43.96,RUB
2015-07-17,43.95,44.05,43.63,43.9,RUB
2015-07-20,43.88,44.28,43.66,44.04,RUB
2015-07-21,44.02,44.12,43.56,43.98,RUB
2015-07-22,43.96,44.24,43.67,43.71,RUB
2015-07-23,43.69,44.58,43.52,44.27,RUB
2015-07-24,44.25,44.96,44.25,44.79,RUB
2015-07-27,44.82,46.06,44.63,46.03,RUB
2015-07-28,46.01,46.88,45.67,46.35,RUB
2015-07-29,46.33,46.57,45.06,45.2,RUB
2015-07-30,45.14,46.07,45.05,45.97,RUB
2015-07-31,45.96,47.27,45.67,47.18,RUB
2015-08-03,47.12,48.38,46.68,48.32,RUB
2015-08-04,48.31,48.53,47.54,47.62,RUB
2015-08-05,47.61,48.44,47.22,48.21,RUB
2015-08-06,48.19,49.16,47.91,48.79,RUB
2015-08-07,48.76,49.2,48.3,48.77,RUB
2015-08-10,48.74,49.2,48.12,48.48,RUB
2015-08-11,48.47,49.22,47.94,48.99,RUB
2015-08-12,48.94,49.94,48.78,49.69,RUB
2015-08-13,49.67,49.85,48.88,49.58,RUB
2015-08-14,49.56,49.81,49.23,49.57,RUB
2015-08-17,49.85,50.07,49.44,49.94,RUB
2015-08-18,49.91,50.49,49.63,50.4,RUB
2015-08-19,50.4,50.84,50.09,50.72,RUB
2015-08-20,50.7,52.04,50.66,51.85,RUB
2015-08-21,51.84,52.62,51.56,52.37,RUB
2015-08-24,52.35,54.05,52.03,53.35,RUB
2015-08-25,53.3,53.78,51.5,51.71,RUB
2015-08-26,51.69,52.7,51.23,51.87,RUB
2015-08-27,51.85,52.02,49.78,50.13,RUB
2015-08-28,50.11,50.94,48.98,49.39,RUB
2015-08-31,49.38,50.77,48.3,48.6,RUB
2015-09-01,48.58,50.56,48.55,49.89,RUB
2015-09-02,49.87,51.23,49.87,50.47,RUB
2015-09-03,50.46,51.07,49.93,50.44,RUB
2015-09-04,50.41,51.67,50.24,51.55,RUB
2015-09-07,51.55,52.1,50.95,51.94,RUB
2015-09-08,51.89,52.16,51.19,51.5,RUB
2015-09-09,51.44,51.92,50.89,51.64,RUB
2015-09-10,51.6,52.1,50.91,51.03,RUB
2015-09-11,51.02,51.52,50.69,51.14,RUB
2015-09-14,51.1,51.44,50.57,51.03,RUB
2015-09-15,51.06,51.58,50.17,50.44,RUB
2015-09-16,50.42,50.54,49.15,49.76,RUB
2015-09-17,49.71,50.31,49.15,49.65,RUB
2015-09-18,49.64,50.65,49.39,50.24,RUB
2015-09-21,50.27,50.54,49.74,49.85,RUB
2015-09-22,49.81,50.31,49.63,49.76,RUB
2015-09-23,49.7,50.24,49.29,49.98,RUB
2015-09-24,49.96,50.21,49.34,49.72,RUB
2015-09-25,49.67,49.77,48.94,49.11,RUB
2015-09-28,49.11,49.73,48.83,49.43,RUB
2015-09-29,49.42,49.63,48.63,49.34,RUB
2015-09-30,49.3,49.37,48.53,49.06,RUB
2015-10-01,49.01,49.7,48.73,49.39,RUB
2015-10-02,49.38,50.51,49.36,50.28,RUB
2015-10-05,50.23,50.34,49.18,49.28,RUB
2015-10-06,49.27,49.86,48.28,48.55,RUB
2015-10-07,48.49,48.87,47.32,47.37,RUB
2015-10-08,47.34,48.19,47.07,47.17,RUB
2015-10-09,47.12,47.82,46.88,47.75,RUB
2015-10-12,47.71,48.11,47.08,47.45,RUB
2015-10-13,47.43,48.56,46.77,48.38,RUB
2015-10-14,48.28,48.67,48.07,48.47,RUB
2015-10-15,48.42,48.67,47.68,47.76,RUB
2015-10-16,47.67,48.26,47.23,47.37,RUB
2015-10-19,47.27,48.25,47.04,48.0,RUB
2015-10-20,47.9,48.14,47.51,47.75,RUB
2015-10-21,47.68,48.51,47.58,47.59,RUB
2015-10-22,47.57,48.29,47.52,47.65,RUB
2015-10-23,47.63,47.96,47.01,47.24,RUB
2015-10-26,47.21,48.02,47.03,47.91,RUB
2015-10-27,47.86,49.33,47.77,49.33,RUB
2015-10-28,49.31,49.5,48.1,48.5,RUB
2015-10-29,48.45,49.0,47.98,48.87,RUB
2015-10-30,48.79,49.19,48.4,48.98,RUB
2015-11-02,48.91,49.19,48.34,48.62,RUB
2015-11-03,48.57,48.98,47.62,47.92,RUB
2015-11-04,47.87,48.41,47.27,48.06,RUB
2015-11-05,48.02,48.38,47.69,48.09,RUB
2015-11-06,48.03,48.8,47.72,48.35,RUB
2015-11-09,48.27,48.94,48.25,48.65,RUB
2015-11-10,48.59,48.89,48.25,48.55,RUB
2015-11-11,48.5,49.54,48.39,49.28,RUB
2015-11-12,49.23,50.39,49.09,50.15,RUB
2015-11-13,50.03,50.42,49.58,50.2,RUB
2015-11-16,50.07,50.37,48.79,49.01,RUB
2015-11-17,48.99,49.43,48.44,48.89,RUB
2015-11-18,48.83,49.06,48.47,48.77,RUB
2015-11-19,48.71,49.15,48.39,48.56,RUB
2015-11-20,48.52,48.94,48.23,48.47,RUB
2015-11-23,48.5,49.5,48.07,49.28,RUB
2015-11-24,49.25,49.79,48.96,49.23,RUB
2015-11-25,49.19,49.63,48.8,49.39,RUB
2015-11-26,49.35,49.66,49.12,49.54,RUB
2015-11-27,49.47,49.89,49.16,49.68,RUB
2015-11-30,49.63,50.02,49.27,49.65,RUB
