Date,Open,High,Low,Close,Currency
2015-01-01,3.228,3.2321,3.2274,3.2302,SAR
2015-01-02,3.2305,3.2353,3.1842,3.1853,SAR
2015-01-05,3.1854,3.197,3.1743,3.191,SAR
2015-01-06,3.1907,3.1998,3.169,3.1711,SAR
2015-01-07,3.1701,3.178,3.1606,3.1772,SAR
2015-01-08,3.1765,3.1837,3.1692,3.1736,SAR
2015-01-09,3.1732,3.1808,3.1569,3.1639,SAR
2015-01-12,3.1635,3.1723,3.1332,3.1345,SAR
2015-01-13,3.1335,3.1477,3.1283,3.1389,SAR
2015-01-14,3.1377,3.1463,3.1224,3.1402,SAR
2015-01-15,3.1396,3.1808,3.1275,3.1381,SAR
2015-01-16,3.1372,3.1408,3.1151,3.132,SAR
2015-01-19,3.1332,3.1473,3.1314,3.1454,SAR
2015-01-20,3.143,3.1469,3.0987,3.1,SAR
2015-01-21,3.0997,3.1143,3.0301,3.0446,SAR
2015-01-22,3.0438,3.0514,3.0238,3.0344,SAR
2015-01-23,3.0341,3.0404,3.0143,3.0279,SAR
2015-01-26,3.0204,3.0299,3.0077,3.0124,SAR
2015-01-27,3.0113,3.0374,3.006,3.0316,SAR
2015-01-28,3.0308,3.0357,2.997,2.9987,SAR
2015-01-29,2.9979,3.0048,2.9633,2.9783,SAR
2015-01-30,2.9781,2.9813,2.9363,2.9527,SAR
2015-02-02,2.9509,2.9912,2.94,2.9893,SAR
2015-02-03,2.988,3.0385,2.9688,3.0231,SAR
2015-02-04,3.0223,3.0291,2.9794,2.9848,SAR
2015-02-05,2.9841,3.0286,2.9805,3.0181,SAR
2015-02-06,3.0176,3.0224,2.9898,2.9957,SAR
2015-02-09,2.9946,3.0189,2.99,3.0093,SAR
2015-02-10,3.0085,3.0137,2.9709,2.9802,SAR
2015-02-11,2.9801,2.9848,2.9537,2.9696,SAR
2015-02-12,2.9691,3.0168,2.9653,3.0,SAR
2015-02-13,2.999,3.0207,2.9918,3.0133,SAR
2015-02-16,3.0126,3.0206,3.0025,3.0093,SAR
2015-02-17,3.009,3.0351,3.0054,3.0275,SAR
2015-02-18,3.0266,3.0305,3.0082,3.012,SAR
2015-02-19,3.0116,3.0171,2.9875,3.0021,SAR
2015-02-20,3.0016,3.0206,2.9847,2.9944,SAR
2015-02-23,2.9933,2.996,2.9704,2.9842,SAR
2015-02-24,2.9826,3.0057,2.9608,3.0046,SAR
2015-02-25,3.0034,3.0246,2.9998,3.0158,SAR
2015-02-26,3.0154,3.0281,2.9911,2.9968,SAR
2015-02-27,2.9961,3.0128,2.9921,2.9983,SAR
2015-03-02,2.9954,3.0059,2.9839,2.9917,SAR
2015-03-03,2.9913,3.0167,2.9889,3.0012,SAR
2015-03-04,3.0009,3.023,2.9898,3.0176,SAR
2015-03-05,3.0175,3.0229,2.9949,3.0034,SAR
2015-03-06,3.0033,3.0114,2.9695,2.9712,SAR
2015-03-09,2.9715,2.9829,2.9696,2.9757,SAR
2015-03-10,2.9751,2.9769,2.9548,2.9556,SAR
