Date,Open,High,Low,Close,Currency
2015-01-01,27.2023,27.2649,27.1871,27.2484,TWD
2015-01-02,27.2381,27.3133,26.9622,26.9956,TWD
2015-01-05,26.9606,27.2767,26.8714,27.2113,TWD
2015-01-06,27.1974,27.286,27.0117,27.0484,TWD
2015-01-07,27.0166,27.0857,26.9291,27.0789,TWD
2015-01-08,27.0636,27.1467,26.9786,27.0307,TWD
2015-01-09,27.0157,27.0828,26.8337,26.8869,TWD
2015-01-12,26.8841,26.9571,26.6018,26.6285,TWD
2015-01-13,26.6093,26.7228,26.5197,26.6288,TWD
2015-01-14,26.6073,26.666,26.4401,26.6246,TWD
2015-01-15,26.6067,26.8311,26.38,26.4716,TWD
2015-01-16,26.4582,26.4964,26.1237,26.2581,TWD
2015-01-19,26.2618,26.4204,26.2181,26.3766,TWD
2015-01-20,26.3489,26.5119,26.1134,26.135,TWD
2015-01-21,26.1301,26.2115,25.3854,25.5302,TWD
2015-01-22,25.5129,25.5709,25.2867,25.3887,TWD
2015-01-23,25.3736,25.431,25.0927,25.1653,TWD
2015-01-26,25.1465,25.2606,25.0522,25.1092,TWD
2015-01-27,25.0882,25.1214,24.8207,25.0478,TWD
2015-01-28,25.0286,25.198,24.8784,24.9087,TWD
2015-01-29,24.8959,25.2264,24.8784,25.0311,TWD
2015-01-30,25.0162,25.0906,24.7165,24.9318,TWD
2015-02-02,24.9156,25.1929,24.7613,25.1364,TWD
2015-02-03,25.1182,25.479,24.9466,25.3498,TWD
2015-02-04,25.3439,25.3745,24.9655,25.0224,TWD
2015-02-05,25.0179,25.3937,24.8966,25.3223,TWD
2015-02-06,25.3176,25.4363,25.1604,25.2765,TWD
2015-02-09,25.1764,25.4377,25.1546,25.3228,TWD
2015-02-10,25.3108,25.3316,25.0,25.0822,TWD
2015-02-11,25.0715,25.1143,24.9031,25.0257,TWD
2015-02-12,25.0166,25.2105,24.9129,25.0312,TWD
2015-02-13,25.0116,25.235,24.9808,25.1619,TWD
2015-02-16,25.1418,25.3113,25.1329,25.2135,TWD
2015-02-17,25.1985,25.5273,25.1682,25.5104,TWD
2015-02-18,25.4962,25.5996,25.3829,25.4385,TWD
2015-02-19,25.4175,25.4723,25.2532,25.4367,TWD
2015-02-20,25.4169,25.5674,25.2618,25.352,TWD
2015-02-23,25.3272,25.3833,25.1228,25.2407,TWD
2015-02-24,25.2207,25.3655,25.0162,25.3553,TWD
2015-02-25,25.3351,25.4122,25.1985,25.2734,TWD
2015-02-26,25.2513,25.3131,25.0614,25.1402,TWD
2015-02-27,25.1274,25.2742,25.0819,25.1375,TWD
2015-03-02,25.1658,25.2169,24.961,25.0688,TWD
2015-03-03,25.0499,25.2677,24.998,25.1,TWD
2015-03-04,25.082,25.3586,25.038,25.2776,TWD
2015-03-05,25.2615,25.3719,25.1612,25.236,TWD
2015-03-06,25.2326,25.2486,24.9711,25.0444,TWD
2015-03-09,25.0352,25.0954,24.9465,25.0244,TWD
2015-03-10,25.0147,25.1322,24.915,24.9776,TWD
2015-03-11,24.9732,25.0542,24.7671,24.8641,TWD
2015-03-12,24.8612,25.0153,24.792,24.9126,TWD
2015-03-13,24.9054,24.9438,24.7154,24.8008,TWD
2015-03-16,24.7654,24.8389,24.6564,24.7663,TWD
2015-03-17,24.7601,24.7864,24.6065,24.637,TWD
2015-03-18,24.6227,25.1074,24.5661,24.9133,TWD
2015-03-19,24.9129,25.0346,24.6443,24.7488,TWD
2015-03-20,24.7445,25.0134,24.7342,24.9802,TWD
2015-03-23,24.963,25.0497,24.8948,24.9738,TWD
2015-03-24,24.9725,25.1097,24.9097,25.0008,TWD
2015-03-25,24.9924,25.0861,24.9111,24.9592,TWD
2015-03-26,24.9469,25.1542,24.9298,25.044,TWD
2015-03-27,25.0441,25.1262,24.6761,24.7274,TWD
2015-03-30,24.6995,24.8443,24.5966,24.6637,TWD
2015-03-31,24.6509,24.7171,24.4475,24.6329,TWD
2015-04-01,24.6279,24.8591,24.6012,24.7469,TWD
2015-04-02,24.7345,24.8659,24.5672,24.7123,TWD
2015-04-03,24.6927,24.8631,24.6225,24.7437,TWD
2015-04-06,24.7913,24.8531,24.704,24.7897,TWD
2015-04-07,24.7677,24.985,24.7518,24.821,TWD
2015-04-08,24.8101,25.0813,24.7397,24.8067,TWD
2015-04-09,24.7916,24.8923,24.7138,24.845,TWD
2015-04-10,24.8307,24.8687,24.6326,24.8588,TWD
2015-04-13,24.8311,24.9176,24.7106,24.8789,TWD
2015-04-14,24.8607,25.0813,24.7597,25.0178,TWD
2015-04-15,25.0068,25.4181,24.8397,25.3971,TWD
2015-04-16,25.3685,25.5893,25.2354,25.4985,TWD
2015-04-17,25.4915,25.6505,25.2782,25.3265,TWD
2015-04-20,25.3713,25.5366,25.3327,25.4227,TWD
2015-04-21,25.4168,25.4755,25.2437,25.3207,TWD
2015-04-22,25.3106,25.4297,25.2486,25.4006,TWD
2015-04-23,25.3947,25.6083,25.273,25.526,TWD
2015-04-24,25.5242,25.6321,25.1613,25.217,TWD
2015-04-27,25.1986,25.3893,25.0755,25.1745,TWD
2015-04-28,25.1613,25.3346,25.1243,25.3014,TWD
2015-04-29,25.2912,25.4544,25.2256,25.3016,TWD
2015-04-30,25.2903,25.5261,25.2266,25.3517,TWD
2015-05-01,25.3415,25.3892,25.0655,25.288,TWD
2015-05-04,25.2821,25.421,25.1375,25.3979,TWD
2015-05-05,25.3886,25.5706,25.274,25.4003,TWD
2015-05-06,25.3911,25.6344,25.3351,25.3974,TWD
2015-05-07,25.3805,25.541,25.2918,25.39,TWD
2015-05-08,25.3729,25.4969,25.2519,25.4146,TWD
2015-05-11,25.382,25.5104,25.2657,25.4633,TWD
2015-05-12,25.454,25.6621,25.3427,25.5951,TWD
2015-05-13,25.5837,25.7073,25.4573,25.6471,TWD
2015-05-14,25.6271,25.6662,25.4188,25.4719,TWD
2015-05-15,25.4627,25.4932,25.2519,25.3312,TWD
2015-05-18,25.2913,25.32,25.0436,25.0773,TWD
2015-05-19,25.0645,25.1473,24.8563,24.9524,TWD
2015-05-20,24.9387,25.0563,24.8287,24.9574,TWD
2015-05-21,24.9443,25.0564,24.8529,24.9416,TWD
2015-05-22,24.9324,25.0527,24.6734,24.8017,TWD
2015-05-25,24.8004,24.855,24.7198,24.7706,TWD
2015-05-26,24.7495,24.8656,24.6217,24.6646,TWD
2015-05-27,24.6522,24.7147,24.5369,24.6226,TWD
2015-05-28,24.6161,24.6794,24.4347,24.6496,TWD
2015-05-29,24.6454,24.8083,24.5774,24.7664,TWD
2015-06-01,24.717,24.7708,24.5601,24.6638,TWD
2015-06-02,24.659,24.9087,24.6051,24.8449,TWD
2015-06-03,24.8371,24.8756,24.6456,24.727,TWD
2015-06-04,24.7158,24.8348,24.6857,24.7131,TWD
2015-06-05,24.7061,24.9993,24.6254,24.9648,TWD
2015-06-08,24.9437,25.1281,24.8115,25.0433,TWD
2015-06-09,25.0375,25.3109,24.9738,25.2596,TWD
2015-06-10,25.2443,25.3247,25.0792,25.1957,TWD
2015-06-11,25.1897,25.241,25.0619,25.1662,TWD
2015-06-12,25.1591,25.2231,25.0551,25.0915,TWD
2015-06-15,25.0994,25.1459,25.0044,25.0772,TWD
2015-06-16,25.06,25.1478,25.0028,25.1171,TWD
2015-06-17,25.1139,25.2996,25.0491,25.2975,TWD
2015-06-18,25.28,25.3302,25.0359,25.1352,TWD
2015-06-19,25.1239,25.2236,24.9695,25.0515,TWD
2015-06-22,25.0208,25.1715,24.9153,24.9843,TWD
2015-06-23,24.9817,25.0837,24.9068,25.0541,TWD
2015-06-24,25.0401,25.1936,24.9194,25.0202,TWD
2015-06-25,24.9968,25.1468,24.8991,25.102,TWD
2015-06-26,25.0908,25.1831,24.9891,25.1664,TWD
2015-06-29,25.1073,25.1666,24.8671,24.8984,TWD
2015-06-30,24.8879,25.009,24.6832,24.7291,TWD
2015-07-01,24.7007,24.7758,24.5584,24.5883,TWD
2015-07-02,24.5764,24.6391,24.4588,24.6371,TWD
2015-07-03,24.6252,24.641,24.5018,24.5587,TWD
2015-07-06,24.5507,24.6148,24.4012,24.4467,TWD
2015-07-07,24.4388,24.5295,24.3022,24.4657,TWD
2015-07-08,24.4468,24.4692,24.2656,24.3517,TWD
2015-07-09,24.338,24.489,24.332,24.4513,TWD
2015-07-10,24.437,24.5215,24.2902,24.5118,TWD
2015-07-13,24.4667,24.5026,24.2726,24.3849,TWD
2015-07-14,24.3761,24.4255,24.2404,24.3752,TWD
2015-07-15,24.35,24.3942,23.984,24.0844,TWD
2015-07-16,24.085,24.1144,23.9397,23.9853,TWD
2015-07-17,23.9693,24.0508,23.9013,23.9917,TWD
2015-07-20,23.9684,24.1269,23.8938,24.0362,TWD
2015-07-21,24.0223,24.1496,23.9757,24.0818,TWD
2015-07-22,24.0636,24.1135,23.9007,23.9575,TWD
2015-07-23,23.948,24.1284,23.9034,24.0008,TWD
2015-07-24,23.9837,24.1964,23.9481,24.1262,TWD
2015-07-27,24.1276,24.3561,24.0988,24.2348,TWD
2015-07-28,24.2175,24.3427,24.1167,24.3039,TWD
2015-07-29,24.2992,24.4313,24.2141,24.3212,TWD
2015-07-30,24.3069,24.3627,24.195,24.2944,TWD
2015-07-31,24.286,24.3787,24.1595,24.1892,TWD
2015-08-03,24.156,24.2186,24.0033,24.101,TWD
2015-08-04,24.0879,24.1297,23.9794,24.0103,TWD
2015-08-05,23.9992,24.1855,23.9394,24.0618,TWD
2015-08-06,24.0363,24.1554,23.9815,24.1126,TWD
2015-08-07,24.1004,24.2682,24.0452,24.1136,TWD
2015-08-10,24.0978,24.3366,23.9979,24.3003,TWD
2015-08-11,24.2947,24.7971,24.1789,24.5377,TWD
2015-08-12,24.5174,24.8406,24.416,24.791,TWD
2015-08-13,24.7703,24.914,24.568,24.6295,TWD
2015-08-14,24.6096,24.706,24.5026,24.5827,TWD
2015-08-17,24.5494,24.8409,24.5157,24.8006,TWD
2015-08-18,24.7848,24.8953,24.6476,24.8572,TWD
2015-08-19,24.8438,24.9453,24.6433,24.723,TWD
2015-08-20,24.7144,24.9625,24.6787,24.8801,TWD
2015-08-21,24.8644,25.0087,24.7362,24.7801,TWD
2015-08-24,24.7649,25.0924,24.6658,24.8426,TWD
2015-08-25,24.8314,24.9546,24.2936,24.3338,TWD
2015-08-26,24.3301,24.5453,24.2985,24.4306,TWD
2015-08-27,24.4222,24.4929,24.2573,24.4573,TWD
2015-08-28,24.4433,24.5667,24.2974,24.5108,TWD
2015-08-31,24.4911,24.7758,24.38,24.7344,TWD
2015-09-01,24.7325,24.7821,24.4406,24.4546,TWD
2015-09-02,24.448,24.6178,24.3729,24.4621,TWD
2015-09-03,24.4593,24.7435,24.4352,24.6623,TWD
2015-09-04,24.6491,24.7249,24.5314,24.6041,TWD
2015-09-07,24.5817,24.7522,24.5726,24.6254,TWD
2015-09-08,24.6049,24.7695,24.5481,24.7208,TWD
