Date,Open,High,Low,Close,Currency
2015-01-01,463.54,466.04,463.46,465.76,XAF
2015-01-02,463.9,468.83,460.53,464.69,XAF
2015-01-05,462.88,470.42,461.27,469.55,XAF
2015-01-06,467.83,470.83,464.04,466.0,XAF
2015-01-07,464.19,466.97,462.75,466.81,XAF
2015-01-08,465.06,474.31,464.08,471.28,XAF
2015-01-09,469.55,470.5,466.22,466.77,XAF
2015-01-12,466.85,468.5,462.61,462.78,XAF
2015-01-13,462.65,469.24,462.41,467.74,XAF
2015-01-14,465.71,466.66,463.16,465.98,XAF
2015-01-15,465.9,477.58,464.89,474.4,XAF
2015-01-16,472.32,478.8,469.56,477.04,XAF
2015-01-19,475.38,478.46,470.28,474.63,XAF
2015-01-20,472.43,474.86,467.52,470.39,XAF
2015-01-21,468.74,471.95,456.56,459.58,XAF
2015-01-22,457.71,467.92,456.13,465.64,XAF
2015-01-23,463.81,466.46,460.9,464.18,XAF
2015-01-26,461.35,470.99,460.17,467.43,XAF
2015-01-27,465.5,468.67,463.46,466.88,XAF
2015-01-28,464.97,468.2,461.0,462.94,XAF
2015-01-29,461.15,465.59,457.68,461.73,XAF
2015-01-30,459.97,461.99,452.48,457.89,XAF
2015-02-02,456.19,463.73,453.47,463.08,XAF
2015-02-03,460.17,464.33,456.98,462.96,XAF
2015-02-04,460.12,464.74,455.81,462.56,XAF
2015-02-05,459.75,468.83,459.51,467.21,XAF
2015-02-06,465.58,468.01,455.78,458.66,XAF
2015-02-09,455.99,468.72,455.81,467.36,XAF
2015-02-10,464.48,468.89,458.69,462.99,XAF
2015-02-11,460.25,463.76,457.24,460.82,XAF
2015-02-12,458.01,466.2,457.39,462.74,XAF
2015-02-13,459.83,462.8,457.96,462.17,XAF
2015-02-16,462.05,464.75,460.46,464.01,XAF
2015-02-17,462.39,468.34,461.83,467.44,XAF
2015-02-18,464.5,468.61,462.45,466.02,XAF
2015-02-19,464.39,468.04,459.34,463.53,XAF
2015-02-20,460.67,469.42,459.94,463.58,XAF
2015-02-23,460.64,462.84,458.78,461.81,XAF
2015-02-24,460.0,467.69,457.55,467.5,XAF
2015-02-25,464.55,469.12,462.67,467.01,XAF
2015-02-26,464.16,469.32,463.74,468.15,XAF
2015-02-27,468.03,471.78,467.17,469.8,XAF
2015-03-02,469.02,470.67,465.37,469.47,XAF
2015-03-03,467.82,475.01,467.45,471.07,XAF
2015-03-04,468.23,480.41,467.71,479.56,XAF
2015-03-05,476.75,481.72,474.19,479.94,XAF
2015-03-06,477.12,482.83,473.09,476.13,XAF
2015-03-09,473.24,478.0,473.09,476.87,XAF
2015-03-10,473.99,477.02,470.75,473.62,XAF
2015-03-11,470.82,491.29,469.97,489.19,XAF
2015-03-12,486.43,494.29,485.66,490.39,XAF
2015-03-13,487.54,491.3,485.17,490.92,XAF
2015-03-16,487.75,491.82,483.29,487.18,XAF
2015-03-17,484.36,488.54,482.18,486.91,XAF
