Date,Open,High,Low,Close,Currency
2015-01-01,463.05,466.62,462.97,466.35,XOF
2015-01-02,463.41,469.55,460.04,465.31,XOF
2015-01-05,462.78,470.88,461.18,470.0,XOF
2015-01-06,467.86,473.4,464.41,468.9,XOF
2015-01-07,464.57,472.07,463.31,471.88,XOF
2015-01-08,469.28,475.54,468.29,472.06,XOF
2015-01-09,469.07,470.34,466.22,466.77,XOF
2015-01-12,466.85,468.46,462.61,462.78,XOF
2015-01-13,462.65,469.5,462.41,468.01,XOF
2015-01-14,465.35,466.6,463.06,465.98,XOF
2015-01-15,465.9,477.99,464.89,474.86,XOF
2015-01-16,472.32,476.86,469.56,475.2,XOF
2015-01-19,472.49,476.59,470.28,475.26,XOF
2015-01-20,472.43,475.3,467.63,470.97,XOF
2015-01-21,468.9,472.6,456.6,460.19,XOF
2015-01-22,457.71,468.53,456.13,466.25,XOF
2015-01-23,463.81,467.08,460.9,464.78,XOF
2015-01-26,461.35,463.78,453.07,455.75,XOF
2015-01-27,453.61,472.04,452.71,471.43,XOF
2015-01-28,467.7,470.73,461.0,463.54,XOF
2015-01-29,461.15,464.55,456.96,462.32,XOF
2015-01-30,459.97,462.39,452.55,458.36,XOF
2015-02-02,456.27,462.93,454.77,462.28,XOF
2015-02-03,460.17,464.14,456.98,462.16,XOF
2015-02-04,460.12,463.94,455.81,460.87,XOF
2015-02-05,458.86,464.5,458.03,462.25,XOF
2015-02-06,460.23,466.76,457.64,464.59,XOF
2015-02-09,461.91,467.96,461.71,466.56,XOF
2015-02-10,464.48,468.13,458.69,462.12,XOF
2015-02-11,460.17,462.97,457.24,460.02,XOF
2015-02-12,458.01,465.4,457.52,461.94,XOF
2015-02-13,459.83,462.8,457.99,462.16,XOF
2015-02-16,462.05,465.15,460.46,464.49,XOF
2015-02-17,462.47,467.93,461.91,467.03,XOF
2015-02-18,464.5,469.04,462.49,466.46,XOF
2015-02-19,464.43,468.08,458.9,463.13,XOF
2015-02-20,460.27,469.02,459.94,463.18,XOF
2015-02-23,460.64,463.51,458.79,462.25,XOF
2015-02-24,459.8,464.93,457.4,463.19,XOF
2015-02-25,462.99,469.06,462.44,466.99,XOF
2015-02-26,464.14,469.27,463.78,468.15,XOF
2015-02-27,468.03,473.07,467.29,470.5,XOF
2015-03-02,468.52,471.31,465.45,469.87,XOF
2015-03-03,467.42,475.01,467.04,470.95,XOF
2015-03-04,468.11,480.33,467.29,479.16,XOF
2015-03-05,476.34,481.62,474.21,479.42,XOF
2015-03-06,476.7,482.44,473.09,475.73,XOF
2015-03-09,473.24,477.6,473.09,476.47,XOF
2015-03-10,473.99,476.62,470.75,473.22,XOF
2015-03-11,470.82,484.93,469.64,483.08,XOF
2015-03-12,480.32,488.12,479.17,485.6,XOF
2015-03-13,482.35,485.69,477.12,481.88,XOF
2015-03-16,478.31,483.74,477.34,482.26,XOF
2015-03-17,479.06,488.16,478.24,486.51,XOF
2015-03-18,483.92,495.11,481.91,491.5,XOF
2015-03-19,489.54,491.86,482.26,484.75,XOF
2015-03-20,484.67,492.31,479.74,483.36,XOF
2015-03-23,481.07,486.49,478.79,484.89,XOF
2015-03-24,481.91,488.67,480.88,486.03,XOF
2015-03-25,482.92,486.84,481.14,485.18,XOF
2015-03-26,481.99,489.38,481.41,486.46,XOF
2015-03-27,483.5,486.77,476.28,479.29,XOF
2015-03-30,476.73,481.53,475.26,480.81,XOF
2015-03-31,478.35,481.8,474.24,480.39,XOF
2015-04-01,477.69,486.75,477.28,484.51,XOF
2015-04-02,481.77,485.13,478.2,483.02,XOF
2015-04-03,480.89,487.25,477.61,480.51,XOF
2015-04-06,479.18,482.96,477.15,482.81,XOF
2015-04-07,479.81,487.77,479.43,487.31,XOF
2015-04-08,484.91,489.42,482.38,485.5,XOF
2015-04-09,483.03,486.96,480.27,484.07,XOF
2015-04-10,481.69,484.69,478.26,484.5,XOF
2015-04-13,481.72,493.34,479.44,492.61,XOF
2015-04-14,492.25,501.1,492.18,499.42,XOF
2015-04-15,497.36,506.19,490.45,505.38,XOF
