Date,Open,High,Low,Close,Currency
2015-01-01,9.9501,9.9641,9.9266,9.9402,ZAR
2015-01-02,9.9387,10.0285,9.9228,9.9312,ZAR
2015-01-05,9.9296,9.9779,9.8951,9.9528,ZAR
2015-01-06,9.9481,10.0058,9.8793,9.897,ZAR
2015-01-07,9.8919,9.9248,9.8537,9.8843,ZAR
2015-01-08,9.8788,9.9056,9.7636,9.7925,ZAR
2015-01-09,9.7879,9.8218,9.6662,9.6869,ZAR
2015-01-12,9.6848,9.7107,9.6046,9.6258,ZAR
2015-01-13,9.6201,9.6629,9.5736,9.6438,ZAR
2015-01-14,9.6372,9.6958,9.528,9.5758,ZAR
2015-01-15,9.5704,9.7093,9.5506,9.6689,ZAR
2015-01-16,9.6631,9.6877,9.5806,9.6366,ZAR
2015-01-19,9.6377,9.7544,9.6321,9.7495,ZAR
2015-01-20,9.7397,9.7645,9.5594,9.5666,ZAR
2015-01-21,9.5633,9.5987,9.3059,9.33,ZAR
2015-01-22,9.3274,9.3671,9.1713,9.2081,ZAR
2015-01-23,9.2044,9.253,9.1613,9.1911,ZAR
2015-01-26,9.1681,9.2386,9.1538,9.1883,ZAR
2015-01-27,9.1818,9.3556,9.1551,9.3451,ZAR
2015-01-28,9.3392,9.3527,9.2,9.2375,ZAR
2015-01-29,9.2335,9.3031,9.1207,9.1576,ZAR
2015-01-30,9.1543,9.2006,9.0737,9.148,ZAR
2015-02-02,9.1429,9.1984,9.0771,9.1539,ZAR
2015-02-03,9.1478,9.202,9.0871,9.1663,ZAR
2015-02-04,9.1612,9.1991,9.058,9.126,ZAR
2015-02-05,9.1217,9.1529,9.054,9.0628,ZAR
2015-02-06,9.0584,9.2257,9.0501,9.1916,ZAR
2015-02-09,9.1743,9.3316,9.1706,9.2918,ZAR
2015-02-10,9.2862,9.3632,9.2545,9.2805,ZAR
2015-02-11,9.2787,9.4195,9.2632,9.3565,ZAR
2015-02-12,9.3517,9.4474,9.3448,9.3655,ZAR
2015-02-13,9.3593,9.4153,9.3151,9.3739,ZAR
2015-02-16,9.3693,9.406,9.3174,9.343,ZAR
2015-02-17,9.3387,9.4405,9.3289,9.4222,ZAR
2015-02-18,9.4158,9.4657,9.3006,9.3124,ZAR
2015-02-19,9.308,9.3553,9.2542,9.3454,ZAR
2015-02-20,9.3403,9.369,9.2629,9.2764,ZAR
2015-02-23,9.2695,9.3392,9.2226,9.2577,ZAR
2015-02-24,9.2501,9.2722,9.0978,9.1953,ZAR
2015-02-25,9.1888,9.2663,9.1616,9.2073,ZAR
2015-02-26,9.2028,9.2484,9.1306,9.2165,ZAR
2015-02-27,9.2111,9.3793,9.1954,9.3284,ZAR
2015-03-02,9.3409,9.3996,9.3059,9.3913,ZAR
2015-03-03,9.3866,9.4913,9.3508,9.4078,ZAR
2015-03-04,9.4039,9.5343,9.3769,9.5071,ZAR
2015-03-05,9.5031,9.5286,9.4115,9.4869,ZAR
2015-03-06,9.4824,9.6058,9.4196,9.5385,ZAR
2015-03-09,9.5323,9.639,9.5125,9.5932,ZAR
2015-03-10,9.5891,9.7817,9.5769,9.747,ZAR
2015-03-11,9.7423,9.7595,9.5809,9.629,ZAR
2015-03-12,9.6248,9.7069,9.5593,9.6945,ZAR
2015-03-13,9.6895,9.8,9.6353,9.7618,ZAR
2015-03-16,9.7491,9.7701,9.676,9.7052,ZAR
2015-03-17,9.6998,9.7363,9.6491,9.6626,ZAR
2015-03-18,9.6538,9.7047,9.5354,9.5985,ZAR
2015-03-19,9.5957,9.7048,9.5711,9.6796,ZAR
2015-03-20,9.6753,9.7097,9.5413,9.5725,ZAR
2015-03-23,9.5629,9.6295,9.4916,9.5035,ZAR
2015-03-24,9.5009,9.5539,9.4139,9.4454,ZAR
2015-03-25,9.4396,9.4922,9.394,9.4703,ZAR
2015-03-26,9.4633,9.6256,9.448,9.6108,ZAR
2015-03-27,9.6094,9.6431,9.5311,9.5523,ZAR
2015-03-30,9.5457,9.6109,9.5213,9.5907,ZAR
2015-03-31,9.5849,9.6042,9.5305,9.561,ZAR
2015-04-01,9.5582,9.5862,9.4738,9.4973,ZAR
2015-04-02,9.4941,9.5559,9.4649,9.5142,ZAR
2015-04-03,9.5076,9.5818,9.4314,9.4505,ZAR
2015-04-06,9.4685,9.4756,9.3792,9.4639,ZAR
2015-04-07,9.4569,9.5216,9.4345,9.5028,ZAR
2015-04-08,9.4983,9.517,9.3914,9.4216,ZAR
2015-04-09,9.4161,9.5018,9.3963,9.4985,ZAR
2015-04-10,9.4952,9.5473,9.4657,9.5435,ZAR
2015-04-13,9.532,9.6553,9.5229,9.6376,ZAR
2015-04-14,9.6291,9.6645,9.578,9.6178,ZAR
2015-04-15,9.614,9.8622,9.5976,9.8168,ZAR
2015-04-16,9.8088,9.8582,9.7625,9.817,ZAR
2015-04-17,9.8121,9.9397,9.776,9.8506,ZAR
2015-04-20,9.8659,9.9524,9.8252,9.9268,ZAR
2015-04-21,9.9223,9.9478,9.8392,9.8695,ZAR
2015-04-22,9.8634,10.0053,9.8472,9.9872,ZAR
2015-04-23,9.9828,10.0538,9.9514,10.0025,ZAR
2015-04-24,10.0,10.0874,9.9262,9.9557,ZAR
2015-04-27,9.9462,9.984,9.8817,9.9338,ZAR
2015-04-28,9.9264,9.9513,9.8083,9.8595,ZAR
2015-04-29,9.8538,9.876,9.7555,9.8073,ZAR
2015-04-30,9.8039,9.9002,9.7782,9.8646,ZAR
2015-05-01,9.8593,9.9314,9.8021,9.9186,ZAR
2015-05-04,9.9159,9.9794,9.8822,9.9704,ZAR
2015-05-05,9.9669,9.9991,9.9114,9.93,ZAR
2015-05-06,9.9242,10.0324,9.9003,9.9755,ZAR
2015-05-07,9.9701,10.0467,9.8773,9.9068,ZAR
2015-05-08,9.8986,10.0149,9.8293,9.8799,ZAR
2015-05-11,9.8522,9.9964,9.8317,9.9826,ZAR
2015-05-12,9.9813,10.0927,9.962,10.042,ZAR
2015-05-13,10.0354,10.0553,9.9046,9.9423,ZAR
2015-05-14,9.9352,9.9828,9.8081,9.8356,ZAR
2015-05-15,9.8297,9.8756,9.762,9.8181,ZAR
2015-05-18,9.8119,9.8563,9.7451,9.7681,ZAR
2015-05-19,9.7616,9.803,9.7094,9.7363,ZAR
2015-05-20,9.7303,9.7958,9.6856,9.6936,ZAR
2015-05-21,9.6864,9.7375,9.5979,9.691,ZAR
2015-05-22,9.6884,9.7252,9.6254,9.6872,ZAR
2015-05-25,9.6777,9.7462,9.6683,9.7153,ZAR
2015-05-26,9.7034,9.7457,9.6655,9.7193,ZAR
2015-05-27,9.713,9.7595,9.6411,9.657,ZAR
2015-05-28,9.6539,9.7765,9.6228,9.762,ZAR
2015-05-29,9.758,9.7943,9.6918,9.7653,ZAR
2015-06-01,9.7696,9.8488,9.7363,9.7927,ZAR
2015-06-02,9.7888,9.8797,9.7686,9.8404,ZAR
2015-06-03,9.8352,9.8965,9.8059,9.8856,ZAR
2015-06-04,9.8784,9.9694,9.8388,9.9019,ZAR
2015-06-05,9.8983,10.1231,9.8872,10.1134,ZAR
2015-06-08,10.1057,10.149,10.0427,10.0535,ZAR
2015-06-09,10.0491,10.1288,10.0403,10.0745,ZAR
2015-06-10,10.0689,10.1126,10.0,10.0452,ZAR
2015-06-11,10.0411,10.126,10.0064,10.0479,ZAR
2015-06-12,10.0443,10.135,10.0296,10.0474,ZAR
2015-06-15,10.0437,10.1029,10.0369,10.0617,ZAR
2015-06-16,10.0586,10.1284,10.019,10.0614,ZAR
2015-06-17,10.0586,10.1131,9.9965,10.0312,ZAR
2015-06-18,10.0232,10.0754,9.966,10.0198,ZAR
2015-06-19,10.0158,10.0541,9.8764,9.9161,ZAR
2015-06-22,9.9014,9.9514,9.8067,9.83,ZAR
2015-06-23,9.8265,9.9154,9.8136,9.8735,ZAR
2015-06-24,9.867,9.9076,9.7701,9.8178,ZAR
2015-06-25,9.8091,9.8385,9.7442,9.8184,ZAR
2015-06-26,9.8131,9.921,9.7899,9.9062,ZAR
2015-06-29,9.8821,10.0587,9.8481,9.8698,ZAR
2015-06-30,9.8654,9.9027,9.7088,9.7414,ZAR
2015-07-01,9.735,9.7759,9.7046,9.7291,ZAR
2015-07-02,9.7217,9.8189,9.7155,9.7691,ZAR
2015-07-03,9.7648,9.8416,9.7199,9.7984,ZAR
2015-07-06,9.7944,9.8742,9.768,9.7945,ZAR
2015-07-07,9.7905,9.8511,9.7653,9.8026,ZAR
2015-07-08,9.7952,9.8794,9.7663,9.8676,ZAR
2015-07-09,9.8608,9.8899,9.7936,9.8477,ZAR
2015-07-10,9.8411,9.8516,9.7222,9.8361,ZAR
