Date,Open,High,Low,Close,Currency
2015-01-01,1.1682,1.1698,1.1671,1.1688,CAD
2015-01-02,1.1685,1.1771,1.1653,1.1769,CAD
2015-01-05,1.1759,1.1767,1.1659,1.1682,CAD
2015-01-06,1.1677,1.1753,1.1641,1.1717,CAD
2015-01-07,1.1714,1.1735,1.1631,1.1648,CAD
2015-01-08,1.1644,1.1656,1.1552,1.1616,CAD
2015-01-09,1.1611,1.1713,1.1586,1.1702,CAD
2015-01-12,1.1698,1.1802,1.1655,1.1799,CAD
2015-01-13,1.1795,1.1817,1.1682,1.1721,CAD
2015-01-14,1.1718,1.1793,1.1697,1.1732,CAD
2015-01-15,1.1726,1.6088,1.1689,1.3935,CAD
2015-01-16,1.3929,1.4178,1.3586,1.3976,CAD
2015-01-19,1.3959,1.3971,1.3551,1.3573,CAD
2015-01-20,1.3566,1.3901,1.354,1.3832,CAD
2015-01-21,1.3821,1.4414,1.3763,1.4348,CAD
2015-01-22,1.4338,1.4486,1.4144,1.4209,CAD
2015-01-23,1.4196,1.4265,1.4075,1.4101,CAD
2015-01-26,1.4084,1.4214,1.3765,1.3817,CAD
2015-01-27,1.3808,1.3968,1.3585,1.3731,CAD
2015-01-28,1.3722,1.391,1.3653,1.3847,CAD
2015-01-29,1.3837,1.3853,1.3564,1.3658,CAD
2015-01-30,1.3651,1.3877,1.3609,1.3822,CAD
2015-02-02,1.3813,1.3817,1.3517,1.3531,CAD
2015-02-03,1.3531,1.3678,1.3392,1.343,CAD
2015-02-04,1.3426,1.364,1.3373,1.3577,CAD
2015-02-05,1.357,1.3623,1.3404,1.35,CAD
2015-02-06,1.3496,1.3572,1.3404,1.3535,CAD
2015-02-09,1.3491,1.3564,1.3425,1.3497,CAD
2015-02-10,1.3494,1.3622,1.3433,1.359,CAD
2015-02-11,1.3586,1.369,1.3542,1.3606,CAD
2015-02-12,1.3601,1.3639,1.3364,1.3435,CAD
2015-02-13,1.3422,1.351,1.3322,1.3353,CAD
2015-02-16,1.3324,1.3434,1.332,1.3371,CAD
2015-02-17,1.337,1.3388,1.3195,1.3226,CAD
2015-02-18,1.3217,1.3294,1.3131,1.322,CAD
2015-02-19,1.3217,1.3297,1.3141,1.3161,CAD
2015-02-20,1.3156,1.3351,1.3046,1.3318,CAD
2015-02-23,1.3327,1.3349,1.3183,1.3236,CAD
2015-02-24,1.3234,1.3331,1.312,1.3134,CAD
2015-02-25,1.313,1.3163,1.3046,1.3111,CAD
2015-02-26,1.3111,1.317,1.3053,1.3132,CAD
2015-02-27,1.3125,1.32,1.3088,1.3121,CAD
2015-03-02,1.3117,1.3139,1.3034,1.3082,CAD
2015-03-03,1.3073,1.3116,1.2928,1.3001,CAD
2015-03-04,1.299,1.3075,1.2856,1.2902,CAD
2015-03-05,1.29,1.2911,1.2796,1.2813,CAD
2015-03-06,1.2808,1.2882,1.273,1.2799,CAD
2015-03-09,1.2785,1.2829,1.2738,1.2783,CAD
2015-03-10,1.278,1.2805,1.2621,1.2694,CAD
2015-03-11,1.2692,1.2719,1.2568,1.2633,CAD
2015-03-12,1.2627,1.2691,1.2579,1.2656,CAD
2015-03-13,1.2656,1.2748,1.262,1.2721,CAD
2015-03-16,1.269,1.2752,1.2654,1.2674,CAD
2015-03-17,1.2672,1.2767,1.2653,1.2708,CAD
2015-03-18,1.2707,1.3022,1.2696,1.2843,CAD
2015-03-19,1.2835,1.2889,1.268,1.2847,CAD
2015-03-20,1.284,1.2968,1.2792,1.2869,CAD
2015-03-23,1.2844,1.2969,1.2828,1.2961,CAD
2015-03-24,1.2959,1.3115,1.2924,1.3039,CAD
2015-03-25,1.3035,1.3098,1.3001,1.304,CAD
2015-03-26,1.3037,1.3093,1.2917,1.2963,CAD
2015-03-27,1.2961,1.3149,1.2899,1.3117,CAD
2015-03-30,1.3109,1.3146,1.3062,1.3103,CAD
2015-03-31,1.3099,1.3165,1.3004,1.3045,CAD
2015-04-01,1.3038,1.3104,1.301,1.3055,CAD
2015-04-02,1.305,1.3177,1.3029,1.3083,CAD
2015-04-03,1.308,1.3148,1.3036,1.3115,CAD
2015-04-06,1.3075,1.3131,1.3007,1.3017,CAD
2015-04-07,1.3014,1.3046,1.2926,1.2946,CAD
2015-04-08,1.2941,1.3008,1.2891,1.2975,CAD
2015-04-09,1.297,1.2991,1.2854,1.2869,CAD
2015-04-10,1.2861,1.292,1.2814,1.2834,CAD
2015-04-13,1.2838,1.2908,1.28,1.2879,CAD
2015-04-14,1.2877,1.2898,1.2813,1.2833,CAD
2015-04-15,1.2829,1.2927,1.2705,1.2739,CAD
2015-04-16,1.2737,1.279,1.2648,1.2748,CAD
2015-04-17,1.2739,1.2881,1.2661,1.2869,CAD
2015-04-20,1.2833,1.2864,1.2719,1.278,CAD
2015-04-21,1.2774,1.2902,1.2712,1.2862,CAD
2015-04-22,1.2859,1.2872,1.2583,1.2594,CAD
2015-04-23,1.2587,1.2744,1.2583,1.2719,CAD
2015-04-24,1.2711,1.278,1.2651,1.2765,CAD
2015-04-27,1.2766,1.2782,1.2637,1.2658,CAD
2015-04-28,1.2657,1.2688,1.2562,1.2597,CAD
2015-04-29,1.2593,1.2834,1.2547,1.2789,CAD
2015-04-30,1.2784,1.2991,1.2759,1.2951,CAD
2015-05-01,1.2947,1.3092,1.2917,1.3038,CAD
2015-05-04,1.3032,1.3054,1.2915,1.2955,CAD
2015-05-05,1.2949,1.3038,1.2863,1.3026,CAD
2015-05-06,1.3021,1.3181,1.2965,1.3147,CAD
2015-05-07,1.3146,1.3312,1.3121,1.3158,CAD
2015-05-08,1.3153,1.3169,1.2948,1.2967,CAD
2015-05-11,1.297,1.3055,1.2909,1.2954,CAD
2015-05-12,1.2947,1.3091,1.2888,1.2931,CAD
2015-05-13,1.2929,1.3068,1.288,1.3043,CAD
2015-05-14,1.3036,1.3162,1.3013,1.3128,CAD
2015-05-15,1.3124,1.3172,1.2997,1.3115,CAD
2015-05-18,1.3086,1.3181,1.3058,1.3123,CAD
2015-05-19,1.3119,1.3145,1.3002,1.3056,CAD
2015-05-20,1.3052,1.3072,1.2979,1.3024,CAD
2015-05-21,1.3017,1.3108,1.2977,1.3021,CAD
2015-05-22,1.3014,1.3139,1.2967,1.3006,CAD
2015-05-25,1.2998,1.3067,1.2995,1.3028,CAD
2015-05-26,1.3026,1.3118,1.2952,1.3043,CAD
2015-05-27,1.304,1.3159,1.3018,1.3115,CAD
2015-05-28,1.3109,1.3227,1.3095,1.3178,CAD
2015-05-29,1.3175,1.3349,1.3114,1.3238,CAD
2015-06-01,1.3227,1.3291,1.3157,1.3239,CAD
2015-06-02,1.3233,1.3356,1.3219,1.3289,CAD
