Date,Open,High,Low,Close,Currency
2015-01-01,22.984,23.0515,22.938,23.0255,CZK
2015-01-02,22.994,23.083,22.978,23.04,CZK
2015-01-05,23.01,23.0915,22.851,23.0435,CZK
2015-01-06,23.019,23.0745,22.988,23.0335,CZK
2015-01-07,23.022,23.22,22.988,23.198,CZK
2015-01-08,23.189,23.3215,23.151,23.2205,CZK
2015-01-09,23.195,23.5145,23.167,23.4205,CZK
2015-01-12,23.404,23.7435,23.363,23.5775,CZK
2015-01-13,23.561,23.7375,23.308,23.3985,CZK
2015-01-14,23.372,23.5535,23.294,23.3445,CZK
2015-01-15,23.325,32.1555,23.299,27.9805,CZK
2015-01-16,27.947,28.5935,27.13,28.0755,CZK
2015-01-19,28.05,28.1025,27.289,27.3685,CZK
2015-01-20,27.351,27.7825,27.279,27.5805,CZK
2015-01-21,27.535,28.4205,27.445,27.9955,CZK
2015-01-22,27.967,28.3365,27.79,28.1445,CZK
2015-01-23,28.087,28.475,27.895,28.104,CZK
2015-01-26,28.053,28.296,27.229,27.36,CZK
2015-01-27,27.33,27.5905,26.681,27.1525,CZK
2015-01-28,27.124,27.3355,26.905,27.1715,CZK
2015-01-29,27.143,27.2065,26.484,26.5445,CZK
2015-01-30,26.515,26.8095,26.36,26.6625,CZK
2015-02-02,26.661,26.7005,26.155,26.3865,CZK
2015-02-03,26.354,26.545,26.101,26.171,CZK
2015-02-04,26.148,26.4835,26.086,26.4005,CZK
2015-02-05,26.362,26.5145,26.03,26.2295,CZK
2015-02-06,26.209,26.5045,26.027,26.4455,CZK
2015-02-09,26.355,26.6355,26.249,26.4945,CZK
2015-02-10,26.465,26.611,26.314,26.393,CZK
2015-02-11,26.363,26.5305,26.203,26.2705,CZK
2015-02-12,26.241,26.3635,25.955,26.0445,CZK
2015-02-13,26.001,26.1415,25.906,25.9775,CZK
2015-02-16,25.929,26.22,25.893,26.116,CZK
2015-02-17,26.091,26.2065,25.745,25.7985,CZK
2015-02-18,25.761,25.972,25.318,25.376,CZK
2015-02-19,25.349,25.596,25.232,25.361,CZK
2015-02-20,25.332,25.855,25.276,25.718,CZK
2015-02-23,25.599,25.747,25.379,25.483,CZK
2015-02-24,25.45,25.589,25.38,25.479,CZK
2015-02-25,25.45,25.544,25.344,25.45,CZK
2015-02-26,25.428,25.8755,25.348,25.8045,CZK
2015-02-27,25.768,25.911,25.701,25.799,CZK
2015-03-02,25.764,25.834,25.519,25.665,CZK
2015-03-03,25.628,25.7315,25.478,25.5645,CZK
2015-03-04,25.528,25.8805,25.491,25.7545,CZK
2015-03-05,25.723,25.7845,25.338,25.3885,CZK
2015-03-06,25.36,25.6655,25.295,25.5455,CZK
2015-03-09,25.526,25.623,25.377,25.496,CZK
2015-03-10,25.476,25.5955,25.373,25.5135,CZK
2015-03-11,25.508,25.7105,25.447,25.6275,CZK
2015-03-12,25.604,25.737,25.515,25.615,CZK
2015-03-13,25.581,25.9845,25.516,25.8835,CZK
2015-03-16,25.879,25.9125,25.487,25.5805,CZK
2015-03-17,25.558,25.6975,25.392,25.5355,CZK
2015-03-18,25.513,26.09,25.449,25.707,CZK
2015-03-19,25.683,26.0865,25.471,25.9905,CZK
2015-03-20,25.965,26.142,25.891,26.008,CZK
2015-03-23,25.924,26.0575,25.789,25.9025,CZK
2015-03-24,25.876,26.3205,25.804,26.1835,CZK
2015-03-25,26.155,26.2155,25.907,25.9915,CZK
2015-03-26,25.963,26.3335,25.926,26.2255,CZK
2015-03-27,26.193,26.371,26.103,26.255,CZK
2015-03-30,26.186,26.363,26.149,26.238,CZK
2015-03-31,26.207,26.4805,26.169,26.3985,CZK
2015-04-01,26.369,26.5515,26.3,26.5055,CZK
2015-04-02,26.473,26.5585,26.324,26.3805,CZK
2015-04-03,26.349,26.568,26.248,26.365,CZK
2015-04-06,26.371,26.435,26.049,26.144,CZK
2015-04-07,26.098,26.3535,26.089,26.2295,CZK
2015-04-08,26.2,26.3535,26.091,26.2875,CZK
2015-04-09,26.254,26.3915,26.108,26.3135,CZK
2015-04-10,26.279,26.4375,26.248,26.3295,CZK
2015-04-13,26.316,26.509,26.256,26.463,CZK
2015-04-14,26.435,26.5815,26.294,26.3645,CZK
2015-04-15,26.336,26.684,26.317,26.637,CZK
2015-04-16,26.608,26.761,26.493,26.685,CZK
2015-04-17,26.645,26.801,26.534,26.661,CZK
2015-04-20,26.631,26.8325,26.568,26.7005,CZK
2015-04-21,26.667,26.8225,26.625,26.7685,CZK
2015-04-22,26.738,26.831,26.256,26.309,CZK
2015-04-23,26.281,26.6075,26.264,26.5375,CZK
2015-04-24,26.509,26.619,26.382,26.48,CZK
2015-04-27,26.459,26.57,26.364,26.448,CZK
2015-04-28,26.42,26.522,26.091,26.152,CZK
2015-04-29,26.119,26.328,26.03,26.231,CZK
2015-04-30,26.202,26.3335,26.01,26.2385,CZK
2015-05-01,26.206,26.2715,26.064,26.1795,CZK
2015-05-04,26.16,26.3565,26.051,26.2955,CZK
2015-05-05,26.26,26.512,26.176,26.442,CZK
