Date,Open,High,Low,Close,Currency
2015-01-01,6.1887,6.1947,6.1836,6.1907,DKK
2015-01-02,6.1896,6.1982,6.1845,6.1937,DKK
2015-01-05,6.193,6.1969,6.1481,6.1927,DKK
2015-01-06,6.1908,6.1989,6.187,6.1963,DKK
2015-01-07,6.1949,6.2022,6.1806,6.1958,DKK
2015-01-08,6.1946,6.1985,6.1869,6.194,DKK
2015-01-09,6.1935,6.2001,6.1715,6.1981,DKK
2015-01-12,6.1947,6.1973,6.1886,6.195,DKK
2015-01-13,6.1944,6.1991,6.1885,6.1935,DKK
2015-01-14,6.1915,6.1981,6.181,6.1937,DKK
2015-01-15,6.1901,8.5378,6.1876,7.4453,DKK
2015-01-16,7.4434,7.6227,7.2484,7.4907,DKK
2015-01-19,7.4879,7.5038,7.2683,7.2807,DKK
2015-01-20,7.278,7.3896,7.2659,7.3495,DKK
2015-01-21,7.3481,7.5534,7.3306,7.446,DKK
2015-01-22,7.4454,7.5633,7.4043,7.5168,DKK
2015-01-23,7.5102,7.6168,7.5013,7.542,DKK
2015-01-26,7.5329,7.6064,7.318,7.3415,DKK
2015-01-27,7.3367,7.3901,7.1699,7.2423,DKK
2015-01-28,7.2371,7.3105,7.2094,7.2858,DKK
2015-01-29,7.2821,7.2945,7.106,7.1162,DKK
2015-01-30,7.1126,7.1871,7.0705,7.149,DKK
2015-02-02,7.1106,7.155,7.0232,7.0688,DKK
2015-02-03,7.0682,7.113,7.0041,7.016,DKK
2015-02-04,7.0135,7.1029,6.9998,7.0856,DKK
2015-02-05,7.0825,7.1102,6.9925,7.0407,DKK
2015-02-06,7.0391,7.1166,7.0149,7.1037,DKK
2015-02-09,7.0853,7.1471,7.0621,7.1159,DKK
2015-02-10,7.1146,7.1365,7.088,7.0978,DKK
2015-02-11,7.0957,7.1278,7.0616,7.0711,DKK
2015-02-12,7.0698,7.0962,6.9962,7.0134,DKK
2015-02-13,7.0084,7.0408,6.9898,7.0035,DKK
2015-02-16,6.9892,7.0566,6.9861,7.0333,DKK
2015-02-17,7.0327,7.0531,6.9566,6.9617,DKK
2015-02-18,6.9582,7.0031,6.9265,6.933,DKK
2015-02-19,6.9318,6.9407,6.8843,6.8967,DKK
2015-02-20,6.8948,7.0025,6.8804,6.9727,DKK
2015-02-23,6.9447,6.9814,6.9116,6.9307,DKK
2015-02-24,6.9306,6.9522,6.909,6.9224,DKK
2015-02-25,6.9208,6.944,6.9034,6.9305,DKK
2015-02-26,6.9307,7.0025,6.9132,6.9919,DKK
2015-02-27,6.9885,7.039,6.9744,6.9947,DKK
2015-03-02,6.989,6.9993,6.9353,6.9518,DKK
2015-03-03,6.944,6.966,6.9202,6.9394,DKK
2015-03-04,6.9338,7.0174,6.9269,6.9869,DKK
2015-03-05,6.9867,7.0021,6.9289,6.933,DKK
2015-03-06,6.9318,7.0065,6.9228,6.9608,DKK
2015-03-09,6.9547,6.9804,6.9451,6.9639,DKK
2015-03-10,6.9627,6.9919,6.9388,6.9684,DKK
2015-03-11,6.9672,7.0201,6.9604,7.0023,DKK
2015-03-12,7.0022,7.028,6.9772,6.9954,DKK
2015-03-13,6.9952,7.0947,6.9798,7.0739,DKK
2015-03-16,7.0566,7.08,6.9895,7.0068,DKK
2015-03-17,7.0049,7.0315,6.9844,6.9946,DKK
2015-03-18,6.9934,7.275,6.9832,7.1599,DKK
2015-03-19,7.1598,7.1757,6.9617,7.0583,DKK
2015-03-20,7.0579,7.0835,7.0336,7.0632,DKK
2015-03-23,7.0493,7.0774,7.0243,7.0509,DKK
2015-03-24,7.0481,7.1585,7.042,7.1297,DKK
2015-03-25,7.1285,7.1337,7.0764,7.0936,DKK
2015-03-26,7.0923,7.138,7.0808,7.1258,DKK
2015-03-27,7.1245,7.1639,7.1007,7.1357,DKK
2015-03-30,7.1329,7.1605,7.1138,7.1292,DKK
2015-03-31,7.1294,7.1724,7.1201,7.1588,DKK
2015-04-01,7.1564,7.1886,7.1388,7.1794,DKK
