Date,Open,High,Low,Close,Currency
2015-01-01,7.7967,7.8042,7.7896,7.8011,HKD
2015-01-02,7.8006,7.8092,7.7431,7.7466,HKD
2015-01-05,7.739,7.7495,7.6703,7.7018,HKD
2015-01-06,7.6997,7.7231,7.6675,7.6767,HKD
2015-01-07,7.675,7.6804,7.6174,7.6452,HKD
2015-01-08,7.644,7.6504,7.5891,7.6137,HKD
2015-01-09,7.6135,7.6489,7.5911,7.6441,HKD
2015-01-12,7.6433,7.6642,7.6066,7.6395,HKD
2015-01-13,7.6386,7.657,7.5857,7.5998,HKD
2015-01-14,7.5977,7.6478,7.5694,7.6121,HKD
2015-01-15,7.6078,10.4157,7.584,9.0332,HKD
2015-01-16,9.0313,9.1751,8.798,9.0393,HKD
2015-01-19,8.9978,9.0383,8.8045,8.8133,HKD
2015-01-20,8.8101,8.9299,8.7687,8.852,HKD
2015-01-21,8.8508,9.1215,8.833,9.0116,HKD
2015-01-22,9.0114,9.096,8.8498,8.8981,HKD
2015-01-23,8.8908,8.9337,8.7885,8.8023,HKD
2015-01-26,8.7921,8.8488,8.5653,8.5859,HKD
2015-01-27,8.5814,8.6768,8.458,8.5848,HKD
2015-01-28,8.5834,8.6308,8.5233,8.5618,HKD
2015-01-29,8.5575,8.5694,8.3749,8.3914,HKD
2015-01-30,8.3877,8.457,8.3419,8.4163,HKD
2015-02-02,8.4115,8.424,8.2899,8.3498,HKD
2015-02-03,8.3495,8.4418,8.3381,8.3871,HKD
2015-02-04,8.3861,8.4203,8.3514,8.3706,HKD
2015-02-05,8.3673,8.4199,8.3225,8.4161,HKD
2015-02-06,8.4146,8.4492,8.3389,8.378,HKD
2015-02-09,8.3506,8.4301,8.3365,8.3941,HKD
2015-02-10,8.3929,8.4141,8.3502,8.3703,HKD
2015-02-11,8.3682,8.4,8.3317,8.3516,HKD
2015-02-12,8.3414,8.3763,8.3002,8.3295,HKD
2015-02-13,8.3237,8.3684,8.3041,8.3188,HKD
2015-02-16,8.3037,8.3573,8.3037,8.3226,HKD
2015-02-17,8.3222,8.3514,8.273,8.2822,HKD
2015-02-18,8.2786,8.3277,8.2042,8.2341,HKD
2015-02-19,8.233,8.2688,8.164,8.1709,HKD
2015-02-20,8.1688,8.2735,8.1287,8.2486,HKD
2015-02-23,8.2174,8.2616,8.1357,8.1682,HKD
2015-02-24,8.168,8.1915,8.1377,8.1607,HKD
2015-02-25,8.1597,8.1987,8.1519,8.1784,HKD
2015-02-26,8.179,8.2101,8.1166,8.1372,HKD
2015-02-27,8.1334,8.2112,8.121,8.1358,HKD
2015-03-02,8.1297,8.1392,8.0768,8.0938,HKD
2015-03-03,8.0852,8.1165,8.0567,8.0694,HKD
2015-03-04,8.0632,8.0892,8.006,8.0515,HKD
2015-03-05,8.0518,8.0559,7.9526,7.9587,HKD
2015-03-06,7.9571,7.9847,7.8613,7.8652,HKD
2015-03-09,7.8576,7.9009,7.8504,7.8711,HKD
2015-03-10,7.8699,7.8751,7.755,7.7645,HKD
2015-03-11,7.7631,7.7859,7.6824,7.6988,HKD
2015-03-12,7.699,7.7841,7.6641,7.7513,HKD
2015-03-13,7.7515,7.7551,7.6763,7.7279,HKD
2015-03-16,7.7087,7.7472,7.6981,7.7046,HKD
2015-03-17,7.7029,7.7616,7.6901,7.714,HKD
2015-03-18,7.713,8.0564,7.6996,7.9299,HKD
2015-03-19,7.9298,7.9483,7.7638,7.8367,HKD
2015-03-20,7.836,7.9744,7.8268,7.9541,HKD
2015-03-23,7.9389,8.0463,7.8975,8.0277,HKD
2015-03-24,8.025,8.1319,7.9959,8.0947,HKD
2015-03-25,8.0934,8.1168,8.0594,8.0796,HKD
2015-03-26,8.0784,8.1715,8.0241,8.053,HKD
2015-03-27,8.0519,8.1116,7.9929,8.0656,HKD
2015-03-30,8.0618,8.0744,7.9976,8.0171,HKD
2015-03-31,8.0173,8.0297,7.94,7.9709,HKD
2015-04-01,7.9691,8.0388,7.9521,8.0191,HKD
2015-04-02,8.017,8.1071,8.0095,8.0774,HKD
2015-04-03,8.0759,8.1778,8.0608,8.1437,HKD
2015-04-06,8.1443,8.1615,8.068,8.087,HKD
2015-04-07,8.0846,8.111,8.0112,8.0249,HKD
2015-04-08,8.0177,8.0758,8.0079,8.0174,HKD
2015-04-09,8.0159,8.0234,7.9141,7.928,HKD
2015-04-10,7.9246,7.948,7.8696,7.9139,HKD
2015-04-13,7.913,7.941,7.8513,7.9244,HKD
2015-04-14,7.9235,8.0137,7.9065,7.9688,HKD
2015-04-15,7.9674,8.0457,7.9264,8.0366,HKD
