Date,Open,High,Low,Close,Currency
2015-01-01,128.13,128.35,127.98,128.25,ISK
2015-01-02,128.1,128.5,127.98,128.38,ISK
2015-01-05,128.18,128.43,127.24,128.22,ISK
2015-01-06,128.07,128.51,127.92,128.44,ISK
2015-01-07,128.28,128.53,127.99,128.36,ISK
2015-01-08,128.21,128.4,127.81,128.1,ISK
2015-01-09,127.97,128.2,127.45,128.0,ISK
2015-01-12,127.87,128.26,127.75,128.18,ISK
2015-01-13,128.02,128.29,127.79,128.11,ISK
2015-01-14,127.94,128.32,127.22,128.03,ISK
2015-01-15,127.83,176.43,127.48,153.42,ISK
2015-01-16,153.15,156.86,149.1,153.91,ISK
2015-01-19,153.68,154.04,149.42,149.8,ISK
2015-01-20,149.56,151.82,149.32,151.0,ISK
2015-01-21,150.83,155.33,150.43,153.26,ISK
2015-01-22,153.09,155.23,152.24,153.86,ISK
2015-01-23,153.58,155.53,152.53,153.41,ISK
2015-01-26,153.33,154.56,148.53,149.16,ISK
2015-01-27,148.91,150.17,145.8,147.31,ISK
2015-01-28,147.13,148.46,146.46,147.85,ISK
2015-01-29,147.59,148.06,143.97,144.34,ISK
2015-01-30,144.12,145.66,143.22,144.89,ISK
2015-02-02,144.77,145.09,142.11,143.15,ISK
2015-02-03,143.0,144.04,141.51,141.88,ISK
2015-02-04,141.65,143.53,141.36,143.12,ISK
2015-02-05,142.89,143.69,140.86,142.07,ISK
2015-02-06,141.89,143.2,141.48,142.94,ISK
2015-02-09,142.43,144.02,141.91,143.3,ISK
2015-02-10,143.13,143.63,142.42,142.8,ISK
2015-02-11,142.71,143.55,141.72,142.11,ISK
2015-02-12,142.08,142.7,140.7,141.21,ISK
2015-02-13,140.96,141.82,140.61,141.05,ISK
2015-02-16,140.65,142.25,140.52,141.75,ISK
2015-02-17,141.54,142.18,140.04,140.34,ISK
2015-02-18,140.12,141.11,139.4,140.1,ISK
2015-02-19,139.98,140.18,138.53,138.92,ISK
2015-02-20,138.74,140.61,138.44,140.1,ISK
2015-02-23,139.99,140.28,138.59,139.26,ISK
2015-02-24,139.0,139.83,138.68,139.02,ISK
2015-02-25,138.84,139.34,138.51,139.05,ISK
2015-02-26,138.92,140.25,138.56,139.95,ISK
2015-02-27,139.72,140.76,139.37,139.9,ISK
2015-03-02,139.52,140.14,138.59,139.39,ISK
2015-03-03,139.18,139.67,138.54,139.04,ISK
2015-03-04,138.86,140.39,138.65,139.72,ISK
2015-03-05,139.57,140.07,138.39,138.61,ISK
2015-03-06,138.44,139.76,138.05,138.87,ISK
2015-03-09,138.85,139.34,138.4,138.98,ISK
2015-03-10,138.8,139.34,138.01,138.68,ISK
2015-03-11,138.51,139.29,137.83,138.69,ISK
2015-03-12,138.55,139.18,137.79,138.28,ISK
2015-03-13,138.14,140.14,137.72,139.67,ISK
2015-03-16,139.48,139.93,137.65,138.15,ISK
2015-03-17,137.96,138.7,137.63,138.11,ISK
2015-03-18,137.94,140.39,137.79,138.95,ISK
2015-03-19,138.79,140.49,137.78,140.08,ISK
2015-03-20,139.93,141.38,139.58,140.94,ISK
2015-03-23,140.61,141.32,140.08,140.45,ISK
