Date,Open,High,Low,Close,Currency
2015-01-01,0.7103,0.7114,0.7097,0.7111,JOD
2015-01-02,0.7108,0.7121,0.7068,0.7086,JOD
2015-01-05,0.7084,0.7093,0.7014,0.7046,JOD
2015-01-06,0.7041,0.7071,0.7011,0.7024,JOD
2015-01-07,0.7018,0.703,0.6962,0.6992,JOD
2015-01-08,0.6987,0.6997,0.6936,0.6964,JOD
2015-01-09,0.6959,0.6996,0.6939,0.6989,JOD
2015-01-12,0.6987,0.7011,0.6956,0.6989,JOD
2015-01-13,0.6986,0.7004,0.6939,0.6956,JOD
2015-01-14,0.6951,0.6997,0.6925,0.6964,JOD
2015-01-15,0.6956,0.9526,0.6933,0.8258,JOD
2015-01-16,0.8251,0.8385,0.804,0.8261,JOD
2015-01-19,0.8257,0.8266,0.805,0.8062,JOD
2015-01-20,0.8054,0.8167,0.8016,0.8097,JOD
2015-01-21,0.8092,0.8345,0.8076,0.8245,JOD
2015-01-22,0.8241,0.8321,0.8095,0.8142,JOD
2015-01-23,0.8132,0.8175,0.8038,0.8051,JOD
2015-01-26,0.8045,0.8096,0.7832,0.7854,JOD
2015-01-27,0.7847,0.7939,0.7734,0.7853,JOD
2015-01-28,0.7849,0.7897,0.7793,0.7834,JOD
2015-01-29,0.7825,0.7839,0.7654,0.7673,JOD
2015-01-30,0.7666,0.7733,0.7625,0.7696,JOD
2015-02-02,0.7688,0.7703,0.7573,0.7632,JOD
2015-02-03,0.7628,0.7722,0.7617,0.7672,JOD
2015-02-04,0.7666,0.7706,0.7636,0.7659,JOD
2015-02-05,0.7652,0.7708,0.7611,0.7704,JOD
2015-02-06,0.7698,0.7733,0.7629,0.7666,JOD
2015-02-09,0.7641,0.7715,0.7627,0.7682,JOD
2015-02-10,0.7677,0.77,0.7638,0.766,JOD
2015-02-11,0.7655,0.7688,0.762,0.7643,JOD
2015-02-12,0.7637,0.7666,0.7593,0.7624,JOD
2015-02-13,0.7616,0.7659,0.7594,0.7608,JOD
2015-02-16,0.7592,0.7644,0.7592,0.761,JOD
2015-02-17,0.7607,0.7636,0.7561,0.7572,JOD
2015-02-18,0.7565,0.7615,0.7498,0.7529,JOD
2015-02-19,0.7525,0.7559,0.7459,0.7469,JOD
2015-02-20,0.7463,0.7563,0.7428,0.7535,JOD
2015-02-23,0.754,0.755,0.7434,0.7468,JOD
2015-02-24,0.7464,0.7489,0.7434,0.7461,JOD
2015-02-25,0.7456,0.7494,0.7444,0.7469,JOD
2015-02-26,0.7465,0.7499,0.7409,0.7433,JOD
2015-02-27,0.7426,0.75,0.7412,0.7428,JOD
2015-03-02,0.7417,0.7432,0.7372,0.7391,JOD
2015-03-03,0.7386,0.7415,0.7358,0.737,JOD
2015-03-04,0.7361,0.7389,0.731,0.7354,JOD
2015-03-05,0.735,0.7358,0.7257,0.7269,JOD
2015-03-06,0.7265,0.729,0.7176,0.7183,JOD
2015-03-09,0.7173,0.7213,0.7163,0.7186,JOD
2015-03-10,0.7181,0.7189,0.7076,0.7087,JOD
2015-03-11,0.7082,0.7105,0.7,0.7017,JOD
2015-03-12,0.7015,0.7096,0.6986,0.7065,JOD
2015-03-13,0.7059,0.7067,0.6995,0.7046,JOD
2015-03-16,0.7043,0.7066,0.7017,0.7029,JOD
2015-03-17,0.7024,0.708,0.7009,0.7039,JOD
2015-03-18,0.7035,0.7355,0.7027,0.724,JOD
2015-03-19,0.7236,0.7255,0.7089,0.7157,JOD
2015-03-20,0.7152,0.7286,0.7146,0.7266,JOD
2015-03-23,0.7247,0.7351,0.7214,0.7334,JOD
2015-03-24,0.733,0.7431,0.7305,0.7392,JOD
2015-03-25,0.7387,0.7415,0.7356,0.738,JOD
2015-03-26,0.7375,0.7466,0.7326,0.7355,JOD
2015-03-27,0.735,0.741,0.7298,0.7368,JOD
2015-03-30,0.7361,0.7376,0.7299,0.7323,JOD
2015-03-31,0.732,0.7334,0.7251,0.7284,JOD
2015-04-01,0.728,0.7349,0.7263,0.7331,JOD
2015-04-02,0.7324,0.7409,0.7317,0.7382,JOD
2015-04-03,0.7376,0.7474,0.7362,0.7443,JOD
2015-04-06,0.7436,0.7459,0.7367,0.7391,JOD
2015-04-07,0.7382,0.7412,0.7318,0.7334,JOD
2015-04-08,0.7325,0.7384,0.7317,0.7329,JOD
2015-04-09,0.7324,0.7335,0.723,0.7247,JOD
2015-04-10,0.724,0.7265,0.7189,0.7234,JOD
2015-04-13,0.7222,0.7257,0.7173,0.7244,JOD
2015-04-14,0.7238,0.7324,0.7223,0.7282,JOD
2015-04-15,0.7276,0.7352,0.7241,0.7344,JOD
2015-04-16,0.7339,0.7425,0.728,0.741,JOD
2015-04-17,0.7402,0.7464,0.738,0.7442,JOD
2015-04-20,0.7415,0.7459,0.737,0.7406,JOD
2015-04-21,0.7401,0.7451,0.735,0.7418,JOD
2015-04-22,0.7405,0.7453,0.7284,0.7289,JOD
2015-04-23,0.7284,0.7431,0.7282,0.7415,JOD
2015-04-24,0.7411,0.7449,0.7386,0.7424,JOD
2015-04-27,0.742,0.7462,0.738,0.7419,JOD
2015-04-28,0.7415,0.7455,0.7372,0.7416,JOD
2015-04-29,0.7412,0.7584,0.7389,0.7537,JOD
2015-04-30,0.7533,0.7608,0.7485,0.7594,JOD
2015-05-01,0.7586,0.7634,0.7562,0.7595,JOD
2015-05-04,0.7591,0.7608,0.7539,0.7587,JOD
2015-05-05,0.7579,0.7671,0.7516,0.765,JOD
2015-05-06,0.7643,0.7773,0.7628,0.7732,JOD
2015-05-07,0.7728,0.7812,0.7669,0.7688,JOD
2015-05-08,0.7681,0.7702,0.7593,0.7611,JOD
2015-05-11,0.7596,0.7622,0.7562,0.7581,JOD
2015-05-12,0.7579,0.7695,0.7562,0.7627,JOD
2015-05-13,0.7624,0.7737,0.7614,0.7726,JOD
2015-05-14,0.7722,0.7801,0.7712,0.7759,JOD
2015-05-15,0.7755,0.7774,0.7643,0.7732,JOD
2015-05-18,0.7711,0.7737,0.7639,0.7644,JOD
2015-05-19,0.7642,0.7662,0.7533,0.7557,JOD
2015-05-20,0.755,0.7586,0.7522,0.7557,JOD
2015-05-21,0.7552,0.7613,0.754,0.7562,JOD
2015-05-22,0.7557,0.7631,0.7481,0.7504,JOD
2015-05-25,0.7497,0.7533,0.7481,0.7496,JOD
2015-05-26,0.749,0.7498,0.7421,0.7431,JOD
2015-05-27,0.7427,0.7488,0.7412,0.7462,JOD
2015-05-28,0.7455,0.7521,0.7434,0.7507,JOD
2015-05-29,0.7503,0.7579,0.7464,0.7535,JOD
2015-06-01,0.753,0.7541,0.7463,0.749,JOD
2015-06-02,0.7484,0.7609,0.7477,0.7591,JOD
2015-06-03,0.7587,0.7613,0.7513,0.7587,JOD
2015-06-04,0.758,0.7636,0.7555,0.7588,JOD
2015-06-05,0.7582,0.7613,0.7437,0.7532,JOD
2015-06-08,0.7496,0.7645,0.7496,0.7631,JOD
2015-06-09,0.7625,0.7666,0.7584,0.761,JOD
2015-06-10,0.7602,0.7678,0.7593,0.7609,JOD
2015-06-11,0.7598,0.7622,0.7525,0.7592,JOD
2015-06-12,0.7584,0.767,0.7536,0.763,JOD
2015-06-15,0.7625,0.7642,0.7544,0.7626,JOD
2015-06-16,0.7621,0.7646,0.758,0.7603,JOD
