Date,Open,High,Low,Close,Currency
2015-01-01,90.85,91.14,90.77,91.1,KES
2015-01-02,90.9,91.21,90.45,90.63,KES
2015-01-05,90.4,90.72,89.75,90.16,KES
2015-01-06,89.94,90.71,89.76,89.99,KES
2015-01-07,89.78,90.29,89.44,89.86,KES
2015-01-08,89.7,89.93,88.9,89.5,KES
2015-01-09,89.36,89.92,88.97,89.87,KES
2015-01-12,89.72,90.14,89.35,89.96,KES
2015-01-13,89.86,90.21,89.17,89.45,KES
2015-01-14,89.28,90.2,89.12,89.58,KES
2015-01-15,89.38,122.74,89.03,106.44,KES
2015-01-16,106.24,108.28,103.75,106.79,KES
2015-01-19,106.12,106.7,103.99,104.14,KES
2015-01-20,104.05,105.79,103.55,104.59,KES
2015-01-21,104.35,108.08,104.23,106.56,KES
2015-01-22,106.38,107.81,104.57,105.36,KES
2015-01-23,105.05,105.84,103.82,104.28,KES
2015-01-26,103.88,104.81,101.22,101.62,KES
2015-01-27,101.41,102.81,100.14,101.5,KES
2015-01-28,101.21,102.18,100.6,101.34,KES
2015-01-29,101.13,101.42,98.94,99.32,KES
2015-01-30,99.11,99.98,98.47,99.5,KES
2015-02-02,98.81,99.64,97.83,98.82,KES
2015-02-03,98.6,99.56,98.45,98.97,KES
2015-02-04,98.69,99.49,98.45,98.96,KES
2015-02-05,98.7,99.52,97.96,99.17,KES
2015-02-06,98.99,99.72,98.24,98.71,KES
2015-02-09,98.13,99.54,97.97,99.06,KES
2015-02-10,98.89,99.56,98.51,98.83,KES
2015-02-11,98.65,99.34,98.37,98.71,KES
2015-02-12,98.43,99.03,97.99,98.35,KES
2015-02-13,98.12,98.84,97.98,98.25,KES
2015-02-16,97.87,98.74,97.87,98.2,KES
2015-02-17,98.14,98.44,97.36,97.66,KES
2015-02-18,97.46,98.16,96.44,96.95,KES
2015-02-19,96.78,97.54,96.1,96.31,KES
2015-02-20,96.19,97.53,95.74,97.16,KES
2015-02-23,96.64,97.32,95.76,96.3,KES
2015-02-24,96.15,96.54,95.79,96.18,KES
2015-02-25,96.06,96.73,95.96,96.31,KES
2015-02-26,96.16,96.92,95.6,96.01,KES
2015-02-27,95.81,96.78,95.6,95.88,KES
2015-03-02,95.7,96.09,95.13,95.44,KES
2015-03-03,95.18,95.81,94.73,95.05,KES
2015-03-04,94.82,95.38,94.0,94.63,KES
2015-03-05,94.48,94.77,93.31,93.59,KES
2015-03-06,93.42,94.05,92.24,92.43,KES
2015-03-09,92.2,93.14,92.11,92.66,KES
2015-03-10,92.49,92.75,91.35,91.64,KES
2015-03-11,91.43,92.03,90.52,90.85,KES
2015-03-12,90.71,91.95,90.32,91.39,KES
2015-03-13,91.29,91.59,90.41,91.35,KES
2015-03-16,90.99,92.18,90.88,91.44,KES
2015-03-17,91.27,92.25,90.91,91.67,KES
2015-03-18,91.46,95.38,91.13,93.87,KES
2015-03-19,93.72,94.13,91.82,92.82,KES
2015-03-20,92.62,94.74,92.54,94.38,KES
2015-03-23,94.04,95.33,93.48,95.11,KES
2015-03-24,94.93,96.32,94.61,95.86,KES
2015-03-25,95.69,96.25,95.29,95.64,KES
2015-03-26,95.53,96.98,95.15,95.7,KES
2015-03-27,95.53,96.45,94.73,95.86,KES
2015-03-30,95.67,96.14,95.05,95.32,KES
2015-03-31,95.22,95.5,94.54,95.0,KES
