Date,Open,High,Low,Close,Currency
2015-01-01,9.0847,9.1251,9.0699,9.1192,MAD
2015-01-02,9.1036,9.1432,9.0583,9.1132,MAD
2015-01-05,9.0974,9.1268,9.0342,9.1039,MAD
2015-01-06,9.0867,9.1314,9.0492,9.1209,MAD
2015-01-07,9.1054,9.1349,9.0402,9.1053,MAD
2015-01-08,9.0892,9.12,9.0349,9.0962,MAD
2015-01-09,9.081,9.1291,9.0264,9.1008,MAD
2015-01-12,9.0666,9.1356,9.0379,9.0898,MAD
2015-01-13,9.0623,9.1139,9.025,9.0986,MAD
2015-01-14,9.092,9.1166,9.0251,9.0998,MAD
2015-01-15,9.0906,12.5595,9.0326,10.9002,MAD
2015-01-16,10.8657,11.1144,10.5769,10.9563,MAD
2015-01-19,10.9168,10.9702,10.5962,10.6685,MAD
2015-01-20,10.6597,10.8308,10.5907,10.7559,MAD
2015-01-21,10.7375,11.0593,10.6845,10.9059,MAD
2015-01-22,10.9006,11.039,10.8069,10.9494,MAD
2015-01-23,10.9354,11.0706,10.8551,10.9531,MAD
2015-01-26,10.9333,11.0149,10.5874,10.6635,MAD
2015-01-27,10.641,10.738,10.3765,10.5557,MAD
2015-01-28,10.5424,10.6583,10.4424,10.5959,MAD
2015-01-29,10.5741,10.6086,10.292,10.3603,MAD
2015-01-30,10.3509,10.4702,10.2447,10.4066,MAD
2015-02-02,10.3649,10.3988,10.1852,10.2935,MAD
2015-02-03,10.2746,10.354,10.1776,10.2388,MAD
2015-02-04,10.2329,10.352,10.1541,10.3163,MAD
2015-02-05,10.2957,10.3514,10.1378,10.2767,MAD
2015-02-06,10.2702,10.3844,10.183,10.3278,MAD
2015-02-09,10.281,10.4078,10.2442,10.3688,MAD
2015-02-10,10.3521,10.382,10.2595,10.3284,MAD
2015-02-11,10.3213,10.3708,10.2412,10.2946,MAD
2015-02-12,10.2775,10.3448,10.1551,10.2069,MAD
2015-02-13,10.1697,10.259,10.1341,10.1969,MAD
2015-02-16,10.1938,10.2897,10.1363,10.2262,MAD
2015-02-17,10.196,10.2663,10.0862,10.142,MAD
2015-02-18,10.1328,10.2373,10.0344,10.079,MAD
2015-02-19,10.0419,10.1206,9.9763,10.0342,MAD
2015-02-20,10.0274,10.1517,9.9771,10.1189,MAD
2015-02-23,10.0873,10.1103,9.9795,10.0544,MAD
2015-02-24,10.0502,10.0958,9.9837,10.0392,MAD
2015-02-25,10.0089,10.0864,9.9759,10.0468,MAD
2015-02-26,10.0367,10.1281,9.9813,10.1134,MAD
2015-02-27,10.1044,10.1717,10.0537,10.1152,MAD
2015-03-02,10.065,10.1321,9.9953,10.0936,MAD
2015-03-03,10.0515,10.1153,9.9827,10.0705,MAD
2015-03-04,10.048,10.1853,9.9898,10.079,MAD
2015-03-05,10.0362,10.1211,9.9702,10.0075,MAD
2015-03-06,10.0015,10.0873,9.9613,9.9995,MAD
2015-03-09,9.9843,10.0586,9.9502,10.0197,MAD
2015-03-10,10.0141,10.036,9.9231,9.9947,MAD
2015-03-11,9.9892,10.0298,9.9422,10.009,MAD
2015-03-12,10.005,10.05,9.9583,10.014,MAD
2015-03-13,10.01,10.122,9.9572,10.0921,MAD
2015-03-16,10.0784,10.1012,9.9554,10.0084,MAD
2015-03-17,9.9897,10.0595,9.9454,10.0005,MAD
2015-03-18,9.995,10.215,9.9632,10.0719,MAD
2015-03-19,10.0533,10.1504,9.975,10.1187,MAD
2015-03-20,10.1141,10.1963,10.0651,10.1509,MAD
2015-03-23,10.1006,10.1822,10.0526,10.1537,MAD
2015-03-24,10.1459,10.2991,10.0937,10.2547,MAD
2015-03-25,10.2489,10.2603,10.1356,10.2027,MAD
2015-03-26,10.1967,10.2962,10.1539,10.2334,MAD
2015-03-27,10.2258,10.2849,10.1581,10.2442,MAD
2015-03-30,10.2371,10.2823,10.1602,10.2244,MAD
2015-03-31,10.1942,10.2794,10.1655,10.2428,MAD
2015-04-01,10.2358,10.301,10.1762,10.2808,MAD
2015-04-02,10.2641,10.3138,10.2162,10.2667,MAD
2015-04-03,10.2607,10.3139,10.1894,10.2666,MAD
2015-04-06,10.2332,10.2988,10.1862,10.2492,MAD
2015-04-07,10.2391,10.289,10.1779,10.2506,MAD
2015-04-08,10.2372,10.286,10.1788,10.2701,MAD
2015-04-09,10.2641,10.2781,10.1728,10.2465,MAD
2015-04-10,10.2383,10.2959,10.1929,10.2711,MAD
2015-04-13,10.2655,10.32,10.1977,10.3031,MAD
2015-04-14,10.2985,10.3356,10.2518,10.3017,MAD
2015-04-15,10.2929,10.3843,10.2567,10.3728,MAD
2015-04-16,10.35,10.4376,10.2891,10.4128,MAD
2015-04-17,10.4001,10.477,10.3451,10.4293,MAD
2015-04-20,10.3903,10.4686,10.3634,10.4183,MAD
2015-04-21,10.4095,10.4741,10.3701,10.4384,MAD
2015-04-22,10.4296,10.4634,10.2387,10.2561,MAD
2015-04-23,10.2402,10.4044,10.2349,10.3789,MAD
2015-04-24,10.3689,10.4354,10.3058,10.3588,MAD
2015-04-27,10.3429,10.404,10.2942,10.3452,MAD
2015-04-28,10.3328,10.3786,10.2375,10.2845,MAD
2015-04-29,10.2745,10.4088,10.2396,10.3689,MAD
2015-04-30,10.3598,10.4188,10.2895,10.3977,MAD
2015-05-01,10.3834,10.4248,10.3402,10.4072,MAD
2015-05-04,10.3833,10.443,10.3137,10.4283,MAD
2015-05-05,10.4137,10.5114,10.3263,10.4897,MAD
2015-05-06,10.4781,10.5598,10.4311,10.5065,MAD
2015-05-07,10.4931,10.6166,10.4441,10.4946,MAD
2015-05-08,10.4828,10.5276,10.3755,10.4292,MAD
2015-05-11,10.4018,10.4636,10.356,10.4164,MAD
2015-05-12,10.3892,10.5035,10.37,10.4314,MAD
