Date,Open,High,Low,Close,Currency
2015-01-01,14.8255,14.8493,14.8121,14.8434,MXN
2015-01-02,14.8421,14.9081,14.7738,14.8142,MXN
2015-01-05,14.8044,14.8897,14.6844,14.8369,MXN
2015-01-06,14.8278,14.889,14.6903,14.7458,MXN
2015-01-07,14.7387,14.7525,14.4846,14.5049,MXN
2015-01-08,14.4998,14.5129,14.3424,14.4001,MXN
2015-01-09,14.3969,14.4752,14.2714,14.3971,MXN
2015-01-12,14.4016,14.4668,14.3473,14.4361,MXN
2015-01-13,14.432,14.4723,14.2616,14.3254,MXN
2015-01-14,14.3179,14.4447,14.2039,14.2198,MXN
2015-01-15,14.2092,19.5242,14.1816,17.0818,MXN
2015-01-16,17.0777,17.2999,16.6404,16.9768,MXN
2015-01-19,16.9021,17.0369,16.5959,16.6189,MXN
2015-01-20,16.611,16.8707,16.5741,16.7399,MXN
2015-01-21,16.7362,17.2155,16.6779,17.1541,MXN
2015-01-22,17.1523,17.2717,16.6779,16.7923,MXN
2015-01-23,16.7735,16.87,16.5998,16.636,MXN
2015-01-26,16.6222,16.7325,16.099,16.142,MXN
2015-01-27,16.132,16.3771,15.8958,16.1894,MXN
2015-01-28,16.1848,16.3545,16.0836,16.2967,MXN
2015-01-29,16.2822,16.3107,15.9702,16.023,MXN
2015-01-30,16.0107,16.3503,15.8958,16.273,MXN
2015-02-02,16.1814,16.2854,15.9846,16.0121,MXN
2015-02-03,16.0083,16.1137,15.8286,15.8493,MXN
2015-02-04,15.8438,16.1261,15.7917,16.0789,MXN
2015-02-05,16.0702,16.1409,15.8781,16.0555,MXN
2015-02-06,16.048,16.1974,15.9464,16.0452,MXN
2015-02-09,15.9883,16.0965,15.946,16.059,MXN
2015-02-10,16.0522,16.1819,15.9746,16.1465,MXN
2015-02-11,16.1392,16.3343,16.0652,16.2342,MXN
2015-02-12,16.2267,16.2835,15.9773,16.0288,MXN
2015-02-13,16.0145,16.1498,15.9265,15.9653,MXN
2015-02-16,15.9337,16.0688,15.9269,16.0088,MXN
2015-02-17,16.0034,16.0237,15.8698,15.92,MXN
2015-02-18,15.9079,16.003,15.7277,15.775,MXN
2015-02-19,15.7696,15.8792,15.6959,15.8001,MXN
2015-02-20,15.7941,16.0418,15.6975,15.9767,MXN
2015-02-23,15.9148,16.0042,15.789,15.8893,MXN
2015-02-24,15.8864,15.9453,15.6529,15.6886,MXN
2015-02-25,15.6843,15.7671,15.6548,15.7409,MXN
2015-02-26,15.7388,15.7731,15.618,15.7358,MXN
2015-02-27,15.7258,15.8773,15.6218,15.6831,MXN
2015-03-02,15.6709,15.7166,15.5912,15.6706,MXN
2015-03-03,15.6495,15.7258,15.5413,15.6019,MXN
2015-03-04,15.5869,15.7629,15.5502,15.629,MXN
2015-03-05,15.6278,15.6769,15.5069,15.5921,MXN
