Date,Open,High,Low,Close,Currency
2015-01-01,0.3871,0.3876,0.3867,0.3874,OMR
2015-01-02,0.3872,0.3876,0.3843,0.3845,OMR
2015-01-05,0.3844,0.3847,0.3807,0.3823,OMR
2015-01-06,0.3821,0.3834,0.3807,0.3811,OMR
2015-01-07,0.381,0.3813,0.3781,0.3795,OMR
2015-01-08,0.3794,0.3798,0.3766,0.3779,OMR
2015-01-09,0.3779,0.3797,0.3768,0.3795,OMR
2015-01-12,0.3794,0.3805,0.3776,0.3793,OMR
2015-01-13,0.3793,0.3801,0.3766,0.3774,OMR
2015-01-14,0.3772,0.3797,0.3758,0.3779,OMR
2015-01-15,0.3777,0.5171,0.3763,0.4486,OMR
2015-01-16,0.4485,0.4556,0.437,0.449,OMR
2015-01-19,0.4488,0.4491,0.4373,0.4377,OMR
2015-01-20,0.4375,0.4435,0.4355,0.4396,OMR
2015-01-21,0.4395,0.4531,0.4387,0.4477,OMR
2015-01-22,0.4476,0.4516,0.4394,0.4418,OMR
2015-01-23,0.4414,0.4436,0.4365,0.4371,OMR
2015-01-26,0.4368,0.4394,0.4254,0.4264,OMR
2015-01-27,0.4262,0.431,0.42,0.4264,OMR
2015-01-28,0.4263,0.4287,0.4233,0.4253,OMR
2015-01-29,0.425,0.4256,0.4159,0.4168,OMR
2015-01-30,0.4166,0.42,0.4144,0.418,OMR
2015-02-02,0.4178,0.4184,0.4116,0.4146,OMR
2015-02-03,0.4146,0.4191,0.4139,0.4164,OMR
2015-02-04,0.4163,0.4182,0.4146,0.4157,OMR
2015-02-05,0.4155,0.4181,0.4133,0.4179,OMR
2015-02-06,0.4178,0.4196,0.4141,0.416,OMR
2015-02-09,0.4148,0.4186,0.4137,0.4168,OMR
2015-02-10,0.4167,0.4178,0.4146,0.4156,OMR
2015-02-11,0.4155,0.417,0.4136,0.4146,OMR
2015-02-12,0.4145,0.4158,0.412,0.4135,OMR
2015-02-13,0.4133,0.4154,0.4122,0.4129,OMR
