Date,Open,High,Low,Close,Currency
2015-01-01,45.0,45.08,44.96,45.06,PHP
2015-01-02,45.02,45.09,44.73,44.8,PHP
2015-01-05,44.72,44.89,44.41,44.74,PHP
2015-01-06,44.68,44.82,44.49,44.59,PHP
2015-01-07,44.55,44.64,44.3,44.45,PHP
2015-01-08,44.41,44.47,44.0,44.08,PHP
2015-01-09,44.07,44.31,43.94,44.27,PHP
2015-01-12,44.23,44.35,44.07,44.2,PHP
2015-01-13,44.19,44.28,43.72,43.79,PHP
2015-01-14,43.77,44.02,43.57,43.85,PHP
2015-01-15,43.79,59.83,43.52,52.02,PHP
2015-01-16,51.96,52.83,50.61,52.06,PHP
2015-01-19,51.76,52.0,50.6,50.66,PHP
2015-01-20,50.63,51.36,50.55,50.9,PHP
2015-01-21,50.85,52.16,50.59,51.57,PHP
2015-01-22,51.54,51.91,50.44,50.75,PHP
2015-01-23,50.68,50.97,49.82,50.05,PHP
2015-01-26,49.94,50.34,48.67,48.82,PHP
2015-01-27,48.77,49.36,48.03,48.8,PHP
2015-01-28,48.75,49.15,48.47,48.78,PHP
2015-01-29,48.71,48.8,47.54,47.66,PHP
2015-01-30,47.61,48.27,47.46,47.98,PHP
2015-02-02,47.68,48.02,47.19,47.57,PHP
2015-02-03,47.54,47.94,47.4,47.59,PHP
2015-02-04,47.58,47.91,47.47,47.63,PHP
2015-02-05,47.6,47.93,47.34,47.9,PHP
2015-02-06,47.85,48.2,47.51,47.82,PHP
2015-02-09,47.62,48.25,47.54,48.05,PHP
2015-02-10,48.02,48.13,47.8,47.94,PHP
2015-02-11,47.9,48.09,47.67,47.89,PHP
2015-02-12,47.81,48.0,47.42,47.56,PHP
2015-02-13,47.5,47.79,47.36,47.49,PHP
2015-02-16,47.35,47.69,47.35,47.46,PHP
2015-02-17,47.45,47.63,47.11,47.23,PHP
2015-02-18,47.16,47.52,46.7,46.84,PHP
2015-02-19,46.79,47.19,46.47,46.56,PHP
2015-02-20,46.51,47.17,46.32,47.01,PHP
2015-02-23,46.81,47.17,46.47,46.67,PHP
2015-02-24,46.62,46.73,46.28,46.38,PHP
2015-02-25,46.35,46.67,46.27,46.4,PHP
2015-02-26,46.38,46.59,46.05,46.26,PHP
2015-02-27,46.21,46.69,46.13,46.27,PHP
2015-03-02,46.21,46.28,45.92,46.05,PHP
2015-03-03,45.98,46.19,45.78,45.89,PHP
2015-03-04,45.82,46.06,45.56,45.82,PHP
2015-03-05,45.78,45.88,45.22,45.31,PHP
2015-03-06,45.26,45.42,44.82,44.92,PHP
2015-03-09,44.86,45.08,44.72,44.88,PHP
2015-03-10,44.83,44.91,44.27,44.37,PHP
2015-03-11,44.34,44.56,43.85,43.94,PHP
2015-03-12,43.92,44.34,43.73,44.15,PHP
2015-03-13,44.12,44.26,43.87,44.15,PHP
2015-03-16,44.0,44.32,43.95,44.08,PHP
2015-03-17,44.05,44.69,44.0,44.42,PHP
2015-03-18,44.38,46.46,44.32,45.72,PHP
2015-03-19,45.7,45.82,44.8,45.38,PHP
2015-03-20,45.36,46.11,45.22,45.98,PHP
2015-03-23,45.86,46.46,45.65,46.25,PHP
2015-03-24,46.21,46.93,46.07,46.68,PHP
2015-03-25,46.65,46.9,46.52,46.63,PHP
