Date,Open,High,Low,Close,Currency
2015-01-01,101.21,101.61,101.18,101.56,PKR
2015-01-02,101.46,101.64,100.53,100.82,PKR
2015-01-05,100.63,100.86,99.72,100.25,PKR
2015-01-06,100.12,100.6,99.67,99.94,PKR
2015-01-07,99.77,99.91,99.02,99.5,PKR
2015-01-08,99.36,99.5,98.54,98.87,PKR
2015-01-09,98.77,99.32,98.53,99.19,PKR
2015-01-12,99.08,99.66,98.7,99.18,PKR
2015-01-13,99.07,99.39,98.39,98.66,PKR
2015-01-14,98.54,99.35,98.16,98.76,PKR
2015-01-15,98.61,135.41,98.47,117.28,PKR
2015-01-16,117.08,118.98,114.3,117.26,PKR
2015-01-19,116.61,117.48,114.38,114.6,PKR
2015-01-20,114.44,116.07,113.9,114.98,PKR
2015-01-21,114.85,118.62,114.72,117.13,PKR
2015-01-22,117.02,118.24,114.73,115.46,PKR
2015-01-23,115.25,116.19,113.95,114.27,PKR
2015-01-26,114.03,115.26,111.38,111.81,PKR
2015-01-27,111.59,113.1,110.09,111.71,PKR
2015-01-28,111.56,112.39,110.89,111.44,PKR
2015-01-29,111.28,111.54,109.12,109.44,PKR
2015-01-30,109.28,110.29,108.7,109.76,PKR
2015-02-02,109.07,109.91,108.2,109.31,PKR
2015-02-03,109.15,110.12,108.81,109.41,PKR
2015-02-04,109.29,109.82,108.88,109.16,PKR
2015-02-05,109.01,109.76,108.43,109.7,PKR
2015-02-06,109.57,110.35,108.7,109.35,PKR
2015-02-09,108.9,109.98,108.72,109.45,PKR
2015-02-10,109.33,109.92,108.84,109.14,PKR
2015-02-11,109.01,109.93,108.84,109.19,PKR
2015-02-12,108.95,109.58,108.42,108.93,PKR
2015-02-13,108.75,109.5,108.45,108.81,PKR
2015-02-16,108.36,109.37,108.36,108.76,PKR
2015-02-17,108.66,109.32,107.97,108.18,PKR
2015-02-18,108.02,108.84,107.17,107.67,PKR
2015-02-19,107.5,108.46,106.82,107.0,PKR
2015-02-20,106.88,108.46,106.55,108.11,PKR
2015-02-23,107.6,108.28,106.57,107.04,PKR
2015-02-24,106.94,107.55,106.63,107.16,PKR
2015-02-25,107.04,107.83,106.94,107.33,PKR
2015-02-26,107.18,107.92,106.5,106.88,PKR
2015-02-27,106.72,107.95,106.54,106.84,PKR
2015-03-02,106.66,106.89,106.02,106.34,PKR
2015-03-03,106.13,106.69,105.83,106.08,PKR
2015-03-04,105.9,106.29,105.1,105.79,PKR
2015-03-05,105.69,105.84,104.29,104.56,PKR
2015-03-06,104.45,104.81,103.03,103.18,PKR
2015-03-09,102.99,104.24,102.01,103.35,PKR
2015-03-10,103.24,103.4,101.66,101.97,PKR
2015-03-11,101.86,102.3,100.65,100.98,PKR
2015-03-12,100.86,102.1,100.39,101.61,PKR
2015-03-13,101.46,101.66,100.45,101.34,PKR
2015-03-16,100.95,101.56,100.82,101.0,PKR
2015-03-17,100.88,101.69,100.71,101.2,PKR
2015-03-18,101.14,105.72,100.91,104.05,PKR
2015-03-19,103.89,104.25,101.98,102.89,PKR
2015-03-20,102.76,104.79,102.14,104.47,PKR
2015-03-23,104.16,105.65,103.66,105.36,PKR
2015-03-24,105.21,106.98,104.86,106.29,PKR
2015-03-25,106.22,106.8,105.88,106.27,PKR
2015-03-26,106.15,107.49,105.43,105.92,PKR
2015-03-27,105.8,106.58,104.96,105.97,PKR
2015-03-30,105.92,106.17,105.03,105.34,PKR
2015-03-31,105.24,105.56,104.3,104.78,PKR
2015-04-01,104.59,105.67,104.52,105.38,PKR
2015-04-02,105.21,106.59,105.11,106.19,PKR
2015-04-03,106.09,107.5,105.85,107.05,PKR
2015-04-06,106.96,107.41,105.93,106.29,PKR
2015-04-07,106.1,106.7,105.2,105.48,PKR
2015-04-08,105.29,106.3,105.2,105.41,PKR
2015-04-09,105.29,105.41,104.06,104.26,PKR
2015-04-10,104.2,104.61,103.37,104.05,PKR
2015-04-13,103.82,104.4,103.13,104.19,PKR
2015-04-14,104.06,105.18,103.69,104.53,PKR
2015-04-15,104.41,105.76,103.93,105.64,PKR
2015-04-16,105.53,106.59,104.44,106.33,PKR
2015-04-17,106.11,107.13,105.76,106.99,PKR
2015-04-20,106.54,107.07,105.64,106.56,PKR
2015-04-21,106.46,106.93,105.39,106.48,PKR
2015-04-22,106.24,106.98,104.47,104.64,PKR
2015-04-23,104.45,106.73,104.39,106.56,PKR
2015-04-24,106.39,106.89,106.03,106.75,PKR
2015-04-27,106.51,107.35,106.02,106.72,PKR
2015-04-28,106.61,107.25,105.95,106.63,PKR
2015-04-29,106.48,109.05,106.14,108.38,PKR
2015-04-30,108.26,109.47,107.52,109.22,PKR
2015-05-01,109.06,109.75,108.64,109.25,PKR
2015-05-04,108.88,109.38,108.32,109.14,PKR
2015-05-05,108.98,110.31,107.97,109.96,PKR
2015-05-06,109.75,111.75,109.53,111.15,PKR
2015-05-07,110.91,112.24,110.11,110.51,PKR
2015-05-08,110.32,110.64,109.09,109.42,PKR
2015-05-11,109.16,109.66,108.72,109.02,PKR
2015-05-12,108.86,110.61,108.63,109.53,PKR
2015-05-13,109.44,111.28,109.33,111.05,PKR
2015-05-14,110.92,112.27,110.77,111.58,PKR
2015-05-15,111.37,111.91,109.92,111.22,PKR
2015-05-18,110.86,111.42,109.77,109.94,PKR
2015-05-19,109.81,110.31,108.37,108.76,PKR
2015-05-20,108.59,109.12,108.17,108.74,PKR
2015-05-21,108.69,109.62,108.47,108.83,PKR
2015-05-22,108.64,109.9,107.61,108.04,PKR
2015-05-25,107.94,108.46,107.66,107.87,PKR
2015-05-26,107.79,108.03,106.69,106.94,PKR
2015-05-27,106.78,107.81,106.69,107.44,PKR
2015-05-28,107.32,108.32,106.98,108.06,PKR
2015-05-29,107.93,109.16,107.4,108.5,PKR
2015-06-01,108.22,108.58,107.35,107.73,PKR
2015-06-02,107.59,109.54,107.49,109.22,PKR
2015-06-03,109.08,109.52,108.02,109.15,PKR
2015-06-04,109.01,109.87,108.63,109.15,PKR
2015-06-05,109.01,109.68,107.09,108.45,PKR
2015-06-08,107.91,110.09,107.91,109.9,PKR
2015-06-09,109.76,110.29,109.05,109.43,PKR
2015-06-10,109.25,110.44,109.1,109.39,PKR
2015-06-11,109.19,109.63,108.07,109.15,PKR
2015-06-12,108.93,110.21,108.25,109.52,PKR
2015-06-15,109.34,109.77,108.28,109.53,PKR
2015-06-16,109.39,109.82,108.85,109.25,PKR
