Date,Open,High,Low,Close,Currency
2015-01-01,3.6611,3.6654,3.658,3.6639,QAR
2015-01-02,3.6632,3.6666,3.635,3.6372,QAR
2015-01-05,3.6357,3.6384,3.6002,3.6148,QAR
2015-01-06,3.6136,3.6254,3.6002,3.6044,QAR
2015-01-07,3.6035,3.6062,3.5761,3.5892,QAR
2015-01-08,3.5885,3.5919,3.5625,3.5746,QAR
2015-01-09,3.5744,3.5918,3.5642,3.5899,QAR
2015-01-12,3.5888,3.5985,3.5714,3.5874,QAR
2015-01-13,3.587,3.5951,3.5618,3.5686,QAR
2015-01-14,3.5674,3.5911,3.554,3.5742,QAR
2015-01-15,3.5719,4.8899,3.5607,4.2424,QAR
2015-01-16,4.2413,4.3088,4.1325,4.2464,QAR
2015-01-19,4.2445,4.2473,4.1353,4.1395,QAR
2015-01-20,4.1376,4.1943,4.118,4.1579,QAR
2015-01-21,4.1571,4.2851,4.1486,4.2338,QAR
2015-01-22,4.2335,4.2721,4.1568,4.1797,QAR
2015-01-23,4.1759,4.1966,4.1287,4.1343,QAR
2015-01-26,4.132,4.1568,4.0234,4.0333,QAR
2015-01-27,4.031,4.0761,3.9729,4.0326,QAR
2015-01-28,4.0319,4.0541,4.0035,4.0219,QAR
2015-01-29,4.0199,4.0255,3.934,3.9419,QAR
2015-01-30,3.9399,3.9726,3.919,3.9536,QAR
2015-02-02,3.9511,3.9569,3.8931,3.9219,QAR
2015-02-03,3.9216,3.9647,3.9153,3.939,QAR
2015-02-04,3.9384,3.9556,3.9219,3.9322,QAR
2015-02-05,3.9304,3.9556,3.9093,3.9535,QAR
2015-02-06,3.9526,3.9694,3.9173,3.9356,QAR
2015-02-09,3.9234,3.9594,3.9158,3.9423,QAR
2015-02-10,3.9417,3.9519,3.9218,3.9314,QAR
2015-02-11,3.9303,3.9448,3.9124,3.9219,QAR
2015-02-12,3.9171,3.9332,3.8972,3.9117,QAR
2015-02-13,3.909,3.9295,3.8989,3.9058,QAR
2015-02-16,3.8982,3.9231,3.8982,3.9059,QAR
2015-02-17,3.9056,3.9197,3.8827,3.8867,QAR
2015-02-18,3.8848,3.9087,3.8503,3.8648,QAR
2015-02-19,3.8642,3.8815,3.8321,3.8352,QAR
2015-02-20,3.8342,3.8838,3.8161,3.8712,QAR
2015-02-23,3.8736,3.8773,3.8192,3.8345,QAR
2015-02-24,3.8332,3.8457,3.8205,3.8312,QAR
2015-02-25,3.8305,3.8495,3.8269,3.839,QAR
2015-02-26,3.8392,3.8547,3.811,3.8208,QAR
2015-02-27,3.819,3.856,3.8124,3.8195,QAR
2015-03-02,3.8146,3.8212,3.7918,3.7999,QAR
2015-03-03,3.7981,3.8108,3.7829,3.7887,QAR
2015-03-04,3.7856,3.7984,3.759,3.7802,QAR
2015-03-05,3.7802,3.7824,3.7335,3.7368,QAR
2015-03-06,3.7362,3.7487,3.6907,3.6926,QAR
2015-03-09,3.6887,3.7083,3.6839,3.6935,QAR
2015-03-10,3.6929,3.6953,3.639,3.6429,QAR
2015-03-11,3.6423,3.6533,3.6002,3.6077,QAR
2015-03-12,3.6076,3.6493,3.5941,3.633,QAR
2015-03-13,3.633,3.6347,3.5986,3.6239,QAR
2015-03-16,3.6233,3.6328,3.6103,3.6134,QAR
2015-03-17,3.6124,3.6397,3.607,3.6187,QAR
2015-03-18,3.6181,3.7817,3.6137,3.7218,QAR
2015-03-19,3.7218,3.73,3.6443,3.678,QAR
2015-03-20,3.6778,3.7439,3.6737,3.7336,QAR
2015-03-23,3.7256,3.7774,3.7079,3.7688,QAR
