Date,Open,High,Low,Close,Currency
2015-01-01,7.8386,7.8584,7.8315,7.8404,SEK
2015-01-02,7.837,7.9152,7.8207,7.9119,SEK
2015-01-05,7.9033,7.928,7.8449,7.8849,SEK
2015-01-06,7.8814,7.8895,7.8242,7.8369,SEK
2015-01-07,7.8346,7.8767,7.8123,7.8634,SEK
2015-01-08,7.8617,7.9131,7.8062,7.8845,SEK
2015-01-09,7.8821,7.9489,7.8645,7.9384,SEK
2015-01-12,7.9298,7.9902,7.9156,7.9565,SEK
2015-01-13,7.9539,7.9738,7.8315,7.9105,SEK
2015-01-14,7.9079,7.96,7.8703,7.9361,SEK
2015-01-15,7.9311,10.9803,7.9049,9.4415,SEK
2015-01-16,9.4315,9.6135,9.1998,9.4686,SEK
2015-01-19,9.4614,9.4701,9.2129,9.2479,SEK
2015-01-20,9.2431,9.4005,9.2076,9.3224,SEK
2015-01-21,9.3196,9.5736,9.3035,9.5026,SEK
2015-01-22,9.5009,9.5551,9.3734,9.4459,SEK
2015-01-23,9.4366,9.55,9.3936,9.4657,SEK
2015-01-26,9.4451,9.5279,9.1635,9.1953,SEK
2015-01-27,9.1891,9.2499,8.9951,9.0554,SEK
2015-01-28,9.0543,9.1761,8.9959,9.165,SEK
2015-01-29,9.1593,9.1756,8.9066,8.9597,SEK
2015-01-30,8.9542,9.0318,8.8748,8.9834,SEK
2015-02-02,8.9811,8.9875,8.8095,8.9571,SEK
2015-02-03,8.9549,8.996,8.8739,8.8853,SEK
2015-02-04,8.8818,8.9813,8.8565,8.9466,SEK
2015-02-05,8.9416,8.9863,8.8638,8.952,SEK
2015-02-06,8.9489,9.0941,8.9027,9.0712,SEK
2015-02-09,9.0324,9.0985,8.9994,9.0517,SEK
2015-02-10,9.0491,9.0726,8.9541,8.9887,SEK
2015-02-11,8.9851,9.0869,8.9596,9.0239,SEK
2015-02-12,9.0207,9.1974,8.9889,9.0727,SEK
2015-02-13,9.0653,9.0983,8.9977,9.0225,SEK
2015-02-16,9.0064,9.0522,8.9906,9.0284,SEK
2015-02-17,9.0268,9.0519,8.8693,8.8864,SEK
2015-02-18,8.8809,8.9452,8.8573,8.875,SEK
2015-02-19,8.8724,8.9063,8.829,8.8715,SEK
2015-02-20,8.8687,8.9312,8.8273,8.8984,SEK
2015-02-23,8.8638,8.9285,8.8311,8.8606,SEK
2015-02-24,8.8585,8.8802,8.8223,8.8531,SEK
2015-02-25,8.8501,8.8605,8.7344,8.7508,SEK
2015-02-26,8.7502,8.8325,8.718,8.8203,SEK
2015-02-27,8.815,8.8675,8.7317,8.7533,SEK
2015-03-02,8.7302,8.7705,8.68,8.6982,SEK
2015-03-03,8.6877,8.7233,8.592,8.6088,SEK
2015-03-04,8.604,8.7066,8.5816,8.646,SEK
2015-03-05,8.6452,8.667,8.5524,8.5584,SEK
2015-03-06,8.554,8.6483,8.5396,8.5757,SEK
2015-03-09,8.5665,8.6223,8.5613,8.6092,SEK
2015-03-10,8.6068,8.6204,8.5377,8.5651,SEK
2015-03-11,8.5628,8.5947,8.5012,8.5471,SEK
2015-03-12,8.546,8.6309,8.4974,8.5671,SEK
2015-03-13,8.566,8.6921,8.5496,8.6733,SEK
2015-03-16,8.6657,8.6886,8.5589,8.5943,SEK
2015-03-17,8.5916,8.6526,8.5685,8.6301,SEK
2015-03-18,8.627,8.8886,8.5868,8.7659,SEK
2015-03-19,8.7648,8.8131,8.7133,8.7592,SEK
2015-03-20,8.7577,8.8638,8.7444,8.8404,SEK
2015-03-23,8.8078,8.8459,8.7576,8.7981,SEK
2015-03-24,8.7932,8.9286,8.7788,8.862,SEK
2015-03-25,8.8595,8.8875,8.819,8.8433,SEK
2015-03-26,8.8408,8.9259,8.8194,8.92,SEK
2015-03-27,8.9173,8.9569,8.873,8.9298,SEK
2015-03-30,8.9352,8.9585,8.8635,8.8812,SEK
2015-03-31,8.8806,8.915,8.8491,8.8735,SEK
2015-04-01,8.8701,8.9716,8.8475,8.9635,SEK
2015-04-02,8.9597,9.0199,8.9331,8.9961,SEK
2015-04-03,8.9924,9.0674,8.948,8.9845,SEK
2015-04-06,8.9799,8.9936,8.8956,8.9465,SEK
2015-04-07,8.938,8.9955,8.9148,8.9838,SEK
2015-04-08,8.9748,8.9919,8.9336,8.9703,SEK
2015-04-09,8.9677,8.988,8.9272,8.9623,SEK
2015-04-10,8.9576,9.0253,8.9436,9.0091,SEK
2015-04-13,8.9975,9.033,8.9713,9.0213,SEK
2015-04-14,9.0173,9.0807,8.9791,9.0085,SEK
2015-04-15,9.0061,9.0706,8.9864,9.0458,SEK
2015-04-16,9.0426,9.0544,8.9338,8.9854,SEK
2015-04-17,8.9791,9.088,8.9467,9.0698,SEK
2015-04-20,9.044,9.1077,9.0177,9.0919,SEK
2015-04-21,9.0894,9.1166,9.039,9.0748,SEK
2015-04-22,9.0633,9.0812,8.9626,8.9856,SEK
2015-04-23,8.9799,9.0841,8.979,9.0441,SEK
2015-04-24,9.0409,9.085,9.0029,9.0494,SEK
2015-04-27,9.0411,9.0671,8.9835,9.0063,SEK
2015-04-28,9.0036,9.0337,8.9007,8.9129,SEK
2015-04-29,8.9099,8.9302,8.7856,8.8633,SEK
2015-04-30,8.8607,8.9475,8.8006,8.9338,SEK
2015-05-01,8.9268,9.0111,8.8796,9.0084,SEK
2015-05-04,8.9836,9.0169,8.9175,8.9668,SEK
2015-05-05,8.9621,9.0449,8.9193,9.0079,SEK
2015-05-06,9.0028,9.0244,8.9432,8.973,SEK
2015-05-07,8.9705,9.0477,8.9498,8.9593,SEK
2015-05-08,8.9512,9.0075,8.8136,8.8712,SEK
2015-05-11,8.8739,8.9241,8.8362,8.8844,SEK
2015-05-12,8.8827,8.9922,8.8396,8.9672,SEK
2015-05-13,8.9665,8.9916,8.9054,8.9879,SEK
2015-05-14,8.9842,9.0502,8.9538,9.0247,SEK
2015-05-15,9.0191,9.0398,8.9306,8.9413,SEK
2015-05-18,8.9304,8.9722,8.8789,8.8835,SEK
2015-05-19,8.8818,8.953,8.8764,8.9033,SEK
2015-05-20,8.8954,8.9526,8.8768,8.9057,SEK
2015-05-21,8.9024,8.9322,8.8744,8.901,SEK
2015-05-22,8.8969,8.91,8.832,8.887,SEK
2015-05-25,8.8788,8.9415,8.8756,8.9062,SEK
2015-05-26,8.9022,8.932,8.8451,8.891,SEK
2015-05-27,8.8885,9.0017,8.8739,8.959,SEK
2015-05-28,8.9574,8.996,8.9161,8.976,SEK
