Date,Open,High,Low,Close,Currency
2015-01-01,33.08,33.15,33.03,33.15,THB
2015-01-02,33.14,33.175,32.89,32.925,THB
2015-01-05,32.91,32.95,32.6,32.73,THB
2015-01-06,32.7,32.815,32.5,32.535,THB
2015-01-07,32.52,32.625,32.28,32.405,THB
2015-01-08,32.39,32.445,32.16,32.275,THB
2015-01-09,32.26,32.425,32.19,32.375,THB
2015-01-12,32.38,32.525,32.25,32.395,THB
2015-01-13,32.38,32.465,32.12,32.165,THB
2015-01-14,32.14,32.34,32.0,32.16,THB
2015-01-15,32.13,44.04,32.02,38.16,THB
2015-01-16,38.14,38.525,36.99,37.995,THB
2015-01-19,37.96,38.02,37.0,37.05,THB
2015-01-20,37.03,37.675,36.99,37.335,THB
2015-01-21,37.32,38.34,37.14,37.88,THB
2015-01-22,37.87,38.215,37.19,37.415,THB
2015-01-23,37.37,37.57,36.93,36.99,THB
2015-01-26,36.88,37.185,35.98,36.075,THB
2015-01-27,36.05,36.43,35.49,35.99,THB
2015-01-28,35.98,36.27,35.8,35.97,THB
2015-01-29,35.95,35.985,35.37,35.485,THB
2015-01-30,35.46,35.72,35.2,35.53,THB
2015-02-02,35.51,35.58,34.81,35.09,THB
2015-02-03,35.08,35.5,34.94,35.26,THB
2015-02-04,35.25,35.43,35.12,35.25,THB
2015-02-05,35.23,35.42,35.02,35.39,THB
2015-02-06,35.37,35.46,35.07,35.28,THB
2015-02-09,35.16,35.445,35.09,35.295,THB
2015-02-10,35.28,35.375,35.12,35.235,THB
2015-02-11,35.22,35.365,35.09,35.165,THB
2015-02-12,35.11,35.345,34.95,35.035,THB
2015-02-13,35.0,35.2,34.89,34.97,THB
2015-02-16,34.89,35.125,34.88,34.955,THB
2015-02-17,34.95,35.065,34.73,34.785,THB
2015-02-18,34.76,34.975,34.45,34.565,THB
2015-02-19,34.55,34.685,34.25,34.295,THB
2015-02-20,34.27,34.73,34.09,34.58,THB
2015-02-23,34.65,34.68,34.15,34.28,THB
2015-02-24,34.27,34.405,34.15,34.215,THB
2015-02-25,34.2,34.405,34.17,34.285,THB
2015-02-26,34.28,34.33,33.86,33.99,THB
2015-02-27,33.96,34.235,33.87,33.945,THB
2015-03-02,33.93,34.035,33.67,33.765,THB
2015-03-03,33.72,33.87,33.59,33.67,THB
2015-03-04,33.63,33.795,33.47,33.625,THB
2015-03-05,33.62,33.65,33.2,33.28,THB
2015-03-06,33.27,33.37,32.99,33.03,THB
2015-03-09,32.96,33.175,32.94,33.055,THB
2015-03-10,33.04,33.085,32.67,32.725,THB
2015-03-11,32.71,32.875,32.48,32.545,THB
2015-03-12,32.54,32.905,32.42,32.765,THB
2015-03-13,32.74,32.82,32.52,32.75,THB
2015-03-16,32.8,32.855,32.59,32.675,THB
2015-03-17,32.66,32.895,32.58,32.715,THB
2015-03-18,32.7,33.94,32.63,33.41,THB
2015-03-19,33.39,33.595,32.77,33.065,THB
2015-03-20,33.06,33.51,32.98,33.4,THB
2015-03-23,33.32,33.715,33.14,33.685,THB
2015-03-24,33.67,34.065,33.54,33.905,THB
2015-03-25,33.89,34.075,33.78,33.885,THB
2015-03-26,33.86,34.29,33.69,33.81,THB
2015-03-27,33.8,34.065,33.58,33.885,THB
2015-03-30,33.79,33.97,33.57,33.7,THB
2015-03-31,33.7,33.715,33.31,33.455,THB
2015-04-01,33.44,33.69,33.35,33.6,THB
2015-04-02,33.58,33.98,33.51,33.82,THB
2015-04-03,33.8,34.17,33.73,34.05,THB
2015-04-06,34.02,34.16,33.75,33.84,THB
2015-04-07,33.8,34.055,33.63,33.705,THB
2015-04-08,33.66,33.93,33.63,33.69,THB
2015-04-09,33.68,33.72,33.2,33.31,THB
2015-04-10,33.29,33.38,33.05,33.23,THB
2015-04-13,33.22,33.39,33.0,33.32,THB
2015-04-14,33.29,33.545,33.1,33.385,THB
2015-04-15,33.37,33.67,33.16,33.62,THB
2015-04-16,33.61,33.95,33.33,33.88,THB
2015-04-17,33.85,34.12,33.76,33.98,THB
2015-04-20,33.9,34.075,33.69,33.865,THB
2015-04-21,33.85,34.055,33.62,33.915,THB
2015-04-22,33.87,34.075,33.3,33.325,THB
2015-04-23,33.31,34.045,33.3,33.985,THB
2015-04-24,33.97,34.215,33.88,34.125,THB
2015-04-27,34.13,34.365,34.02,34.145,THB
2015-04-28,34.13,34.315,33.94,34.155,THB
2015-04-29,34.14,35.185,34.06,34.945,THB
2015-04-30,34.93,35.46,34.81,35.41,THB
2015-05-01,35.38,35.69,35.31,35.64,THB
2015-05-04,35.53,35.82,35.46,35.71,THB
2015-05-05,35.68,36.115,35.46,36.005,THB
2015-05-06,35.98,36.475,35.81,36.285,THB
2015-05-07,36.29,37.045,36.24,36.365,THB
2015-05-08,36.33,36.445,35.94,36.045,THB
2015-05-11,36.02,36.26,35.81,36.1,THB
2015-05-12,36.1,36.745,36.04,36.305,THB
2015-05-13,36.3,36.62,36.1,36.55,THB
2015-05-14,36.54,36.91,36.38,36.67,THB
2015-05-15,36.64,36.86,36.24,36.55,THB
2015-05-18,36.53,36.645,36.02,36.045,THB
2015-05-19,36.04,36.145,35.64,35.775,THB
2015-05-20,35.73,35.945,35.67,35.835,THB
2015-05-21,35.84,35.925,35.63,35.665,THB
2015-05-22,35.64,35.935,35.37,35.465,THB
2015-05-25,35.39,35.685,35.37,35.545,THB
2015-05-26,35.52,35.685,35.32,35.385,THB
2015-05-27,35.37,35.74,35.32,35.57,THB
2015-05-28,35.56,35.875,35.49,35.785,THB
2015-05-29,35.78,36.01,35.55,35.84,THB
2015-06-01,35.79,35.93,35.51,35.61,THB
2015-06-02,35.59,36.22,35.56,36.11,THB
2015-06-03,36.1,36.215,35.72,36.025,THB
2015-06-04,35.99,36.35,35.95,36.13,THB
2015-06-05,36.11,36.275,35.63,36.095,THB
2015-06-08,36.02,36.45,35.85,36.41,THB
2015-06-09,36.39,36.505,36.1,36.205,THB
2015-06-10,36.19,36.46,36.0,36.07,THB
2015-06-11,36.03,36.24,35.82,36.12,THB
2015-06-12,36.09,36.46,35.91,36.21,THB
2015-06-15,36.38,36.435,35.87,36.235,THB
2015-06-16,36.22,36.34,36.04,36.14,THB
2015-06-17,36.1,36.615,36.08,36.425,THB
2015-06-18,36.39,36.795,36.36,36.515,THB
2015-06-19,36.5,36.73,36.35,36.67,THB
2015-06-22,36.64,36.77,36.45,36.58,THB
2015-06-23,36.55,36.595,35.94,36.145,THB
2015-06-24,36.12,36.39,36.0,36.18,THB
2015-06-25,36.14,36.25,35.82,36.04,THB
2015-06-26,36.03,36.34,35.99,36.23,THB
2015-06-29,36.22,36.55,35.87,36.49,THB
2015-06-30,36.46,36.55,36.0,36.13,THB
2015-07-01,36.1,36.205,35.61,35.665,THB
2015-07-02,35.64,35.88,35.52,35.82,THB
2015-07-03,35.8,35.95,35.73,35.9,THB
2015-07-06,35.89,35.97,35.68,35.9,THB
2015-07-07,35.88,36.055,35.62,35.915,THB
2015-07-08,35.88,36.18,35.69,35.91,THB
2015-07-09,35.88,36.055,35.62,35.805,THB
2015-07-10,35.78,36.38,35.7,36.13,THB
2015-07-13,36.11,36.255,35.75,35.805,THB
2015-07-14,35.77,36.205,35.69,36.025,THB
2015-07-15,35.98,36.075,35.72,35.915,THB
2015-07-16,35.89,35.935,35.64,35.705,THB
2015-07-17,35.71,35.775,35.52,35.605,THB
2015-07-20,35.58,35.865,35.5,35.735,THB
2015-07-21,35.71,36.05,35.66,35.9,THB
2015-07-22,35.89,36.205,35.84,36.185,THB
2015-07-23,36.17,36.58,36.09,36.26,THB
2015-07-24,36.22,36.51,36.17,36.25,THB
2015-07-27,36.19,36.605,36.13,36.215,THB
2015-07-28,36.19,36.335,36.0,36.195,THB
2015-07-29,36.16,36.44,36.04,36.13,THB
2015-07-30,36.1,36.35,36.05,36.26,THB
2015-07-31,36.22,36.71,36.11,36.23,THB
2015-08-03,36.18,36.335,36.08,36.195,THB
2015-08-04,36.16,36.31,35.8,35.86,THB
2015-08-05,35.86,36.03,35.76,35.92,THB
2015-08-06,35.9,36.02,35.68,35.8,THB
2015-08-07,35.75,35.92,35.55,35.71,THB
2015-08-10,35.72,35.89,35.48,35.67,THB
2015-08-11,35.65,36.065,35.61,35.785,THB
2015-08-12,35.74,36.425,35.67,36.165,THB
2015-08-13,36.13,36.27,35.89,36.0,THB
2015-08-14,35.97,36.255,35.95,36.125,THB
2015-08-17,36.12,36.415,36.01,36.285,THB
2015-08-18,36.28,36.555,36.21,36.365,THB
2015-08-19,36.35,36.905,36.28,36.815,THB
2015-08-20,36.74,37.135,36.7,37.125,THB
2015-08-21,37.1,37.75,37.03,37.71,THB
2015-08-24,37.62,38.585,37.56,38.315,THB
2015-08-25,38.28,38.39,37.31,37.84,THB
2015-08-26,37.81,37.985,37.25,37.335,THB
2015-08-27,37.31,37.495,36.83,36.905,THB
2015-08-28,36.88,37.49,36.83,37.25,THB
2015-08-31,37.18,37.445,36.94,37.055,THB
2015-09-01,37.03,37.36,36.99,37.28,THB
2015-09-02,37.28,37.32,36.79,36.92,THB
2015-09-03,36.91,37.06,36.63,36.81,THB
2015-09-04,36.81,37.08,36.65,37.01,THB
2015-09-07,36.96,37.18,36.89,37.03,THB
2015-09-08,37.03,37.35,36.63,36.81,THB
2015-09-09,36.78,37.205,36.61,37.135,THB
2015-09-10,37.08,37.26,36.84,37.03,THB
2015-09-11,37.0,37.255,36.82,37.185,THB
2015-09-14,37.17,37.32,37.06,37.2,THB
2015-09-15,37.21,37.275,36.72,36.905,THB
2015-09-16,36.87,37.165,36.77,36.925,THB
2015-09-17,36.89,37.325,36.72,37.255,THB
2015-09-18,37.21,37.355,36.69,36.815,THB
2015-09-21,36.79,37.12,36.7,36.87,THB
2015-09-22,36.82,37.2,36.78,36.99,THB
2015-09-23,36.96,37.16,36.88,36.98,THB
2015-09-24,36.96,37.525,36.88,37.175,THB
2015-09-25,37.13,37.235,36.76,36.965,THB
2015-09-28,36.95,37.405,36.87,37.345,THB
2015-09-29,37.32,37.615,37.23,37.485,THB
2015-09-30,37.49,37.58,37.16,37.37,THB
2015-10-01,37.35,37.49,37.16,37.35,THB
2015-10-02,37.34,37.945,37.26,37.505,THB
2015-10-05,37.47,37.595,37.08,37.185,THB
2015-10-06,37.18,37.525,37.11,37.475,THB
2015-10-07,37.45,37.595,36.75,36.865,THB
2015-10-08,36.87,37.335,36.78,37.035,THB
2015-10-09,37.04,37.215,36.76,36.965,THB
2015-10-12,36.94,37.065,36.66,36.745,THB
2015-10-13,36.69,37.31,36.66,37.22,THB
2015-10-14,37.19,37.31,36.99,37.2,THB
2015-10-15,37.18,37.26,36.8,36.99,THB
2015-10-16,36.98,37.205,36.9,36.985,THB
2015-10-19,36.97,37.175,36.87,37.035,THB
2015-10-20,37.0,37.32,36.96,37.04,THB
2015-10-21,37.02,37.34,36.94,37.17,THB
2015-10-22,37.15,37.225,36.46,36.575,THB
2015-10-23,36.53,36.605,36.16,36.325,THB
2015-10-26,36.29,36.425,35.99,36.075,THB
2015-10-27,36.04,36.24,35.91,36.02,THB
2015-10-28,36.0,36.115,35.62,35.885,THB
2015-10-29,35.82,36.105,35.71,36.045,THB
2015-10-30,36.02,36.23,35.85,36.03,THB
2015-11-02,36.03,36.195,35.95,36.045,THB
2015-11-03,36.01,36.145,35.77,35.885,THB
2015-11-04,35.88,35.945,35.65,35.765,THB
2015-11-05,35.76,35.835,35.61,35.735,THB
2015-11-06,35.71,35.865,35.46,35.585,THB
2015-11-09,35.59,35.955,35.56,35.785,THB
2015-11-10,35.79,35.835,35.51,35.675,THB
2015-11-11,35.63,35.78,35.56,35.66,THB
2015-11-12,35.63,35.92,35.55,35.86,THB
2015-11-13,35.87,35.93,35.52,35.66,THB
2015-11-16,35.68,35.855,35.54,35.645,THB
2015-11-17,35.59,35.745,35.35,35.475,THB
2015-11-18,35.46,35.585,35.18,35.275,THB
2015-11-19,35.25,35.4,35.11,35.31,THB
2015-11-20,35.28,35.415,35.01,35.065,THB
2015-11-23,35.04,35.26,34.99,35.21,THB
2015-11-24,35.18,35.25,35.05,35.15,THB
2015-11-25,35.12,35.225,34.79,34.935,THB
2015-11-26,34.9,35.03,34.81,34.9,THB
2015-11-27,34.88,35.06,34.67,34.8,THB
2015-11-30,34.78,34.92,34.71,34.8,THB
2015-12-01,34.78,34.945,34.69,34.845,THB
2015-12-02,34.83,35.235,34.75,35.215,THB
2015-12-03,35.18,36.29,34.97,36.09,THB
2015-12-04,36.07,36.15,35.63,35.85,THB
2015-12-07,35.85,35.95,35.72,35.86,THB
2015-12-08,35.84,36.26,35.76,36.26,THB
2015-12-09,36.21,36.645,36.06,36.595,THB
2015-12-10,36.6,36.655,36.35,36.525,THB
2015-12-11,36.51,36.91,36.33,36.76,THB
2015-12-14,36.75,36.89,36.53,36.65,THB
2015-12-15,36.65,36.795,36.2,36.265,THB
2015-12-16,36.25,36.605,36.15,36.305,THB
2015-12-17,36.27,36.475,36.05,36.355,THB
2015-12-18,36.3,36.455,36.21,36.375,THB
2015-12-21,36.38,36.545,36.21,36.415,THB
2015-12-22,36.39,36.61,36.25,36.56,THB
2015-12-23,36.5,36.675,36.21,36.405,THB
2015-12-24,36.37,36.835,36.3,36.565,THB
2015-12-25,36.53,36.72,36.41,36.51,THB
2015-12-28,36.47,36.645,36.44,36.515,THB
2015-12-29,36.5,36.62,36.24,36.33,THB
2015-12-30,36.3,36.61,36.24,36.5,THB
2015-12-31,36.48,36.55,35.86,35.96,THB
2016-01-01,35.95,36.0,35.9,35.99,THB
2016-01-04,35.98,36.46,35.92,36.05,THB
2016-01-05,36.03,36.14,35.65,35.81,THB
2016-01-06,35.78,36.05,35.71,35.98,THB
2016-01-07,35.95,36.56,35.89,36.51,THB
2016-01-08,36.49,36.61,36.06,36.56,THB
2016-01-11,36.52,36.74,36.13,36.18,THB
2016-01-12,36.18,36.5,36.11,36.23,THB
2016-01-13,36.19,36.275,35.81,36.055,THB
2016-01-14,36.05,36.365,35.91,36.165,THB
2016-01-15,36.15,36.52,36.03,36.27,THB
2016-01-18,36.23,36.345,36.0,36.115,THB
2016-01-19,36.08,36.325,35.92,36.185,THB
2016-01-20,36.15,36.355,36.01,36.105,THB
2016-01-21,36.08,36.255,35.69,35.945,THB
2016-01-22,35.93,35.99,35.35,35.42,THB
2016-01-25,35.4,35.615,35.27,35.455,THB
2016-01-26,35.44,35.6,35.08,35.23,THB
2016-01-27,35.21,35.395,35.09,35.295,THB
2016-01-28,35.26,35.44,35.17,35.36,THB
2016-01-29,35.32,35.38,34.73,34.91,THB
2016-02-01,34.91,35.08,34.74,34.9,THB
2016-02-02,34.87,35.23,34.83,35.19,THB
