Date,Open,High,Low,Close,Currency
2015-01-01,31.795,31.854,31.766,31.847,TWD
2015-01-02,31.828,31.893,31.684,31.772,TWD
2015-01-05,31.695,31.886,31.48,31.786,TWD
2015-01-06,31.763,31.882,31.642,31.694,TWD
2015-01-07,31.659,31.684,31.427,31.542,TWD
2015-01-08,31.524,31.569,31.304,31.399,TWD
2015-01-09,31.384,31.482,31.249,31.461,TWD
2015-01-12,31.448,31.554,31.277,31.418,TWD
2015-01-13,31.402,31.442,31.162,31.211,TWD
2015-01-14,31.189,31.355,31.037,31.238,TWD
2015-01-15,31.204,42.555,30.96,36.889,TWD
2015-01-16,36.873,37.244,35.764,36.699,TWD
2015-01-19,36.662,36.732,35.755,35.802,TWD
2015-01-20,35.776,36.476,35.73,36.15,TWD
2015-01-21,36.139,37.033,35.856,36.63,TWD
2015-01-22,36.61,36.895,35.86,36.075,TWD
2015-01-23,36.026,36.212,35.429,35.484,TWD
2015-01-26,35.45,35.763,34.607,34.693,TWD
2015-01-27,34.656,34.833,33.959,34.392,TWD
2015-01-28,34.368,34.759,34.287,34.491,TWD
2015-01-29,34.458,34.647,34.096,34.188,TWD
2015-01-30,34.152,34.637,33.886,34.461,TWD
2015-02-02,34.266,34.493,33.833,34.012,TWD
2015-02-03,33.997,34.267,33.868,34.043,TWD
2015-02-04,34.033,34.178,33.801,33.973,TWD
2015-02-05,33.956,34.204,33.803,34.185,TWD
2015-02-06,34.175,34.284,33.895,34.212,TWD
2015-02-09,34.052,34.359,33.924,34.178,TWD
2015-02-10,34.163,34.201,33.934,34.088,TWD
2015-02-11,34.064,34.199,33.916,34.05,TWD
2015-02-12,34.0,34.139,33.561,33.628,TWD
2015-02-13,33.588,33.93,33.528,33.597,TWD
2015-02-16,33.52,33.867,33.52,33.715,TWD
2015-02-17,33.696,33.968,33.642,33.739,TWD
2015-02-18,33.714,33.947,33.499,33.629,TWD
2015-02-19,33.599,33.743,33.328,33.478,TWD
2015-02-20,33.449,33.892,33.251,33.763,TWD
2015-02-23,33.793,33.844,33.299,33.407,TWD
2015-02-24,33.398,33.488,33.148,33.299,TWD
2015-02-25,33.28,33.377,33.05,33.137,TWD
2015-02-26,33.114,33.18,32.863,33.015,TWD
2015-02-27,32.989,33.31,32.888,32.982,TWD
2015-03-02,32.937,33.04,32.701,32.796,TWD
2015-03-03,32.741,32.933,32.555,32.635,TWD
2015-03-04,32.59,32.795,32.449,32.614,TWD
2015-03-05,32.594,32.661,32.269,32.336,TWD
2015-03-06,32.329,32.403,31.983,32.053,TWD
2015-03-09,32.021,32.141,31.887,31.988,TWD
2015-03-10,31.979,31.998,31.63,31.707,TWD
2015-03-11,31.701,31.819,31.357,31.412,TWD
2015-03-12,31.411,31.634,31.238,31.529,TWD
2015-03-13,31.527,31.627,31.32,31.549,TWD
2015-03-16,31.512,31.622,31.352,31.389,TWD
2015-03-17,31.38,31.558,31.277,31.31,TWD
2015-03-18,31.304,32.524,31.289,31.995,TWD
2015-03-19,31.994,32.068,31.487,31.793,TWD
2015-03-20,31.79,32.227,31.748,32.146,TWD
2015-03-23,32.083,32.452,32.006,32.37,TWD
2015-03-24,32.357,32.745,32.288,32.599,TWD
2015-03-25,32.592,32.724,32.464,32.547,TWD
2015-03-26,32.541,32.889,32.298,32.465,TWD
2015-03-27,32.461,32.665,32.215,32.435,TWD
2015-03-30,32.4,32.588,32.243,32.317,TWD
2015-03-31,32.31,32.401,32.011,32.133,TWD
2015-04-01,32.117,32.413,32.081,32.307,TWD
2015-04-02,32.28,32.473,32.243,32.33,TWD
2015-04-03,32.31,32.621,32.203,32.449,TWD
2015-04-06,32.444,32.561,32.182,32.269,TWD
2015-04-07,32.228,32.543,32.069,32.133,TWD
2015-04-08,32.096,32.37,32.089,32.187,TWD
2015-04-09,32.169,32.253,31.893,31.973,TWD
2015-04-10,31.943,31.989,31.691,31.905,TWD
2015-04-13,31.859,32.109,31.697,32.04,TWD
2015-04-14,32.025,32.27,31.836,32.106,TWD
2015-04-15,32.093,32.377,31.95,32.353,TWD
2015-04-16,32.329,32.574,32.031,32.505,TWD
2015-04-17,32.482,32.637,32.357,32.591,TWD
2015-04-20,32.498,32.73,32.334,32.491,TWD
2015-04-21,32.482,32.718,32.276,32.569,TWD
2015-04-22,32.527,32.678,31.973,31.991,TWD
2015-04-23,31.971,32.56,31.917,32.468,TWD
2015-04-24,32.458,32.596,32.032,32.191,TWD
2015-04-27,32.2,32.384,31.792,31.868,TWD
2015-04-28,31.86,32.064,31.703,31.872,TWD
2015-04-29,31.861,32.523,31.774,32.358,TWD
2015-04-30,32.348,32.896,32.334,32.832,TWD
2015-05-01,32.808,33.017,32.735,32.971,TWD
2015-05-04,32.958,32.995,32.641,32.903,TWD
2015-05-05,32.884,33.202,32.564,33.088,TWD
2015-05-06,33.069,33.585,32.999,33.39,TWD
2015-05-07,33.353,33.932,33.326,33.409,TWD
2015-05-08,33.379,33.441,32.877,32.955,TWD
2015-05-11,32.898,33.097,32.792,32.986,TWD
2015-05-12,32.977,33.395,32.809,33.095,TWD
2015-05-13,33.092,33.488,32.929,33.45,TWD
2015-05-14,33.428,33.619,33.273,33.439,TWD
2015-05-15,33.418,33.494,32.94,33.221,TWD
2015-05-18,33.17,33.244,32.894,32.91,TWD
2015-05-19,32.904,33.0,32.448,32.579,TWD
2015-05-20,32.549,32.657,32.345,32.504,TWD
2015-05-21,32.507,32.718,32.413,32.478,TWD
2015-05-22,32.455,32.788,32.152,32.257,TWD
2015-05-25,32.229,32.452,32.186,32.27,TWD
2015-05-26,32.234,32.369,32.08,32.17,TWD
2015-05-27,32.159,32.416,32.113,32.294,TWD
2015-05-28,32.27,32.541,32.172,32.483,TWD
2015-05-29,32.481,32.933,32.276,32.785,TWD
2015-06-01,32.741,32.792,32.39,32.652,TWD
2015-06-02,32.637,33.104,32.582,33.014,TWD
2015-06-03,33.004,33.11,32.702,32.973,TWD
2015-06-04,32.951,33.253,32.898,33.099,TWD
2015-06-05,33.08,33.205,32.611,33.058,TWD
2015-06-08,32.902,33.585,32.849,33.519,TWD
2015-06-09,33.503,33.665,33.272,33.468,TWD
2015-06-10,33.438,33.532,33.087,33.147,TWD
2015-06-11,33.132,33.251,32.893,33.142,TWD
2015-06-12,33.108,33.498,32.953,33.28,TWD
2015-06-15,33.287,33.33,32.915,33.253,TWD
2015-06-16,33.236,33.351,33.045,33.123,TWD
2015-06-17,33.107,33.603,33.093,33.518,TWD
2015-06-18,33.501,33.67,33.159,33.343,TWD
2015-06-19,33.329,33.549,33.204,33.486,TWD
2015-06-22,33.446,33.592,33.297,33.37,TWD
2015-06-23,33.351,33.459,32.888,33.055,TWD
2015-06-24,33.048,33.31,33.003,33.173,TWD
2015-06-25,33.145,33.187,32.831,33.035,TWD
2015-06-26,33.043,33.334,32.934,33.226,TWD
2015-06-29,32.912,33.406,32.836,33.386,TWD
2015-06-30,33.363,33.425,32.865,33.024,TWD
2015-07-01,32.991,33.113,32.598,32.641,TWD
2015-07-02,32.623,32.791,32.48,32.742,TWD
2015-07-03,32.726,32.89,32.672,32.83,TWD
2015-07-06,32.736,32.898,32.629,32.81,TWD
2015-07-07,32.792,32.971,32.6,32.832,TWD
2015-07-08,32.801,32.997,32.58,32.826,TWD
2015-07-09,32.813,32.927,32.543,32.769,TWD
2015-07-10,32.757,33.214,32.651,33.037,TWD
2015-07-13,32.973,33.113,32.65,32.692,TWD
2015-07-14,32.66,33.046,32.522,32.824,TWD
2015-07-15,32.78,32.875,32.522,32.672,TWD
2015-07-16,32.659,32.716,32.375,32.438,TWD
2015-07-17,32.435,32.583,32.289,32.378,TWD
2015-07-20,32.324,32.55,32.223,32.381,TWD
2015-07-21,32.359,32.647,32.309,32.523,TWD
2015-07-22,32.502,32.618,32.393,32.543,TWD
2015-07-23,32.532,32.823,32.462,32.594,TWD
2015-07-24,32.559,32.952,32.456,32.687,TWD
2015-07-27,32.652,33.136,32.642,32.81,TWD
2015-07-28,32.782,32.849,32.448,32.627,TWD
2015-07-29,32.607,32.811,32.458,32.526,TWD
2015-07-30,32.512,32.643,32.35,32.573,TWD
2015-07-31,32.533,33.07,32.521,32.774,TWD
2015-08-03,32.766,32.815,32.605,32.704,TWD
2015-08-04,32.677,32.761,32.323,32.364,TWD
2015-08-05,32.359,32.493,32.23,32.389,TWD
2015-08-06,32.341,32.436,32.118,32.225,TWD
2015-08-07,32.187,32.371,32.04,32.181,TWD
2015-08-10,32.156,32.293,31.964,32.114,TWD
2015-08-11,32.108,32.866,31.99,32.572,TWD
2015-08-12,32.525,33.221,32.447,32.978,TWD
2015-08-13,32.929,33.142,32.679,32.937,TWD
2015-08-14,32.908,33.119,32.791,32.97,TWD
2015-08-17,32.885,33.308,32.848,33.124,TWD
2015-08-18,33.116,33.324,33.031,33.217,TWD
2015-08-19,33.193,33.71,33.112,33.63,TWD
2015-08-20,33.57,33.989,33.528,33.975,TWD
2015-08-21,33.952,34.546,33.854,34.515,TWD
2015-08-24,34.419,35.672,34.393,35.474,TWD
2015-08-25,35.43,35.516,34.071,34.555,TWD
2015-08-26,34.542,34.811,33.96,34.027,TWD
2015-08-27,33.999,34.155,33.328,33.413,TWD
2015-08-28,33.389,33.835,33.263,33.622,TWD
2015-08-31,33.56,33.975,33.483,33.61,TWD
2015-09-01,33.598,33.896,33.526,33.825,TWD
2015-09-02,33.825,33.855,33.438,33.512,TWD
2015-09-03,33.504,33.632,33.224,33.386,TWD
2015-09-04,33.392,33.674,33.261,33.629,TWD
2015-09-07,33.586,33.79,33.484,33.601,TWD
2015-09-08,33.601,33.781,33.201,33.367,TWD
2015-09-09,33.35,33.553,33.021,33.335,TWD
2015-09-10,33.279,33.571,33.034,33.246,TWD
2015-09-11,33.224,33.557,33.121,33.471,TWD
2015-09-14,33.374,33.688,33.371,33.547,TWD
2015-09-15,33.562,33.708,33.22,33.385,TWD
2015-09-16,33.347,33.579,33.251,33.438,TWD
2015-09-17,33.407,33.794,33.217,33.738,TWD
2015-09-18,33.701,33.871,33.22,33.368,TWD
2015-09-21,33.332,33.819,33.253,33.612,TWD
2015-09-22,33.583,33.934,33.398,33.76,TWD
2015-09-23,33.726,33.802,33.408,33.681,TWD
2015-09-24,33.66,34.383,33.52,33.95,TWD
2015-09-25,33.909,34.002,33.468,33.849,TWD
2015-09-28,33.806,34.195,33.687,34.048,TWD
2015-09-29,34.023,34.319,33.857,34.009,TWD
2015-09-30,33.971,34.094,33.603,33.902,TWD
2015-10-01,33.886,33.924,33.388,33.562,TWD
2015-10-02,33.555,34.148,33.459,33.699,TWD
2015-10-05,33.673,33.873,33.219,33.294,TWD
2015-10-06,33.266,33.775,33.206,33.71,TWD
2015-10-07,33.689,33.876,33.217,33.354,TWD
2015-10-08,33.359,33.777,33.219,33.502,TWD
2015-10-09,33.509,33.685,33.292,33.584,TWD
2015-10-12,33.558,33.805,33.491,33.604,TWD
2015-10-13,33.559,34.044,33.453,33.957,TWD
2015-10-14,33.926,34.156,33.841,34.037,TWD
2015-10-15,34.016,34.1,33.356,33.602,TWD
2015-10-16,33.591,34.033,33.435,33.784,TWD
2015-10-19,33.745,34.046,33.656,33.956,TWD
2015-10-20,33.928,34.12,33.726,33.836,TWD
2015-10-21,33.815,34.107,33.718,33.834,TWD
2015-10-22,33.811,33.929,33.245,33.347,TWD
2015-10-23,33.335,33.376,33.054,33.184,TWD
2015-10-26,33.174,33.25,32.83,32.915,TWD
2015-10-27,32.888,33.101,32.822,32.932,TWD
2015-10-28,32.92,33.09,32.569,32.828,TWD
2015-10-29,32.773,32.991,32.584,32.884,TWD
2015-10-30,32.862,33.023,32.681,32.851,TWD
2015-11-02,32.811,33.069,32.793,32.882,TWD
2015-11-03,32.844,33.01,32.648,32.74,TWD
2015-11-04,32.724,32.801,32.494,32.646,TWD
2015-11-05,32.636,32.74,32.46,32.622,TWD
2015-11-06,32.592,32.743,32.264,32.507,TWD
2015-11-09,32.51,32.838,32.333,32.641,TWD
2015-11-10,32.634,32.678,32.441,32.544,TWD
2015-11-11,32.507,32.667,32.414,32.506,TWD
2015-11-12,32.47,32.824,32.43,32.703,TWD
2015-11-13,32.7,32.865,32.51,32.626,TWD
2015-11-16,32.631,32.719,32.428,32.511,TWD
2015-11-17,32.453,32.625,32.194,32.331,TWD
2015-11-18,32.305,32.398,31.992,32.158,TWD
2015-11-19,32.123,32.277,31.935,32.07,TWD
2015-11-20,32.043,32.176,31.822,31.913,TWD
2015-11-23,31.891,32.087,31.796,32.057,TWD
2015-11-24,32.022,32.096,31.869,31.924,TWD
