Date,Open,High,Low,Close,Currency
2015-01-01,15.7064,15.7229,15.6922,15.7166,UAH
2015-01-02,15.7143,15.7284,15.5935,15.6012,UAH
2015-01-04,15.7183,15.7339,15.6669,15.7339,UAH
2015-01-05,15.5857,15.6082,15.4485,15.5122,UAH
2015-01-06,15.5068,15.5592,15.447,15.4653,UAH
2015-01-07,15.4608,15.4737,15.3438,15.4005,UAH
2015-01-08,15.3967,15.4118,15.2853,15.3377,UAH
2015-01-09,15.3363,15.4104,15.2927,15.4028,UAH
2015-01-11,15.5886,15.6147,15.5824,15.6147,UAH
2015-01-12,15.3998,15.44,15.3242,15.393,UAH
2015-01-13,15.3907,15.4263,15.2838,15.313,UAH
2015-01-14,15.3077,15.408,15.2494,15.3355,UAH
2015-01-15,15.3257,20.9826,15.2778,18.2016,UAH
2015-01-16,18.1966,18.4846,17.7299,18.2175,UAH
2015-01-18,18.3815,18.4351,18.3411,18.4351,UAH
2015-01-19,18.1333,18.2127,17.7419,17.7598,UAH
2015-01-20,17.752,17.9928,17.6677,17.8368,UAH
2015-01-21,17.8331,18.3823,17.7965,18.1624,UAH
2015-01-22,18.1607,18.326,17.8311,17.929,UAH
2015-01-23,17.9128,18.001,17.7098,17.7356,UAH
2015-01-25,18.0771,18.0771,17.8695,17.8695,UAH
2015-01-26,17.7138,17.831,17.2597,17.3025,UAH
2015-01-27,17.2922,17.4853,17.0431,17.2995,UAH
2015-01-28,17.296,17.3919,17.1743,17.2537,UAH
2015-01-29,17.2444,17.2689,16.8755,16.91,UAH
2015-01-30,16.9011,17.0409,16.8102,16.9596,UAH
2015-02-01,17.3972,17.3972,17.2508,17.3613,UAH
2015-02-02,16.8683,17.4182,16.7005,17.3225,UAH
2015-02-03,17.3183,17.5111,17.2903,17.3975,UAH
2015-02-04,17.3913,17.4702,17.3183,17.3665,UAH
2015-02-05,17.3556,27.0739,17.2625,26.923,UAH
2015-02-06,26.3758,27.3646,26.1684,27.2856,UAH
2015-02-08,20.7623,20.8072,20.7601,20.8072,UAH
2015-02-09,26.928,27.5859,26.3895,27.0651,UAH
