Date,Open,High,Low,Close,Currency
2015-01-01,1.0055,1.0065,1.0046,1.0061,USD
2015-01-02,1.006,1.0068,0.9983,0.9987,USD
2015-01-05,0.9978,0.9991,0.989,0.993,USD
2015-01-06,0.9928,0.996,0.9889,0.99,USD
2015-01-07,0.9898,0.9906,0.9823,0.9859,USD
2015-01-08,0.9857,0.9866,0.9786,0.9818,USD
2015-01-09,0.9818,0.9865,0.979,0.986,USD
2015-01-12,0.9859,0.9884,0.9811,0.9853,USD
2015-01-13,0.9853,0.9876,0.9785,0.9803,USD
2015-01-14,0.98,0.9863,0.9763,0.9817,USD
2015-01-15,0.9812,1.3432,0.9781,1.1652,USD
2015-01-16,1.165,1.1833,1.1351,1.1662,USD
2015-01-19,1.1609,1.1658,1.1358,1.1368,USD
2015-01-20,1.1365,1.1518,1.1311,1.1419,USD
2015-01-21,1.1417,1.1767,1.1393,1.1626,USD
2015-01-22,1.1627,1.1732,1.1416,1.1478,USD
2015-01-23,1.1468,1.1523,1.1338,1.1353,USD
2015-01-26,1.134,1.1414,1.105,1.1076,USD
2015-01-27,1.1071,1.1193,1.0911,1.1074,USD
2015-01-28,1.1073,1.1133,1.0995,1.1045,USD
2015-01-29,1.104,1.1054,1.0804,1.0825,USD
2015-01-30,1.082,1.0909,1.0762,1.0857,USD
2015-02-02,1.0799,1.0866,1.0692,1.077,USD
2015-02-03,1.077,1.0888,1.0753,1.0817,USD
2015-02-04,1.0815,1.0862,1.077,1.0797,USD
2015-02-05,1.0793,1.0862,1.0735,1.0856,USD
2015-02-06,1.0854,1.0899,1.0757,1.0806,USD
2015-02-09,1.0771,1.0873,1.0754,1.0826,USD
2015-02-10,1.0825,1.0853,1.077,1.0796,USD
2015-02-11,1.0793,1.0833,1.0745,1.077,USD
2015-02-12,1.0757,1.0801,1.0703,1.0742,USD
2015-02-13,1.0735,1.0789,1.0708,1.0726,USD
2015-02-16,1.0708,1.0773,1.0708,1.0726,USD
2015-02-17,1.0726,1.0764,1.0663,1.0673,USD
2015-02-18,1.0669,1.0735,1.0574,1.0614,USD
2015-02-19,1.0612,1.066,1.0524,1.0532,USD
2015-02-20,1.053,1.0665,1.048,1.0631,USD
2015-02-23,1.0591,1.0648,1.0489,1.053,USD
2015-02-24,1.0531,1.0561,1.0492,1.0521,USD
2015-02-25,1.052,1.0572,1.051,1.0543,USD
2015-02-26,1.0544,1.0586,1.0467,1.0493,USD
2015-02-27,1.0489,1.0588,1.0471,1.049,USD
2015-03-02,1.0482,1.0494,1.0414,1.0436,USD
2015-03-03,1.0425,1.0465,1.039,1.0404,USD
2015-03-04,1.0397,1.0431,1.0324,1.0381,USD
2015-03-05,1.0382,1.0387,1.0253,1.0262,USD
2015-03-06,1.0261,1.0293,1.0136,1.014,USD
2015-03-09,1.0132,1.0183,1.0117,1.0143,USD
2015-03-10,1.0142,1.0148,0.9994,1.0004,USD
2015-03-11,1.0003,1.0032,0.9887,0.9908,USD
2015-03-12,0.9908,1.0022,0.9871,0.9976,USD
2015-03-13,0.9977,0.9981,0.9882,0.9951,USD
2015-03-16,0.9928,0.9976,0.9915,0.9923,USD
2015-03-17,0.9921,0.9995,0.9906,0.9937,USD
2015-03-18,0.9936,1.0385,0.9925,1.0221,USD
2015-03-19,1.0221,1.0243,1.0008,1.01,USD
2015-03-20,1.01,1.0282,1.0089,1.0252,USD
2015-03-23,1.0233,1.0373,1.0183,1.035,USD
2015-03-24,1.0347,1.0486,1.0311,1.0436,USD
2015-03-25,1.0435,1.0467,1.0392,1.0419,USD
2015-03-26,1.0418,1.0537,1.0348,1.0385,USD
2015-03-27,1.0384,1.0461,1.0308,1.0402,USD
2015-03-30,1.0399,1.0412,1.0312,1.0338,USD
2015-03-31,1.0339,1.0355,1.0241,1.0282,USD
2015-04-01,1.028,1.037,1.0256,1.0344,USD
2015-04-02,1.0341,1.0457,1.0332,1.0419,USD
2015-04-03,1.0418,1.0549,1.0399,1.0505,USD
2015-04-06,1.0506,1.0528,1.0407,1.0432,USD
2015-04-07,1.0423,1.0462,1.0335,1.0352,USD
2015-04-08,1.0343,1.0421,1.0333,1.0345,USD
2015-04-09,1.0343,1.0353,1.0212,1.023,USD
2015-04-10,1.0226,1.0255,1.0154,1.0211,USD
2015-04-13,1.02,1.0246,1.0131,1.0225,USD
2015-04-14,1.0223,1.0339,1.0202,1.0278,USD
2015-04-15,1.0277,1.0378,1.0227,1.0367,USD
2015-04-16,1.0366,1.0481,1.0283,1.046,USD
2015-04-17,1.0455,1.0535,1.0423,1.0505,USD
2015-04-20,1.0477,1.0528,1.0409,1.0455,USD
2015-04-21,1.0454,1.0522,1.0382,1.0474,USD
2015-04-22,1.0462,1.0527,1.0288,1.0292,USD
2015-04-23,1.0287,1.0494,1.0286,1.0474,USD
2015-04-24,1.0472,1.0515,1.0436,1.0481,USD
2015-04-27,1.0468,1.0535,1.0423,1.0474,USD
2015-04-28,1.0473,1.0522,1.0409,1.0467,USD
2015-04-29,1.0466,1.0705,1.0436,1.064,USD
2015-04-30,1.0639,1.0743,1.0576,1.0724,USD
2015-05-01,1.0718,1.0778,1.0684,1.0723,USD
2015-05-04,1.0695,1.0742,1.0648,1.071,USD
2015-05-05,1.0705,1.0826,1.0613,1.0796,USD
2015-05-06,1.0792,1.0972,1.0771,1.0913,USD
2015-05-07,1.0906,1.1025,1.0828,1.085,USD
2015-05-08,1.0842,1.0869,1.0722,1.0742,USD
2015-05-11,1.0728,1.0761,1.068,1.0704,USD
2015-05-12,1.0704,1.0859,1.0681,1.0761,USD
2015-05-13,1.0762,1.0926,1.0752,1.0908,USD
2015-05-14,1.0906,1.1016,1.0892,1.0956,USD
2015-05-15,1.0951,1.0978,1.0796,1.0918,USD
2015-05-18,1.0896,1.0924,1.079,1.0792,USD
2015-05-19,1.0793,1.0821,1.0643,1.0673,USD
2015-05-20,1.0667,1.0707,1.0624,1.0669,USD
2015-05-21,1.0671,1.0748,1.0648,1.0675,USD
2015-05-22,1.0672,1.0772,1.0565,1.0593,USD
2015-05-25,1.0593,1.0634,1.0565,1.0582,USD
2015-05-26,1.0578,1.0586,1.048,1.049,USD
2015-05-27,1.0489,1.0569,1.0468,1.0533,USD
2015-05-28,1.0533,1.0618,1.0499,1.0597,USD
2015-05-29,1.0598,1.0697,1.0541,1.0635,USD
2015-06-01,1.0619,1.0644,1.054,1.0573,USD
2015-06-02,1.057,1.0741,1.056,1.0716,USD
2015-06-03,1.0715,1.0748,1.0609,1.0709,USD
2015-06-04,1.0703,1.0779,1.0668,1.0712,USD
2015-06-05,1.0709,1.0756,1.0514,1.0646,USD
2015-06-08,1.06,1.0804,1.0599,1.0785,USD
2015-06-09,1.0782,1.0816,1.0707,1.0739,USD
2015-06-10,1.0733,1.0836,1.0718,1.0736,USD
2015-06-11,1.0726,1.0753,1.0621,1.0714,USD
2015-06-12,1.0707,1.0821,1.0642,1.0764,USD
2015-06-15,1.0762,1.0783,1.0647,1.0758,USD
2015-06-16,1.0756,1.0788,1.07,1.0727,USD
2015-06-17,1.0719,1.0873,1.0719,1.0836,USD
2015-06-18,1.0833,1.0932,1.0808,1.0855,USD
2015-06-19,1.0853,1.0914,1.0798,1.0898,USD
2015-06-22,1.0893,1.092,1.0831,1.0852,USD
2015-06-23,1.0846,1.0859,1.0645,1.0703,USD
2015-06-24,1.0703,1.0776,1.0663,1.0709,USD
2015-06-25,1.0705,1.0727,1.0611,1.0675,USD
2015-06-26,1.0677,1.0758,1.0656,1.0718,USD
2015-06-29,1.062,1.0816,1.0607,1.0812,USD
2015-06-30,1.0807,1.0814,1.0652,1.069,USD
2015-07-01,1.0688,1.0705,1.0534,1.0545,USD
2015-07-02,1.0541,1.0621,1.0511,1.06,USD
2015-07-03,1.0598,1.0646,1.058,1.0631,USD
2015-07-06,1.0604,1.0629,1.055,1.0608,USD
2015-07-07,1.0606,1.0618,1.05,1.0564,USD
2015-07-08,1.0565,1.0631,1.0502,1.0577,USD
2015-07-09,1.0574,1.0613,1.0499,1.0549,USD
2015-07-10,1.0547,1.0719,1.0532,1.0648,USD
2015-07-13,1.0632,1.0677,1.0512,1.0522,USD
2015-07-14,1.0515,1.0641,1.0483,1.0583,USD
2015-07-15,1.0574,1.059,1.0465,1.0504,USD
2015-07-16,1.0501,1.0512,1.0424,1.044,USD
2015-07-17,1.0444,1.0468,1.0381,1.0404,USD
2015-07-20,1.0394,1.0429,1.0356,1.0367,USD
2015-07-21,1.0366,1.0468,1.0355,1.0431,USD
2015-07-22,1.0431,1.046,1.0375,1.0422,USD
2015-07-23,1.042,1.0501,1.0404,1.0419,USD
2015-07-24,1.0412,1.0454,1.0367,1.0383,USD
2015-07-27,1.0379,1.0498,1.0371,1.0385,USD
2015-07-28,1.038,1.0412,1.0328,1.0389,USD
2015-07-29,1.0385,1.0424,1.0312,1.0331,USD
2015-07-30,1.033,1.0349,1.0281,1.0316,USD
2015-07-31,1.0306,1.0476,1.0302,1.0352,USD
2015-08-03,1.034,1.0368,1.0298,1.0317,USD
2015-08-04,1.0311,1.0352,1.0207,1.0216,USD
2015-08-05,1.0219,1.0253,1.0171,1.0213,USD
2015-08-06,1.021,1.0241,1.0147,1.0195,USD
2015-08-07,1.0186,1.0216,1.0109,1.0165,USD
2015-08-10,1.0188,1.0203,1.01,1.0165,USD
2015-08-11,1.0165,1.0204,1.009,1.0124,USD
2015-08-12,1.0114,1.0341,1.0102,1.0252,USD
2015-08-13,1.0245,1.0288,1.02,1.0242,USD
2015-08-14,1.0238,1.0286,1.0209,1.0247,USD
2015-08-17,1.023,1.0267,1.0197,1.0212,USD
2015-08-18,1.0215,1.0263,1.0201,1.0233,USD
2015-08-19,1.023,1.037,1.021,1.036,USD
2015-08-20,1.0347,1.0437,1.0331,1.0432,USD
2015-08-21,1.0431,1.0573,1.041,1.0563,USD
2015-08-24,1.0539,1.0804,1.0531,1.0746,USD
