Date,Open,High,Low,Close,Currency
2015-01-01,6.0,6.0,6.0,6.0,VES
2015-01-02,6.0,6.0,6.0,6.0,VES
2015-01-05,6.0,6.0,6.0,6.0,VES
2015-01-06,6.0,6.0,6.0,6.0,VES
2015-01-07,6.0,6.0,6.0,6.0,VES
2015-01-08,6.0,6.0,6.0,6.0,VES
2015-01-09,6.0,6.0,6.0,6.0,VES
2015-01-12,6.0,6.0,6.0,6.0,VES
2015-01-13,6.0,6.0,6.0,6.0,VES
2015-01-14,6.0,6.0,6.0,6.0,VES
2015-01-15,6.0,8.0,6.0,7.0,VES
2015-01-16,7.0,7.0,7.0,7.0,VES
2015-01-19,7.0,7.0,7.0,7.0,VES
2015-01-20,7.0,7.0,7.0,7.0,VES
2015-01-21,7.0,7.0,7.0,7.0,VES
2015-01-22,7.0,7.0,7.0,7.0,VES
2015-01-23,7.0,7.0,7.0,7.0,VES
2015-01-26,7.0,7.0,7.0,7.0,VES
2015-01-27,7.0,7.0,7.0,7.0,VES
2015-01-28,7.0,7.0,7.0,7.0,VES
2015-01-29,7.0,7.0,7.0,7.0,VES
2015-01-30,7.0,7.0,7.0,7.0,VES
2015-02-02,7.0,7.0,7.0,7.0,VES
2015-02-03,7.0,7.0,7.0,7.0,VES
2015-02-04,7.0,7.0,7.0,7.0,VES
2015-02-05,7.0,7.0,7.0,7.0,VES
2015-02-06,7.0,7.0,7.0,7.0,VES
2015-02-09,7.0,7.0,7.0,7.0,VES
2015-02-10,7.0,7.0,7.0,7.0,VES
2015-02-11,7.0,7.0,7.0,7.0,VES
2015-02-12,7.0,7.0,7.0,7.0,VES
2015-02-13,7.0,7.0,7.0,7.0,VES
2015-02-16,7.0,7.0,7.0,7.0,VES
2015-02-17,7.0,7.0,7.0,7.0,VES
2015-02-18,7.0,7.0,7.0,7.0,VES
2015-02-19,7.0,7.0,7.0,7.0,VES
2015-02-20,7.0,7.0,7.0,7.0,VES
2015-02-23,7.0,7.0,7.0,7.0,VES
2015-02-24,7.0,7.0,7.0,7.0,VES
2015-02-25,7.0,7.0,7.0,7.0,VES
2015-02-26,7.0,7.0,7.0,7.0,VES
2015-02-27,7.0,7.0,7.0,7.0,VES
2015-03-02,7.0,7.0,7.0,7.0,VES
2015-03-03,7.0,7.0,7.0,7.0,VES
2015-03-04,7.0,7.0,6.0,7.0,VES
2015-03-05,7.0,7.0,6.0,6.0,VES
2015-03-06,6.0,6.0,6.0,6.0,VES
2015-03-09,6.0,6.0,6.0,6.0,VES
2015-03-10,6.0,6.0,6.0,6.0,VES
2015-03-11,6.0,6.0,6.0,6.0,VES
2015-03-12,6.0,6.0,6.0,6.0,VES
2015-03-13,6.0,6.0,6.0,6.0,VES
2015-03-16,6.0,6.0,6.0,6.0,VES
2015-03-17,6.0,6.0,6.0,6.0,VES
2015-03-18,6.0,7.0,6.0,6.0,VES
2015-03-19,6.0,6.0,6.0,6.0,VES
2015-03-20,6.0,6.0,6.0,6.0,VES
2015-03-23,6.0,7.0,6.0,7.0,VES
2015-03-24,7.0,7.0,6.0,7.0,VES
2015-03-25,7.0,7.0,7.0,7.0,VES
2015-03-26,7.0,7.0,7.0,7.0,VES
2015-03-27,7.0,7.0,6.0,7.0,VES
2015-03-30,7.0,7.0,6.0,7.0,VES
2015-03-31,6.0,7.0,6.0,6.0,VES
2015-04-01,6.0,7.0,6.0,7.0,VES
2015-04-02,6.0,7.0,6.0,7.0,VES
2015-04-03,7.0,7.0,7.0,7.0,VES
2015-04-06,7.0,7.0,7.0,7.0,VES
2015-04-07,7.0,7.0,6.0,7.0,VES
2015-04-08,7.0,7.0,6.0,7.0,VES
2015-04-09,7.0,7.0,6.0,6.0,VES
2015-04-10,6.0,6.0,6.0,6.0,VES
2015-04-13,6.0,6.0,6.0,6.0,VES
2015-04-14,6.0,7.0,6.0,6.0,VES
2015-04-15,6.0,7.0,6.0,7.0,VES
2015-04-16,7.0,7.0,6.0,7.0,VES
2015-04-17,7.0,7.0,7.0,7.0,VES
2015-04-20,7.0,7.0,7.0,7.0,VES
2015-04-21,7.0,7.0,7.0,7.0,VES
2015-04-22,7.0,7.0,6.0,6.0,VES
2015-04-23,6.0,7.0,6.0,7.0,VES
2015-04-24,7.0,7.0,7.0,7.0,VES
2015-04-27,7.0,7.0,7.0,7.0,VES
2015-04-28,7.0,7.0,7.0,7.0,VES
2015-04-29,7.0,7.0,7.0,7.0,VES
2015-04-30,7.0,7.0,7.0,7.0,VES
2015-05-01,7.0,7.0,7.0,7.0,VES
2015-05-04,7.0,7.0,7.0,7.0,VES
2015-05-05,7.0,7.0,7.0,7.0,VES
2015-05-06,7.0,7.0,7.0,7.0,VES
2015-05-07,7.0,7.0,7.0,7.0,VES
2015-05-08,7.0,7.0,7.0,7.0,VES
2015-05-11,7.0,7.0,7.0,7.0,VES
2015-05-12,7.0,7.0,7.0,7.0,VES
2015-05-13,7.0,7.0,7.0,7.0,VES
2015-05-14,7.0,7.0,7.0,7.0,VES
2015-05-15,7.0,7.0,7.0,7.0,VES
2015-05-18,7.0,7.0,7.0,7.0,VES
2015-05-19,7.0,7.0,7.0,7.0,VES
2015-05-20,7.0,7.0,7.0,7.0,VES
2015-05-21,7.0,7.0,7.0,7.0,VES
2015-05-22,7.0,7.0,7.0,7.0,VES
2015-05-25,7.0,7.0,7.0,7.0,VES
2015-05-26,7.0,7.0,7.0,7.0,VES
2015-05-27,7.0,7.0,7.0,7.0,VES
2015-05-28,7.0,7.0,7.0,7.0,VES
2015-05-29,7.0,7.0,7.0,7.0,VES
2015-06-01,7.0,7.0,7.0,7.0,VES
2015-06-02,7.0,7.0,7.0,7.0,VES
2015-06-03,7.0,7.0,7.0,7.0,VES
2015-06-04,7.0,7.0,7.0,7.0,VES
2015-06-05,7.0,7.0,7.0,7.0,VES
2015-06-08,7.0,7.0,7.0,7.0,VES
2015-06-09,7.0,7.0,7.0,7.0,VES
2015-06-10,7.0,7.0,7.0,7.0,VES
2015-06-11,7.0,7.0,7.0,7.0,VES
2015-06-12,7.0,7.0,7.0,7.0,VES
2015-06-15,7.0,7.0,7.0,7.0,VES
2015-06-16,7.0,7.0,7.0,7.0,VES
2015-06-17,7.0,7.0,7.0,7.0,VES
2015-06-18,7.0,7.0,7.0,7.0,VES
2015-06-19,7.0,7.0,7.0,7.0,VES
2015-06-22,7.0,7.0,7.0,7.0,VES
2015-06-23,7.0,7.0,7.0,7.0,VES
2015-06-24,7.0,7.0,7.0,7.0,VES
2015-06-25,7.0,7.0,7.0,7.0,VES
2015-06-26,7.0,7.0,7.0,7.0,VES
2015-06-29,7.0,7.0,7.0,7.0,VES
