Date,Open,High,Low,Close,Currency
2015-01-01,2.7049,2.7175,2.7024,2.7164,XCD
2015-01-02,2.7062,2.7184,2.6366,2.6765,XCD
2015-01-05,2.6641,2.6925,2.6214,2.6612,XCD
2015-01-06,2.6507,2.6932,2.6073,2.678,XCD
2015-01-07,2.6626,2.6777,2.6064,2.6668,XCD
2015-01-08,2.6516,2.6686,2.6184,2.6559,XCD
2015-01-09,2.6411,2.6772,2.6336,2.6671,XCD
2015-01-12,2.6521,2.6736,2.6391,2.6654,XCD
2015-01-13,2.6505,2.6711,2.6321,2.6516,XCD
2015-01-14,2.6362,2.668,2.6262,2.6555,XCD
2015-01-15,2.6393,3.6307,2.6311,3.1517,XCD
2015-01-16,3.1337,3.2005,3.0533,3.1545,XCD
2015-01-19,3.1228,3.1533,3.0554,3.0753,XCD
2015-01-20,3.0572,3.1155,3.0426,3.0886,XCD
2015-01-21,3.0711,3.1829,3.0648,3.145,XCD
2015-01-22,3.1275,3.1729,3.0708,3.1046,XCD
2015-01-23,3.0849,3.1168,3.0499,3.0711,XCD
2015-01-26,3.0506,3.0871,2.9724,2.9961,XCD
2015-01-27,2.978,3.0276,2.9351,2.9956,XCD
2015-01-28,2.9786,3.0114,2.9577,2.9876,XCD
2015-01-29,2.9698,2.9899,2.9062,2.9282,XCD
2015-01-30,2.9106,2.9507,2.895,2.9367,XCD
2015-02-02,2.905,2.9391,2.8761,2.9133,XCD
2015-02-03,2.8971,2.945,2.8925,2.926,XCD
2015-02-04,2.9094,2.9381,2.8971,2.9207,XCD
2015-02-05,2.9034,2.9381,2.8878,2.9365,XCD
2015-02-06,2.9198,2.9474,2.8752,2.923,XCD
2015-02-09,2.8975,2.941,2.8928,2.9284,XCD
2015-02-10,2.9119,2.9299,2.8971,2.9256,XCD
2015-02-11,2.9142,2.931,2.8903,2.9133,XCD
2015-02-12,2.8937,2.9217,2.8792,2.9058,XCD
2015-02-13,2.8878,2.9187,2.8804,2.9013,XCD
2015-02-16,2.8804,2.9142,2.8804,2.9014,XCD
2015-02-17,2.8853,2.9116,2.8684,2.8872,XCD
2015-02-18,2.8699,2.9035,2.8445,2.8709,XCD
2015-02-19,2.8547,2.8833,2.831,2.8489,XCD
2015-02-20,2.8325,2.8847,2.8191,2.8756,XCD
2015-02-23,2.849,2.8801,2.8215,2.8485,XCD
2015-02-24,2.8328,2.8573,2.8224,2.8459,XCD
2015-02-25,2.8298,2.8597,2.8271,2.8519,XCD
2015-02-26,2.8364,2.8635,2.8156,2.8384,XCD
2015-02-27,2.8215,2.8641,2.8168,2.8375,XCD
2015-03-02,2.8197,2.8386,2.8015,2.823,XCD
2015-03-03,2.8044,2.8309,2.7948,2.8145,XCD
2015-03-04,2.7968,2.8216,2.7772,2.8082,XCD
2015-03-05,2.7928,2.8096,2.7581,2.7757,XCD
2015-03-06,2.7601,2.7842,2.7265,2.7428,XCD
2015-03-09,2.7254,2.7545,2.7216,2.7437,XCD
2015-03-10,2.7282,2.7449,2.6884,2.7061,XCD
2015-03-11,2.6908,2.7137,2.6597,2.6799,XCD
2015-03-12,2.6652,2.7108,2.6552,2.6987,XCD
2015-03-13,2.6838,2.6998,2.6584,2.6918,XCD
2015-03-16,2.6705,2.6985,2.6671,2.6841,XCD
2015-03-17,2.6687,2.7035,2.6647,2.688,XCD
2015-03-18,2.6729,2.8141,2.6697,2.7697,XCD
2015-03-19,2.7596,2.7782,2.6922,2.7321,XCD
2015-03-20,2.7169,2.781,2.7139,2.7734,XCD
2015-03-23,2.7528,2.8094,2.7393,2.7996,XCD
2015-03-24,2.7832,2.8365,2.7738,2.8231,XCD
2015-03-25,2.8071,2.8312,2.7954,2.8183,XCD
2015-03-26,2.8024,2.8503,2.7835,2.8091,XCD
2015-03-27,2.7934,2.8297,2.7729,2.8139,XCD
2015-03-30,2.7974,2.8163,2.7741,2.7965,XCD
2015-03-31,2.7812,2.801,2.7547,2.7812,XCD
2015-04-01,2.7652,2.8049,2.759,2.798,XCD
2015-04-02,2.7818,2.8285,2.7792,2.8183,XCD
2015-04-03,2.8024,2.8535,2.7974,2.8415,XCD
2015-04-06,2.8262,2.8477,2.7995,2.8217,XCD
2015-04-07,2.8038,2.8299,2.7801,2.8002,XCD
2015-04-08,2.7824,2.8185,2.7795,2.7982,XCD
2015-04-09,2.7824,2.8001,2.7471,2.7671,XCD
2015-04-10,2.7508,2.774,2.7315,2.7622,XCD
2015-04-13,2.7438,2.7778,2.7252,2.7658,XCD
2015-04-14,2.7499,2.7964,2.7443,2.7804,XCD
2015-04-15,2.7646,2.8072,2.7511,2.8043,XCD
2015-04-16,2.7884,2.8351,2.7661,2.8295,XCD
2015-04-17,2.8123,2.8496,2.8038,2.8415,XCD
2015-04-20,2.8182,2.8479,2.8,2.828,XCD
2015-04-21,2.812,2.8459,2.7928,2.8333,XCD
2015-04-22,2.8144,2.8472,2.7675,2.7839,XCD
2015-04-23,2.7672,2.8384,2.7669,2.8331,XCD
2015-04-24,2.817,2.8443,2.8073,2.8352,XCD
2015-04-27,2.8191,2.8443,2.8038,2.8384,XCD
2015-04-28,2.8278,2.8463,2.8,2.8315,XCD
2015-04-29,2.8153,2.8958,2.8073,2.8782,XCD
2015-04-30,2.862,2.9061,2.8451,2.9008,XCD
2015-05-01,2.8832,2.9154,2.8739,2.9005,XCD
2015-05-04,2.877,2.9057,2.8644,2.8973,XCD
2015-05-05,2.8804,2.9283,2.855,2.9204,XCD
2015-05-06,2.9031,2.9707,2.8975,2.9521,XCD
2015-05-07,2.9338,2.982,2.9128,2.9348,XCD
2015-05-08,2.9166,2.94,2.8841,2.9058,XCD
2015-05-11,2.886,2.9108,2.873,2.8953,XCD
2015-05-12,2.8795,2.9391,2.8733,2.9108,XCD
2015-05-13,2.895,2.9554,2.8922,2.9506,XCD
2015-05-14,2.9338,2.9797,2.93,2.9634,XCD
2015-05-15,2.9457,2.9694,2.904,2.9532,XCD
2015-05-18,2.9309,2.9548,2.9025,2.9193,XCD
2015-05-19,2.9034,2.9266,2.8629,2.8872,XCD
2015-05-20,2.8693,2.8963,2.8577,2.8858,XCD
2015-05-21,2.8706,2.9069,2.8644,2.8875,XCD
2015-05-22,2.8709,2.9133,2.842,2.8652,XCD
2015-05-25,2.8496,2.8766,2.842,2.8624,XCD
2015-05-26,2.8454,2.8632,2.8191,2.8375,XCD
2015-05-27,2.8215,2.859,2.8159,2.8492,XCD
2015-05-28,2.8334,2.872,2.8241,2.8666,XCD
2015-05-29,2.8508,2.8935,2.8355,2.8767,XCD
2015-06-01,2.8565,2.8789,2.8352,2.8599,XCD
2015-06-02,2.8433,2.9054,2.8405,2.8986,XCD
2015-06-03,2.8822,2.9078,2.8538,2.8967,XCD
2015-06-04,2.8792,2.9155,2.8696,2.8975,XCD
2015-06-05,2.8807,2.9094,2.8283,2.8795,XCD
2015-06-08,2.8514,2.923,2.8511,2.9173,XCD
2015-06-09,2.9003,2.926,2.8801,2.905,XCD
2015-06-10,2.8872,2.9308,2.8832,2.9039,XCD
2015-06-11,2.8853,2.9088,2.8571,2.8982,XCD
2015-06-12,2.8801,2.9269,2.8626,2.9116,XCD
2015-06-15,2.895,2.9167,2.8641,2.9102,XCD
2015-06-16,2.8934,2.9181,2.8782,2.9016,XCD
2015-06-17,2.8835,2.9409,2.8835,2.9312,XCD
2015-06-18,2.9141,2.9568,2.9075,2.9361,XCD
2015-06-19,2.9195,2.9524,2.9047,2.9479,XCD
2015-06-22,2.9303,2.9541,2.9135,2.9352,XCD
2015-06-23,2.9176,2.9371,2.8635,2.8952,XCD
2015-06-24,2.8792,2.915,2.8684,2.897,XCD
2015-06-25,2.8798,2.9013,2.8544,2.8875,XCD
2015-06-26,2.8721,2.9101,2.8666,2.8993,XCD
2015-06-29,2.8568,2.926,2.8532,2.9246,XCD
2015-06-30,2.9072,2.925,2.8654,2.8915,XCD
2015-07-01,2.8752,2.8956,2.8337,2.863,XCD
2015-07-02,2.846,2.8728,2.8274,2.8671,XCD
2015-07-03,2.8508,2.8794,2.846,2.8758,XCD
