Date,Open,High,Low,Close,Currency
2015-01-01,3.9315,3.9382,3.9302,3.9382,COP
2015-01-02,3.9354,3.9459,3.8577,3.8733,COP
2015-01-05,3.8631,3.9482,3.8427,3.9373,COP
2015-01-06,3.9348,3.9981,3.927,3.9727,COP
2015-01-07,3.9676,3.9989,3.9243,3.9566,COP
2015-01-08,3.9527,3.9646,3.9045,3.9123,COP
2015-01-09,3.9088,3.9531,3.8799,3.933,COP
2015-01-12,3.929,3.933,3.9052,3.9197,COP
2015-01-13,3.9173,3.9924,3.9037,3.9424,COP
2015-01-14,3.9364,3.9491,3.8617,3.8765,COP
2015-01-15,3.8814,3.899,3.813,3.855,COP
2015-01-16,3.8497,3.8602,3.7577,3.7724,COP
2015-01-19,3.7703,3.7749,3.7298,3.7486,COP
2015-01-20,3.744,3.8003,3.7411,3.7789,COP
2015-01-21,3.7742,3.792,3.7208,3.7836,COP
2015-01-22,3.7779,3.8055,3.7589,3.7993,COP
2015-01-23,3.7947,3.8267,3.7757,3.8129,COP
2015-01-26,3.8092,3.8357,3.8002,3.8333,COP
2015-01-27,3.8259,3.8578,3.811,3.8331,COP
2015-01-28,3.8331,3.848,3.7707,3.7969,COP
2015-01-29,3.7908,3.8521,3.768,3.843,COP
2015-01-30,3.8397,3.8845,3.8214,3.8512,COP
2015-02-02,3.845,3.8638,3.7839,3.8198,COP
2015-02-03,3.8145,3.8512,3.7502,3.7687,COP
2015-02-04,3.7666,3.8264,3.7379,3.8173,COP
2015-02-05,3.8109,3.8377,3.7891,3.8117,COP
2015-02-06,3.8048,3.849,3.7832,3.792,COP
2015-02-09,3.7882,3.8066,3.7755,3.7898,COP
2015-02-10,3.7875,3.8117,3.7704,3.8024,COP
2015-02-11,3.8013,3.856,3.7927,3.8491,COP
2015-02-12,3.8468,3.8647,3.8246,3.8413,COP
2015-02-13,3.8361,3.8761,3.8105,3.8584,COP
2015-02-16,3.8516,3.8681,3.8368,3.8457,COP
2015-02-17,3.8411,3.908,3.8402,3.8902,COP
2015-02-18,3.8967,3.935,3.8801,3.9219,COP
2015-02-19,3.9194,3.9638,3.8992,3.9457,COP
2015-02-20,3.9415,3.9954,3.9407,3.9935,COP
2015-02-23,3.9901,4.0203,3.9514,4.0113,COP
2015-02-24,4.0055,4.0298,3.9792,4.0175,COP
2015-02-25,4.0157,4.0458,3.9968,4.0275,COP
2015-02-26,4.0224,4.0464,4.0028,4.0212,COP
2015-02-27,4.0148,4.0557,4.0032,4.0495,COP
2015-03-02,4.0461,4.1212,4.037,4.1132,COP
2015-03-03,4.1068,4.1753,4.0836,4.1399,COP
2015-03-04,4.1327,4.1738,4.0924,4.1068,COP
2015-03-05,4.1086,4.1385,4.0772,4.106,COP
2015-03-06,4.0966,4.133,4.0577,4.1281,COP
2015-03-09,4.1233,4.1612,4.0955,4.1524,COP
2015-03-10,4.148,4.1665,4.1071,4.1392,COP
2015-03-11,4.1356,4.1541,4.1015,4.1141,COP
2015-03-12,4.1096,4.1549,4.0844,4.1452,COP
2015-03-13,4.1388,4.1853,4.0996,4.1701,COP
2015-03-16,4.1656,4.2062,4.1565,4.1936,COP
2015-03-17,4.1869,4.2125,4.1332,4.1479,COP
2015-03-18,4.1437,4.1596,4.0814,4.1329,COP
2015-03-19,4.1283,4.1396,4.063,4.1085,COP
2015-03-20,4.1021,4.14,4.0592,4.0754,COP
2015-03-23,4.0709,4.1089,4.0696,4.1037,COP
2015-03-24,4.0973,4.1322,4.022,4.0365,COP
2015-03-25,4.0318,4.1284,4.0247,4.093,COP
2015-03-26,4.0892,4.1315,4.0699,4.1108,COP
2015-03-27,4.1052,4.1262,4.0822,4.1052,COP
2015-03-30,4.102,4.1212,4.0814,4.1092,COP
2015-03-31,4.1027,4.1787,4.083,4.1634,COP
2015-04-01,4.1591,4.2051,4.1519,4.1682,COP
2015-04-02,4.1613,4.2094,4.1566,4.1837,COP
2015-04-03,4.179,4.1931,4.1573,4.171,COP
2015-04-06,4.1603,4.2338,4.1102,4.1423,COP
2015-04-07,4.1312,4.1614,4.0978,4.1212,COP
2015-04-08,4.1162,4.1218,4.0509,4.0743,COP
