Date,Open,High,Low,Close,Currency
2015-01-01,1.7993,1.8043,1.7987,1.8013,KRW
2015-01-02,1.7992,1.8246,1.7941,1.8039,KRW
2015-01-05,1.8008,1.8123,1.7926,1.7978,KRW
2015-01-06,1.7955,1.7994,1.7762,1.7828,KRW
2015-01-07,1.7799,1.7984,1.7735,1.7891,KRW
2015-01-08,1.7858,1.796,1.7796,1.7875,KRW
2015-01-09,1.7851,1.7908,1.7624,1.7671,KRW
2015-01-12,1.764,1.7701,1.7537,1.7562,KRW
2015-01-13,1.7538,1.7631,1.7333,1.7414,KRW
2015-01-14,1.7384,1.7518,1.7218,1.7303,KRW
2015-01-15,1.7273,1.738,1.715,1.72,KRW
2015-01-16,1.7196,1.7282,1.7083,1.7186,KRW
2015-01-19,1.7168,1.7275,1.7088,1.7186,KRW
2015-01-20,1.7167,1.7409,1.7163,1.7301,KRW
2015-01-21,1.7268,1.7363,1.7159,1.7229,KRW
2015-01-22,1.72,1.7389,1.7195,1.7378,KRW
2015-01-23,1.7348,1.7424,1.7152,1.7227,KRW
2015-01-26,1.7209,1.7349,1.7196,1.7335,KRW
2015-01-27,1.7309,1.741,1.7233,1.7293,KRW
2015-01-28,1.7266,1.751,1.726,1.7437,KRW
2015-01-29,1.7404,1.7635,1.7397,1.7525,KRW
2015-01-30,1.7495,1.7553,1.7349,1.7399,KRW
2015-02-02,1.7355,1.7492,1.7288,1.7451,KRW
2015-02-03,1.7426,1.7627,1.7373,1.7473,KRW
2015-02-04,1.745,1.749,1.7273,1.7358,KRW
2015-02-05,1.7332,1.7489,1.7294,1.7416,KRW
2015-02-06,1.739,1.7616,1.737,1.7491,KRW
2015-02-09,1.7457,1.7615,1.7411,1.7543,KRW
2015-02-10,1.7515,1.7593,1.7408,1.7548,KRW
2015-02-11,1.7524,1.7692,1.7474,1.7591,KRW
2015-02-12,1.7573,1.7751,1.7509,1.7712,KRW
2015-02-13,1.7691,1.7784,1.7583,1.7744,KRW
2015-02-16,1.7714,1.7858,1.7656,1.7725,KRW
2015-02-17,1.7706,1.7913,1.7644,1.7856,KRW
2015-02-18,1.7823,1.8,1.7822,1.7888,KRW
2015-02-19,1.7858,1.8042,1.7827,1.7943,KRW
2015-02-20,1.7908,1.8063,1.7905,1.8033,KRW
2015-02-23,1.7989,1.8078,1.7738,1.779,KRW
2015-02-24,1.7755,1.7956,1.7725,1.7871,KRW
2015-02-25,1.7854,1.7895,1.7707,1.7836,KRW
2015-02-26,1.7809,1.7885,1.7702,1.7793,KRW
2015-02-27,1.7756,1.7864,1.7658,1.7839,KRW
2015-03-02,1.7824,1.7937,1.7756,1.7894,KRW
2015-03-03,1.7856,1.7927,1.7697,1.7774,KRW
2015-03-04,1.7736,1.7852,1.7665,1.7799,KRW
2015-03-05,1.7767,1.7838,1.7654,1.7767,KRW
2015-03-06,1.7729,1.7792,1.7553,1.7755,KRW
2015-03-09,1.7731,1.7808,1.7643,1.7752,KRW
2015-03-10,1.7723,1.7929,1.7658,1.7736,KRW
2015-03-11,1.7707,1.7789,1.7613,1.7743,KRW
2015-03-12,1.7715,1.7814,1.7568,1.7753,KRW
2015-03-13,1.7727,1.7905,1.7647,1.7784,KRW
2015-03-16,1.7753,1.7798,1.7594,1.7665,KRW
2015-03-17,1.7632,1.7684,1.751,1.761,KRW
