Date,Open,High,Low,Close,Currency
2015-01-01,0.428,0.4282,0.428,0.4282,BRL
2015-01-02,0.428,0.4365,0.428,0.4341,BRL
2015-01-05,0.4338,0.439,0.4326,0.4351,BRL
2015-01-06,0.435,0.4383,0.4331,0.4346,BRL
2015-01-07,0.4345,0.436,0.4302,0.4319,BRL
2015-01-08,0.4318,0.435,0.4281,0.4285,BRL
2015-01-09,0.4286,0.4306,0.423,0.4236,BRL
2015-01-12,0.4236,0.4311,0.4235,0.4309,BRL
2015-01-13,0.4309,0.433,0.4238,0.4264,BRL
2015-01-14,0.4263,0.4282,0.42,0.4222,BRL
2015-01-15,0.4223,0.4276,0.4192,0.4271,BRL
2015-01-16,0.4263,0.4265,0.4211,0.4223,BRL
2015-01-19,0.4212,0.4284,0.4209,0.4264,BRL
2015-01-20,0.4262,0.4269,0.4196,0.4206,BRL
2015-01-21,0.4205,0.4209,0.4161,0.4187,BRL
2015-01-22,0.4185,0.4192,0.4105,0.4146,BRL
2015-01-23,0.4138,0.4173,0.4126,0.4142,BRL
2015-01-26,0.4129,0.4171,0.412,0.4131,BRL
2015-01-27,0.4134,0.4162,0.4107,0.412,BRL
2015-01-28,0.412,0.4148,0.4106,0.4123,BRL
2015-01-29,0.4122,0.419,0.4119,0.4168,BRL
2015-01-30,0.4166,0.4309,0.4162,0.4292,BRL
2015-02-02,0.429,0.436,0.4257,0.4356,BRL
2015-02-03,0.4357,0.4361,0.4293,0.4306,BRL
2015-02-04,0.4313,0.4399,0.4308,0.4389,BRL
2015-02-05,0.4388,0.4418,0.4353,0.4391,BRL
2015-02-06,0.439,0.4461,0.439,0.4456,BRL
2015-02-09,0.4454,0.4479,0.4424,0.4434,BRL
2015-02-10,0.4432,0.4551,0.4431,0.4541,BRL
2015-02-11,0.454,0.4617,0.4537,0.4596,BRL
2015-02-12,0.4595,0.461,0.4507,0.4517,BRL
2015-02-13,0.4516,0.4581,0.451,0.4543,BRL
2015-02-16,0.4537,0.454,0.4533,0.4536,BRL
2015-02-17,0.4534,0.4536,0.4522,0.4524,BRL
2015-02-18,0.4522,0.4556,0.452,0.4536,BRL
2015-02-19,0.4536,0.4587,0.4536,0.4582,BRL
2015-02-20,0.4582,0.4614,0.4562,0.4585,BRL
2015-02-23,0.4583,0.4643,0.4573,0.4602,BRL
2015-02-24,0.4601,0.4622,0.4517,0.4529,BRL
2015-02-25,0.4528,0.461,0.4524,0.4593,BRL
2015-02-26,0.4592,0.4647,0.4538,0.4647,BRL
2015-02-27,0.4646,0.4659,0.4527,0.4528,BRL
2015-03-02,0.4524,0.462,0.4523,0.4618,BRL
2015-03-03,0.4614,0.4677,0.4607,0.4672,BRL
2015-03-04,0.4672,0.4786,0.467,0.4747,BRL
2015-03-05,0.4747,0.4824,0.4746,0.4793,BRL
2015-03-06,0.4792,0.4907,0.4762,0.4889,BRL
