Date,Open,High,Low,Close,Currency
2015-01-01,2349.4626,2371.8286,2349.4626,2349.4626,BYN
2015-01-02,2349.4626,2391.5078,2349.4626,2366.7686,BYN
2015-01-04,2368.135,2368.135,2368.135,2368.135,BYN
2015-01-05,2368.135,2381.8848,2234.3159,2234.3159,BYN
2015-01-06,2236.1812,2247.7734,2193.8376,2208.5298,BYN
2015-01-07,2210.7776,2218.0923,2198.7483,2198.7483,BYN
2015-01-08,2202.4563,2217.6895,2200.6006,2211.3022,BYN
2015-01-09,2211.1211,2271.844,2207.1748,2260.7085,BYN
2015-01-11,2259.7549,2259.7549,2259.7549,2259.7549,BYN
2015-01-12,2259.7549,2308.6704,2258.5867,2297.6743,BYN
2015-01-13,2299.7085,2319.1567,2296.0183,2318.5522,BYN
2015-01-14,2316.5818,2324.9639,2304.0425,2310.4055,BYN
2015-01-15,2314.4243,2359.833,2314.3926,2346.8552,BYN
2015-01-16,2347.6704,2375.6238,2336.6658,2353.3262,BYN
2015-01-18,2353.2278,2353.2278,2353.2278,2353.2278,BYN
2015-01-19,2353.2278,2353.2278,2335.5676,2341.8142,BYN
2015-01-20,2344.0557,2355.1628,2341.8792,2355.1628,BYN
2015-01-21,2355.0645,2382.5906,2330.7036,2340.7114,BYN
2015-01-22,2343.0481,2403.875,2337.8293,2397.4292,BYN
2015-01-23,2399.4377,2439.5842,2388.8213,2417.9771,BYN
2015-01-25,2419.6736,2419.6736,2419.6736,2419.6736,BYN
2015-01-26,2419.6736,2419.6736,2393.355,2399.949,BYN
2015-01-27,2402.2004,2408.1912,2370.1926,2383.3633,BYN
2015-01-28,2382.4226,2397.4634,2377.7632,2397.4634,BYN
2015-01-29,2397.4634,2400.7671,2380.7109,2387.033,BYN
2015-01-30,2387.033,2396.1716,2380.9792,2390.8831,BYN
2015-02-01,2395.2207,2395.2207,2395.2207,2395.2207,BYN
2015-02-02,2395.2207,2429.5881,2376.9939,2383.4978,BYN
2015-02-03,2381.6167,2385.3821,2343.8606,2355.918,BYN
2015-02-04,2355.918,2391.9658,2353.8506,2391.9658,BYN
2015-02-05,2389.8687,2389.8687,2351.8196,2351.8196,BYN
2015-02-06,2355.4912,2391.3904,2355.4912,2391.3904,BYN
2015-02-08,2391.3904,2391.3904,2391.3904,2391.3904,BYN
2015-02-09,2391.3904,2398.9268,2382.2546,2383.5986,BYN
2015-02-10,2387.8086,2400.699,2385.7861,2393.4905,BYN
2015-02-11,2393.1516,2398.8586,2385.8535,2392.6094,BYN
2015-02-12,2392.6094,2392.6433,2369.8271,2369.8271,BYN
2015-02-13,2371.8894,2378.7002,2367.9011,2378.2986,BYN
2015-02-15,2378.2986,2378.2986,2378.2986,2378.2986,BYN
2015-02-16,2378.2986,2388.585,2367.0388,2382.1538,BYN
2015-02-17,2386.6958,2387.1003,2360.2285,2365.9121,BYN
2015-02-18,2368.1001,2383.666,2367.3704,2372.3555,BYN
2015-02-19,2370.1594,2379.0352,2360.657,2372.1558,BYN
2015-02-20,2376.8267,2392.8464,2365.0842,2376.2251,BYN
2015-02-22,2374.1218,2374.1218,2374.1218,2374.1218,BYN
2015-02-23,2374.1218,2390.511,2374.1218,2385.0117,BYN
2015-02-24,2382.8257,2389.8687,2382.8257,2389.8687,BYN
2015-02-25,2385.1125,2385.1125,2371.0574,2377.6294,BYN
2015-02-26,2376.3921,2413.729,2374.1553,2413.729,BYN
2015-02-27,2409.4272,2410.8022,2397.3953,2403.9092,BYN
2015-03-01,2408.5344,2408.5344,2408.5344,2408.5344,BYN
2015-03-02,2408.5344,2411.5247,2397.2593,2404.4221,BYN
2015-03-03,2408.8091,2413.0742,2402.0298,2406.4766,BYN
2015-03-04,2406.436,2407.782,2389.2874,2389.2874,BYN
2015-03-05,2390.5945,2406.6902,2389.5354,2406.6902,BYN
2015-03-06,2393.6052,2393.6052,2393.6052,2393.6052,BYN
2015-03-08,2370.4788,2370.4788,2370.4788,2370.4788,BYN
2015-03-09,2370.7356,2370.7356,2370.7356,2370.7356,BYN
2015-03-10,2385.0483,2385.0483,2385.0483,2385.0483,BYN
2015-03-11,2389.2527,2389.2527,2389.2527,2389.2527,BYN
2015-03-12,2427.2224,2427.2224,2427.2224,2427.2224,BYN
2015-03-13,2406.3684,2406.3684,2406.3684,2406.3684,BYN
2015-03-15,2411.9163,2411.9163,2411.9163,2411.9163,BYN
2015-03-16,2408.1245,2408.1245,2408.1245,2408.1245,BYN
2015-03-17,2409.7539,2409.7539,2409.7539,2409.7539,BYN
2015-03-18,2412.5266,2412.5266,2412.5266,2412.5266,BYN
2015-03-19,2424.0283,2424.0283,2424.0283,2424.0283,BYN
2015-03-20,2400.6572,2400.6572,2400.6572,2400.6572,BYN
2015-03-22,2378.6416,2378.6416,2378.6416,2378.6416,BYN
2015-03-23,2379.9292,2379.9292,2379.9292,2379.9292,BYN
2015-03-24,2373.1907,2373.1907,2373.1907,2373.1907,BYN
2015-03-25,2350.9583,2350.9583,2350.9583,2350.9583,BYN
2015-03-26,2348.7319,2348.7319,2348.7319,2348.7319,BYN
2015-03-27,2333.2019,2333.2019,2333.2019,2333.2019,BYN
2015-03-29,2348.3335,2348.3335,2348.3335,2348.3335,BYN
2015-03-30,2346.8,2346.8,2346.8,2346.8,BYN
2015-03-31,2372.9143,2372.9143,2372.9143,2372.9143,BYN
