Date,Open,High,Low,Close,Currency
2015-01-01,97.69,97.76,97.61,97.72,CLP
2015-01-02,97.65,99.14,97.62,98.88,CLP
2015-01-05,98.77,99.41,98.49,99.24,CLP
2015-01-06,99.22,99.65,98.72,99.22,CLP
2015-01-07,99.14,99.33,98.7,98.85,CLP
2015-01-08,98.76,99.03,98.35,98.61,CLP
2015-01-09,98.63,99.21,98.61,98.97,CLP
2015-01-12,98.89,99.65,98.88,99.39,CLP
2015-01-13,99.34,100.24,99.25,99.96,CLP
2015-01-14,99.85,101.25,99.84,101.0,CLP
2015-01-15,100.94,101.28,100.28,101.09,CLP
2015-01-16,100.88,101.47,100.52,101.16,CLP
2015-01-19,100.89,101.3,100.83,100.98,CLP
2015-01-20,100.96,101.45,100.53,101.2,CLP
2015-01-21,101.1,101.47,100.83,101.12,CLP
2015-01-22,101.03,101.29,100.27,100.59,CLP
2015-01-23,100.35,100.89,100.16,100.43,CLP
2015-01-26,100.07,100.44,99.49,99.69,CLP
2015-01-27,99.72,100.1,99.52,99.85,CLP
2015-01-28,99.79,99.98,99.28,99.67,CLP
2015-01-29,99.57,100.59,99.5,100.47,CLP
2015-01-30,100.39,101.67,100.28,101.37,CLP
2015-02-02,101.24,101.3,100.54,100.64,CLP
2015-02-03,100.64,100.73,99.75,99.97,CLP
2015-02-04,100.11,100.53,99.91,100.34,CLP
2015-02-05,100.27,100.39,99.56,99.78,CLP
2015-02-06,99.72,100.68,99.19,100.54,CLP
2015-02-09,100.44,100.6,99.75,99.94,CLP
2015-02-10,99.87,100.51,99.85,100.38,CLP
2015-02-11,100.33,101.22,100.21,100.91,CLP
2015-02-12,100.9,100.94,99.53,99.59,CLP
2015-02-13,99.68,99.98,98.91,99.16,CLP
2015-02-16,99.03,99.58,98.7,99.48,CLP
2015-02-17,99.46,99.56,98.64,99.28,CLP
2015-02-18,99.04,99.56,98.87,99.09,CLP
2015-02-19,99.02,99.72,98.65,99.06,CLP
2015-02-20,98.95,99.03,98.24,98.45,CLP
2015-02-23,98.44,99.8,98.39,99.61,CLP
2015-02-24,99.5,100.06,98.84,98.92,CLP
2015-02-25,98.91,99.17,98.5,98.59,CLP
2015-02-26,98.53,99.15,98.16,99.01,CLP
2015-02-27,98.89,99.2,98.29,98.47,CLP
2015-03-02,98.35,98.76,98.15,98.28,CLP
2015-03-03,98.1,98.78,98.08,98.36,CLP
2015-03-04,98.26,99.09,98.22,98.69,CLP
2015-03-05,98.58,99.44,98.55,99.02,CLP
2015-03-06,98.91,100.32,98.88,99.9,CLP
2015-03-09,99.75,100.64,99.68,100.27,CLP
2015-03-10,100.17,101.66,100.15,101.51,CLP
2015-03-11,101.4,102.17,101.4,101.89,CLP
2015-03-12,101.74,102.0,100.62,101.25,CLP
2015-03-13,101.16,102.41,101.16,102.25,CLP
2015-03-16,102.15,102.49,101.68,102.32,CLP
2015-03-17,102.25,102.84,102.24,102.62,CLP
2015-03-18,102.51,103.34,101.98,102.09,CLP
2015-03-19,102.04,103.5,101.98,103.35,CLP
2015-03-20,103.22,103.62,101.51,101.8,CLP
2015-03-23,101.71,101.91,100.3,100.45,CLP
2015-03-24,100.38,100.85,100.0,100.27,CLP
2015-03-25,100.2,100.36,99.44,99.97,CLP
2015-03-26,99.86,100.45,99.47,100.31,CLP
2015-03-27,100.24,100.48,99.96,100.28,CLP
2015-03-30,100.17,101.38,100.17,101.0,CLP
2015-03-31,100.87,101.67,100.31,100.73,CLP
2015-04-01,100.63,100.94,99.32,99.64,CLP
2015-04-02,99.56,99.79,98.75,99.29,CLP
2015-04-03,99.19,99.52,99.12,99.33,CLP
2015-04-06,99.24,99.37,98.15,98.76,CLP
2015-04-07,98.71,99.12,98.22,98.45,CLP
2015-04-08,98.35,98.88,98.07,98.6,CLP
2015-04-09,98.52,99.48,98.24,99.33,CLP
2015-04-10,99.26,100.07,99.08,99.78,CLP
2015-04-13,99.69,100.31,98.84,99.19,CLP
2015-04-14,99.13,99.47,98.44,98.78,CLP
2015-04-15,98.72,99.72,98.6,98.84,CLP
2015-04-16,98.72,99.12,98.29,98.53,CLP
2015-04-17,98.42,99.28,98.31,98.67,CLP
2015-04-20,98.6,99.54,98.47,99.41,CLP
2015-04-21,99.31,99.65,99.04,99.39,CLP
2015-04-22,99.31,100.11,99.21,99.95,CLP
2015-04-23,99.85,100.2,99.0,99.21,CLP
2015-04-24,99.14,99.53,98.68,98.97,CLP
2015-04-27,98.82,98.97,97.79,98.17,CLP
2015-04-28,98.11,98.5,97.33,97.79,CLP
2015-04-29,97.67,98.49,97.49,98.31,CLP
2015-04-30,98.21,98.92,97.83,98.62,CLP
2015-05-01,98.55,98.93,98.4,98.63,CLP
2015-05-04,98.55,99.39,98.4,98.99,CLP
2015-05-05,98.85,99.18,98.06,98.28,CLP
2015-05-06,98.19,98.82,97.68,98.75,CLP
2015-05-07,98.62,98.82,97.88,98.21,CLP
2015-05-08,98.12,98.34,97.01,97.43,CLP
2015-05-11,97.37,98.49,97.11,98.27,CLP
2015-05-12,98.14,98.5,97.08,97.3,CLP
2015-05-13,97.21,97.51,96.27,97.13,CLP
2015-05-14,97.05,97.35,95.66,95.88,CLP
2015-05-15,95.81,96.49,95.46,96.26,CLP
2015-05-18,96.27,96.88,95.84,96.72,CLP
2015-05-19,96.67,97.53,96.55,97.34,CLP
2015-05-20,97.25,97.85,97.18,97.38,CLP
2015-05-21,97.28,97.6,97.2,97.47,CLP
2015-05-22,97.37,98.23,97.37,98.16,CLP
2015-05-25,98.05,98.6,97.96,98.5,CLP
2015-05-26,98.45,99.03,98.32,98.85,CLP
2015-05-27,98.92,99.66,98.71,99.16,CLP
2015-05-28,99.05,99.75,99.05,99.35,CLP
2015-05-29,99.3,99.98,98.93,99.71,CLP
2015-06-01,99.65,100.86,99.56,100.67,CLP
2015-06-02,100.59,100.73,99.95,100.39,CLP
2015-06-03,100.33,101.42,100.29,101.27,CLP
2015-06-04,101.21,101.55,100.89,101.36,CLP
2015-06-05,101.28,102.92,101.15,102.61,CLP
2015-06-08,102.48,102.69,101.42,101.66,CLP
2015-06-09,101.58,101.69,100.52,100.78,CLP
2015-06-10,100.67,101.86,99.84,101.73,CLP
2015-06-11,101.68,102.36,101.33,101.58,CLP
2015-06-12,101.49,101.98,101.37,101.69,CLP
2015-06-15,101.63,102.37,101.51,102.13,CLP
2015-06-16,102.05,102.59,101.57,102.36,CLP
2015-06-17,102.31,102.96,101.97,102.12,CLP
2015-06-18,102.08,102.22,100.87,101.37,CLP
2015-06-19,101.27,102.3,101.15,101.9,CLP
2015-06-22,101.81,102.02,100.97,101.73,CLP
2015-06-23,101.67,102.53,101.5,102.0,CLP
2015-06-24,101.98,102.2,101.58,102.0,CLP
2015-06-25,101.92,102.07,101.4,101.68,CLP
2015-06-26,101.59,102.49,101.53,102.34,CLP
2015-06-29,102.24,103.11,102.16,103.1,CLP
2015-06-30,102.99,103.26,102.83,103.09,CLP
2015-07-01,103.04,103.26,102.71,103.02,CLP
2015-07-02,102.88,103.35,102.05,102.34,CLP
2015-07-03,102.25,102.8,102.16,102.65,CLP
2015-07-06,102.54,103.56,102.49,103.34,CLP
2015-07-07,103.27,104.63,103.19,104.59,CLP
2015-07-08,104.55,105.51,104.18,105.03,CLP
2015-07-09,104.98,105.07,103.86,104.09,CLP
2015-07-10,103.96,104.41,103.44,104.31,CLP
2015-07-13,104.2,104.66,103.4,103.6,CLP
2015-07-14,103.55,103.96,103.18,103.34,CLP
2015-07-15,103.28,103.9,103.22,103.58,CLP
2015-07-16,103.51,103.82,103.15,103.5,CLP
2015-07-17,103.47,104.2,103.39,104.04,CLP
2015-07-20,103.89,104.78,103.79,104.63,CLP
2015-07-21,104.57,105.26,103.94,104.9,CLP
2015-07-22,104.81,105.77,104.74,105.32,CLP
2015-07-23,105.21,106.01,104.93,105.78,CLP
2015-07-24,105.7,106.71,105.66,106.41,CLP
2015-07-27,106.35,107.53,106.3,107.25,CLP
2015-07-28,107.21,107.52,106.55,107.19,CLP
2015-07-29,107.11,107.53,106.73,107.37,CLP
2015-07-30,107.3,108.57,107.2,108.2,CLP
2015-07-31,108.15,108.66,107.56,108.58,CLP
2015-08-03,108.54,109.72,108.47,109.56,CLP
2015-08-04,109.46,110.22,108.66,109.9,CLP
2015-08-05,109.8,110.27,109.44,109.79,CLP
2015-08-06,109.7,110.56,109.12,109.38,CLP
2015-08-07,109.21,109.97,108.58,109.25,CLP
2015-08-10,109.13,109.61,108.2,108.43,CLP
2015-08-11,108.23,108.38,106.2,107.75,CLP
2015-08-12,107.72,107.82,105.6,107.06,CLP
