Date,Open,High,Low,Close,Currency
2015-01-02,1.0015,1.0041,1.0015,1.0036,CNH
2015-01-05,1.0032,1.0042,1.0005,1.0012,CNH
2015-01-06,1.0009,1.0014,0.9988,1.0,CNH
2015-01-07,0.9997,1.0012,0.9995,1.0004,CNH
2015-01-08,1.0002,1.0012,0.9996,1.0006,CNH
2015-01-09,1.0005,1.0008,0.9991,0.9996,CNH
2015-01-12,0.9993,1.0004,0.9976,0.9991,CNH
2015-01-13,0.9989,1.0007,0.9983,0.9999,CNH
2015-01-14,0.9995,1.0006,0.999,0.9998,CNH
2015-01-15,0.9995,1.0049,0.9995,1.0046,CNH
2015-01-16,1.0023,1.0061,1.0,1.0061,CNH
2015-01-19,1.0039,1.0048,1.0,1.0008,CNH
2015-01-20,1.0005,1.0019,0.9997,1.0012,CNH
2015-01-21,1.001,1.0018,0.9997,1.0009,CNH
2015-01-22,1.0007,1.0027,0.9988,1.0021,CNH
2015-01-23,1.0019,1.0046,1.0001,1.0043,CNH
2015-01-26,1.004,1.005,0.999,1.0002,CNH
2015-01-27,0.9997,1.0011,0.999,1.0001,CNH
2015-01-28,0.9998,1.0024,0.9992,1.0018,CNH
2015-01-29,1.0015,1.003,1.0006,1.0025,CNH
2015-01-30,1.0022,1.0064,1.0007,1.0053,CNH
2015-02-02,1.005,1.0052,1.0008,1.0012,CNH
2015-02-03,1.0011,1.003,0.9986,0.9999,CNH
2015-02-04,0.9995,1.0022,0.9988,1.0013,CNH
2015-02-05,1.001,1.003,0.9981,0.9984,CNH
2015-02-06,0.9982,1.0015,0.997,1.0006,CNH
2015-02-09,1.0005,1.0018,0.9998,1.0006,CNH
2015-02-10,1.0003,1.0029,0.9997,1.0026,CNH
2015-02-11,1.0024,1.0028,0.9999,1.0007,CNH
2015-02-12,1.0004,1.0015,0.999,0.9994,CNH
2015-02-13,0.9992,1.0013,0.9985,1.0007,CNH
2015-02-16,1.0002,1.0041,1.0001,1.0029,CNH
2015-02-17,1.0026,1.0051,1.0024,1.0033,CNH
2015-02-18,1.0031,1.0048,1.003,1.0037,CNH
2015-02-19,1.0034,1.0041,1.0024,1.0028,CNH
2015-02-20,1.0025,1.0042,1.0023,1.0038,CNH
2015-02-23,1.0035,1.004,1.0025,1.0029,CNH
2015-02-24,1.0027,1.0037,1.0008,1.0013,CNH
2015-02-25,1.001,1.0028,1.0008,1.0019,CNH
2015-02-26,1.0017,1.0036,1.0005,1.0033,CNH
2015-02-27,1.0029,1.0042,1.0015,1.0027,CNH
2015-03-02,1.0028,1.0052,1.0014,1.0029,CNH
2015-03-03,1.0027,1.0033,1.0008,1.0017,CNH
2015-03-04,1.0014,1.003,1.0003,1.0028,CNH
2015-03-05,1.0025,1.0035,1.0008,1.0013,CNH
2015-03-06,1.0012,1.0039,1.0006,1.0036,CNH
2015-03-09,1.0033,1.0037,1.0009,1.0015,CNH
2015-03-10,1.0012,1.0038,1.0009,1.0034,CNH
