Date,Open,High,Low,Close,Currency
2015-01-01,18.42,18.51,18.42,18.51,JMD
2015-01-02,18.51,18.56,18.43,18.43,JMD
2015-01-04,18.43,18.43,18.43,18.43,JMD
2015-01-05,18.43,18.57,18.38,18.38,JMD
2015-01-06,18.38,18.39,18.33,18.39,JMD
2015-01-07,18.39,18.43,18.39,18.39,JMD
2015-01-08,18.39,18.44,18.36,18.44,JMD
2015-01-09,18.44,18.45,18.39,18.45,JMD
2015-01-11,18.45,18.45,18.45,18.45,JMD
2015-01-12,18.45,18.5,18.37,18.5,JMD
2015-01-13,18.5,18.5,18.42,18.5,JMD
2015-01-14,18.5,18.55,18.5,18.51,JMD
2015-01-15,18.51,18.54,18.48,18.54,JMD
2015-01-16,18.54,18.65,18.52,18.52,JMD
2015-01-18,18.52,18.52,18.52,18.52,JMD
2015-01-19,18.52,18.57,18.5,18.5,JMD
2015-01-20,18.5,18.53,18.5,18.53,JMD
2015-01-21,18.51,18.58,18.51,18.53,JMD
2015-01-22,18.53,18.54,18.49,18.54,JMD
2015-01-23,18.54,18.98,18.54,18.6,JMD
2015-01-25,18.6,18.6,18.6,18.6,JMD
2015-01-26,18.44,18.49,18.34,18.45,JMD
2015-01-27,18.45,18.5,18.44,18.5,JMD
2015-01-28,18.5,18.51,18.4,18.51,JMD
2015-01-29,18.51,18.63,18.49,18.49,JMD
2015-01-30,18.49,18.49,18.45,18.49,JMD
2015-02-01,18.49,18.58,18.49,18.58,JMD
2015-02-02,18.58,18.58,18.48,18.48,JMD
2015-02-03,18.48,18.48,18.46,18.46,JMD
2015-02-04,18.47,18.57,18.3,18.57,JMD
2015-02-05,18.57,18.72,18.46,18.46,JMD
2015-02-06,18.46,18.5,18.4,18.5,JMD
2015-02-08,18.5,18.5,18.5,18.5,JMD
2015-02-09,18.5,18.71,18.48,18.48,JMD
2015-02-10,18.48,18.5,18.46,18.5,JMD
2015-02-11,18.5,18.5,18.43,18.48,JMD
2015-02-12,18.48,18.49,18.47,18.47,JMD
2015-02-13,18.47,18.52,18.4,18.52,JMD
2015-02-15,18.52,18.52,18.52,18.52,JMD
2015-02-16,18.52,18.52,18.48,18.48,JMD
2015-02-17,18.48,18.62,18.46,18.46,JMD
2015-02-18,18.46,18.5,18.45,18.45,JMD
2015-02-19,18.45,18.46,18.41,18.46,JMD
2015-02-20,18.46,18.51,18.44,18.44,JMD
2015-02-22,18.44,18.44,18.44,18.44,JMD
2015-02-23,18.44,18.45,18.36,18.45,JMD
2015-02-24,18.45,18.45,18.41,18.41,JMD
2015-02-25,18.43,18.43,18.38,18.43,JMD
2015-02-26,18.43,18.44,18.4,18.44,JMD
2015-02-27,18.44,18.66,18.4,18.4,JMD
2015-03-01,18.4,18.4,18.4,18.4,JMD
2015-03-02,18.4,18.49,18.39,18.39,JMD
2015-03-03,18.39,18.46,18.38,18.38,JMD
2015-03-04,18.38,18.4,18.35,18.4,JMD
2015-03-05,18.4,18.5,18.4,18.5,JMD
2015-03-06,18.4,18.4,18.4,18.4,JMD
2015-03-08,18.4,18.4,18.4,18.4,JMD
2015-03-09,18.4,18.4,18.4,18.4,JMD
2015-03-10,18.4,18.4,18.4,18.4,JMD
2015-03-11,18.39,18.39,18.39,18.39,JMD
2015-03-12,18.4,18.4,18.4,18.4,JMD
2015-03-13,18.41,18.41,18.41,18.41,JMD
2015-03-15,18.42,18.42,18.42,18.42,JMD
2015-03-16,18.42,18.42,18.42,18.42,JMD
2015-03-17,18.38,18.38,18.38,18.38,JMD
2015-03-18,18.39,18.39,18.39,18.39,JMD
2015-03-19,18.46,18.46,18.46,18.46,JMD
2015-03-20,18.6,18.6,18.6,18.6,JMD
2015-03-22,18.5,18.5,18.5,18.5,JMD
2015-03-23,18.5,18.5,18.5,18.5,JMD
2015-03-24,18.49,18.49,18.49,18.49,JMD
2015-03-25,18.51,18.51,18.51,18.51,JMD
2015-03-26,18.49,18.49,18.49,18.49,JMD
2015-03-27,18.49,18.49,18.49,18.49,JMD
2015-03-29,18.46,18.46,18.46,18.46,JMD
2015-03-30,18.46,18.46,18.46,18.46,JMD
