Date,Open,High,Low,Close,Currency
2015-01-01,14.55,14.59,14.55,14.59,KES
2015-01-02,14.56,14.65,14.56,14.62,KES
2015-01-05,14.57,14.64,14.53,14.6,KES
2015-01-06,14.56,14.67,14.56,14.63,KES
2015-01-07,14.6,14.69,14.59,14.67,KES
2015-01-08,14.64,14.68,14.59,14.67,KES
2015-01-09,14.65,14.7,14.6,14.68,KES
2015-01-12,14.66,14.73,14.64,14.72,KES
2015-01-13,14.7,14.76,14.68,14.72,KES
2015-01-14,14.7,14.77,14.69,14.73,KES
2015-01-15,14.71,14.81,14.69,14.76,KES
2015-01-16,14.72,14.78,14.68,14.75,KES
2015-01-19,14.69,14.74,14.66,14.73,KES
2015-01-20,14.72,14.79,14.68,14.74,KES
2015-01-21,14.7,14.79,14.69,14.76,KES
2015-01-22,14.73,14.82,14.71,14.79,KES
2015-01-23,14.73,14.78,14.69,14.75,KES
2015-01-26,14.67,14.7,14.61,14.67,KES
2015-01-27,14.66,14.74,14.64,14.68,KES
2015-01-28,14.64,14.72,14.63,14.68,KES
2015-01-29,14.66,14.71,14.6,14.69,KES
2015-01-30,14.67,14.7,14.62,14.66,KES
2015-02-02,14.64,14.68,14.61,14.66,KES
2015-02-03,14.63,14.7,14.57,14.62,KES
2015-02-04,14.61,14.71,14.6,14.67,KES
2015-02-05,14.62,14.69,14.59,14.61,KES
2015-02-06,14.59,14.7,14.59,14.63,KES
2015-02-09,14.59,14.68,14.57,14.65,KES
2015-02-10,14.64,14.71,14.62,14.67,KES
2015-02-11,14.64,14.7,14.63,14.68,KES
2015-02-12,14.66,14.69,14.61,14.66,KES
2015-02-13,14.64,14.69,14.62,14.68,KES
2015-02-16,14.64,14.69,14.6,14.65,KES
2015-02-17,14.63,14.67,14.59,14.63,KES
2015-02-18,14.59,14.67,14.58,14.6,KES
2015-02-19,14.59,14.64,14.58,14.62,KES
2015-02-20,14.6,14.66,14.58,14.61,KES
2015-02-23,14.6,14.67,14.58,14.62,KES
2015-02-24,14.6,14.63,14.59,14.62,KES
2015-02-25,14.59,14.66,14.57,14.59,KES
2015-02-26,14.57,14.66,14.57,14.62,KES
2015-02-27,14.6,14.63,14.55,14.58,KES
2015-03-02,14.55,14.63,14.55,14.58,KES
2015-03-03,14.55,14.6,14.53,14.56,KES
2015-03-04,14.54,14.61,14.51,14.54,KES
2015-03-05,14.52,14.6,14.51,14.55,KES
2015-03-06,14.53,14.62,14.52,14.55,KES
2015-03-09,14.52,14.62,14.51,14.58,KES
2015-03-10,14.56,14.66,14.55,14.63,KES
2015-03-11,14.59,14.68,14.58,14.64,KES
2015-03-12,14.61,14.66,14.59,14.63,KES
2015-03-13,14.59,14.68,14.59,14.67,KES
2015-03-16,14.64,14.76,14.62,14.71,KES
2015-03-17,14.7,14.77,14.65,14.76,KES
2015-03-18,14.74,14.81,14.7,14.74,KES
2015-03-19,14.72,14.88,14.72,14.83,KES
2015-03-20,14.8,14.9,14.77,14.83,KES
2015-03-23,14.81,14.86,14.75,14.79,KES
2015-03-24,14.76,14.84,14.76,14.8,KES
2015-03-25,14.77,14.84,14.72,14.78,KES
