Date,Open,High,Low,Close,Currency
2015-01-01,176.06,176.32,175.82,176.02,KRW
2015-01-02,175.87,178.41,175.76,178.36,KRW
2015-01-05,178.15,178.88,177.87,178.43,KRW
2015-01-06,178.25,178.48,176.35,176.88,KRW
2015-01-07,176.71,177.72,176.08,176.84,KRW
2015-01-08,176.68,177.37,176.01,176.28,KRW
2015-01-09,176.11,176.54,174.64,174.88,KRW
2015-01-12,174.6,175.56,173.92,174.55,KRW
2015-01-13,174.37,175.17,173.56,174.06,KRW
2015-01-14,173.89,175.33,173.57,174.77,KRW
2015-01-15,174.6,175.56,173.68,173.88,KRW
2015-01-16,173.7,174.39,173.2,173.84,KRW
2015-01-19,173.71,174.77,172.95,173.56,KRW
2015-01-20,173.38,175.34,173.34,175.09,KRW
2015-01-21,174.92,175.75,173.87,174.24,KRW
2015-01-22,174.07,175.42,174.03,174.79,KRW
2015-01-23,174.62,175.25,172.59,173.0,KRW
2015-01-26,172.95,173.44,172.12,172.81,KRW
2015-01-27,172.63,173.58,172.09,172.67,KRW
2015-01-28,172.49,174.25,172.42,173.8,KRW
2015-01-29,173.62,176.22,173.55,176.09,KRW
2015-01-30,175.92,177.0,174.63,176.38,KRW
2015-02-02,176.13,176.51,175.4,175.64,KRW
2015-02-03,175.47,176.08,174.32,174.67,KRW
2015-02-04,174.49,175.05,173.35,174.16,KRW
2015-02-05,173.98,174.82,173.47,173.79,KRW
2015-02-06,173.61,175.95,173.42,175.85,KRW
2015-02-09,175.63,176.23,175.01,175.32,KRW
2015-02-10,175.16,176.38,174.16,176.14,KRW
2015-02-11,175.97,177.83,175.41,177.52,KRW
2015-02-12,177.35,178.12,176.22,176.41,KRW
2015-02-13,176.23,176.5,175.37,175.94,KRW
2015-02-16,175.73,176.75,175.15,176.32,KRW
2015-02-17,176.16,177.32,175.38,177.27,KRW
2015-02-18,177.1,178.25,176.95,177.24,KRW
2015-02-19,177.06,178.05,177.0,177.75,KRW
2015-02-20,177.57,177.92,177.24,177.55,KRW
2015-02-23,177.11,177.82,176.91,177.2,KRW
2015-02-24,177.03,178.5,176.54,176.79,KRW
2015-02-25,176.61,176.92,175.16,175.85,KRW
2015-02-26,175.68,176.26,174.6,176.18,KRW
2015-02-27,176.0,176.19,174.91,175.66,KRW
2015-03-02,175.61,176.54,175.21,175.86,KRW
2015-03-03,175.68,176.17,174.38,174.81,KRW
2015-03-04,174.65,175.83,174.33,175.67,KRW
2015-03-05,175.49,176.08,175.15,175.93,KRW
2015-03-06,175.75,177.71,175.05,177.38,KRW
2015-03-09,177.3,178.33,176.72,178.0,KRW
2015-03-10,177.84,180.04,177.83,180.04,KRW
2015-03-11,179.88,180.97,179.31,180.78,KRW
2015-03-12,180.59,181.53,178.54,179.75,KRW
