Date,Open,High,Low,Close,Currency
2015-01-01,243.63,244.94,243.63,244.94,LBP
2015-01-02,244.94,245.59,243.63,243.63,LBP
2015-01-04,243.63,243.63,243.63,243.63,LBP
2015-01-05,243.63,245.69,243.15,243.15,LBP
2015-01-06,243.4,243.67,242.57,243.67,LBP
2015-01-07,243.48,244.14,243.27,243.27,LBP
2015-01-08,243.4,243.66,242.9,243.66,LBP
2015-01-09,243.34,243.95,243.04,243.95,LBP
2015-01-11,243.47,243.47,243.47,243.47,LBP
2015-01-12,243.47,244.08,242.47,244.08,LBP
2015-01-13,244.04,244.22,242.98,244.22,LBP
2015-01-14,244.22,244.78,243.87,244.39,LBP
2015-01-15,243.95,246.89,243.78,244.12,LBP
2015-01-16,244.12,245.64,243.27,243.27,LBP
2015-01-18,243.35,243.35,243.35,243.35,LBP
2015-01-19,243.35,243.89,242.65,242.65,LBP
2015-01-20,242.65,244.06,242.65,243.45,LBP
2015-01-21,243.37,243.7,243.11,243.65,LBP
2015-01-22,243.49,243.49,242.53,243.11,LBP
2015-01-23,243.28,243.74,242.46,242.46,LBP
2015-01-25,242.54,242.54,242.54,242.54,LBP
2015-01-26,241.78,242.38,240.39,241.38,LBP
2015-01-27,241.54,242.11,241.22,242.11,LBP
2015-01-28,242.11,242.11,240.41,241.75,LBP
2015-01-29,242.06,243.34,241.81,241.81,LBP
2015-01-30,241.81,242.26,241.48,241.64,LBP
2015-02-01,241.64,241.64,241.64,241.64,LBP
2015-02-02,241.64,242.39,241.15,241.15,LBP
2015-02-03,241.31,241.54,240.99,241.54,LBP
2015-02-04,241.14,242.56,238.93,241.61,LBP
2015-02-05,241.61,244.49,241.44,241.6,LBP
2015-02-06,241.68,242.4,240.63,242.4,LBP
2015-02-08,241.94,241.94,241.94,241.94,LBP
2015-02-09,241.94,244.59,241.21,241.21,LBP
2015-02-10,241.41,242.08,240.91,242.08,LBP
2015-02-11,241.84,242.62,240.56,242.62,LBP
2015-02-12,242.14,242.52,240.96,241.89,LBP
2015-02-13,241.89,242.59,241.62,242.06,LBP
2015-02-15,242.06,242.06,242.06,242.06,LBP
2015-02-16,242.06,242.06,241.1,241.1,LBP
