Date,Open,High,Low,Close,Currency
2015-01-01,21.13,21.21,20.97,21.15,LKR
2015-01-02,21.14,21.2,21.1,21.16,LKR
2015-01-05,21.1,21.13,21.08,21.11,LKR
2015-01-06,21.09,21.24,21.07,21.17,LKR
2015-01-07,21.15,21.24,21.08,21.16,LKR
2015-01-08,21.13,21.19,21.09,21.16,LKR
2015-01-09,21.17,21.26,21.11,21.18,LKR
2015-01-12,21.15,21.27,21.15,21.21,LKR
2015-01-13,21.19,21.3,21.15,21.23,LKR
2015-01-14,21.2,21.24,21.2,21.23,LKR
2015-01-15,21.21,21.26,21.2,21.26,LKR
2015-01-16,21.21,21.27,21.11,21.17,LKR
2015-01-19,21.1,21.22,21.08,21.2,LKR
2015-01-20,21.18,21.25,21.09,21.22,LKR
2015-01-21,21.18,21.26,21.11,21.23,LKR
2015-01-22,21.21,21.28,21.18,21.25,LKR
2015-01-23,21.2,21.23,21.1,21.17,LKR
2015-01-26,21.1,21.14,21.06,21.11,LKR
2015-01-27,21.11,21.23,21.07,21.15,LKR
2015-01-28,21.13,21.22,21.0,21.17,LKR
2015-01-29,21.17,21.25,21.11,21.17,LKR
2015-01-30,21.15,21.2,21.11,21.16,LKR
2015-02-02,21.14,21.17,21.08,21.14,LKR
2015-02-03,21.13,21.17,21.12,21.15,LKR
2015-02-04,21.16,21.19,21.15,21.18,LKR
2015-02-05,21.13,21.25,21.1,21.17,LKR
2015-02-06,21.14,21.34,21.14,21.3,LKR
2015-02-09,21.27,21.3,21.24,21.27,LKR
2015-02-10,21.26,21.31,21.23,21.29,LKR
2015-02-11,21.28,21.3,21.25,21.29,LKR
2015-02-12,21.27,21.33,21.23,21.3,LKR
2015-02-13,21.26,21.34,21.24,21.3,LKR
2015-02-16,21.27,21.31,21.22,21.28,LKR
2015-02-17,21.25,21.27,21.24,21.26,LKR
2015-02-18,21.23,21.29,21.13,21.25,LKR
2015-02-19,21.17,21.27,21.17,21.25,LKR
2015-02-20,21.24,21.29,21.21,21.26,LKR
2015-02-23,21.25,21.29,21.22,21.26,LKR
2015-02-24,21.23,21.27,21.21,21.27,LKR
2015-02-25,21.24,21.27,21.22,21.26,LKR
2015-02-26,21.23,21.28,21.19,21.26,LKR
2015-02-27,21.23,21.26,21.16,21.24,LKR
2015-03-02,21.2,21.25,21.17,21.22,LKR
2015-03-03,21.18,21.25,21.17,21.22,LKR
2015-03-04,21.19,21.27,21.18,21.2,LKR
2015-03-05,21.19,21.22,21.19,21.22,LKR
2015-03-06,21.21,21.25,21.21,21.24,LKR
2015-03-09,21.21,21.32,21.2,21.25,LKR
2015-03-10,21.22,21.34,21.08,21.26,LKR
2015-03-11,21.21,21.34,21.21,21.26,LKR
2015-03-12,21.21,21.35,21.21,21.25,LKR
2015-03-13,21.23,21.36,21.23,21.26,LKR
2015-03-16,21.23,21.35,21.14,21.26,LKR
2015-03-17,21.23,21.37,21.23,21.31,LKR
2015-03-18,21.27,21.45,21.26,21.37,LKR
2015-03-19,21.33,21.53,21.33,21.51,LKR
2015-03-20,21.48,21.57,21.35,21.48,LKR
2015-03-23,21.45,21.5,21.37,21.45,LKR
2015-03-24,21.42,21.5,21.39,21.48,LKR
2015-03-25,21.44,21.49,21.38,21.46,LKR
2015-03-26,21.42,21.45,21.37,21.41,LKR
2015-03-27,21.39,21.48,21.24,21.42,LKR
2015-03-30,21.39,21.52,21.38,21.45,LKR
2015-03-31,21.4,21.55,21.4,21.48,LKR
2015-04-01,21.44,21.58,21.44,21.48,LKR
2015-04-02,21.44,21.52,21.44,21.49,LKR
2015-04-03,21.45,21.52,21.45,21.5,LKR
2015-04-06,21.46,21.57,21.45,21.5,LKR
2015-04-07,21.46,21.52,21.44,21.47,LKR
2015-04-08,21.44,21.48,21.39,21.44,LKR
2015-04-09,21.43,21.45,21.4,21.45,LKR
2015-04-10,21.41,21.45,21.39,21.43,LKR
2015-04-13,21.4,21.43,21.37,21.4,LKR
2015-04-14,21.38,21.42,21.38,21.42,LKR
2015-04-15,21.41,21.46,21.38,21.45,LKR
2015-04-16,21.46,21.5,21.43,21.48,LKR
2015-04-17,21.46,21.52,21.44,21.48,LKR
2015-04-20,21.44,21.5,21.42,21.47,LKR
2015-04-21,21.43,21.5,21.42,21.46,LKR
2015-04-22,21.43,21.52,21.43,21.48,LKR
2015-04-23,21.44,21.53,21.43,21.51,LKR
2015-04-24,21.48,21.53,21.43,21.5,LKR
2015-04-27,21.45,21.51,21.36,21.41,LKR
2015-04-28,21.38,21.49,21.36,21.46,LKR
2015-04-29,21.42,21.48,21.41,21.48,LKR
2015-04-30,21.44,21.5,21.41,21.49,LKR
2015-05-01,21.45,21.49,21.45,21.49,LKR
2015-05-04,21.43,21.48,21.43,21.47,LKR
2015-05-05,21.43,21.49,21.4,21.45,LKR
2015-05-06,21.42,21.54,21.41,21.53,LKR
2015-05-07,21.5,21.53,21.4,21.5,LKR
2015-05-08,21.48,21.51,21.46,21.5,LKR
2015-05-11,21.47,21.49,21.43,21.48,LKR
2015-05-12,21.46,21.54,21.46,21.53,LKR
2015-05-13,21.5,21.55,21.49,21.55,LKR
2015-05-14,21.53,21.57,21.49,21.54,LKR
2015-05-15,21.5,21.57,21.47,21.53,LKR
2015-05-18,21.5,21.54,21.42,21.52,LKR
2015-05-19,21.48,21.56,21.48,21.54,LKR
2015-05-20,21.5,21.58,21.48,21.54,LKR
2015-05-21,21.51,21.6,21.49,21.58,LKR
2015-05-22,21.56,21.6,21.55,21.58,LKR
2015-05-25,21.55,21.61,21.54,21.6,LKR
2015-05-26,21.55,21.63,21.54,21.62,LKR
2015-05-27,21.58,21.61,21.57,21.61,LKR
2015-05-28,21.59,21.63,21.58,21.61,LKR
2015-05-29,21.59,21.63,21.58,21.62,LKR
2015-06-01,21.6,21.63,21.58,21.61,LKR
2015-06-02,21.6,21.62,21.59,21.61,LKR
2015-06-03,21.61,21.65,21.58,21.64,LKR
2015-06-04,21.6,21.63,21.57,21.62,LKR
2015-06-05,21.58,21.61,21.53,21.6,LKR
2015-06-08,21.57,21.61,21.57,21.6,LKR
2015-06-09,21.57,21.6,21.54,21.58,LKR
2015-06-10,21.55,21.59,21.54,21.59,LKR
2015-06-11,21.56,21.6,21.54,21.59,LKR
2015-06-12,21.55,21.62,21.55,21.62,LKR
2015-06-15,21.58,21.62,21.56,21.61,LKR
2015-06-16,21.58,21.6,21.55,21.6,LKR
2015-06-17,21.58,21.61,21.54,21.6,LKR
2015-06-18,21.58,21.63,21.57,21.63,LKR
2015-06-19,21.62,21.64,21.56,21.63,LKR
2015-06-22,21.59,21.61,21.54,21.58,LKR
2015-06-23,21.56,21.6,21.54,21.59,LKR
2015-06-24,21.57,21.64,21.53,21.64,LKR
2015-06-25,21.62,21.64,21.51,21.63,LKR
2015-06-26,21.6,21.63,21.5,21.55,LKR
2015-06-29,21.53,21.56,21.5,21.56,LKR
2015-06-30,21.53,21.6,21.52,21.6,LKR
2015-07-01,21.56,21.6,21.56,21.59,LKR
2015-07-02,21.57,21.59,21.49,21.54,LKR
2015-07-03,21.53,21.57,21.51,21.54,LKR
2015-07-06,21.5,21.57,21.5,21.57,LKR
2015-07-07,21.54,21.57,21.49,21.57,LKR
2015-07-08,21.54,21.56,21.5,21.53,LKR
2015-07-09,21.51,21.55,21.5,21.53,LKR
2015-07-10,21.51,21.53,21.5,21.53,LKR
