Date,Open,High,Low,Close,Currency
2015-01-01,1.4553,1.4617,1.4531,1.4605,MAD
2015-01-02,1.4577,1.474,1.4531,1.4704,MAD
2015-01-05,1.4677,1.48,1.4622,1.4738,MAD
2015-01-06,1.4713,1.4838,1.4659,1.4829,MAD
2015-01-07,1.4789,1.4922,1.4738,1.4866,MAD
2015-01-08,1.4841,1.4968,1.4787,1.4908,MAD
2015-01-09,1.4846,1.4979,1.4781,1.4866,MAD
2015-01-12,1.4813,1.4984,1.4776,1.4871,MAD
2015-01-13,1.4832,1.4994,1.4804,1.4977,MAD
2015-01-14,1.4967,1.5023,1.4811,1.4961,MAD
2015-01-15,1.4954,1.524,1.4883,1.512,MAD
2015-01-16,1.5075,1.5277,1.4989,1.5136,MAD
2015-01-19,1.5086,1.5155,1.4965,1.5088,MAD
2015-01-20,1.5083,1.5185,1.4998,1.5159,MAD
2015-01-21,1.515,1.5167,1.4964,1.5101,MAD
2015-01-22,1.5076,1.5418,1.4984,1.5366,MAD
2015-01-23,1.5342,1.5609,1.5238,1.549,MAD
2015-01-26,1.5469,1.5566,1.5247,1.5394,MAD
2015-01-27,1.5368,1.5417,1.5132,1.5267,MAD
2015-01-28,1.5255,1.5387,1.5166,1.5354,MAD
2015-01-29,1.5328,1.5382,1.5188,1.5322,MAD
2015-01-30,1.531,1.5373,1.5181,1.5337,MAD
2015-02-02,1.5282,1.5327,1.516,1.5269,MAD
2015-02-03,1.5243,1.5302,1.5006,1.5127,MAD
2015-02-04,1.51,1.5341,1.5038,1.5293,MAD
2015-02-05,1.5229,1.5335,1.5043,1.5141,MAD
2015-02-06,1.5129,1.5396,1.5049,1.5307,MAD
2015-02-09,1.528,1.539,1.5191,1.5332,MAD
2015-02-10,1.5302,1.5385,1.5205,1.533,MAD
2015-02-11,1.5317,1.5374,1.5224,1.5312,MAD
2015-02-12,1.5302,1.5382,1.513,1.5216,MAD
2015-02-13,1.517,1.5272,1.5127,1.5235,MAD
2015-02-16,1.5223,1.5351,1.5124,1.5257,MAD
2015-02-17,1.5241,1.5313,1.508,1.5191,MAD
2015-02-18,1.5116,1.5332,1.5112,1.5182,MAD
2015-02-19,1.5126,1.5258,1.5074,1.5232,MAD
2015-02-20,1.5224,1.5343,1.5102,1.5217,MAD
2015-02-23,1.5158,1.5308,1.5128,1.5265,MAD
2015-02-24,1.5256,1.5325,1.5169,1.5255,MAD
2015-02-25,1.521,1.5298,1.5129,1.5225,MAD
2015-02-26,1.5212,1.5414,1.5142,1.5398,MAD
2015-02-27,1.5339,1.5404,1.5253,1.5381,MAD
2015-03-02,1.5323,1.5429,1.5249,1.5419,MAD
2015-03-03,1.536,1.5449,1.5268,1.5426,MAD
2015-03-04,1.5375,1.5602,1.5319,1.5482,MAD
2015-03-05,1.5415,1.5637,1.5408,1.5564,MAD
2015-03-06,1.5557,1.5783,1.5536,1.5747,MAD
2015-03-09,1.5734,1.5809,1.5632,1.5771,MAD
2015-03-10,1.5763,1.596,1.5732,1.5955,MAD
2015-03-11,1.5945,1.6176,1.589,1.6132,MAD
2015-03-12,1.6103,1.6193,1.5925,1.6028,MAD
2015-03-13,1.6017,1.6245,1.5987,1.6202,MAD
2015-03-16,1.6179,1.6236,1.6011,1.6106,MAD
2015-03-17,1.6076,1.6146,1.6013,1.6102,MAD
2015-03-18,1.6091,1.6197,1.5687,1.582,MAD
2015-03-19,1.5773,1.6231,1.5738,1.617,MAD
2015-03-20,1.6126,1.6222,1.584,1.5956,MAD
2015-03-23,1.5906,1.5993,1.5702,1.5787,MAD
2015-03-24,1.578,1.5875,1.5671,1.5836,MAD
2015-03-25,1.5827,1.5863,1.5641,1.5764,MAD
2015-03-26,1.5755,1.5928,1.5616,1.5866,MAD
2015-03-27,1.5857,1.5973,1.5719,1.5845,MAD
2015-03-30,1.5838,1.5977,1.5814,1.5934,MAD
2015-03-31,1.5889,1.6107,1.588,1.6069,MAD
2015-04-01,1.6058,1.6106,1.5938,1.6035,MAD
