Date,Open,High,Low,Close,Currency
2017-06-08,352.2,353.15,351.94,351.97,MNT
2017-06-09,351.3,353.05,350.36,353.05,MNT
2017-06-12,349.94,350.05,349.44,349.5,MNT
2017-06-13,350.03,350.18,349.68,349.68,MNT
2017-06-14,349.85,350.14,349.19,349.55,MNT
2017-06-15,348.97,349.49,347.91,347.91,MNT
2017-06-16,348.22,348.4,347.48,347.7,MNT
2017-06-19,347.6,347.88,346.67,347.1,MNT
2017-06-20,347.05,347.05,345.59,345.72,MNT
2017-06-21,345.2,345.73,344.8,345.56,MNT
2017-06-22,345.65,346.05,344.75,345.21,MNT
2017-06-23,344.76,345.77,344.61,344.98,MNT
2017-06-26,345.1,345.49,344.61,344.61,MNT
2017-06-27,344.89,346.74,344.31,345.75,MNT
2017-06-28,344.75,346.3,344.75,345.45,MNT
2017-06-29,345.61,347.46,345.61,346.03,MNT
2017-06-30,346.48,347.86,346.3,346.71,MNT
2017-07-03,347.32,347.7,346.0,346.0,MNT
2017-07-04,345.26,346.97,345.26,346.58,MNT
2017-07-05,346.5,349.12,346.5,349.12,MNT
2017-07-06,350.25,351.99,350.25,351.99,MNT
2017-07-07,351.96,352.41,351.75,351.75,MNT
2017-07-10,351.69,352.14,351.68,351.88,MNT
2017-07-11,351.9,352.2,351.76,351.93,MNT
2017-07-12,351.93,352.85,351.93,352.69,MNT
2017-07-13,352.68,353.35,352.68,352.92,MNT
2017-07-14,352.96,353.43,352.9,353.32,MNT
2017-07-17,352.84,355.37,352.84,354.8,MNT
2017-07-18,354.52,357.08,354.52,356.79,MNT
2017-07-19,356.83,357.87,356.83,357.61,MNT
2017-07-20,357.7,357.81,357.03,357.2,MNT
2017-07-21,356.36,357.89,356.28,357.55,MNT
2017-07-24,358.09,359.31,358.09,358.68,MNT
2017-07-25,358.42,359.25,358.42,359.06,MNT
2017-07-26,359.46,359.46,358.75,358.75,MNT
2017-07-27,359.78,363.38,359.78,360.0,MNT
2017-07-28,361.96,362.15,359.19,361.87,MNT
2017-07-31,361.87,363.65,361.87,363.26,MNT
2017-08-01,363.64,364.79,363.07,364.46,MNT
2017-08-02,365.99,365.99,364.26,364.85,MNT
2017-08-03,364.7,366.62,364.7,365.87,MNT
2017-08-04,366.6,366.6,364.75,365.21,MNT
2017-08-07,363.97,365.92,363.97,365.33,MNT
2017-08-08,365.53,365.94,363.89,364.65,MNT
2017-08-09,365.94,367.05,364.99,366.65,MNT
2017-08-10,367.01,368.26,366.8,367.74,MNT
2017-08-11,367.25,368.3,366.0,366.49,MNT
2017-08-14,366.38,367.69,366.27,366.27,MNT
2017-08-15,365.12,366.11,364.85,364.97,MNT
2017-08-16,365.52,366.29,365.31,365.46,MNT
2017-08-17,365.37,367.72,365.37,366.49,MNT
2017-08-18,366.5,367.3,366.27,366.65,MNT
2017-08-21,366.12,366.67,366.12,366.36,MNT
2017-08-22,366.65,367.63,366.54,366.54,MNT
2017-08-23,366.81,367.33,366.18,366.43,MNT
2017-08-24,366.58,367.03,365.78,366.11,MNT
2017-08-25,366.33,367.54,365.89,366.63,MNT
2017-08-28,366.18,368.45,365.88,368.45,MNT
2017-08-29,369.18,370.12,368.33,369.43,MNT
2017-08-30,368.76,369.81,368.42,368.42,MNT
2017-08-31,368.73,369.2,367.98,368.6,MNT
2017-09-01,369.14,371.54,368.97,370.4,MNT
2017-09-04,371.02,373.26,371.02,372.31,MNT
2017-09-05,371.7,373.65,371.37,372.01,MNT
2017-09-06,371.74,374.38,371.74,373.31,MNT
2017-09-07,373.35,376.02,373.08,375.7,MNT
2017-09-08,376.2,380.35,375.52,375.52,MNT
2017-09-11,373.88,376.68,373.33,374.3,MNT
2017-09-12,374.31,375.39,373.81,373.81,MNT
2017-09-13,373.19,375.64,373.17,374.06,MNT
2017-09-14,374.81,375.74,372.63,374.46,MNT
2017-09-15,374.23,376.05,372.68,374.51,MNT
2017-09-18,375.29,378.38,375.29,376.1,MNT
2017-09-19,375.99,376.5,374.81,376.07,MNT
2017-09-20,375.15,376.39,375.0,375.44,MNT
2017-09-21,375.61,375.61,373.42,373.75,MNT
2017-09-22,374.58,376.65,374.26,374.52,MNT
2017-09-25,375.04,375.34,372.97,373.12,MNT
2017-09-26,373.76,374.39,371.91,371.91,MNT
2017-09-27,371.56,372.31,370.66,370.72,MNT
2017-09-28,371.23,371.55,368.85,369.3,MNT
2017-09-29,370.83,372.45,369.56,371.09,MNT
2017-10-02,370.33,370.63,370.33,370.63,MNT
2017-10-03,372.21,372.21,370.87,370.87,MNT
2017-10-04,371.01,371.01,370.26,370.26,MNT
2017-10-05,370.49,370.49,369.88,369.88,MNT
2017-10-06,370.79,370.79,369.58,369.58,MNT
2017-10-09,369.85,371.82,369.58,371.44,MNT
2017-10-10,371.66,374.63,371.66,374.5,MNT
2017-10-11,374.81,374.81,372.98,372.98,MNT
2017-10-12,373.47,374.89,373.47,373.63,MNT
2017-10-13,372.87,374.77,372.87,373.74,MNT
2017-10-16,373.81,373.88,372.77,373.23,MNT
2017-10-17,373.31,373.31,370.99,371.1,MNT
2017-10-18,374.93,375.75,374.19,374.2,MNT
