Date,Open,High,Low,Close,Currency
2015-01-01,0.563,0.5634,0.563,0.5634,MYR
2015-01-02,0.5632,0.5665,0.5631,0.5665,MYR
2015-01-05,0.5664,0.5697,0.5664,0.568,MYR
2015-01-06,0.5682,0.5726,0.5682,0.5724,MYR
2015-01-07,0.5729,0.5776,0.5725,0.5764,MYR
2015-01-08,0.5754,0.5757,0.5722,0.5739,MYR
2015-01-09,0.5733,0.5741,0.5712,0.5738,MYR
2015-01-12,0.5727,0.5752,0.5703,0.575,MYR
2015-01-13,0.5758,0.58,0.5748,0.5798,MYR
2015-01-14,0.5792,0.5815,0.5763,0.5801,MYR
2015-01-15,0.5794,0.5797,0.5743,0.5759,MYR
2015-01-16,0.575,0.5793,0.5725,0.5733,MYR
2015-01-19,0.573,0.5744,0.5705,0.5742,MYR
2015-01-20,0.5739,0.5818,0.5739,0.5818,MYR
2015-01-21,0.5812,0.5834,0.5809,0.5818,MYR
2015-01-22,0.582,0.5832,0.5796,0.5801,MYR
2015-01-23,0.5794,0.5806,0.5764,0.5782,MYR
2015-01-26,0.5779,0.5794,0.576,0.5787,MYR
2015-01-27,0.5776,0.5785,0.5757,0.5767,MYR
2015-01-28,0.5762,0.5803,0.5762,0.5791,MYR
2015-01-29,0.5791,0.5821,0.5791,0.581,MYR
2015-01-30,0.5814,0.5819,0.5788,0.5809,MYR
2015-02-02,0.5806,0.5809,0.5796,0.58,MYR
2015-02-03,0.5801,0.5806,0.5797,0.5802,MYR
2015-02-04,0.5797,0.58,0.5675,0.5695,MYR
2015-02-05,0.5692,0.5747,0.5692,0.5711,MYR
2015-02-06,0.5694,0.5697,0.5658,0.5672,MYR
2015-02-09,0.5669,0.5708,0.5669,0.5701,MYR
2015-02-10,0.5692,0.574,0.5692,0.5735,MYR
2015-02-11,0.5737,0.5777,0.5737,0.5763,MYR
2015-02-12,0.5766,0.581,0.5764,0.5775,MYR
2015-02-13,0.5765,0.5767,0.5721,0.5736,MYR
2015-02-16,0.5728,0.5732,0.5696,0.573,MYR
2015-02-17,0.5731,0.5748,0.5725,0.5731,MYR
2015-02-18,0.5731,0.5791,0.5731,0.5788,MYR
2015-02-19,0.5784,0.5788,0.5784,0.5788,MYR
2015-02-20,0.5784,0.5788,0.5784,0.5788,MYR
2015-02-23,0.5787,0.5829,0.5787,0.581,MYR
2015-02-24,0.5811,0.5823,0.5789,0.5822,MYR
2015-02-25,0.5814,0.5816,0.5754,0.5758,MYR
2015-02-26,0.5751,0.5768,0.5719,0.5725,MYR
2015-02-27,0.5732,0.5773,0.5732,0.576,MYR
2015-03-02,0.576,0.5799,0.576,0.579,MYR
2015-03-03,0.579,0.5803,0.5758,0.5777,MYR
2015-03-04,0.5776,0.5815,0.5774,0.5814,MYR
2015-03-05,0.5814,0.5843,0.5814,0.5825,MYR
2015-03-06,0.5825,0.5844,0.5812,0.5833,MYR
2015-03-09,0.5836,0.5891,0.5828,0.5872,MYR
2015-03-10,0.5873,0.5915,0.5873,0.5911,MYR
2015-03-11,0.5916,0.5939,0.5898,0.5906,MYR
2015-03-12,0.5899,0.5907,0.5868,0.5893,MYR
2015-03-13,0.5891,0.5912,0.5877,0.5893,MYR
2015-03-16,0.5894,0.5929,0.5894,0.5916,MYR
