Date,Open,High,Low,Close,Currency
2015-01-01,16.25,16.27,16.25,16.27,PKR
2015-01-02,16.25,16.27,16.21,16.27,PKR
2015-01-05,16.25,16.26,16.17,16.23,PKR
2015-01-06,16.21,16.27,16.21,16.25,PKR
2015-01-07,16.23,16.26,16.2,16.24,PKR
2015-01-08,16.22,16.23,16.19,16.2,PKR
2015-01-09,16.19,16.25,16.19,16.2,PKR
2015-01-12,16.19,16.27,16.19,16.23,PKR
2015-01-13,16.21,16.24,16.19,16.24,PKR
2015-01-14,16.22,16.26,16.22,16.24,PKR
2015-01-15,16.22,16.3,16.22,16.27,PKR
2015-01-16,16.23,16.27,16.16,16.2,PKR
2015-01-19,16.18,16.22,16.14,16.21,PKR
2015-01-20,16.19,16.23,16.18,16.21,PKR
2015-01-21,16.18,16.23,16.17,16.22,PKR
2015-01-22,16.2,16.24,16.18,16.2,PKR
2015-01-23,16.19,16.22,16.13,16.16,PKR
2015-01-26,16.14,16.19,16.07,16.14,PKR
2015-01-27,16.14,16.19,16.13,16.16,PKR
2015-01-28,16.15,16.19,16.12,16.15,PKR
2015-01-29,16.13,16.2,16.12,16.18,PKR
2015-01-30,16.17,16.21,16.15,16.18,PKR
2015-02-02,16.16,16.23,16.13,16.21,PKR
2015-02-03,16.17,16.21,16.11,16.16,PKR
2015-02-04,16.15,16.21,16.15,16.18,PKR
2015-02-05,16.16,16.18,16.13,16.16,PKR
2015-02-06,16.15,16.23,16.15,16.21,PKR
2015-02-09,16.19,16.21,16.17,16.18,PKR
2015-02-10,16.17,16.26,16.15,16.2,PKR
2015-02-11,16.18,16.27,16.17,16.24,PKR
2015-02-12,16.22,16.25,16.19,16.24,PKR
2015-02-13,16.22,16.27,16.19,16.26,PKR
2015-02-16,16.24,16.26,16.21,16.23,PKR
2015-02-17,16.21,16.24,16.19,16.2,PKR
2015-02-18,16.19,16.25,16.19,16.22,PKR
2015-02-19,16.19,16.27,16.19,16.24,PKR
2015-02-20,16.23,16.29,16.23,16.26,PKR
2015-02-23,16.24,16.27,16.23,16.25,PKR
2015-02-24,16.23,16.3,16.23,16.28,PKR
2015-02-25,16.27,16.3,16.24,16.26,PKR
2015-02-26,16.26,16.29,16.24,16.27,PKR
2015-02-27,16.26,16.28,16.22,16.25,PKR
2015-03-02,16.23,16.26,16.22,16.25,PKR
2015-03-03,16.23,16.26,16.22,16.25,PKR
2015-03-04,16.23,16.27,16.23,16.25,PKR
2015-03-05,16.23,16.27,16.23,16.26,PKR
2015-03-06,16.25,16.27,16.23,16.25,PKR
2015-03-09,16.23,16.37,16.06,16.27,PKR
2015-03-10,16.25,16.28,16.22,16.28,PKR
2015-03-11,16.25,16.29,16.24,16.28,PKR
2015-03-12,16.25,16.28,16.22,16.26,PKR
2015-03-13,16.24,16.29,16.23,16.27,PKR
2015-03-16,16.24,16.27,16.24,16.25,PKR
2015-03-17,16.24,16.3,16.24,16.3,PKR
2015-03-18,16.29,16.38,16.29,16.34,PKR
2015-03-19,16.32,16.48,16.32,16.44,PKR
2015-03-20,16.42,16.52,16.32,16.42,PKR
2015-03-23,16.4,16.44,16.36,16.38,PKR
2015-03-24,16.36,16.45,16.36,16.41,PKR
