Date,Open,High,Low,Close,Currency
2015-01-01,0.5707,0.572,0.5705,0.572,PLN
2015-01-02,0.5714,0.5782,0.5713,0.5782,PLN
2015-01-05,0.5801,0.5821,0.5774,0.5787,PLN
2015-01-06,0.5785,0.5862,0.5775,0.5862,PLN
2015-01-07,0.5856,0.5872,0.5833,0.5845,PLN
2015-01-08,0.5841,0.588,0.5833,0.5841,PLN
2015-01-09,0.5846,0.5854,0.5794,0.5806,PLN
2015-01-12,0.5795,0.5849,0.5795,0.5821,PLN
2015-01-13,0.5823,0.5884,0.5815,0.5872,PLN
2015-01-14,0.5869,0.5909,0.5819,0.5831,PLN
2015-01-15,0.5834,0.603,0.5829,0.5989,PLN
2015-01-16,0.5998,0.606,0.5959,0.6001,PLN
2015-01-19,0.6008,0.6024,0.597,0.6007,PLN
2015-01-20,0.6008,0.6041,0.5995,0.6039,PLN
2015-01-21,0.6038,0.6041,0.5937,0.5954,PLN
2015-01-22,0.596,0.605,0.5946,0.6037,PLN
2015-01-23,0.6036,0.6096,0.599,0.6018,PLN
2015-01-26,0.6062,0.6062,0.5962,0.5999,PLN
2015-01-27,0.5989,0.6011,0.5941,0.597,PLN
2015-01-28,0.5967,0.6032,0.5948,0.6017,PLN
2015-01-29,0.602,0.6033,0.5925,0.5962,PLN
2015-01-30,0.5951,0.5965,0.5916,0.5928,PLN
2015-02-02,0.5921,0.5928,0.5868,0.5901,PLN
2015-02-03,0.5903,0.5916,0.5785,0.5812,PLN
2015-02-04,0.5822,0.5899,0.5809,0.5899,PLN
2015-02-05,0.5892,0.5892,0.5798,0.5811,PLN
2015-02-06,0.5812,0.5899,0.5812,0.5882,PLN
2015-02-09,0.589,0.5946,0.5861,0.5919,PLN
2015-02-10,0.5913,0.5973,0.5905,0.5943,PLN
2015-02-11,0.5942,0.5991,0.5933,0.5943,PLN
2015-02-12,0.5947,0.5959,0.5845,0.5845,PLN
2015-02-13,0.585,0.589,0.5834,0.5887,PLN
2015-02-16,0.5875,0.5911,0.5851,0.5899,PLN
2015-02-17,0.59,0.5906,0.5848,0.5871,PLN
2015-02-18,0.5877,0.5911,0.5864,0.5864,PLN
2015-02-19,0.587,0.5874,0.5833,0.5872,PLN
2015-02-20,0.5868,0.5926,0.5838,0.5864,PLN
2015-02-23,0.5855,0.5908,0.5855,0.5894,PLN
2015-02-24,0.5899,0.5909,0.5857,0.5866,PLN
2015-02-25,0.5864,0.5866,0.5838,0.5853,PLN
2015-02-26,0.5848,0.5924,0.5832,0.5924,PLN
2015-02-27,0.5919,0.5925,0.589,0.591,PLN
2015-03-02,0.5925,0.593,0.5896,0.593,PLN
2015-03-03,0.5929,0.5947,0.5908,0.5947,PLN
2015-03-04,0.5941,0.6005,0.5941,0.5975,PLN
2015-03-05,0.597,0.5997,0.5967,0.598,PLN
2015-03-06,0.5992,0.5992,0.5992,0.5992,PLN
2015-03-09,0.6086,0.6086,0.6086,0.6086,PLN
2015-03-10,0.6065,0.6065,0.6065,0.6065,PLN
2015-03-11,0.6204,0.6204,0.6204,0.6204,PLN
2015-03-12,0.6242,0.6242,0.6242,0.6242,PLN
2015-03-13,0.6226,0.6226,0.6226,0.6226,PLN
2015-03-16,0.6324,0.6324,0.6324,0.6324,PLN
2015-03-17,0.6236,0.6236,0.6236,0.6236,PLN
2015-03-18,0.6249,0.6249,0.6249,0.6249,PLN
2015-03-19,0.6122,0.6122,0.6122,0.6122,PLN
2015-03-20,0.6247,0.6247,0.6247,0.6247,PLN
2015-03-23,0.6159,0.6159,0.6159,0.6159,PLN
2015-03-24,0.604,0.604,0.604,0.604,PLN
2015-03-25,0.6051,0.6051,0.6051,0.6051,PLN
2015-03-26,0.5995,0.5995,0.5995,0.5995,PLN
2015-03-27,0.6039,0.6039,0.6039,0.6039,PLN
2015-03-30,0.6065,0.6065,0.6065,0.6065,PLN
2015-03-31,0.6086,0.6086,0.6086,0.6086,PLN
2015-04-01,0.6122,0.6122,0.6122,0.6122,PLN
2015-04-02,0.6081,0.6081,0.6081,0.6081,PLN
2015-04-03,0.6046,0.6046,0.6046,0.6046,PLN
2015-04-06,0.5959,0.5959,0.5959,0.5959,PLN
2015-04-07,0.6018,0.604,0.6003,0.6032,PLN
2015-04-08,0.6029,0.603,0.5953,0.5986,PLN
2015-04-09,0.5993,0.6098,0.5983,0.6085,PLN
2015-04-10,0.6083,0.6124,0.6069,0.6121,PLN
2015-04-13,0.6107,0.6146,0.6081,0.6095,PLN
2015-04-14,0.6098,0.6121,0.6037,0.6072,PLN
2015-04-15,0.6074,0.6125,0.6057,0.6071,PLN
2015-04-16,0.6071,0.6099,0.6004,0.6031,PLN
2015-04-17,0.6039,0.6046,0.5975,0.6011,PLN
2015-04-20,0.6014,0.6035,0.5969,0.5985,PLN
2015-04-21,0.5982,0.6024,0.5972,0.5985,PLN
2015-04-22,0.5991,0.6028,0.5975,0.6004,PLN
2015-04-23,0.6007,0.6047,0.5951,0.5963,PLN
2015-04-24,0.5967,0.6012,0.5939,0.6,PLN
2015-04-27,0.5993,0.601,0.5871,0.5895,PLN
2015-04-28,0.5896,0.5942,0.5857,0.587,PLN
2015-04-29,0.5871,0.5887,0.5785,0.5814,PLN
2015-04-30,0.5821,0.585,0.5783,0.5807,PLN
2015-05-01,0.5807,0.5878,0.5778,0.5865,PLN
2015-05-04,0.5862,0.5868,0.5804,0.5828,PLN
2015-05-05,0.5821,0.586,0.5793,0.5805,PLN
2015-05-06,0.5813,0.5836,0.5736,0.5748,PLN
2015-05-07,0.5755,0.5802,0.5742,0.5802,PLN
2015-05-08,0.5795,0.5849,0.5786,0.5815,PLN
2015-05-11,0.5844,0.5899,0.5841,0.5899,PLN
