Date,Open,High,Low,Close,Currency
2015-01-01,2.5402,2.5488,2.5402,2.5488,UAH
2015-01-02,2.5402,2.5488,2.5402,2.5488,UAH
2015-01-04,2.5494,2.5494,2.5494,2.5494,UAH
2015-01-05,2.5402,2.5484,2.533,2.5429,UAH
2015-01-06,2.5346,2.5486,2.5345,2.5478,UAH
2015-01-07,2.5377,2.5503,2.5377,2.5478,UAH
2015-01-08,2.5397,2.5478,2.5352,2.5434,UAH
2015-01-09,2.5352,2.5473,2.5352,2.5446,UAH
2015-01-11,2.544,2.544,2.544,2.544,UAH
2015-01-12,2.5365,2.5492,2.5363,2.548,UAH
2015-01-13,2.5397,2.5523,2.5388,2.5523,UAH
2015-01-14,2.544,2.5537,2.5199,2.5535,UAH
2015-01-15,2.5453,2.5577,2.5446,2.5577,UAH
2015-01-16,2.5495,2.5577,2.5387,2.5532,UAH
2015-01-18,2.5489,2.5489,2.5489,2.5489,UAH
2015-01-19,2.5449,2.5532,2.5376,2.5497,UAH
2015-01-20,2.5414,2.5529,2.538,2.5462,UAH
2015-01-21,2.5365,2.5476,2.5354,2.5473,UAH
2015-01-22,2.5388,2.5513,2.5361,2.5476,UAH
2015-01-23,2.5395,2.5478,2.5308,2.5396,UAH
2015-01-25,2.5525,2.5525,2.5525,2.5525,UAH
2015-01-26,2.5313,2.5395,2.4963,2.536,UAH
2015-01-27,2.5278,2.67,2.4994,2.5546,UAH
2015-01-28,2.5464,2.5569,2.5286,2.5479,UAH
2015-01-29,2.5397,2.5488,2.5379,2.5485,UAH
2015-01-30,2.5404,2.5932,2.5374,2.5932,UAH
2015-02-01,2.5577,2.5577,2.5577,2.5577,UAH
2015-02-02,2.585,2.593,2.4948,2.5875,UAH
2015-02-03,2.5794,2.6034,2.5794,2.6034,UAH
2015-02-04,2.5952,2.6856,2.5952,2.6856,UAH
2015-02-05,2.6773,3.9228,2.6734,3.8948,UAH
2015-02-06,3.8944,4.0438,3.0427,4.0438,UAH
2015-02-08,3.0821,3.0821,3.0821,3.0821,UAH
2015-02-09,4.0033,4.0835,3.921,4.002,UAH
2015-02-10,3.9218,4.1059,3.9211,4.1059,UAH
2015-02-11,4.0454,4.1649,3.9243,4.1649,UAH
2015-02-12,4.1328,4.2758,4.129,4.2758,UAH
2015-02-13,4.2431,4.2805,4.0859,4.1825,UAH
2015-02-15,4.1197,4.1197,4.1197,4.1197,UAH
2015-02-16,4.1475,4.225,4.1128,4.225,UAH
2015-02-17,4.1891,4.2222,4.1879,4.2206,UAH
2015-02-18,4.2842,4.3324,4.2842,4.3324,UAH
2015-02-19,4.3001,4.3484,4.3001,4.3484,UAH
2015-02-20,4.436,4.4764,4.436,4.4764,UAH
2015-02-22,4.4722,4.4722,4.4722,4.4722,UAH
2015-02-23,4.4722,4.4762,4.4547,4.4762,UAH
2015-02-24,5.1154,5.3556,5.1154,5.3556,UAH
2015-02-25,5.2737,5.2747,3.4667,4.4805,UAH
2015-02-26,4.4794,5.3924,4.4782,5.3924,UAH
2015-02-27,5.2725,5.3922,4.0672,4.3464,UAH
2015-03-01,4.3455,4.3455,4.3455,4.3455,UAH
2015-03-02,4.2243,4.3845,4.065,4.2248,UAH
