Date,Open,High,Low,Close,Currency
2015-01-02,0.4355,0.4355,0.4355,0.4355,XCD
2015-01-04,0.4355,0.4355,0.4355,0.4355,XCD
2015-01-05,0.4355,0.4355,0.4346,0.4346,XCD
2015-01-06,0.4346,0.4353,0.4346,0.4353,XCD
2015-01-07,0.4351,0.4354,0.4349,0.4349,XCD
2015-01-08,0.4349,0.4349,0.4345,0.4349,XCD
2015-01-09,0.4349,0.4354,0.4349,0.4354,XCD
2015-01-11,0.4352,0.4352,0.4352,0.4352,XCD
2015-01-12,0.4352,0.4359,0.4352,0.4359,XCD
2015-01-13,0.4357,0.4361,0.4356,0.4361,XCD
2015-01-14,0.4361,0.4363,0.4361,0.4363,XCD
2015-01-15,0.4363,0.4368,0.4363,0.4368,XCD
2015-01-16,0.4368,0.4368,0.4351,0.4351,XCD
2015-01-18,0.4354,0.4354,0.4354,0.4354,XCD
2015-01-19,0.4354,0.4354,0.4346,0.4346,XCD
2015-01-20,0.4346,0.4351,0.4346,0.4351,XCD
2015-01-21,0.4349,0.4351,0.4346,0.4351,XCD
2015-01-22,0.4351,0.4353,0.4351,0.4351,XCD
2015-01-23,0.4353,0.4353,0.4339,0.4339,XCD
2015-01-25,0.4339,0.4339,0.4339,0.4339,XCD
2015-01-26,0.4339,0.4339,0.432,0.432,XCD
2015-01-27,0.432,0.4327,0.432,0.4327,XCD
2015-01-28,0.4327,0.4331,0.4327,0.4327,XCD
2015-01-29,0.4327,0.4327,0.4323,0.4327,XCD
2015-01-30,0.4326,0.4326,0.4323,0.4323,XCD
2015-02-01,0.4323,0.4323,0.4323,0.4323,XCD
2015-02-02,0.4323,0.4323,0.4318,0.4318,XCD
2015-02-03,0.4318,0.4322,0.4318,0.4322,XCD
2015-02-04,0.432,0.4327,0.432,0.4327,XCD
2015-02-05,0.4326,0.4326,0.432,0.432,XCD
2015-02-06,0.4323,0.4333,0.4323,0.4333,XCD
2015-02-08,0.4329,0.4329,0.4329,0.4329,XCD
