Date,Open,High,Low,Close,Currency
2015-01-01,1.8642,1.8653,1.8583,1.8606,ZAR
2015-01-02,1.8604,1.8917,1.8596,1.8858,ZAR
2015-01-05,1.8898,1.8907,1.8758,1.8821,ZAR
2015-01-06,1.8812,1.8967,1.8768,1.8854,ZAR
2015-01-07,1.8852,1.8915,1.8783,1.8798,ZAR
2015-01-08,1.8789,1.8833,1.8581,1.8643,ZAR
2015-01-09,1.8634,1.8734,1.8464,1.8516,ZAR
2015-01-12,1.8493,1.8617,1.8484,1.8581,ZAR
2015-01-13,1.8572,1.8619,1.8488,1.8606,ZAR
2015-01-14,1.8595,1.8765,1.843,1.8471,ZAR
2015-01-15,1.8462,1.8699,1.8446,1.8689,ZAR
2015-01-16,1.8682,1.8714,1.852,1.8606,ZAR
2015-01-19,1.859,1.8761,1.8544,1.8715,ZAR
2015-01-20,1.869,1.88,1.8615,1.8649,ZAR
2015-01-21,1.8641,1.8695,1.8467,1.8537,ZAR
2015-01-22,1.8539,1.863,1.8293,1.8361,ZAR
2015-01-23,1.835,1.8438,1.8254,1.8327,ZAR
2015-01-26,1.8362,1.8388,1.8232,1.8328,ZAR
2015-01-27,1.8317,1.8604,1.829,1.8558,ZAR
2015-01-28,1.8548,1.8572,1.8388,1.8536,ZAR
2015-01-29,1.8526,1.8687,1.842,1.8497,ZAR
2015-01-30,1.849,1.8685,1.8433,1.8635,ZAR
2015-02-02,1.8628,1.8636,1.8344,1.8373,ZAR
2015-02-03,1.8364,1.8466,1.8153,1.8186,ZAR
2015-02-04,1.8177,1.8402,1.8167,1.8367,ZAR
2015-02-05,1.8358,1.8398,1.7999,1.8026,ZAR
2015-02-06,1.8013,1.8488,1.8013,1.8438,ZAR
2015-02-09,1.8416,1.859,1.8379,1.8543,ZAR
2015-02-10,1.8535,1.8785,1.8495,1.872,ZAR
2015-02-11,1.8713,1.9062,1.8672,1.8935,ZAR
2015-02-12,1.8925,1.9024,1.8706,1.8757,ZAR
2015-02-13,1.8753,1.8883,1.8621,1.87,ZAR
2015-02-16,1.866,1.8716,1.8582,1.864,ZAR
2015-02-17,1.8632,1.8695,1.8504,1.8664,ZAR
2015-02-18,1.8658,1.878,1.8507,1.8543,ZAR
2015-02-19,1.8534,1.8698,1.8449,1.8671,ZAR
2015-02-20,1.8661,1.8687,1.8555,1.8579,ZAR
2015-02-23,1.8574,1.8785,1.8556,1.8602,ZAR
2015-02-24,1.8593,1.8665,1.8321,1.8351,ZAR
2015-02-25,1.8337,1.8419,1.8216,1.8293,ZAR
2015-02-26,1.8265,1.845,1.8146,1.8429,ZAR
2015-02-27,1.8419,1.8657,1.832,1.8611,ZAR
2015-03-02,1.8581,1.8781,1.8581,1.8768,ZAR
2015-03-03,1.8758,1.8841,1.8649,1.8737,ZAR
2015-03-04,1.8728,1.8921,1.8677,1.8842,ZAR
2015-03-05,1.8833,1.8959,1.8712,1.8904,ZAR
2015-03-06,1.8891,1.9335,1.8783,1.9224,ZAR
2015-03-09,1.9225,1.9372,1.9159,1.93,ZAR
2015-03-10,1.9289,1.975,1.9289,1.975,ZAR
2015-03-11,1.9737,1.978,1.9528,1.9607,ZAR
2015-03-12,1.9596,1.9703,1.9391,1.9638,ZAR
2015-03-13,1.9625,2.0017,1.9574,1.9936,ZAR
2015-03-16,1.9951,1.9961,1.9738,1.9794,ZAR
2015-03-17,1.978,1.9884,1.9753,1.9772,ZAR
2015-03-18,1.9763,1.9906,1.9191,1.9362,ZAR
2015-03-19,1.9349,1.9948,1.9317,1.987,ZAR
2015-03-20,1.986,1.9882,1.9335,1.9363,ZAR
2015-03-23,1.9395,1.9535,1.9117,1.9154,ZAR
2015-03-24,1.9146,1.9264,1.8963,1.9019,ZAR
2015-03-25,1.9007,1.9133,1.8913,1.9081,ZAR
2015-03-26,1.907,1.9322,1.9044,1.9317,ZAR
2015-03-27,1.9306,1.9399,1.923,1.9381,ZAR
2015-03-30,1.9352,1.9607,1.9345,1.9584,ZAR
2015-03-31,1.9565,1.9737,1.952,1.9567,ZAR
2015-04-01,1.9557,1.9602,1.9283,1.9338,ZAR
2015-04-02,1.9327,1.9444,1.9229,1.9278,ZAR
2015-04-03,1.9272,1.9337,1.8966,1.9049,ZAR
2015-04-06,1.9005,1.91,1.8871,1.9068,ZAR
2015-04-07,1.9044,1.919,1.9003,1.918,ZAR
2015-04-08,1.9171,1.9194,1.897,1.9053,ZAR
2015-04-09,1.9043,1.9284,1.8965,1.9255,ZAR
2015-04-10,1.9246,1.9428,1.919,1.9321,ZAR
2015-04-13,1.9309,1.9618,1.9309,1.9526,ZAR
2015-04-14,1.9513,1.9586,1.9237,1.9332,ZAR
2015-04-15,1.9323,1.9676,1.9308,1.944,ZAR
2015-04-16,1.9427,1.953,1.9246,1.9308,ZAR
2015-04-17,1.9296,1.9527,1.9151,1.947,ZAR
2015-04-20,1.9446,1.9604,1.9311,1.9569,ZAR
2015-04-21,1.9574,1.9672,1.9465,1.9546,ZAR
2015-04-22,1.9539,1.978,1.947,1.9732,ZAR
2015-04-23,1.972,1.985,1.9565,1.9602,ZAR
2015-04-24,1.9596,1.9767,1.9517,1.9578,ZAR
2015-04-27,1.9582,1.9591,1.921,1.9305,ZAR
2015-04-28,1.9296,1.9392,1.9012,1.9125,ZAR
2015-04-29,1.9114,1.9197,1.8881,1.9014,ZAR
2015-04-30,1.9003,1.9315,1.8971,1.9205,ZAR
2015-05-01,1.9195,1.9479,1.9116,1.9444,ZAR
2015-05-04,1.9426,1.9458,1.9345,1.9423,ZAR
2015-05-05,1.9413,1.9464,1.9237,1.9306,ZAR
2015-05-06,1.9291,1.9464,1.9209,1.9381,ZAR
2015-05-07,1.9373,1.9542,1.93,1.9359,ZAR
2015-05-08,1.935,1.9456,1.9166,1.9206,ZAR
2015-05-11,1.9168,1.9474,1.9164,1.9456,ZAR
2015-05-12,1.9445,1.9574,1.9373,1.9434,ZAR
2015-05-13,1.9428,1.9439,1.9069,1.9159,ZAR
2015-05-14,1.915,1.9246,1.8977,1.9005,ZAR
2015-05-15,1.9003,1.9158,1.8934,1.9004,ZAR
2015-05-18,1.8971,1.9182,1.8971,1.9144,ZAR
2015-05-19,1.9136,1.9248,1.906,1.9189,ZAR
2015-05-20,1.9185,1.93,1.9025,1.9076,ZAR
2015-05-21,1.907,1.9166,1.8918,1.9077,ZAR
2015-05-22,1.9085,1.9207,1.8983,1.9194,ZAR
2015-05-25,1.9212,1.9321,1.9173,1.9285,ZAR
2015-05-26,1.9237,1.95,1.9223,1.948,ZAR
2015-05-27,1.9464,1.9628,1.9375,1.9391,ZAR
2015-05-28,1.9386,1.9691,1.9312,1.9576,ZAR
2015-05-29,1.9556,1.9659,1.9537,1.9611,ZAR
2015-06-01,1.9633,1.9833,1.9592,1.978,ZAR
2015-06-02,1.9786,1.9928,1.9647,1.9688,ZAR
2015-06-03,1.9687,1.989,1.9642,1.9861,ZAR
2015-06-04,1.9853,2.0006,1.9816,1.9966,ZAR
2015-06-05,1.9956,2.0368,1.9921,2.028,ZAR
2015-06-08,2.0324,2.0367,2.0084,2.0106,ZAR
2015-06-09,2.0096,2.0234,1.9967,2.0029,ZAR
2015-06-10,2.0022,2.0121,1.9798,1.9836,ZAR
2015-06-11,1.9832,2.0119,1.9824,1.9899,ZAR
2015-06-12,1.99,2.0088,1.9877,1.9943,ZAR
2015-06-15,1.9934,2.0071,1.9934,1.9973,ZAR
2015-06-16,1.9967,2.0101,1.9902,1.9924,ZAR
2015-06-17,1.9915,2.0062,1.9696,1.9753,ZAR
2015-06-18,1.9742,1.9832,1.9549,1.9727,ZAR
2015-06-19,1.9714,1.9784,1.9549,1.9587,ZAR
2015-06-22,1.9566,1.9636,1.9448,1.9485,ZAR
2015-06-23,1.9476,1.9731,1.9472,1.9608,ZAR
2015-06-24,1.9599,1.9669,1.9511,1.9582,ZAR
2015-06-25,1.955,1.959,1.9401,1.9494,ZAR
2015-06-26,1.9483,1.9722,1.9475,1.9653,ZAR
2015-06-29,1.9944,1.9983,1.9634,1.9714,ZAR
2015-06-30,1.967,1.9791,1.9533,1.9626,ZAR
2015-07-01,1.9615,1.9804,1.9573,1.9749,ZAR
2015-07-02,1.9749,1.992,1.9711,1.9741,ZAR
2015-07-03,1.9731,1.9924,1.9658,1.9853,ZAR
2015-07-06,2.0019,2.0071,1.9833,1.9957,ZAR
2015-07-07,1.9949,2.02,1.9916,2.0053,ZAR
2015-07-08,2.0062,2.0267,2.0011,2.0254,ZAR
2015-07-09,2.0244,2.0276,2.0031,2.015,ZAR
2015-07-10,2.0139,2.0148,1.9916,2.0051,ZAR
2015-07-13,2.0114,2.0168,1.9946,2.0054,ZAR
2015-07-14,2.0038,2.0095,1.9837,1.9848,ZAR
2015-07-15,1.9842,2.0076,1.9837,2.0,ZAR
2015-07-16,1.9987,2.0045,1.9874,1.9952,ZAR
2015-07-17,1.9947,1.9984,1.9795,1.9905,ZAR
2015-07-20,1.991,2.01,1.9891,2.0026,ZAR
2015-07-21,2.0014,2.0071,1.9836,1.9854,ZAR
2015-07-22,1.9849,2.0037,1.9818,1.9985,ZAR
2015-07-23,1.9974,2.0119,1.9919,2.0041,ZAR
2015-07-24,2.0069,2.0431,2.0004,2.0329,ZAR
2015-07-27,2.0322,2.0446,2.024,2.0324,ZAR
2015-07-28,2.0314,2.0386,2.0157,2.0243,ZAR
2015-07-29,2.0208,2.0301,2.0076,2.0183,ZAR
2015-07-30,2.0183,2.0542,2.018,2.0453,ZAR
2015-07-31,2.0443,2.0573,2.025,2.0411,ZAR
2015-08-03,2.0414,2.0539,2.0378,2.0429,ZAR
2015-08-04,2.0416,2.0522,2.0313,2.0513,ZAR
2015-08-05,2.0508,2.0661,2.0456,2.0608,ZAR
2015-08-06,2.0587,2.0621,2.0457,2.048,ZAR
2015-08-07,2.0472,2.0603,2.0277,2.0332,ZAR
2015-08-10,2.0321,2.0536,2.0321,2.0399,ZAR
2015-08-11,2.0367,2.048,2.0009,2.0224,ZAR
2015-08-12,2.0195,2.0343,1.9868,1.9975,ZAR
2015-08-13,1.9965,2.0071,1.9774,2.0019,ZAR
2015-08-14,2.0007,2.0142,1.9932,2.0066,ZAR
2015-08-17,2.0056,2.0221,2.0015,2.0183,ZAR
2015-08-18,2.0177,2.0294,2.01,2.0178,ZAR
2015-08-19,2.0172,2.0297,2.0033,2.0146,ZAR
2015-08-20,2.0143,2.0355,2.0065,2.0248,ZAR
2015-08-21,2.0235,2.0312,2.0162,2.0301,ZAR
2015-08-24,2.0291,2.1395,2.0284,2.0661,ZAR
2015-08-25,2.0631,2.0686,2.0232,2.0575,ZAR
2015-08-26,2.0549,2.0591,2.0323,2.0479,ZAR
2015-08-27,2.0461,2.0615,2.0264,2.0526,ZAR
2015-08-28,2.0496,2.0894,2.0455,2.0826,ZAR
2015-08-31,2.0791,2.0995,2.0737,2.0825,ZAR
2015-09-01,2.0816,2.116,2.0751,2.1128,ZAR
2015-09-02,2.1098,2.1274,2.1025,2.1153,ZAR
2015-09-03,2.1125,2.1496,2.1061,2.1341,ZAR
2015-09-04,2.1312,2.1871,2.1306,2.1798,ZAR
2015-09-07,2.1752,2.2026,2.1732,2.1942,ZAR
2015-09-08,2.1908,2.2012,2.1478,2.1555,ZAR
2015-09-09,2.1524,2.1665,2.1261,2.1627,ZAR
2015-09-10,2.16,2.1897,2.1234,2.141,ZAR
2015-09-11,2.1344,2.1499,2.1215,2.1302,ZAR
2015-09-14,2.1237,2.1395,2.1135,2.1177,ZAR
2015-09-15,2.1167,2.1292,2.1039,2.1145,ZAR
2015-09-16,2.1115,2.1206,2.0789,2.0825,ZAR
2015-09-17,2.0799,2.1078,2.0664,2.0974,ZAR
2015-09-18,2.0958,2.0986,2.0683,2.0938,ZAR
2015-09-21,2.0891,2.1201,2.0853,2.1148,ZAR
2015-09-22,2.1124,2.158,2.1028,2.1451,ZAR
2015-09-23,2.1433,2.1746,2.1352,2.1718,ZAR
2015-09-24,2.1703,2.2069,2.1629,2.1688,ZAR
2015-09-25,2.1658,2.1884,2.1514,2.1829,ZAR
2015-09-28,2.1803,2.2142,2.1657,2.2088,ZAR
2015-09-29,2.2053,2.2273,2.1806,2.1959,ZAR
2015-09-30,2.1942,2.202,2.1691,2.1795,ZAR
2015-10-01,2.1767,2.1947,2.1573,2.1902,ZAR
2015-10-02,2.189,2.2077,2.1572,2.1605,ZAR
2015-10-05,2.1574,2.17,2.1271,2.1417,ZAR
2015-10-06,2.14,2.1607,2.1235,2.1268,ZAR
2015-10-07,2.1248,2.1339,2.0981,2.1186,ZAR
2015-10-08,2.1177,2.1322,2.0914,2.0948,ZAR
2015-10-09,2.0935,2.1103,2.0857,2.1042,ZAR
2015-10-12,2.0984,2.1157,2.0911,2.1065,ZAR
2015-10-13,2.1061,2.1398,2.0996,2.138,ZAR
2015-10-14,2.1354,2.1399,2.079,2.0853,ZAR
2015-10-15,2.0825,2.0863,2.0509,2.0562,ZAR
2015-10-16,2.0536,2.0732,2.0529,2.0592,ZAR
2015-10-19,2.0548,2.0923,2.0456,2.0897,ZAR
2015-10-20,2.0884,2.1012,2.0745,2.0946,ZAR
2015-10-21,2.0922,2.1346,2.0846,2.1307,ZAR
2015-10-22,2.1281,2.1421,2.1038,2.1084,ZAR
2015-10-23,2.1058,2.1585,2.0939,2.1478,ZAR
2015-10-26,2.1461,2.157,2.1337,2.1467,ZAR
2015-10-27,2.1439,2.168,2.1409,2.1525,ZAR
2015-10-28,2.1502,2.1715,2.1248,2.1564,ZAR
2015-10-29,2.156,2.1895,2.1524,2.1858,ZAR
2015-10-30,2.1826,2.1946,2.1743,2.1881,ZAR
2015-11-02,2.1854,2.1892,2.1644,2.1749,ZAR
2015-11-03,2.174,2.2004,2.1649,2.1685,ZAR
2015-11-04,2.1668,2.2085,2.1656,2.2034,ZAR
2015-11-05,2.2026,2.2066,2.1835,2.1886,ZAR
2015-11-06,2.1881,2.2363,2.184,2.2286,ZAR
2015-11-09,2.2354,2.2537,2.2175,2.2477,ZAR
2015-11-10,2.2468,2.2615,2.2363,2.2431,ZAR
2015-11-11,2.2416,2.2443,2.2202,2.2226,ZAR
2015-11-12,2.2215,2.2519,2.2092,2.2468,ZAR
2015-11-13,2.2437,2.2642,2.2373,2.2596,ZAR
2015-11-16,2.2584,2.2675,2.2437,2.2466,ZAR
2015-11-17,2.2457,2.2603,2.2258,2.2376,ZAR
2015-11-18,2.2363,2.244,2.2153,2.2189,ZAR
2015-11-19,2.2176,2.2291,2.1921,2.198,ZAR
2015-11-20,2.1968,2.2027,2.174,2.1852,ZAR
2015-11-23,2.1819,2.2092,2.1819,2.2046,ZAR
2015-11-24,2.2039,2.2176,2.1848,2.1978,ZAR
2015-11-25,2.195,2.2185,2.1896,2.2108,ZAR
2015-11-26,2.2119,2.2376,2.2045,2.2365,ZAR
2015-11-27,2.2356,2.255,2.2305,2.2527,ZAR
2015-11-30,2.2483,2.2656,2.2424,2.2589,ZAR
2015-12-01,2.2565,2.2673,2.244,2.2561,ZAR
2015-12-02,2.2543,2.2608,2.2358,2.2426,ZAR
2015-12-03,2.2418,2.2516,2.2261,2.2458,ZAR
2015-12-04,2.2429,2.2612,2.2289,2.2401,ZAR
2015-12-07,2.2421,2.2745,2.2359,2.269,ZAR
2015-12-08,2.2625,2.2912,2.2573,2.2748,ZAR
2015-12-09,2.2745,2.3731,2.2556,2.3304,ZAR
2015-12-10,2.3284,2.4053,2.3094,2.4024,ZAR
2015-12-11,2.4002,2.4826,2.3792,2.46,ZAR
2015-12-14,2.3384,2.4009,2.3104,2.339,ZAR
2015-12-15,2.3368,2.3476,2.2962,2.3106,ZAR
2015-12-16,2.3089,2.3346,2.2842,2.3087,ZAR
2015-12-17,2.3058,2.3566,2.2921,2.3491,ZAR
2015-12-18,2.3464,2.3545,2.3115,2.3295,ZAR
2015-12-21,2.3236,2.3344,2.3111,2.3297,ZAR
2015-12-22,2.3269,2.3491,2.3234,2.34,ZAR
2015-12-23,2.3372,2.3592,2.3362,2.3485,ZAR
2015-12-24,2.3462,2.3619,2.3382,2.3584,ZAR
2015-12-25,2.3559,2.3633,2.3472,2.3604,ZAR
2015-12-28,2.3476,2.3671,2.3373,2.3593,ZAR
2015-12-29,2.3565,2.3653,2.3519,2.3598,ZAR
2015-12-30,2.3569,2.4038,2.354,2.3958,ZAR
2015-12-31,2.3922,2.4125,2.3768,2.3834,ZAR
2016-01-01,2.3796,2.3845,2.3784,2.3824,ZAR
2016-01-04,2.3835,2.4068,2.3733,2.3815,ZAR
2016-01-05,2.3787,2.4061,2.3739,2.3973,ZAR
2016-01-06,2.3948,2.4228,2.3926,2.4188,ZAR
2016-01-07,2.4161,2.4592,2.4118,2.4386,ZAR
2016-01-08,2.4352,2.4744,2.417,2.4737,ZAR
2016-01-11,2.4681,2.6334,2.4681,2.5545,ZAR
2016-01-12,2.5515,2.5804,2.5,2.5366,ZAR
2016-01-13,2.5334,2.5398,2.4868,2.5198,ZAR
2016-01-14,2.5173,2.5337,2.4829,2.4958,ZAR
2016-01-15,2.494,2.5592,2.4901,2.5528,ZAR
2016-01-18,2.5469,2.5794,2.5326,2.5649,ZAR
2016-01-19,2.5637,2.5688,2.5181,2.5513,ZAR
2016-01-20,2.5487,2.5791,2.5383,2.5477,ZAR
2016-01-21,2.5475,2.567,2.504,2.5173,ZAR
2016-01-22,2.5153,2.53,2.4911,2.503,ZAR
2016-01-25,2.5044,2.5179,2.4903,2.5144,ZAR
2016-01-26,2.512,2.532,2.4799,2.4897,ZAR
2016-01-27,2.4875,2.5086,2.4766,2.5005,ZAR
2016-01-28,2.4981,2.5075,2.4522,2.4645,ZAR
2016-01-29,2.4619,2.4704,2.4098,2.4165,ZAR
2016-02-01,2.4075,2.4507,2.4075,2.4177,ZAR
2016-02-02,2.4145,2.4673,2.4124,2.4638,ZAR
2016-02-03,2.4626,2.4987,2.418,2.4219,ZAR
2016-02-04,2.419,2.44,2.3941,2.4162,ZAR
2016-02-05,2.4132,2.4386,2.397,2.4381,ZAR
2016-02-08,2.4357,2.468,2.416,2.4573,ZAR
2016-02-09,2.4527,2.4772,2.4278,2.4444,ZAR
2016-02-10,2.4403,2.4494,2.3968,2.4165,ZAR
2016-02-11,2.4145,2.4437,2.3793,2.4158,ZAR
2016-02-12,2.4066,2.4303,2.3911,2.416,ZAR
2016-02-15,2.4126,2.4484,2.4036,2.4204,ZAR
2016-02-16,2.4174,2.4308,2.4074,2.4238,ZAR
2016-02-17,2.4208,2.434,2.3636,2.3702,ZAR
2016-02-18,2.3681,2.3855,2.3377,2.3639,ZAR
2016-02-19,2.3634,2.3843,2.3526,2.3608,ZAR
2016-02-22,2.3603,2.3718,2.3232,2.3296,ZAR
2016-02-23,2.3266,2.345,2.3057,2.3338,ZAR
2016-02-24,2.3308,2.4139,2.327,2.3881,ZAR
2016-02-25,2.3846,2.4152,2.3727,2.3849,ZAR
2016-02-26,2.3828,2.4971,2.3721,2.4722,ZAR
2016-02-29,2.4688,2.4835,2.4005,2.4215,ZAR
2016-03-01,2.4181,2.4314,2.368,2.3792,ZAR
2016-03-02,2.3761,2.4055,2.3692,2.3735,ZAR
2016-03-03,2.3708,2.4085,2.3673,2.3973,ZAR
2016-03-04,2.3948,2.4073,2.3418,2.3594,ZAR
2016-03-07,2.3558,2.3668,2.3358,2.3403,ZAR
2016-03-08,2.3393,2.3776,2.3353,2.3697,ZAR
2016-03-09,2.3695,2.3809,2.3222,2.3344,ZAR
2016-03-10,2.3317,2.3754,2.302,2.3639,ZAR
2016-03-11,2.3612,2.3713,2.3281,2.3448,ZAR
2016-03-14,2.3407,2.3998,2.3324,2.3889,ZAR
2016-03-15,2.3857,2.4624,2.3846,2.4444,ZAR
2016-03-16,2.4415,2.492,2.3935,2.4016,ZAR
2016-03-17,2.3992,2.4226,2.3249,2.3424,ZAR
2016-03-18,2.3415,2.3804,2.3365,2.3576,ZAR
2016-03-21,2.3591,2.3839,2.3333,2.3469,ZAR
2016-03-22,2.342,2.3694,2.3358,2.3445,ZAR
2016-03-23,2.3415,2.3704,2.3382,2.3605,ZAR
2016-03-24,2.3578,2.394,2.3533,2.3729,ZAR
2016-03-25,2.3695,2.382,2.3653,2.3718,ZAR
2016-03-28,2.3705,2.4005,2.3603,2.374,ZAR
2016-03-29,2.3757,2.3901,2.3199,2.3313,ZAR
2016-03-30,2.3326,2.3476,2.2877,2.3102,ZAR
2016-03-31,2.3093,2.3161,2.2667,2.29,ZAR
2016-04-01,2.2864,2.3061,2.2602,2.2678,ZAR
2016-04-04,2.2648,2.287,2.2565,2.2813,ZAR
2016-04-05,2.2814,2.3441,2.2766,2.3298,ZAR
2016-04-06,2.3289,2.3618,2.3114,2.3275,ZAR
2016-04-07,2.3247,2.3655,2.3197,2.3606,ZAR
2016-04-08,2.3574,2.3626,2.3047,2.3169,ZAR
2016-04-11,2.3139,2.322,2.26,2.2812,ZAR
2016-04-12,2.28,2.2878,2.2623,2.2742,ZAR
2016-04-13,2.2717,2.2894,2.2373,2.2435,ZAR
2016-04-14,2.2421,2.2712,2.2271,2.2445,ZAR
2016-04-15,2.2409,2.2647,2.2308,2.25,ZAR
2016-04-18,2.2551,2.2793,2.2294,2.2379,ZAR
2016-04-19,2.2347,2.2389,2.1938,2.2083,ZAR
2016-04-20,2.2082,2.2252,2.1871,2.1957,ZAR
2016-04-21,2.1911,2.2166,2.1862,2.2097,ZAR
2016-04-22,2.2087,2.222,2.1963,2.2151,ZAR
2016-04-25,2.2175,2.2424,2.2096,2.2257,ZAR
2016-04-26,2.2236,2.2401,2.209,2.218,ZAR
2016-04-27,2.2135,2.2517,2.2088,2.2191,ZAR
2016-04-28,2.215,2.2477,2.1966,2.2045,ZAR
2016-04-29,2.2047,2.2095,2.1732,2.1987,ZAR
2016-05-02,2.1937,2.2194,2.1881,2.2052,ZAR
2016-05-03,2.2018,2.2595,2.1937,2.2553,ZAR
2016-05-04,2.2515,2.3255,2.2492,2.3067,ZAR
2016-05-05,2.3042,2.3304,2.2699,2.3015,ZAR
2016-05-06,2.2993,2.3343,2.2803,2.2881,ZAR
2016-05-09,2.2901,2.337,2.2628,2.3295,ZAR
2016-05-10,2.3235,2.3638,2.3124,2.3192,ZAR
2016-05-11,2.3158,2.3527,2.3085,2.3157,ZAR
2016-05-12,2.3146,2.3315,2.2849,2.3085,ZAR
2016-05-13,2.2996,2.3626,2.2996,2.3584,ZAR
2016-05-16,2.3659,2.4145,2.3544,2.4002,ZAR
2016-05-17,2.3959,2.4075,2.3735,2.3842,ZAR
2016-05-18,2.3834,2.4371,2.3816,2.4267,ZAR
2016-05-19,2.4267,2.443,2.4053,2.4135,ZAR
2016-05-20,2.4116,2.4184,2.382,2.387,ZAR
2016-05-23,2.3938,2.4099,2.368,2.3982,ZAR
2016-05-24,2.3951,2.4223,2.3776,2.3883,ZAR
2016-05-25,2.3851,2.4051,2.3599,2.3914,ZAR
2016-05-26,2.3882,2.3948,2.3615,2.3672,ZAR
2016-05-27,2.3637,2.3998,2.361,2.3946,ZAR
2016-05-30,2.3848,2.4142,2.3846,2.4027,ZAR
2016-05-31,2.3993,2.411,2.3757,2.3869,ZAR
2016-06-01,2.3847,2.3936,2.3615,2.3732,ZAR
2016-06-02,2.3706,2.3822,2.3539,2.3652,ZAR
2016-06-03,2.3623,2.3706,2.2917,2.2991,ZAR
2016-06-06,2.2954,2.3152,2.2654,2.2712,ZAR
2016-06-07,2.2672,2.2786,2.2506,2.2684,ZAR
2016-06-08,2.2672,2.2807,2.229,2.2455,ZAR
2016-06-09,2.2429,2.2706,2.2424,2.2554,ZAR
2016-06-10,2.2523,2.3325,2.2523,2.321,ZAR
2016-06-13,2.3203,2.3261,2.2789,2.3022,ZAR
2016-06-14,2.2977,2.34,2.2927,2.3197,ZAR
2016-06-15,2.3197,2.3298,2.2999,2.3165,ZAR
2016-06-16,2.3128,2.3582,2.302,2.3273,ZAR
2016-06-17,2.3232,2.3337,2.2904,2.2952,ZAR
2016-06-20,2.2943,2.2966,2.2415,2.2562,ZAR
2016-06-21,2.2554,2.261,2.2198,2.234,ZAR
2016-06-22,2.2329,2.2458,2.2117,2.2221,ZAR
2016-06-23,2.2184,2.2264,2.1807,2.1902,ZAR
2016-06-24,2.1879,2.37,2.1723,2.2751,ZAR
2016-06-27,2.2682,2.3407,2.2629,2.3241,ZAR
2016-06-28,2.3197,2.3293,2.2695,2.2849,ZAR
2016-06-29,2.2808,2.2885,2.2223,2.2285,ZAR
2016-06-30,2.2264,2.255,2.1922,2.2119,ZAR
2016-07-01,2.2104,2.2248,2.1728,2.1876,ZAR
2016-07-04,2.1933,2.1988,2.1677,2.1854,ZAR
