Date,Open,High,Low,Close,Currency
2015-01-01,1.951,1.9516,1.951,1.9516,PYG
2015-01-02,1.9516,1.9517,1.9416,1.9505,PYG
2015-01-04,1.9505,1.9505,1.9505,1.9505,PYG
2015-01-05,1.9505,1.9588,1.9148,1.9148,PYG
2015-01-06,1.9152,1.9588,1.9152,1.9267,PYG
2015-01-07,1.9263,1.9478,1.9263,1.9478,PYG
2015-01-08,1.9478,1.9478,1.9332,1.9451,PYG
2015-01-09,1.9459,1.9635,1.9409,1.9456,PYG
2015-01-11,1.9469,1.9469,1.9469,1.9469,PYG
2015-01-12,1.9469,1.9718,1.9469,1.9525,PYG
2015-01-13,1.9542,1.9542,1.9459,1.9524,PYG
2015-01-14,1.9524,1.9524,1.9317,1.9406,PYG
2015-01-15,1.9414,1.9602,1.9315,1.9602,PYG
2015-01-16,1.9602,1.9986,1.9484,1.9986,PYG
2015-01-18,1.9986,1.9986,1.9986,1.9986,PYG
2015-01-19,1.9986,1.9986,1.9652,1.9978,PYG
2015-01-20,1.9978,2.0105,1.9918,1.9918,PYG
2015-01-21,1.9918,2.0104,1.9918,1.996,PYG
2015-01-22,1.9958,2.0145,1.9958,2.0086,PYG
2015-01-23,2.0086,2.0229,1.9832,2.0229,PYG
2015-01-25,2.0224,2.0224,2.0224,2.0224,PYG
2015-01-26,2.0061,2.0229,2.0061,2.017,PYG
2015-01-27,2.017,2.0173,2.0116,2.0116,PYG
2015-01-28,2.0116,2.0279,2.0116,2.0279,PYG
2015-01-29,2.0279,2.0326,1.9924,1.9924,PYG
2015-01-30,1.9924,2.0326,1.9924,2.0005,PYG
2015-02-01,2.0006,2.0006,2.0006,2.0006,PYG
2015-02-02,2.0006,2.0059,1.9757,2.0041,PYG
2015-02-03,2.0037,2.041,1.9754,2.041,PYG
2015-02-04,2.041,2.041,2.0022,2.0128,PYG
2015-02-05,2.0128,2.0352,2.0006,2.009,PYG
2015-02-06,2.0103,2.0103,1.9999,1.9999,PYG
2015-02-08,2.0037,2.0037,2.0037,2.0037,PYG
2015-02-09,2.0037,2.0147,2.0037,2.0147,PYG
2015-02-10,2.0147,2.0159,2.0014,2.0014,PYG
2015-02-11,2.0014,2.016,1.9744,1.9744,PYG
2015-02-12,1.9744,1.9956,1.9579,1.9827,PYG
2015-02-13,1.9827,2.0107,1.9581,1.9993,PYG
2015-02-15,1.9985,1.9985,1.9985,1.9985,PYG
2015-02-16,1.9985,1.9985,1.9921,1.9967,PYG
2015-02-17,1.9967,1.9967,1.9907,1.9907,PYG
2015-02-18,1.9907,1.9908,1.9503,1.9503,PYG
2015-02-19,1.9523,1.9659,1.9452,1.9508,PYG
2015-02-20,1.9476,1.9536,1.9433,1.9433,PYG
2015-02-22,1.9433,1.9433,1.9433,1.9433,PYG
2015-02-23,1.9433,1.9433,1.9066,1.9066,PYG
2015-02-24,1.9066,1.9353,1.8979,1.8979,PYG
2015-02-25,1.8979,1.9141,1.8979,1.9098,PYG
2015-02-26,1.9087,1.9087,1.8992,1.8992,PYG
2015-02-27,1.8992,1.9048,1.8946,1.8988,PYG
2015-03-01,1.8973,1.8973,1.8973,1.8973,PYG
2015-03-02,1.8973,1.9006,1.8642,1.8642,PYG
2015-03-03,1.865,1.9113,1.8312,1.8312,PYG
2015-03-04,1.8312,1.8558,1.8173,1.8399,PYG
2015-03-05,1.8384,1.8469,1.8302,1.8302,PYG
2015-03-06,1.8288,1.8288,1.8288,1.8288,PYG
2015-03-08,1.7946,1.7946,1.7946,1.7946,PYG
2015-03-09,1.7946,1.7946,1.7946,1.7946,PYG
2015-03-10,1.8119,1.8119,1.8119,1.8119,PYG
2015-03-11,1.7898,1.7898,1.7898,1.7898,PYG
