Date,Open,High,Low,Close,Currency
2015-01-02,0.0101,0.0103,0.0101,0.0103,UYU
2015-01-04,0.0103,0.0103,0.0103,0.0103,UYU
2015-01-05,0.0103,0.0103,0.01,0.01,UYU
2015-01-06,0.01,0.0103,0.0098,0.0099,UYU
2015-01-07,0.0099,0.01,0.0099,0.01,UYU
2015-01-08,0.01,0.01,0.0099,0.01,UYU
2015-01-09,0.01,0.0101,0.0099,0.01,UYU
2015-01-11,0.01,0.01,0.01,0.01,UYU
2015-01-12,0.01,0.0101,0.01,0.0101,UYU
2015-01-13,0.0101,0.0102,0.0101,0.0101,UYU
2015-01-14,0.0101,0.0101,0.0101,0.0101,UYU
2015-01-15,0.0101,0.0103,0.0101,0.0103,UYU
2015-01-16,0.0103,0.0105,0.0102,0.0105,UYU
2015-01-18,0.0105,0.0105,0.0105,0.0105,UYU
2015-01-19,0.0105,0.0105,0.0103,0.0104,UYU
2015-01-20,0.0104,0.0104,0.0103,0.0103,UYU
2015-01-21,0.0103,0.0104,0.0103,0.0103,UYU
2015-01-22,0.0103,0.0103,0.0102,0.0102,UYU
2015-01-23,0.0102,0.0103,0.0102,0.0103,UYU
2015-01-25,0.0103,0.0103,0.0103,0.0103,UYU
2015-01-26,0.0102,0.0103,0.0102,0.0103,UYU
2015-01-27,0.0103,0.0103,0.0103,0.0103,UYU
2015-01-28,0.0103,0.0104,0.0103,0.0104,UYU
2015-01-29,0.0104,0.0104,0.0101,0.0101,UYU
2015-01-30,0.0101,0.0103,0.0101,0.0101,UYU
2015-02-01,0.01,0.0101,0.01,0.0101,UYU
2015-02-02,0.0101,0.0101,0.01,0.0101,UYU
2015-02-03,0.0101,0.0104,0.01,0.0104,UYU
2015-02-04,0.0104,0.0104,0.0102,0.0102,UYU
2015-02-05,0.0102,0.0104,0.0102,0.0102,UYU
2015-02-06,0.0102,0.0102,0.0102,0.0102,UYU
2015-02-08,0.0102,0.0102,0.0102,0.0102,UYU
2015-02-09,0.0102,0.0103,0.0102,0.0103,UYU
2015-02-10,0.0103,0.0103,0.0102,0.0103,UYU
2015-02-11,0.0103,0.0103,0.0102,0.0102,UYU
2015-02-12,0.0102,0.0103,0.0101,0.0103,UYU
2015-02-13,0.0103,0.0105,0.0101,0.0104,UYU
2015-02-15,0.0104,0.0104,0.0104,0.0104,UYU
2015-02-16,0.0104,0.0104,0.0104,0.0104,UYU
2015-02-17,0.0104,0.0104,0.0103,0.0103,UYU
2015-02-18,0.0103,0.0103,0.0101,0.0101,UYU
2015-02-19,0.0101,0.0102,0.0101,0.0101,UYU
2015-02-20,0.0101,0.0101,0.01,0.01,UYU
2015-02-22,0.01,0.01,0.01,0.01,UYU
2015-02-23,0.01,0.01,0.0099,0.0099,UYU
2015-02-24,0.0099,0.01,0.0098,0.0098,UYU
2015-02-25,0.0098,0.01,0.0098,0.01,UYU
2015-02-26,0.01,0.01,0.0099,0.0099,UYU
2015-02-27,0.0099,0.0099,0.0099,0.0099,UYU
2015-03-01,0.0099,0.0099,0.0099,0.0099,UYU
2015-03-02,0.0099,0.0099,0.0097,0.0097,UYU
2015-03-03,0.0097,0.01,0.0096,0.0096,UYU
2015-03-04,0.0096,0.0097,0.0095,0.0097,UYU
2015-03-05,0.0097,0.0097,0.0096,0.0096,UYU
2015-03-06,0.0097,0.0097,0.0097,0.0097,UYU
2015-03-08,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-09,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-10,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-11,0.0095,0.0095,0.0095,0.0095,UYU
2015-03-12,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-13,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-15,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-16,0.0096,0.0096,0.0096,0.0096,UYU
2015-03-17,0.0094,0.0094,0.0094,0.0094,UYU
2015-03-18,0.0095,0.0095,0.0095,0.0095,UYU
2015-03-19,0.0095,0.0095,0.0095,0.0095,UYU
2015-03-20,0.0097,0.0097,0.0097,0.0097,UYU
2015-03-22,0.0099,0.0099,0.0099,0.0099,UYU
2015-03-23,0.0099,0.0099,0.0099,0.0099,UYU
2015-03-24,0.01,0.01,0.01,0.01,UYU
2015-03-25,0.0102,0.0102,0.0102,0.0102,UYU
2015-03-26,0.01,0.01,0.01,0.01,UYU
2015-03-27,0.0099,0.0099,0.0099,0.0099,UYU
2015-03-29,0.01,0.01,0.01,0.01,UYU
2015-03-30,0.01,0.01,0.01,0.01,UYU
2015-03-31,0.01,0.01,0.01,0.01,UYU
2015-04-01,0.01,0.01,0.01,0.01,UYU
2015-04-02,0.01,0.01,0.01,0.01,UYU
2015-04-03,0.01,0.01,0.01,0.01,UYU
2015-04-05,0.0099,0.0099,0.0099,0.0099,UYU
2015-04-06,0.0099,0.0099,0.0099,0.0099,UYU
2015-04-07,0.01,0.0103,0.01,0.0102,UYU
2015-04-08,0.0102,0.0103,0.0101,0.0103,UYU
2015-04-09,0.0103,0.0104,0.0102,0.0103,UYU
2015-04-10,0.0103,0.0103,0.0102,0.0102,UYU
2015-04-12,0.0102,0.0102,0.0102,0.0102,UYU
2015-04-13,0.0102,0.0104,0.0102,0.0103,UYU
2015-04-14,0.0103,0.0104,0.0102,0.0103,UYU
2015-04-15,0.0103,0.0105,0.0103,0.0105,UYU
2015-04-16,0.0105,0.0107,0.0103,0.0106,UYU
2015-04-17,0.0106,0.0108,0.0106,0.0107,UYU
2015-04-19,0.0107,0.0108,0.0107,0.0108,UYU
2015-04-20,0.0108,0.0108,0.0107,0.0108,UYU
2015-04-21,0.0108,0.0108,0.0107,0.0108,UYU
2015-04-22,0.0108,0.0108,0.0107,0.0107,UYU
2015-04-23,0.0108,0.0109,0.0107,0.0109,UYU
2015-04-24,0.0109,0.0109,0.0108,0.0109,UYU
2015-04-26,0.0109,0.0109,0.0109,0.0109,UYU
2015-04-27,0.0109,0.0111,0.0109,0.0111,UYU
2015-04-28,0.0111,0.0111,0.0109,0.011,UYU
2015-04-29,0.011,0.011,0.0108,0.0109,UYU
2015-04-30,0.0109,0.0109,0.0108,0.0108,UYU
2015-05-01,0.0108,0.0109,0.0108,0.0108,UYU
2015-05-03,0.0108,0.0108,0.0108,0.0108,UYU
2015-05-04,0.0108,0.011,0.0108,0.011,UYU
2015-05-05,0.011,0.0111,0.011,0.0111,UYU
2015-05-06,0.0111,0.0113,0.011,0.0112,UYU
2015-05-07,0.0112,0.0112,0.0111,0.0111,UYU
2015-05-08,0.0111,0.0112,0.0111,0.0112,UYU
2015-05-10,0.0112,0.0112,0.0112,0.0112,UYU
2015-05-11,0.0112,0.0112,0.0111,0.0111,UYU
2015-05-12,0.0111,0.0112,0.011,0.011,UYU
2015-05-13,0.011,0.0112,0.011,0.0111,UYU
2015-05-14,0.0111,0.0111,0.0111,0.0111,UYU
2015-05-15,0.0111,0.0111,0.0109,0.011,UYU
2015-05-17,0.011,0.011,0.011,0.011,UYU
2015-05-18,0.011,0.0111,0.011,0.011,UYU
2015-05-19,0.011,0.011,0.0107,0.0107,UYU
2015-05-20,0.0107,0.0109,0.0106,0.0107,UYU
2015-05-21,0.0107,0.0107,0.0107,0.0107,UYU
2015-05-22,0.0107,0.0108,0.0107,0.0107,UYU
2015-05-24,0.0107,0.0107,0.0107,0.0107,UYU
2015-05-25,0.0107,0.0108,0.0107,0.0107,UYU
2015-05-26,0.0107,0.0108,0.0105,0.0105,UYU
2015-05-27,0.0105,0.0108,0.0105,0.0105,UYU
2015-05-28,0.0105,0.0106,0.0105,0.0106,UYU
2015-05-29,0.0106,0.0107,0.0106,0.0106,UYU
2015-05-31,0.0106,0.0106,0.0106,0.0106,UYU
2015-06-01,0.0106,0.0106,0.0106,0.0106,UYU
2015-06-02,0.0106,0.0106,0.0105,0.0105,UYU
2015-06-03,0.0105,0.0105,0.0104,0.0104,UYU
2015-06-04,0.0104,0.0105,0.0103,0.0103,UYU
2015-06-05,0.0103,0.0104,0.0102,0.0102,UYU
2015-06-07,0.0102,0.0102,0.0102,0.0102,UYU
2015-06-08,0.0102,0.0104,0.0102,0.0103,UYU
2015-06-09,0.0103,0.0105,0.0101,0.0105,UYU
2015-06-10,0.0105,0.0106,0.0103,0.0106,UYU
2015-06-11,0.0106,0.0106,0.0104,0.0105,UYU
2015-06-12,0.0105,0.0106,0.0105,0.0105,UYU
2015-06-14,0.0105,0.0105,0.0105,0.0105,UYU
2015-06-15,0.0105,0.0106,0.0105,0.0106,UYU
2015-06-16,0.0106,0.0106,0.0105,0.0105,UYU
2015-06-17,0.0105,0.0106,0.0105,0.0105,UYU
2015-06-18,0.0105,0.0106,0.0104,0.0106,UYU
2015-06-19,0.0106,0.0106,0.0105,0.0105,UYU
2015-06-21,0.0105,0.0105,0.0105,0.0105,UYU
2015-06-22,0.0105,0.0105,0.0105,0.0105,UYU
2015-06-23,0.0105,0.0105,0.0105,0.0105,UYU
2015-06-24,0.0105,0.0105,0.0104,0.0105,UYU
2015-06-25,0.0105,0.0105,0.0105,0.0105,UYU
2015-06-26,0.0105,0.0105,0.0104,0.0104,UYU
2015-06-28,0.0104,0.0104,0.0104,0.0104,UYU
2015-06-29,0.0104,0.0105,0.0103,0.0104,UYU
2015-06-30,0.0104,0.0104,0.0103,0.0103,UYU
2015-07-01,0.0103,0.0104,0.0102,0.0102,UYU
2015-07-02,0.0102,0.0104,0.0102,0.0102,UYU
2015-07-03,0.0102,0.0103,0.0102,0.0103,UYU
2015-07-05,0.0103,0.0103,0.0103,0.0103,UYU
2015-07-06,0.0103,0.0103,0.0102,0.0102,UYU
2015-07-07,0.0102,0.0103,0.01,0.01,UYU
2015-07-08,0.01,0.0101,0.01,0.0101,UYU
2015-07-09,0.0101,0.0103,0.0101,0.0103,UYU
2015-07-10,0.0103,0.0103,0.0102,0.0103,UYU
2015-07-12,0.0103,0.0103,0.0103,0.0103,UYU
2015-07-13,0.0103,0.0103,0.0102,0.0102,UYU
2015-07-14,0.0102,0.0103,0.0102,0.0102,UYU
2015-07-15,0.0102,0.0102,0.01,0.0101,UYU
2015-07-16,0.0101,0.0102,0.01,0.0101,UYU
2015-07-17,0.0101,0.0101,0.0099,0.0099,UYU
2015-07-19,0.0099,0.01,0.0099,0.01,UYU
2015-07-20,0.01,0.01,0.0099,0.0099,UYU
2015-07-21,0.0099,0.01,0.0099,0.0099,UYU
2015-07-22,0.0099,0.01,0.0099,0.0099,UYU
2015-07-23,0.0099,0.0101,0.0098,0.0101,UYU
2015-07-24,0.0101,0.0101,0.0097,0.0097,UYU
2015-07-26,0.0097,0.0097,0.0097,0.0097,UYU
2015-07-27,0.0097,0.0099,0.0097,0.0098,UYU
2015-07-28,0.0098,0.01,0.0098,0.0099,UYU
2015-07-29,0.0099,0.01,0.0099,0.01,UYU
2015-07-30,0.01,0.01,0.0099,0.0099,UYU
2015-07-31,0.0099,0.01,0.0099,0.0099,UYU
2015-08-02,0.0099,0.0099,0.0099,0.0099,UYU
2015-08-03,0.0099,0.0099,0.0097,0.0097,UYU
2015-08-04,0.0097,0.0099,0.0097,0.0097,UYU
2015-08-05,0.0097,0.0098,0.0097,0.0097,UYU
2015-08-06,0.0097,0.0097,0.0096,0.0097,UYU
2015-08-07,0.0097,0.0097,0.0097,0.0097,UYU
2015-08-09,0.0097,0.0097,0.0097,0.0097,UYU
2015-08-10,0.0097,0.0098,0.0097,0.0098,UYU
2015-08-11,0.0098,0.0102,0.0097,0.0102,UYU
