Date,Open,High,Low,Close,Currency
2018-05-25,2.7999,2.8276,2.7891,2.8203,RUB
2018-05-27,2.8201,2.8313,2.8201,2.8301,RUB
2018-05-28,2.8299,2.8413,2.8083,2.8129,RUB
2018-05-29,2.8129,2.8235,2.7856,2.794,RUB
2018-05-30,2.7943,2.8128,2.7897,2.7998,RUB
2018-05-31,2.7999,2.8291,2.7964,2.8255,RUB
2018-06-01,2.8253,2.8265,2.7993,2.811,RUB
2018-06-03,2.8115,2.812,2.8078,2.8114,RUB
2018-06-04,2.8112,2.8301,2.8081,2.8243,RUB
2018-06-05,2.8245,2.8457,2.8205,2.8442,RUB
2018-06-06,2.8435,2.8528,2.8323,2.8352,RUB
2018-06-07,2.8342,2.8722,2.8342,2.8555,RUB
2018-06-08,2.8557,2.8653,2.8407,2.8488,RUB
2018-06-10,2.8566,2.8611,2.8523,2.8611,RUB
2018-06-11,2.861,2.8902,2.8582,2.8846,RUB
2018-06-12,2.8843,2.8947,2.8697,2.8727,RUB
2018-06-13,2.8727,2.8889,2.8525,2.8699,RUB
2018-06-14,2.8689,2.8737,2.8052,2.8135,RUB
2018-06-15,2.8131,2.8575,2.8054,2.8513,RUB
2018-06-17,2.8533,2.8533,2.8446,2.8491,RUB
2018-06-18,2.849,2.8698,2.8441,2.8618,RUB
2018-06-19,2.8618,2.8759,2.844,2.8645,RUB
2018-06-20,2.8647,2.8687,2.8417,2.8548,RUB
2018-06-21,2.8547,2.8693,2.831,2.8571,RUB
2018-06-22,2.8561,2.8763,2.835,2.8402,RUB
2018-06-24,2.8389,2.8451,2.8385,2.8385,RUB
2018-06-25,2.8383,2.8473,2.8253,2.8366,RUB
2018-06-26,2.8367,2.8482,2.8275,2.8322,RUB
2018-06-27,2.8321,2.8669,2.8103,2.8177,RUB
2018-06-28,2.8176,2.8202,2.7988,2.8,RUB
2018-06-29,2.8003,2.8253,2.8003,2.8218,RUB
2018-07-01,2.8216,2.823,2.8165,2.8211,RUB
2018-07-02,2.8221,2.8349,2.8055,2.8313,RUB
2018-07-03,2.8299,2.8344,2.8162,2.8178,RUB
2018-07-04,2.8178,2.8367,2.8177,2.8334,RUB
2018-07-05,2.8331,2.8503,2.8289,2.8464,RUB
2018-07-06,2.8464,2.8632,2.8434,2.8553,RUB
2018-07-08,2.8561,2.8576,2.8548,2.8568,RUB
2018-07-09,2.8569,2.8665,2.8354,2.842,RUB
2018-07-10,2.842,2.8435,2.801,2.801,RUB
2018-07-11,2.802,2.8161,2.79,2.8074,RUB
2018-07-12,2.8077,2.8118,2.7881,2.8008,RUB
2018-07-13,2.8007,2.8276,2.7896,2.8235,RUB
2018-07-15,2.8231,2.8231,2.8209,2.8214,RUB
2018-07-16,2.8213,2.8283,2.8063,2.8197,RUB
2018-07-17,2.8199,2.8372,2.814,2.8202,RUB
2018-07-18,2.8203,2.8482,2.8125,2.8362,RUB
2018-07-19,2.836,2.8632,2.8319,2.8624,RUB
2018-07-20,2.8621,2.8822,2.8501,2.8796,RUB
2018-07-22,2.8796,2.8841,2.8768,2.8837,RUB
2018-07-23,2.8831,2.8854,2.8459,2.855,RUB
2018-07-24,2.855,2.8864,2.8457,2.8806,RUB
2018-07-25,2.8808,2.89,2.8621,2.8774,RUB
2018-07-26,2.8774,2.8837,2.8739,2.8797,RUB
2018-07-27,2.8797,2.8797,2.8797,2.8797,RUB
2018-07-29,2.855,2.8589,2.8547,2.8563,RUB
2018-07-30,2.8569,2.8583,2.8402,2.8473,RUB
2018-07-31,2.8473,2.8642,2.8459,2.8564,RUB
2018-08-01,2.8563,2.877,2.8507,2.8735,RUB
2018-08-02,2.8735,2.8784,2.8605,2.8621,RUB
2018-08-03,2.8622,2.8653,2.8555,2.8599,RUB
2018-08-05,2.8597,2.8597,2.8515,2.8544,RUB
2018-08-06,2.8544,2.8756,2.8516,2.8739,RUB
2018-08-07,2.8741,2.8806,2.8666,2.8787,RUB
2018-08-08,2.8788,2.9759,2.8782,2.9735,RUB
2018-08-09,2.9733,3.0171,2.971,3.0037,RUB
2018-08-10,3.0039,3.0221,2.9768,3.0113,RUB
2018-08-12,3.0112,3.0112,3.0018,3.0042,RUB
2018-08-13,3.0049,3.0325,2.9956,3.0011,RUB
2018-08-14,3.0012,3.0187,2.9267,2.9267,RUB
2018-08-15,2.9269,2.9764,2.9199,2.9623,RUB
2018-08-16,2.9625,2.9813,2.948,2.9527,RUB
2018-08-17,2.9529,2.9966,2.9516,2.9844,RUB
2018-08-19,2.9845,2.9865,2.979,2.9858,RUB
2018-08-20,2.9851,2.9969,2.9722,2.9949,RUB
2018-08-21,2.9949,3.0293,2.9941,3.0259,RUB
2018-08-22,3.026,3.0839,3.0206,3.0632,RUB
2018-08-23,3.0635,3.1013,3.0338,3.0583,RUB
2018-08-24,3.059,3.0695,3.0268,3.0271,RUB
2018-08-26,3.0271,3.0341,3.0261,3.0337,RUB
2018-08-27,3.0331,3.0745,3.021,3.0693,RUB
2018-08-28,3.0696,3.0957,3.0584,3.088,RUB
2018-08-29,3.0884,3.1068,3.0695,3.0915,RUB
2018-08-30,3.0915,3.1005,3.0779,3.0886,RUB
2018-08-31,3.0889,3.0949,3.0315,3.0421,RUB
2018-09-02,3.0406,3.0439,3.0404,3.0426,RUB
2018-09-03,3.0424,3.0774,3.039,3.0741,RUB
2018-09-04,3.0739,3.0745,3.0542,3.0657,RUB
2018-09-05,3.0659,3.087,3.0591,3.0854,RUB
2018-09-06,3.0852,3.1441,3.0783,3.1283,RUB
2018-09-07,3.1281,3.1485,3.1165,3.1446,RUB
2018-09-09,3.145,3.146,3.1412,3.145,RUB
2018-09-10,3.1451,3.1937,3.1358,3.1895,RUB
2018-09-11,3.1894,3.2029,3.1379,3.1379,RUB
2018-09-12,3.1378,3.1595,3.1236,3.1358,RUB
2018-09-13,3.1357,3.1441,3.1047,3.1267,RUB
2018-09-14,3.1266,3.1476,3.1007,3.107,RUB
2018-09-16,3.1076,3.1089,3.1063,3.1082,RUB
2018-09-17,3.1073,3.1275,3.1073,3.1215,RUB
2018-09-18,3.1217,3.134,3.0893,3.0937,RUB
2018-09-19,3.0935,3.0962,3.0533,3.0579,RUB
2018-09-20,3.0578,3.0627,3.0342,3.0527,RUB
2018-09-21,3.0527,3.0693,3.0476,3.0477,RUB
2018-09-23,3.0477,3.0503,3.0474,3.0492,RUB
2018-09-24,3.0489,3.0499,3.0186,3.0228,RUB
2018-09-25,3.0228,3.0292,3.0123,3.0275,RUB
2018-09-26,3.0278,3.0307,3.0107,3.0151,RUB
2018-09-27,3.0149,3.0172,2.9648,2.974,RUB
2018-09-28,2.974,2.9783,2.9474,2.9519,RUB
2018-09-30,2.9526,2.9561,2.9515,2.9527,RUB
2018-10-01,2.9527,2.96,2.9076,2.9166,RUB
2018-10-02,2.9166,2.9364,2.9034,2.9319,RUB
2018-10-03,2.9319,2.9514,2.9293,2.9391,RUB
2018-10-04,2.9391,2.9944,2.9331,2.9934,RUB
2018-10-05,2.9933,2.9943,2.9641,2.9779,RUB
2018-10-07,2.9786,2.981,2.9758,2.9764,RUB
2018-10-08,2.9766,2.9934,2.9656,2.9682,RUB
2018-10-09,2.9683,2.9724,2.9454,2.9531,RUB
2018-10-10,2.9531,2.9827,2.9392,2.9826,RUB
2018-10-11,2.9826,2.9908,2.9597,2.9743,RUB
2018-10-12,2.9741,2.9804,2.9555,2.9642,RUB
2018-10-14,2.9648,2.9648,2.9591,2.9609,RUB
2018-10-15,2.9609,2.9655,2.9361,2.9451,RUB
2018-10-16,2.945,2.9475,2.9257,2.9262,RUB
2018-10-17,2.9263,2.9368,2.9127,2.9156,RUB
2018-10-18,2.9159,2.9294,2.9095,2.9127,RUB
2018-10-19,2.9125,2.9196,2.9024,2.9163,RUB
2018-10-21,2.9166,2.9166,2.9123,2.9131,RUB
2018-10-22,2.9135,2.9246,2.8865,2.8971,RUB
2018-10-23,2.8972,2.9266,2.8882,2.9149,RUB
2018-10-24,2.9146,2.9167,2.8706,2.8936,RUB
2018-10-25,2.8936,2.9105,2.8775,2.8847,RUB
2018-10-26,2.8848,2.9061,2.8807,2.903,RUB
2018-10-28,2.9034,2.9034,2.9001,2.9002,RUB
2018-10-29,2.9002,2.9101,2.8825,2.895,RUB
