Date,Open,High,Low,Close,Currency
2015-01-01,0.4317,0.432,0.4315,0.4319,BRL
2015-01-02,0.4318,0.4378,0.4295,0.4344,BRL
2015-01-05,0.4341,0.4377,0.4313,0.434,BRL
2015-01-06,0.4339,0.4357,0.4307,0.4314,BRL
2015-01-07,0.4313,0.4317,0.425,0.427,BRL
2015-01-08,0.4269,0.4277,0.4215,0.4221,BRL
2015-01-09,0.4219,0.4248,0.4175,0.4184,BRL
2015-01-12,0.4184,0.4258,0.4167,0.4252,BRL
2015-01-13,0.4252,0.4262,0.4155,0.4183,BRL
2015-01-14,0.4182,0.4197,0.4124,0.4146,BRL
2015-01-15,0.4146,0.4149,0.4078,0.4135,BRL
2015-01-16,0.4133,0.414,0.4053,0.408,BRL
2015-01-19,0.4078,0.4163,0.4072,0.4141,BRL
2015-01-20,0.4139,0.4143,0.4054,0.4061,BRL
2015-01-21,0.4059,0.4074,0.4031,0.4061,BRL
2015-01-22,0.4058,0.4068,0.3912,0.3931,BRL
2015-01-23,0.3929,0.3935,0.3852,0.3883,BRL
2015-01-26,0.3869,0.3941,0.3862,0.3898,BRL
2015-01-27,0.3896,0.3948,0.3893,0.3933,BRL
2015-01-28,0.3933,0.395,0.3901,0.3906,BRL
2015-01-29,0.3904,0.3975,0.3895,0.396,BRL
2015-01-30,0.3959,0.4088,0.3953,0.4074,BRL
2015-02-02,0.4073,0.4162,0.4056,0.4155,BRL
2015-02-03,0.4153,0.4183,0.4111,0.4154,BRL
2015-02-04,0.4153,0.4218,0.4136,0.4178,BRL
2015-02-05,0.4177,0.424,0.4163,0.4233,BRL
2015-02-06,0.4232,0.4256,0.4195,0.4233,BRL
2015-02-09,0.4229,0.4258,0.4207,0.4214,BRL
2015-02-10,0.4212,0.4319,0.4195,0.4311,BRL
2015-02-11,0.4309,0.4375,0.4302,0.437,BRL
2015-02-12,0.4369,0.4385,0.4307,0.4321,BRL
2015-02-13,0.432,0.4379,0.4311,0.4341,BRL
2015-02-16,0.4339,0.4352,0.4308,0.4323,BRL
2015-02-17,0.432,0.4352,0.4303,0.4338,BRL
2015-02-18,0.4337,0.4348,0.4306,0.4344,BRL
2015-02-19,0.4342,0.4389,0.434,0.4377,BRL
2015-02-20,0.4376,0.4406,0.4334,0.4372,BRL
2015-02-23,0.4372,0.4398,0.4343,0.4374,BRL
2015-02-24,0.4374,0.4379,0.4294,0.4306,BRL
2015-02-25,0.4305,0.4388,0.4302,0.4374,BRL
2015-02-26,0.4372,0.438,0.4311,0.4365,BRL
2015-02-27,0.4364,0.4393,0.4255,0.4258,BRL
2015-03-02,0.4256,0.435,0.4248,0.4348,BRL
2015-03-03,0.4347,0.4402,0.4335,0.4395,BRL
2015-03-04,0.4393,0.4467,0.4367,0.4423,BRL
2015-03-05,0.4421,0.4469,0.4404,0.4446,BRL
2015-03-06,0.4443,0.4482,0.4381,0.446,BRL
2015-03-09,0.4457,0.4565,0.4452,0.4548,BRL
2015-03-10,0.4545,0.457,0.4441,0.4454,BRL
2015-03-11,0.4452,0.4477,0.4376,0.4422,BRL
2015-03-12,0.4421,0.4524,0.4392,0.4515,BRL
2015-03-13,0.4513,0.4618,0.45,0.4571,BRL
2015-03-16,0.4569,0.4606,0.4536,0.4598,BRL
2015-03-17,0.46,0.4678,0.4579,0.4603,BRL
2015-03-18,0.46,0.4683,0.4551,0.4582,BRL
2015-03-19,0.4579,0.4738,0.4578,0.4711,BRL
2015-03-20,0.4708,0.4772,0.4636,0.4688,BRL
2015-03-23,0.4692,0.4722,0.4592,0.4598,BRL
2015-03-24,0.4597,0.4635,0.4556,0.4596,BRL
2015-03-25,0.4594,0.471,0.458,0.4702,BRL
2015-03-26,0.47,0.4741,0.4627,0.4638,BRL
2015-03-27,0.4637,0.4738,0.4603,0.4737,BRL
2015-03-30,0.4735,0.4774,0.4645,0.4685,BRL
2015-03-31,0.4683,0.4704,0.4555,0.459,BRL
2015-04-01,0.4586,0.4613,0.452,0.4561,BRL
2015-04-02,0.4559,0.4609,0.454,0.4543,BRL
2015-04-03,0.454,0.4603,0.4534,0.458,BRL
2015-04-06,0.4582,0.4594,0.453,0.4568,BRL
2015-04-07,0.4568,0.4583,0.4511,0.4528,BRL
2015-04-08,0.4526,0.456,0.4392,0.4399,BRL
2015-04-09,0.4397,0.4402,0.4324,0.4364,BRL
2015-04-10,0.4361,0.4399,0.433,0.4364,BRL
2015-04-13,0.4359,0.4428,0.4329,0.4414,BRL
2015-04-14,0.4414,0.4434,0.4358,0.437,BRL
2015-04-15,0.437,0.4394,0.4326,0.4334,BRL
2015-04-16,0.4332,0.4373,0.4311,0.4357,BRL
2015-04-17,0.4356,0.4436,0.4346,0.4405,BRL
2015-04-20,0.4403,0.4409,0.4344,0.4364,BRL
2015-04-21,0.4362,0.4382,0.4333,0.4365,BRL
2015-04-22,0.4364,0.4394,0.4306,0.4327,BRL
2015-04-23,0.4325,0.4379,0.4299,0.431,BRL
2015-04-24,0.4308,0.4349,0.4295,0.4301,BRL
2015-04-27,0.4299,0.4306,0.4232,0.4258,BRL
2015-04-28,0.4256,0.433,0.4222,0.4321,BRL
2015-04-29,0.432,0.4436,0.4313,0.4417,BRL
2015-04-30,0.4415,0.4539,0.4384,0.4532,BRL
2015-05-01,0.453,0.456,0.451,0.4521,BRL
2015-05-04,0.4517,0.4627,0.449,0.4609,BRL
2015-05-05,0.4608,0.4623,0.4554,0.4576,BRL
2015-05-06,0.4574,0.465,0.4574,0.4611,BRL
2015-05-07,0.4608,0.4631,0.4551,0.4568,BRL
2015-05-08,0.4565,0.4583,0.4463,0.4466,BRL
2015-05-11,0.4466,0.4579,0.4437,0.4576,BRL
2015-05-12,0.4573,0.4635,0.4526,0.4539,BRL
2015-05-13,0.4535,0.4636,0.4508,0.4624,BRL
2015-05-14,0.4622,0.4661,0.4553,0.4575,BRL
2015-05-15,0.4575,0.4604,0.4543,0.4595,BRL
2015-05-18,0.4592,0.4605,0.4555,0.4561,BRL
2015-05-19,0.456,0.4567,0.4496,0.4543,BRL
2015-05-20,0.4541,0.4546,0.4463,0.4466,BRL
2015-05-21,0.4465,0.4544,0.4461,0.4528,BRL
2015-05-22,0.4529,0.4581,0.4521,0.4571,BRL
2015-05-25,0.4567,0.4617,0.4546,0.4559,BRL
2015-05-26,0.4558,0.461,0.4519,0.4601,BRL
2015-05-27,0.46,0.4647,0.4587,0.4592,BRL
2015-05-28,0.459,0.4669,0.4582,0.4642,BRL
2015-05-29,0.4641,0.4702,0.4616,0.4684,BRL
2015-06-01,0.468,0.4713,0.4618,0.4647,BRL
2015-06-02,0.4644,0.4719,0.4639,0.4679,BRL
2015-06-03,0.4677,0.474,0.465,0.4735,BRL
2015-06-04,0.4738,0.4784,0.4717,0.4733,BRL
2015-06-05,0.473,0.4752,0.4625,0.4684,BRL
2015-06-08,0.4683,0.4724,0.4664,0.4713,BRL
2015-06-09,0.4712,0.4733,0.4654,0.4683,BRL
2015-06-10,0.4681,0.4734,0.4639,0.4733,BRL
2015-06-11,0.473,0.4773,0.466,0.4663,BRL
2015-06-12,0.4663,0.472,0.462,0.4713,BRL
2015-06-15,0.4708,0.4743,0.4662,0.4731,BRL
2015-06-16,0.4734,0.4751,0.4646,0.4658,BRL
2015-06-17,0.466,0.4692,0.4615,0.4648,BRL
2015-06-18,0.4648,0.4684,0.4635,0.466,BRL
2015-06-19,0.4656,0.4722,0.4629,0.4713,BRL
2015-06-22,0.4708,0.4734,0.467,0.4682,BRL
2015-06-23,0.4679,0.4696,0.4601,0.4603,BRL
2015-06-24,0.4602,0.4663,0.4597,0.4654,BRL
2015-06-25,0.4652,0.4705,0.4626,0.4698,BRL
2015-06-26,0.4697,0.4719,0.4658,0.4684,BRL
2015-06-29,0.4683,0.4727,0.4601,0.4696,BRL
2015-06-30,0.4695,0.4699,0.4602,0.4633,BRL
2015-07-01,0.4631,0.4668,0.4608,0.4666,BRL
2015-07-02,0.4664,0.4693,0.4594,0.4603,BRL
2015-07-03,0.4604,0.4677,0.4601,0.4661,BRL
2015-07-06,0.4616,0.4677,0.4613,0.4648,BRL
2015-07-07,0.465,0.4704,0.4622,0.4701,BRL
2015-07-08,0.4701,0.4814,0.468,0.4802,BRL
2015-07-09,0.48,0.4822,0.4732,0.4762,BRL
2015-07-10,0.476,0.4843,0.4711,0.4721,BRL
2015-07-13,0.472,0.4741,0.4611,0.4621,BRL
2015-07-14,0.4619,0.4652,0.4594,0.4632,BRL
2015-07-15,0.4631,0.4647,0.459,0.4606,BRL
2015-07-16,0.4603,0.4614,0.4559,0.4603,BRL
2015-07-17,0.4602,0.466,0.4593,0.4627,BRL
2015-07-20,0.4627,0.4689,0.4622,0.464,BRL
2015-07-21,0.464,0.4668,0.4622,0.4649,BRL
2015-07-22,0.4647,0.4729,0.4645,0.4722,BRL
2015-07-23,0.4718,0.4866,0.4715,0.4837,BRL
2015-07-24,0.4835,0.4943,0.4813,0.4938,BRL
2015-07-27,0.4937,0.5019,0.4924,0.4999,BRL
2015-07-28,0.4997,0.5089,0.4939,0.4977,BRL
2015-07-29,0.4974,0.4987,0.4884,0.4903,BRL
2015-07-30,0.4898,0.4957,0.4878,0.4939,BRL
2015-07-31,0.4938,0.5071,0.4938,0.5036,BRL
2015-08-03,0.5034,0.5084,0.5017,0.5065,BRL
2015-08-04,0.5063,0.5119,0.5038,0.5061,BRL
2015-08-05,0.506,0.511,0.5035,0.5096,BRL
2015-08-06,0.5093,0.5227,0.5084,0.5178,BRL
2015-08-07,0.5182,0.5218,0.5112,0.5154,BRL
2015-08-10,0.5152,0.518,0.507,0.5071,BRL
2015-08-11,0.5071,0.5216,0.5049,0.5141,BRL
2015-08-12,0.5139,0.5247,0.5132,0.5204,BRL
2015-08-13,0.5203,0.5271,0.5166,0.5257,BRL
2015-08-14,0.5255,0.528,0.5151,0.5185,BRL
2015-08-17,0.5186,0.5218,0.5133,0.5166,BRL
2015-08-18,0.5164,0.5183,0.5104,0.5121,BRL
2015-08-19,0.5118,0.5212,0.5114,0.5206,BRL
2015-08-20,0.5203,0.5277,0.5172,0.5207,BRL
2015-08-21,0.5204,0.5348,0.5204,0.5341,BRL
2015-08-24,0.5334,0.5612,0.5327,0.5531,BRL
2015-08-25,0.5528,0.5584,0.5395,0.5581,BRL
2015-08-26,0.558,0.5601,0.5435,0.5452,BRL
2015-08-27,0.5449,0.5472,0.5313,0.535,BRL
2015-08-28,0.5355,0.5406,0.5344,0.5369,BRL
2015-08-31,0.5365,0.5547,0.5357,0.5436,BRL
2015-09-01,0.5436,0.5612,0.5434,0.5607,BRL
2015-09-02,0.5612,0.5683,0.5564,0.5657,BRL
2015-09-03,0.5658,0.5732,0.5564,0.5573,BRL
2015-09-04,0.5576,0.5765,0.5569,0.5741,BRL
2015-09-07,0.5746,0.5756,0.5725,0.5746,BRL
2015-09-08,0.5744,0.5775,0.5651,0.5735,BRL
2015-09-09,0.5733,0.5742,0.5622,0.5675,BRL
2015-09-10,0.5674,0.5876,0.5658,0.582,BRL
2015-09-11,0.5819,0.5909,0.5772,0.5883,BRL
2015-09-14,0.5882,0.5908,0.5771,0.5787,BRL
2015-09-15,0.5785,0.5866,0.5765,0.5835,BRL
2015-09-16,0.5834,0.585,0.5776,0.5794,BRL
2015-09-17,0.5795,0.5981,0.5791,0.5976,BRL
2015-09-18,0.5974,0.5998,0.5912,0.5976,BRL
2015-09-21,0.5974,0.6007,0.5926,0.5978,BRL
2015-09-22,0.5975,0.6067,0.5952,0.6039,BRL
2015-09-23,0.6038,0.6266,0.5998,0.6264,BRL
2015-09-24,0.6264,0.641,0.5924,0.5925,BRL
2015-09-25,0.5925,0.6007,0.58,0.5968,BRL
2015-09-28,0.5966,0.6201,0.5946,0.6191,BRL
2015-09-29,0.6187,0.6252,0.6043,0.6126,BRL
2015-09-30,0.6123,0.613,0.5874,0.5916,BRL
2015-10-01,0.5918,0.6036,0.5886,0.6018,BRL
2015-10-02,0.6016,0.6127,0.5905,0.5909,BRL
2015-10-05,0.5909,0.5956,0.5831,0.5867,BRL
2015-10-06,0.5865,0.5931,0.5777,0.5822,BRL
2015-10-07,0.5821,0.5868,0.5698,0.5849,BRL
2015-10-08,0.585,0.5907,0.5707,0.5719,BRL
2015-10-09,0.5717,0.5772,0.5667,0.5733,BRL
2015-10-12,0.5729,0.5747,0.5723,0.5729,BRL
2015-10-13,0.5728,0.5952,0.5714,0.5938,BRL
2015-10-14,0.5936,0.5959,0.5855,0.5861,BRL
2015-10-15,0.586,0.5913,0.5775,0.5796,BRL
2015-10-16,0.5802,0.602,0.5764,0.5969,BRL
2015-10-19,0.5968,0.5989,0.5862,0.5901,BRL
2015-10-20,0.5898,0.5956,0.5861,0.5942,BRL
2015-10-21,0.594,0.6035,0.593,0.5991,BRL
2015-10-22,0.5988,0.6017,0.5814,0.5821,BRL
2015-10-23,0.5818,0.5834,0.5717,0.5732,BRL
2015-10-26,0.5729,0.581,0.5651,0.579,BRL
2015-10-27,0.5787,0.583,0.5748,0.5758,BRL
2015-10-28,0.5754,0.58,0.5714,0.5725,BRL
2015-10-29,0.5722,0.5814,0.5656,0.5668,BRL
2015-10-30,0.5665,0.5745,0.564,0.569,BRL
2015-11-02,0.5689,0.5715,0.568,0.5687,BRL
2015-11-03,0.5684,0.5725,0.5496,0.5543,BRL
2015-11-04,0.5541,0.5554,0.5482,0.5535,BRL
2015-11-05,0.5535,0.5561,0.5485,0.5517,BRL
2015-11-06,0.5514,0.556,0.5398,0.5432,BRL
2015-11-09,0.5427,0.5496,0.5397,0.5475,BRL
2015-11-10,0.5474,0.5498,0.5356,0.5392,BRL
2015-11-11,0.5392,0.5453,0.5328,0.5418,BRL
2015-11-12,0.5418,0.5512,0.5374,0.5466,BRL
2015-11-13,0.5465,0.5544,0.5432,0.5541,BRL
2015-11-16,0.5539,0.5551,0.5455,0.547,BRL
2015-11-17,0.5469,0.5489,0.5409,0.5435,BRL
2015-11-18,0.5433,0.5462,0.5369,0.5382,BRL
2015-11-19,0.5379,0.5416,0.5334,0.535,BRL
2015-11-20,0.5347,0.542,0.5282,0.5287,BRL
2015-11-23,0.5285,0.5329,0.5265,0.5322,BRL
2015-11-24,0.5319,0.5349,0.5264,0.5278,BRL
2015-11-25,0.5275,0.5399,0.5245,0.533,BRL
2015-11-26,0.5327,0.5365,0.5309,0.5324,BRL
2015-11-27,0.5321,0.5464,0.5268,0.5462,BRL
2015-11-30,0.5458,0.5555,0.5432,0.5479,BRL
2015-12-01,0.5476,0.555,0.5441,0.5499,BRL
2015-12-02,0.5496,0.5502,0.5436,0.5458,BRL
2015-12-03,0.5455,0.555,0.537,0.5513,BRL
2015-12-04,0.551,0.5536,0.5425,0.547,BRL
2015-12-07,0.5468,0.5499,0.5403,0.5473,BRL
2015-12-08,0.5471,0.5579,0.5442,0.5542,BRL
2015-12-09,0.5539,0.5601,0.5461,0.5541,BRL
2015-12-10,0.5538,0.5595,0.5481,0.5591,BRL
2015-12-11,0.5588,0.575,0.5576,0.5703,BRL
2015-12-14,0.5702,0.5784,0.5659,0.5713,BRL
2015-12-15,0.5711,0.5747,0.5656,0.5673,BRL
2015-12-16,0.567,0.5809,0.5667,0.568,BRL
2015-12-17,0.5678,0.5697,0.5602,0.5629,BRL
2015-12-18,0.5627,0.5805,0.5615,0.5803,BRL
2015-12-21,0.58,0.591,0.5768,0.587,BRL
2015-12-22,0.5868,0.5905,0.5823,0.5859,BRL
2015-12-23,0.5856,0.586,0.5758,0.5763,BRL
2015-12-24,0.5761,0.5808,0.5746,0.5808,BRL
2015-12-25,0.5805,0.581,0.5793,0.58,BRL
2015-12-28,0.5795,0.5838,0.5667,0.5671,BRL
2015-12-29,0.5668,0.5701,0.5614,0.5657,BRL
2015-12-30,0.5655,0.588,0.5639,0.5803,BRL
2015-12-31,0.5801,0.5806,0.5757,0.5763,BRL
2016-01-01,0.5761,0.5765,0.5758,0.5763,BRL
2016-01-04,0.5763,0.5943,0.5744,0.5864,BRL
2016-01-05,0.5862,0.587,0.5738,0.5773,BRL
2016-01-06,0.5771,0.584,0.5762,0.5815,BRL
2016-01-07,0.5812,0.5932,0.5807,0.5926,BRL
2016-01-08,0.5924,0.5929,0.5803,0.589,BRL
2016-01-11,0.589,0.5928,0.5834,0.59,BRL
2016-01-12,0.5897,0.5923,0.5839,0.5863,BRL
2016-01-13,0.586,0.587,0.5763,0.5853,BRL
2016-01-14,0.5851,0.5926,0.5797,0.5823,BRL
2016-01-15,0.5821,0.598,0.582,0.5918,BRL
2016-01-18,0.5916,0.5925,0.586,0.5919,BRL
2016-01-19,0.5917,0.5955,0.5819,0.5938,BRL
