Date,Open,High,Low,Close,Currency
2015-01-01,3.7128,3.7241,3.7075,3.7193,CZK
2015-01-02,3.714,3.7281,3.7115,3.7199,CZK
2015-01-05,3.7169,3.728,3.6943,3.7211,CZK
2015-01-06,3.7179,3.7248,3.7106,3.7172,CZK
2015-01-07,3.7157,3.751,3.7104,3.7442,CZK
2015-01-08,3.7427,3.765,3.738,3.7488,CZK
2015-01-09,3.7447,3.7959,3.7411,3.7787,CZK
2015-01-12,3.7765,3.833,3.773,3.806,CZK
2015-01-13,3.8036,3.8316,3.7632,3.7779,CZK
2015-01-14,3.7738,3.803,3.7617,3.7691,CZK
2015-01-15,3.7673,3.7871,3.73,3.7582,CZK
2015-01-16,3.7541,3.7624,3.727,3.7481,CZK
2015-01-19,3.7447,3.7604,3.7385,3.759,CZK
2015-01-20,3.7549,3.7706,3.7359,3.7527,CZK
2015-01-21,3.7484,3.7746,3.7369,3.7598,CZK
2015-01-22,3.7556,3.771,3.7214,3.7442,CZK
2015-01-23,3.7401,3.75,3.7069,3.7264,CZK
2015-01-26,3.7265,3.7338,3.7132,3.7268,CZK
2015-01-27,3.7237,3.7522,3.7168,3.7492,CZK
2015-01-28,3.7457,3.7506,3.7175,3.7294,CZK
2015-01-29,3.7256,3.7435,3.7169,3.7302,CZK
2015-01-30,3.7261,3.7419,3.7211,3.7296,CZK
2015-02-02,3.7311,3.7385,3.7202,3.7329,CZK
2015-02-03,3.7287,3.7426,3.7209,3.7302,CZK
2015-02-04,3.7274,3.7384,3.7178,3.7259,CZK
2015-02-05,3.7212,3.7365,3.7101,3.7253,CZK
2015-02-06,3.7217,3.7297,3.6835,3.7228,CZK
2015-02-09,3.7182,3.7329,3.7057,3.7233,CZK
2015-02-10,3.7195,3.7313,3.7094,3.7185,CZK
2015-02-11,3.7144,3.7268,3.7035,3.7152,CZK
2015-02-12,3.7111,3.7282,3.7039,3.7135,CZK
2015-02-13,3.7093,3.7195,3.7037,3.7092,CZK
2015-02-16,3.7083,3.7194,3.7038,3.7132,CZK
2015-02-17,3.7091,3.7216,3.6956,3.7058,CZK
2015-02-18,3.7034,3.7139,3.6344,3.6601,CZK
2015-02-19,3.6585,3.694,3.652,3.6772,CZK
2015-02-20,3.6731,3.6988,3.6693,3.6884,CZK
2015-02-23,3.6857,3.6987,3.6644,3.6768,CZK
2015-02-24,3.6727,3.6883,3.6679,3.6806,CZK
2015-02-25,3.6768,3.6856,3.6623,3.6722,CZK
2015-02-26,3.6682,3.6954,3.6636,3.6906,CZK
2015-02-27,3.6866,3.6927,3.6687,3.6883,CZK
2015-03-02,3.6879,3.6973,3.6765,3.6919,CZK
2015-03-03,3.6878,3.6952,3.6756,3.684,CZK
2015-03-04,3.68,3.6944,3.6716,3.6861,CZK
2015-03-05,3.6823,3.6895,3.6524,3.662,CZK
2015-03-06,3.6576,3.6759,3.6275,3.6699,CZK
2015-03-09,3.6702,3.68,3.6502,3.6612,CZK
2015-03-10,3.6573,3.6639,3.6507,3.6613,CZK
2015-03-11,3.6576,3.6729,3.6494,3.6598,CZK
2015-03-12,3.6539,3.6705,3.6469,3.6617,CZK
2015-03-13,3.6579,3.6684,3.6513,3.6589,CZK
2015-03-16,3.6584,3.6701,3.6453,3.6508,CZK
2015-03-17,3.6477,3.6587,3.6332,3.6507,CZK
2015-03-18,3.6462,3.6733,3.5626,3.5904,CZK
2015-03-19,3.5884,3.6902,3.5812,3.6822,CZK
2015-03-20,3.6781,3.6954,3.6698,3.6822,CZK
2015-03-23,3.6777,3.6897,3.6587,3.6737,CZK
2015-03-24,3.67,3.6837,3.6613,3.6724,CZK
2015-03-25,3.6688,3.6779,3.656,3.6642,CZK
2015-03-26,3.6602,3.696,3.6572,3.6804,CZK
2015-03-27,3.6763,3.6954,3.6687,3.6794,CZK
2015-03-30,3.671,3.686,3.6675,3.6803,CZK
2015-03-31,3.6764,3.6958,3.6723,3.6875,CZK
2015-04-01,3.6832,3.7031,3.6783,3.6919,CZK
2015-04-02,3.6881,3.6965,3.6787,3.6858,CZK
2015-04-03,3.6819,3.6914,3.6522,3.683,CZK
2015-04-06,3.6746,3.6918,3.6582,3.6623,CZK
2015-04-07,3.6588,3.6833,3.6563,3.6671,CZK
2015-04-08,3.6632,3.6854,3.6536,3.6656,CZK
2015-04-09,3.6614,3.6759,3.653,3.6693,CZK
2015-04-10,3.6656,3.6743,3.6523,3.6586,CZK
2015-04-13,3.6568,3.6742,3.6529,3.6601,CZK
2015-04-14,3.6563,3.6696,3.6459,3.6591,CZK
2015-04-15,3.6558,3.6829,3.6532,3.6757,CZK
2015-04-16,3.6718,3.6893,3.657,3.6777,CZK
2015-04-17,3.6744,3.6911,3.6664,3.6764,CZK
2015-04-20,3.6729,3.6878,3.6659,3.6746,CZK
2015-04-21,3.6705,3.6822,3.6656,3.677,CZK
2015-04-22,3.6735,3.6854,3.6662,3.6734,CZK
2015-04-23,3.6705,3.6827,3.6612,3.6759,CZK
2015-04-24,3.6718,3.6891,3.6625,3.6817,CZK
2015-04-27,3.6788,3.6886,3.669,3.6861,CZK
2015-04-28,3.6819,3.6929,3.6684,3.6761,CZK
2015-04-29,3.6722,3.7062,3.6653,3.677,CZK
2015-04-30,3.673,3.686,3.6637,3.678,CZK
2015-05-01,3.6739,3.6839,3.6557,3.6617,CZK
2015-05-04,3.659,3.6772,3.656,3.6667,CZK
2015-05-05,3.6622,3.6765,3.6564,3.6705,CZK
2015-05-06,3.6664,3.6799,3.6572,3.6719,CZK
2015-05-07,3.6679,3.6802,3.6613,3.6669,CZK
2015-05-08,3.6619,3.6833,3.6527,3.6806,CZK
2015-05-11,3.6745,3.6841,3.6645,3.6698,CZK
2015-05-12,3.6674,3.6801,3.6641,3.6757,CZK
2015-05-13,3.6704,3.6876,3.6653,3.6799,CZK
2015-05-14,3.6754,3.6872,3.6696,3.6822,CZK
2015-05-15,3.6785,3.6862,3.6598,3.6685,CZK
2015-05-18,3.6634,3.6788,3.6576,3.6743,CZK
2015-05-19,3.6702,3.678,3.6593,3.6721,CZK
2015-05-20,3.6684,3.6769,3.6525,3.6642,CZK
2015-05-21,3.6602,3.6789,3.6546,3.6733,CZK
2015-05-22,3.6693,3.6832,3.6415,3.6798,CZK
2015-05-25,3.6742,3.6808,3.6592,3.6704,CZK
2015-05-26,3.6676,3.6861,3.6623,3.6826,CZK
2015-05-27,3.6787,3.6862,3.6667,3.6795,CZK
2015-05-28,3.6769,3.6902,3.669,3.6782,CZK
2015-05-29,3.6737,3.686,3.6616,3.6745,CZK
2015-06-01,3.6687,3.6848,3.6686,3.6778,CZK
2015-06-02,3.6738,3.6885,3.6676,3.6814,CZK
2015-06-03,3.6735,3.6878,3.6699,3.6841,CZK
2015-06-04,3.681,3.6889,3.6696,3.6768,CZK
2015-06-05,3.6728,3.6832,3.6373,3.6758,CZK
2015-06-08,3.6715,3.6871,3.6654,3.6758,CZK
2015-06-09,3.6757,3.6786,3.6607,3.6739,CZK
2015-06-10,3.6715,3.677,3.6469,3.6545,CZK
2015-06-11,3.65,3.6684,3.6433,3.6597,CZK
2015-06-12,3.6558,3.6679,3.6506,3.6589,CZK
2015-06-15,3.6549,3.6797,3.6472,3.6557,CZK
