Date,Open,High,Low,Close,Currency
2015-01-01,10.2405,10.3088,10.2371,10.2962,INR
2015-01-02,10.2941,10.3022,10.1989,10.2043,INR
2015-01-05,10.1978,10.2032,10.1351,10.1575,INR
2015-01-06,10.1557,10.2162,10.1443,10.1575,INR
2015-01-07,10.1561,10.1595,10.0376,10.0689,INR
2015-01-08,10.0663,10.0755,9.9002,9.9348,INR
2015-01-09,9.9334,9.9512,9.8575,9.9196,INR
2015-01-12,9.9182,9.9492,9.839,9.8736,INR
2015-01-13,9.8716,9.8999,9.7952,9.8096,INR
2015-01-14,9.8071,9.8878,9.8013,9.8419,INR
2015-01-15,9.8401,9.8453,9.6383,9.7129,INR
2015-01-16,9.711,9.7413,9.536,9.6321,INR
2015-01-19,9.6286,9.6605,9.577,9.6258,INR
2015-01-20,9.6219,9.651,9.5699,9.5786,INR
2015-01-21,9.5767,9.6564,9.5635,9.6123,INR
2015-01-22,9.6077,9.6452,9.3616,9.4062,INR
2015-01-23,9.4031,9.4137,9.171,9.2488,INR
2015-01-26,9.2168,9.3194,9.202,9.2753,INR
2015-01-27,9.2712,9.414,9.2607,9.3902,INR
2015-01-28,9.3879,9.3935,9.2905,9.3014,INR
2015-01-29,9.2997,9.4337,9.2861,9.4008,INR
2015-01-30,9.3995,9.4579,9.3932,9.4185,INR
2015-02-02,9.4139,9.4406,9.379,9.4035,INR
2015-02-03,9.4014,9.5399,9.3754,9.4963,INR
2015-02-04,9.4946,9.5215,9.3954,9.4237,INR
2015-02-05,9.4215,9.5299,9.3806,9.5147,INR
2015-02-06,9.5124,9.5222,9.4083,9.4268,INR
2015-02-09,9.4316,9.4928,9.4024,9.4551,INR
2015-02-10,9.4529,9.4841,9.4045,9.4799,INR
2015-02-11,9.4776,9.5117,9.4362,9.5015,INR
2015-02-12,9.4992,9.5266,9.4685,9.5193,INR
2015-02-13,9.5156,9.554,9.4877,9.5067,INR
2015-02-16,9.5049,9.5542,9.4418,9.4715,INR
2015-02-17,9.4673,9.5641,9.4589,9.5297,INR
2015-02-18,9.5276,9.5449,9.4688,9.5,INR
2015-02-19,9.4989,9.5495,9.4641,9.4888,INR
2015-02-20,9.487,9.5249,9.405,9.4689,INR
2015-02-23,9.4921,9.5003,9.4098,9.4446,INR
2015-02-24,9.4438,9.4731,9.404,9.4487,INR
2015-02-25,9.447,9.471,9.3986,9.4107,INR
2015-02-26,9.4098,9.4385,9.2497,9.2643,INR
2015-02-27,9.2641,9.3222,9.238,9.247,INR
2015-03-02,9.2528,9.3306,9.2473,9.2869,INR
2015-03-03,9.2848,9.3108,9.2603,9.2691,INR
2015-03-04,9.2668,9.3039,9.2407,9.2583,INR
2015-03-05,9.2562,9.2782,9.1777,9.2332,INR
2015-03-06,9.2328,9.2435,9.0902,9.0986,INR
2015-03-09,9.0987,9.1651,9.0856,9.1227,INR
2015-03-10,9.1171,9.1262,8.9988,9.0042,INR
2015-03-11,9.0024,9.0197,8.8476,8.8826,INR
2015-03-12,8.8809,8.9459,8.8218,8.9196,INR
2015-03-13,8.9161,8.9537,8.8527,8.8742,INR
2015-03-16,8.873,8.9345,8.8458,8.8907,INR
2015-03-17,8.8885,8.9507,8.8653,8.897,INR
2015-03-18,8.8947,8.9752,8.8875,8.9501,INR
2015-03-19,8.948,9.1764,8.9013,8.9418,INR
2015-03-20,8.9381,9.107,8.9327,9.0592,INR
2015-03-23,9.069,9.1558,8.9974,9.1347,INR
2015-03-24,9.1321,9.2024,9.0956,9.1262,INR
2015-03-25,9.1236,9.194,9.0968,9.1669,INR
2015-03-26,9.1652,9.2781,9.1332,9.1574,INR
2015-03-27,9.1551,9.1637,9.0499,9.1148,INR
2015-03-30,9.1119,9.126,9.037,9.0645,INR
2015-03-31,9.063,9.079,8.9436,8.9464,INR
2015-04-01,8.9437,9.0062,8.9358,8.9532,INR
2015-04-02,8.9511,9.0649,8.9477,9.035,INR
2015-04-03,9.0328,9.1462,9.0219,9.0925,INR
2015-04-06,9.086,9.1852,9.0775,9.0899,INR
2015-04-07,9.0888,9.1313,8.9967,9.0162,INR
2015-04-08,9.0137,9.0744,8.9654,8.9715,INR
2015-04-09,8.9687,8.9863,8.8645,8.8879,INR
2015-04-10,8.8858,8.9217,8.8108,8.8362,INR
2015-04-13,8.8291,8.8632,8.7971,8.8256,INR
2015-04-14,8.8244,8.9265,8.7903,8.883,INR
2015-04-15,8.8787,8.9306,8.8352,8.921,INR
2015-04-16,8.9189,9.0328,8.8732,8.9837,INR
2015-04-17,8.9816,9.0728,8.9681,9.0605,INR
2015-04-20,9.059,9.1042,9.0268,9.0845,INR
2015-04-21,9.0818,9.0988,8.9725,9.0429,INR
2015-04-22,9.0446,9.1101,9.019,9.0502,INR
2015-04-23,9.048,9.195,9.0216,9.1798,INR
2015-04-24,9.1785,9.2809,9.1386,9.2769,INR
2015-04-27,9.2702,9.2832,9.2105,9.2473,INR
2015-04-28,9.2451,9.2859,9.2172,9.2776,INR
2015-04-29,9.2748,9.5002,9.263,9.4654,INR
2015-04-30,9.461,9.5951,9.428,9.55,INR
2015-05-01,9.5479,9.6106,9.5232,9.5564,INR
2015-05-04,9.5502,9.5776,9.4776,9.4856,INR
2015-05-05,9.4835,9.5168,9.4041,9.4968,INR
2015-05-06,9.4944,9.6915,9.4855,9.6688,INR
2015-05-07,9.6672,9.8027,9.653,9.6721,INR
2015-05-08,9.6695,9.6843,9.5519,9.5686,INR
2015-05-11,9.564,9.5816,9.5181,9.5667,INR
2015-05-12,9.5647,9.7178,9.5516,9.6387,INR
2015-05-13,9.6355,9.7452,9.6069,9.7354,INR
2015-05-14,9.7334,9.7832,9.6423,9.6874,INR
2015-05-15,9.6868,9.7376,9.6482,9.7262,INR
2015-05-18,9.7259,9.7486,9.637,9.6617,INR
2015-05-19,9.659,9.6764,9.5037,9.5316,INR
2015-05-20,9.5302,9.5394,9.4504,9.4595,INR
2015-05-21,9.457,9.5468,9.4536,9.4772,INR
2015-05-22,9.4746,9.5499,9.3671,9.3772,INR
2015-05-25,9.3716,9.4018,9.3379,9.3479,INR
2015-05-26,9.3458,9.3815,9.3146,9.3331,INR
2015-05-27,9.332,9.3874,9.2994,9.3323,INR
2015-05-28,9.3307,9.3802,9.2951,9.3591,INR
2015-05-29,9.3569,9.4074,9.336,9.3906,INR
2015-06-01,9.3838,9.3959,9.2788,9.3165,INR
2015-06-02,9.3147,9.5588,9.3087,9.5188,INR
2015-06-03,9.5169,9.6832,9.4969,9.6724,INR
2015-06-04,9.6698,9.776,9.6312,9.6353,INR
2015-06-05,9.6332,9.6689,9.4436,9.5007,INR
2015-06-08,9.499,9.6927,9.4725,9.6814,INR
2015-06-09,9.6792,9.7242,9.6122,9.6799,INR
2015-06-10,9.6781,9.7388,9.6373,9.6763,INR
2015-06-11,9.6742,9.6975,9.5875,9.6526,INR
2015-06-12,9.6505,9.7006,9.5804,9.682,INR
2015-06-15,9.6794,9.6997,9.6163,9.6951,INR
