Date,Open,High,Low,Close,Currency
2015-01-01,18.57,18.69,18.57,18.64,JMD
2015-01-02,18.64,18.67,18.44,18.44,JMD
2015-01-04,18.36,18.37,18.26,18.37,JMD
2015-01-05,18.37,18.55,18.26,18.34,JMD
2015-01-06,18.33,18.35,18.2,18.2,JMD
2015-01-07,18.22,18.29,18.13,18.17,JMD
2015-01-08,18.17,18.2,18.06,18.16,JMD
2015-01-09,18.15,18.24,18.1,18.24,JMD
2015-01-11,18.24,18.28,18.24,18.28,JMD
2015-01-12,18.28,18.28,18.08,18.27,JMD
2015-01-13,18.25,18.27,18.1,18.15,JMD
2015-01-14,18.15,18.25,18.1,18.17,JMD
2015-01-15,18.16,18.16,17.86,17.94,JMD
2015-01-16,17.96,18.09,17.74,17.87,JMD
2015-01-18,17.88,17.91,17.87,17.91,JMD
2015-01-19,17.89,18.02,17.88,17.94,JMD
2015-01-20,17.94,17.99,17.86,17.86,JMD
2015-01-21,17.87,18.08,17.86,17.97,JMD
2015-01-22,17.98,17.99,17.5,17.55,JMD
2015-01-23,17.55,18.01,17.33,17.45,JMD
2015-01-25,17.43,17.43,17.13,17.17,JMD
2015-01-26,17.19,17.5,17.19,17.42,JMD
2015-01-27,17.43,17.73,17.39,17.65,JMD
2015-01-28,17.65,17.65,17.49,17.53,JMD
2015-01-29,17.52,17.7,17.51,17.59,JMD
2015-01-30,17.6,17.62,17.51,17.54,JMD
2015-02-01,17.53,17.67,17.53,17.67,JMD
2015-02-02,17.65,17.7,17.57,17.65,JMD
2015-02-03,17.62,17.9,17.56,17.81,JMD
2015-02-04,17.78,17.84,17.6,17.64,JMD
2015-02-05,17.64,18.0,17.64,17.78,JMD
2015-02-06,17.78,17.79,17.56,17.56,JMD
2015-02-08,17.53,17.58,17.53,17.58,JMD
2015-02-09,17.56,17.82,17.49,17.58,JMD
2015-02-10,17.57,17.59,17.47,17.55,JMD
2015-02-11,17.56,17.59,17.46,17.54,JMD
2015-02-12,17.53,17.69,17.53,17.68,JMD
2015-02-13,17.66,17.74,17.59,17.7,JMD
2015-02-15,17.7,17.7,17.68,17.68,JMD
2015-02-16,17.69,17.74,17.57,17.61,JMD
2015-02-17,17.58,17.89,17.57,17.68,JMD
2015-02-18,17.69,17.74,17.57,17.66,JMD
2015-02-19,17.67,17.71,17.61,17.63,JMD
2015-02-20,17.63,17.68,17.43,17.57,JMD
2015-02-22,17.62,17.62,17.58,17.58,JMD
2015-02-23,17.59,17.59,17.4,17.55,JMD
2015-02-24,17.54,17.55,17.45,17.52,JMD
2015-02-25,17.52,17.56,17.48,17.56,JMD
2015-02-26,17.56,17.56,17.29,17.33,JMD
2015-02-27,17.33,17.6,17.27,17.31,JMD
2015-03-01,17.28,17.29,17.24,17.24,JMD
2015-03-02,17.25,17.45,17.25,17.32,JMD
2015-03-03,17.31,17.43,17.26,17.3,JMD
2015-03-04,17.31,17.31,17.12,17.16,JMD
2015-03-05,17.15,17.23,17.14,17.19,JMD
2015-03-06,17.07,17.07,17.07,17.07,JMD
2015-03-08,16.78,16.78,16.78,16.78,JMD
2015-03-09,16.78,16.78,16.78,16.78,JMD
2015-03-10,16.77,16.77,16.77,16.77,JMD
2015-03-11,16.55,16.55,16.55,16.55,JMD
2015-03-12,16.3,16.3,16.3,16.3,JMD
2015-03-13,16.43,16.43,16.43,16.43,JMD
2015-03-15,16.22,16.22,16.22,16.22,JMD
2015-03-16,16.2,16.2,16.2,16.2,JMD
2015-03-17,16.3,16.3,16.3,16.3,JMD
2015-03-18,16.33,16.33,16.33,16.33,JMD
2015-03-19,16.73,16.73,16.73,16.73,JMD
2015-03-20,16.51,16.51,16.51,16.51,JMD
2015-03-22,16.66,16.66,16.66,16.66,JMD
2015-03-23,16.67,16.67,16.67,16.67,JMD
2015-03-24,16.87,16.87,16.87,16.87,JMD
2015-03-25,16.79,16.79,16.79,16.79,JMD
2015-03-26,16.86,16.86,16.86,16.86,JMD
2015-03-27,16.74,16.74,16.74,16.74,JMD
2015-03-29,16.73,16.73,16.73,16.73,JMD
2015-03-30,16.72,16.72,16.72,16.72,JMD
2015-03-31,16.63,16.63,16.63,16.63,JMD
2015-04-01,16.5,16.5,16.5,16.5,JMD
2015-04-02,16.54,16.54,16.54,16.54,JMD
2015-04-03,16.61,16.61,16.61,16.61,JMD
2015-04-05,16.76,16.76,16.76,16.76,JMD
2015-04-06,16.81,16.81,16.81,16.81,JMD
2015-04-07,16.56,16.7,16.49,16.6,JMD
2015-04-08,16.61,16.76,16.53,16.55,JMD
2015-04-09,16.55,16.69,16.3,16.34,JMD
2015-04-10,16.35,16.53,16.2,16.24,JMD
2015-04-12,16.25,16.27,16.23,16.27,JMD
2015-04-13,16.26,16.28,16.11,16.24,JMD
2015-04-14,16.24,16.45,16.1,16.38,JMD
2015-04-15,16.36,16.41,16.14,16.37,JMD
2015-04-16,16.37,16.61,16.16,16.47,JMD
2015-04-17,16.45,16.69,16.42,16.65,JMD
2015-04-19,16.64,16.66,16.61,16.65,JMD
2015-04-20,16.65,16.67,16.49,16.53,JMD
2015-04-21,16.54,16.59,16.39,16.56,JMD
2015-04-22,16.53,16.6,16.41,16.53,JMD
2015-04-23,16.58,16.71,16.5,16.68,JMD
2015-04-24,16.67,16.75,16.52,16.75,JMD
2015-04-26,16.75,16.75,16.67,16.67,JMD
2015-04-27,16.67,16.86,16.6,16.79,JMD
2015-04-28,16.79,16.96,16.71,16.92,JMD
2015-04-29,16.93,17.28,16.86,17.17,JMD
2015-04-30,17.17,17.33,16.93,17.26,JMD
2015-05-01,17.25,17.32,17.15,17.19,JMD
2015-05-03,17.18,17.19,17.16,17.16,JMD
2015-05-04,17.17,17.28,17.11,17.15,JMD
2015-05-05,17.14,17.26,17.01,17.22,JMD
2015-05-06,17.2,17.49,17.12,17.45,JMD
2015-05-07,17.44,17.48,17.26,17.33,JMD
2015-05-08,17.33,17.47,17.2,17.24,JMD
2015-05-10,17.23,17.24,17.22,17.22,JMD
2015-05-11,17.22,17.26,17.13,17.14,JMD
2015-05-12,17.14,17.46,17.14,17.38,JMD
2015-05-13,17.39,17.64,17.39,17.6,JMD
2015-05-14,17.58,17.74,17.38,17.68,JMD
2015-05-15,17.69,17.77,17.56,17.77,JMD
2015-05-17,17.75,17.75,17.74,17.74,JMD
2015-05-18,17.74,17.74,17.44,17.48,JMD
2015-05-19,17.48,17.62,17.29,17.33,JMD
2015-05-20,17.33,17.44,17.18,17.22,JMD
2015-05-21,17.22,17.36,17.19,17.28,JMD
2015-05-22,17.28,17.51,17.11,17.11,JMD
2015-05-24,17.12,17.12,17.06,17.09,JMD
2015-05-25,17.09,17.41,17.05,17.05,JMD
2015-05-26,17.05,17.05,16.89,16.93,JMD
2015-05-27,16.93,17.04,16.8,16.93,JMD
2015-05-28,16.91,17.06,16.89,17.06,JMD
2015-05-29,17.04,17.08,16.93,17.04,JMD
2015-05-31,17.06,17.06,17.0,17.0,JMD
2015-06-01,17.01,17.03,16.81,16.88,JMD
2015-06-02,16.87,17.19,16.85,17.16,JMD
2015-06-03,17.13,17.52,16.9,17.49,JMD
2015-06-04,17.49,17.63,17.22,17.4,JMD
2015-06-05,17.4,17.72,17.16,17.25,JMD
2015-06-07,17.26,17.26,17.23,17.23,JMD
2015-06-08,17.24,17.57,17.24,17.54,JMD
2015-06-09,17.53,17.53,17.27,17.42,JMD
2015-06-10,17.44,17.54,17.38,17.46,JMD
2015-06-11,17.46,17.46,17.29,17.38,JMD
2015-06-12,17.38,17.47,17.27,17.43,JMD
2015-06-14,17.44,17.44,17.35,17.35,JMD
2015-06-15,17.37,17.5,17.26,17.5,JMD
2015-06-16,17.47,17.47,17.33,17.39,JMD
2015-06-17,17.39,17.59,17.37,17.59,JMD
2015-06-18,17.58,17.69,17.39,17.57,JMD
2015-06-19,17.59,17.66,17.49,17.56,JMD
2015-06-21,17.48,17.53,17.48,17.53,JMD
2015-06-22,17.5,17.75,17.41,17.63,JMD
2015-06-23,17.66,17.69,17.24,17.29,JMD
2015-06-24,17.3,17.45,17.3,17.37,JMD
2015-06-25,17.35,17.38,17.27,17.36,JMD
2015-06-26,17.35,17.36,17.24,17.28,JMD
2015-06-28,17.3,17.3,16.97,17.02,JMD
2015-06-29,17.0,17.55,17.0,17.4,JMD
2015-06-30,17.38,17.41,17.11,17.24,JMD
2015-07-01,17.24,17.36,17.08,17.08,JMD
2015-07-02,17.08,17.26,17.08,17.16,JMD
2015-07-03,17.15,17.22,17.14,17.22,JMD
2015-07-05,17.03,17.1,17.0,17.06,JMD
2015-07-06,17.04,17.28,17.03,17.09,JMD
2015-07-07,17.09,17.13,16.92,17.06,JMD
2015-07-08,17.06,17.15,16.95,17.11,JMD
2015-07-09,17.13,17.14,16.97,17.1,JMD
2015-07-10,17.11,17.33,17.09,17.24,JMD
2015-07-12,17.25,17.25,17.15,17.19,JMD
2015-07-13,17.21,17.41,16.97,16.97,JMD
2015-07-14,16.98,17.21,16.98,17.03,JMD
2015-07-15,17.02,17.11,16.92,16.96,JMD
2015-07-16,16.93,17.06,16.8,16.84,JMD
2015-07-17,16.84,16.89,16.76,16.76,JMD
2015-07-19,16.76,16.85,16.76,16.85,JMD
2015-07-20,16.84,16.9,16.77,16.77,JMD
2015-07-21,16.77,16.97,16.75,16.93,JMD
2015-07-22,16.92,16.93,16.78,16.89,JMD
2015-07-23,16.91,17.05,16.9,17.01,JMD
2015-07-24,17.01,17.03,16.92,16.99,JMD
2015-07-26,17.01,17.01,16.98,16.98,JMD
2015-07-27,16.99,17.21,16.96,17.17,JMD
2015-07-28,17.15,17.15,16.94,16.99,JMD
2015-07-29,17.01,17.01,16.85,16.88,JMD
2015-07-30,16.87,16.97,16.71,16.75,JMD
2015-07-31,16.78,17.05,16.78,16.87,JMD
2015-08-02,16.86,16.86,16.83,16.83,JMD
2015-08-03,16.83,16.87,16.8,16.84,JMD
2015-08-04,16.82,17.25,16.82,17.05,JMD
2015-08-05,17.05,17.2,17.03,17.06,JMD
2015-08-06,17.05,17.14,17.03,17.14,JMD
2015-08-07,17.12,17.2,17.02,17.17,JMD
2015-08-09,17.19,17.19,17.17,17.17,JMD
2015-08-10,17.17,17.31,17.07,17.27,JMD
2015-08-11,17.27,17.4,17.05,17.33,JMD
2015-08-12,17.33,17.59,17.29,17.52,JMD
2015-08-13,17.5,17.54,17.38,17.49,JMD
2015-08-14,17.5,17.58,17.39,17.54,JMD
2015-08-16,17.53,17.55,17.51,17.51,JMD
2015-08-17,17.51,17.57,17.36,17.4,JMD
2015-08-18,17.39,17.43,17.29,17.29,JMD
2015-08-19,17.31,17.48,17.3,17.34,JMD
2015-08-20,17.34,17.66,17.32,17.66,JMD
2015-08-21,17.65,17.9,17.54,17.9,JMD
2015-08-23,17.89,17.91,17.87,17.87,JMD
2015-08-24,17.88,18.39,17.73,18.2,JMD
2015-08-25,18.19,18.19,17.87,18.14,JMD
2015-08-26,18.13,18.14,17.74,17.82,JMD
2015-08-27,17.82,17.99,17.62,17.7,JMD
2015-08-28,17.69,17.85,17.55,17.59,JMD
2015-08-30,17.6,17.64,17.58,17.64,JMD
2015-08-31,17.64,17.82,17.63,17.67,JMD
2015-09-01,17.69,17.85,17.67,17.77,JMD
2015-09-02,17.77,17.77,17.68,17.68,JMD
2015-09-03,17.68,17.79,17.5,17.71,JMD
2015-09-04,17.71,17.76,17.52,17.6,JMD
2015-09-06,17.6,17.62,17.59,17.59,JMD
2015-09-07,17.61,17.66,17.54,17.66,JMD
2015-09-08,17.63,17.73,17.6,17.68,JMD
2015-09-09,17.68,17.77,17.51,17.77,JMD
2015-09-10,17.76,17.9,17.58,17.9,JMD
2015-09-11,17.87,18.04,17.69,18.04,JMD
2015-09-13,18.01,18.05,18.01,18.05,JMD
2015-09-14,18.03,18.03,17.83,17.96,JMD
2015-09-15,17.95,17.99,17.86,17.86,JMD
2015-09-16,17.87,18.01,17.84,17.97,JMD
2015-09-17,17.96,18.19,17.83,18.11,JMD
2015-09-18,18.13,18.16,17.9,17.94,JMD
2015-09-20,17.94,17.94,17.91,17.91,JMD
2015-09-21,17.92,18.2,17.76,17.76,JMD
2015-09-22,17.77,17.95,17.64,17.64,JMD
2015-09-23,17.65,17.8,17.65,17.76,JMD
2015-09-24,17.76,17.95,17.69,17.77,JMD
2015-09-25,17.77,17.87,17.62,17.75,JMD
2015-09-27,17.72,17.73,17.71,17.73,JMD
2015-09-28,17.73,17.9,17.63,17.9,JMD
2015-09-29,17.88,17.92,17.71,17.89,JMD
2015-09-30,17.91,17.92,17.74,17.78,JMD
2015-10-01,17.76,17.85,17.73,17.81,JMD
2015-10-02,17.81,18.02,17.68,17.86,JMD
2015-10-04,17.85,17.88,17.85,17.88,JMD
2015-10-05,17.87,17.92,17.76,17.81,JMD
2015-10-06,17.83,18.0,17.82,17.9,JMD
2015-10-07,17.9,17.95,17.83,17.9,JMD
2015-10-08,17.89,18.06,17.89,17.98,JMD
2015-10-09,18.0,18.16,17.99,18.12,JMD
2015-10-11,18.11,18.13,18.11,18.13,JMD
2015-10-12,18.12,18.18,18.12,18.14,JMD
2015-10-13,18.13,18.25,18.13,18.21,JMD
2015-10-14,18.2,18.35,18.19,18.35,JMD
2015-10-15,18.32,18.33,18.14,18.18,JMD
2015-10-16,18.15,18.32,18.15,18.18,JMD
2015-10-18,18.15,18.17,18.15,18.17,JMD
2015-10-19,18.17,18.19,18.07,18.13,JMD
2015-10-20,18.13,18.23,18.13,18.19,JMD
2015-10-21,18.18,18.26,18.14,18.14,JMD
2015-10-22,18.15,18.17,17.71,18.11,JMD
2015-10-23,18.11,18.21,17.62,17.66,JMD
2015-10-25,17.66,17.67,17.64,17.67,JMD
2015-10-26,17.66,17.8,17.63,17.71,JMD
2015-10-27,17.71,17.73,17.63,17.69,JMD
2015-10-28,17.66,17.77,17.46,17.5,JMD
