Date,Open,High,Low,Close,Currency
2015-01-01,0.1148,0.115,0.1147,0.1147,JOD
2015-01-02,0.1147,0.1149,0.1143,0.1144,JOD
2015-01-04,0.114,0.1141,0.1133,0.1139,JOD
2015-01-05,0.114,0.1143,0.1134,0.1138,JOD
2015-01-06,0.1139,0.1142,0.1131,0.1133,JOD
2015-01-07,0.1133,0.1135,0.1126,0.113,JOD
2015-01-08,0.1129,0.113,0.1122,0.1126,JOD
2015-01-09,0.1125,0.113,0.1123,0.113,JOD
2015-01-11,0.113,0.1133,0.113,0.1133,JOD
2015-01-12,0.1133,0.1133,0.1124,0.1127,JOD
2015-01-13,0.1128,0.113,0.1121,0.1123,JOD
2015-01-14,0.1123,0.1129,0.1118,0.1125,JOD
2015-01-15,0.1124,0.1124,0.1104,0.1108,JOD
2015-01-16,0.111,0.1111,0.1094,0.1104,JOD
2015-01-18,0.1103,0.1104,0.1102,0.1104,JOD
2015-01-19,0.1103,0.111,0.1101,0.1106,JOD
2015-01-20,0.1106,0.1107,0.1101,0.1101,JOD
2015-01-21,0.1101,0.1113,0.1101,0.1108,JOD
2015-01-22,0.1107,0.1108,0.1078,0.1082,JOD
2015-01-23,0.1081,0.1083,0.1059,0.1069,JOD
2015-01-25,0.1067,0.1067,0.1057,0.106,JOD
2015-01-26,0.1061,0.1075,0.1061,0.1071,JOD
2015-01-27,0.1071,0.1088,0.1069,0.1084,JOD
2015-01-28,0.1083,0.1085,0.1074,0.1074,JOD
2015-01-29,0.1075,0.1082,0.1073,0.1078,JOD
2015-01-30,0.108,0.1082,0.1075,0.1075,JOD
2015-02-01,0.1075,0.1078,0.1075,0.1078,JOD
2015-02-02,0.1077,0.1081,0.1075,0.1079,JOD
2015-02-03,0.1079,0.1098,0.1077,0.1091,JOD
2015-02-04,0.1091,0.1093,0.1077,0.1077,JOD
2015-02-05,0.1079,0.1096,0.1079,0.1094,JOD
2015-02-06,0.1093,0.1094,0.1079,0.1079,JOD
2015-02-08,0.1077,0.108,0.1077,0.108,JOD
2015-02-09,0.1079,0.1082,0.1074,0.108,JOD
2015-02-10,0.108,0.1082,0.1075,0.1078,JOD
2015-02-11,0.1079,0.1082,0.1075,0.1078,JOD
2015-02-12,0.1078,0.1089,0.1078,0.1087,JOD
2015-02-13,0.1087,0.1091,0.1085,0.1086,JOD
2015-02-15,0.1087,0.1087,0.1086,0.1086,JOD
2015-02-16,0.1087,0.1089,0.1079,0.1081,JOD
2015-02-17,0.108,0.1091,0.1079,0.1087,JOD
2015-02-18,0.1087,0.1088,0.108,0.1085,JOD
2015-02-19,0.1086,0.1091,0.1082,0.1082,JOD
2015-02-20,0.1083,0.1086,0.1073,0.1082,JOD
2015-02-22,0.1084,0.1084,0.1082,0.1082,JOD
2015-02-23,0.1083,0.1083,0.1073,0.1077,JOD
2015-02-24,0.1078,0.108,0.1073,0.1078,JOD
2015-02-25,0.1078,0.1082,0.1076,0.1078,JOD
2015-02-26,0.1079,0.108,0.1062,0.1064,JOD
2015-02-27,0.1064,0.1068,0.1061,0.1063,JOD
2015-03-01,0.1062,0.1063,0.106,0.106,JOD
2015-03-02,0.106,0.1067,0.106,0.1063,JOD
2015-03-03,0.1063,0.1066,0.106,0.1064,JOD
2015-03-04,0.1063,0.1063,0.1051,0.1053,JOD
2015-03-05,0.1053,0.1053,0.1048,0.105,JOD
2015-03-06,0.1049,0.1049,0.1049,0.1049,JOD
2015-03-08,0.1031,0.1031,0.1031,0.1031,JOD
2015-03-09,0.1031,0.1031,0.1031,0.1031,JOD
2015-03-10,0.103,0.103,0.103,0.103,JOD
2015-03-11,0.1018,0.1018,0.1018,0.1018,JOD
2015-03-12,0.1002,0.1002,0.1002,0.1002,JOD
2015-03-13,0.1009,0.1009,0.1009,0.1009,JOD
2015-03-15,0.0997,0.0997,0.0997,0.0997,JOD
2015-03-16,0.0996,0.0996,0.0996,0.0996,JOD
2015-03-17,0.1003,0.1003,0.1003,0.1003,JOD
2015-03-18,0.1006,0.1006,0.1006,0.1006,JOD
2015-03-19,0.1031,0.1031,0.1031,0.1031,JOD
2015-03-20,0.1015,0.1015,0.1015,0.1015,JOD
2015-03-22,0.1029,0.1029,0.1029,0.1029,JOD
2015-03-23,0.1029,0.1029,0.1029,0.1029,JOD
2015-03-24,0.104,0.104,0.104,0.104,JOD
2015-03-25,0.1036,0.1036,0.1036,0.1036,JOD
2015-03-26,0.104,0.104,0.104,0.104,JOD
2015-03-27,0.1033,0.1033,0.1033,0.1033,JOD
2015-03-29,0.1033,0.1033,0.1033,0.1033,JOD
2015-03-30,0.1033,0.1033,0.1033,0.1033,JOD
2015-03-31,0.1027,0.1027,0.1027,0.1027,JOD
2015-04-01,0.1019,0.1019,0.1019,0.1019,JOD
2015-04-02,0.1022,0.1022,0.1022,0.1022,JOD
2015-04-03,0.1031,0.1031,0.1031,0.1031,JOD
2015-04-05,0.104,0.104,0.104,0.104,JOD
2015-04-06,0.1043,0.1043,0.1043,0.1043,JOD
2015-04-07,0.1037,0.1037,0.1024,0.1026,JOD
2015-04-08,0.1026,0.1032,0.1021,0.1022,JOD
2015-04-09,0.1022,0.1023,0.1009,0.1011,JOD
2015-04-10,0.1011,0.1013,0.1002,0.1004,JOD
2015-04-12,0.1005,0.1007,0.1004,0.1007,JOD
2015-04-13,0.1006,0.1007,0.0998,0.1002,JOD
2015-04-14,0.1002,0.1015,0.0999,0.1011,JOD
2015-04-15,0.101,0.1015,0.1003,0.1013,JOD
2015-04-16,0.1013,0.1026,0.1008,0.1022,JOD
2015-04-17,0.1021,0.103,0.1019,0.1027,JOD
2015-04-19,0.1026,0.1028,0.1025,0.1025,JOD
2015-04-20,0.1026,0.1027,0.1017,0.1019,JOD
2015-04-21,0.102,0.1023,0.1012,0.1019,JOD
2015-04-22,0.1019,0.1025,0.1017,0.1017,JOD
2015-04-23,0.1018,0.103,0.1013,0.1028,JOD
2015-04-24,0.1027,0.1035,0.1024,0.1032,JOD
2015-04-26,0.1033,0.1033,0.1031,0.1031,JOD
2015-04-27,0.1032,0.1037,0.1027,0.1033,JOD
2015-04-28,0.1032,0.1043,0.1031,0.1041,JOD
2015-04-29,0.1041,0.1062,0.104,0.1055,JOD
2015-04-30,0.1055,0.1068,0.1051,0.1064,JOD
2015-05-01,0.1064,0.1071,0.106,0.1064,JOD
2015-05-03,0.1062,0.1063,0.1061,0.1061,JOD
2015-05-04,0.1062,0.1065,0.1056,0.1057,JOD
2015-05-05,0.1058,0.1065,0.105,0.1063,JOD
2015-05-06,0.1061,0.1079,0.1061,0.1077,JOD
2015-05-07,0.1076,0.1081,0.1066,0.1066,JOD
2015-05-08,0.1067,0.107,0.1061,0.1064,JOD
2015-05-10,0.1063,0.1064,0.1062,0.1062,JOD
2015-05-11,0.1063,0.1063,0.1057,0.1059,JOD
2015-05-12,0.1058,0.107,0.1057,0.1066,JOD
2015-05-13,0.1066,0.108,0.1064,0.1078,JOD
2015-05-14,0.1076,0.1086,0.1076,0.1081,JOD
2015-05-15,0.1082,0.1088,0.1075,0.1086,JOD
2015-05-17,0.1086,0.1086,0.1085,0.1086,JOD
2015-05-18,0.1086,0.1086,0.1073,0.1075,JOD
2015-05-19,0.1075,0.1075,0.1056,0.1058,JOD
2015-05-20,0.1058,0.1059,0.1051,0.1055,JOD
2015-05-21,0.1054,0.1062,0.1053,0.1056,JOD
2015-05-22,0.1056,0.1064,0.1046,0.1046,JOD
2015-05-24,0.1046,0.1046,0.1042,0.1046,JOD
2015-05-25,0.1044,0.1046,0.1041,0.1043,JOD
2015-05-26,0.1042,0.1042,0.1033,0.1033,JOD
2015-05-27,0.1035,0.1039,0.1028,0.1035,JOD
2015-05-28,0.1035,0.1042,0.1033,0.1042,JOD
2015-05-29,0.1041,0.1045,0.1038,0.1043,JOD
2015-05-31,0.1044,0.1044,0.104,0.104,JOD
2015-06-01,0.1041,0.1043,0.1034,0.1038,JOD
2015-06-02,0.1038,0.1062,0.1037,0.106,JOD
2015-06-03,0.1059,0.1072,0.1053,0.107,JOD
2015-06-04,0.1069,0.1081,0.1062,0.1064,JOD
2015-06-05,0.1064,0.1072,0.1048,0.1055,JOD
2015-06-07,0.1054,0.1054,0.1052,0.1052,JOD
2015-06-08,0.1053,0.1073,0.1051,0.1071,JOD
2015-06-09,0.107,0.1076,0.1065,0.1072,JOD
2015-06-10,0.1073,0.1081,0.107,0.1076,JOD
2015-06-11,0.1074,0.1075,0.1063,0.1067,JOD
2015-06-12,0.1068,0.1073,0.1059,0.1069,JOD
2015-06-14,0.107,0.107,0.1065,0.1065,JOD
2015-06-15,0.1066,0.1073,0.1063,0.1073,JOD
2015-06-16,0.1071,0.1076,0.1065,0.1068,JOD
2015-06-17,0.1068,0.108,0.1067,0.108,JOD
2015-06-18,0.1079,0.1086,0.1078,0.1079,JOD
2015-06-19,0.1079,0.1081,0.1073,0.1077,JOD
2015-06-21,0.1078,0.108,0.1078,0.108,JOD
2015-06-22,0.1079,0.1083,0.1073,0.1075,JOD
2015-06-23,0.1076,0.1076,0.1056,0.1059,JOD
2015-06-24,0.1059,0.1067,0.1058,0.1063,JOD
2015-06-25,0.1063,0.1066,0.106,0.1063,JOD
2015-06-26,0.1063,0.1066,0.1057,0.1061,JOD
2015-06-28,0.1061,0.1061,0.1041,0.1044,JOD
2015-06-29,0.1043,0.107,0.1043,0.1066,JOD
2015-06-30,0.1066,0.1068,0.1056,0.1058,JOD
2015-07-01,0.1058,0.1061,0.1048,0.1048,JOD
2015-07-02,0.1049,0.1056,0.1049,0.1054,JOD
2015-07-03,0.1053,0.1056,0.1051,0.1055,JOD
2015-07-05,0.1044,0.1048,0.1042,0.1046,JOD
2015-07-06,0.1044,0.1054,0.1044,0.105,JOD
2015-07-07,0.1049,0.1049,0.1036,0.1045,JOD
2015-07-08,0.1045,0.1053,0.1042,0.1051,JOD
2015-07-09,0.1051,0.1055,0.1043,0.1051,JOD
2015-07-10,0.1049,0.1064,0.1049,0.1058,JOD
2015-07-12,0.1059,0.1059,0.1053,0.1056,JOD
2015-07-13,0.1056,0.1063,0.1043,0.1043,JOD
2015-07-14,0.1043,0.1053,0.1042,0.1046,JOD
2015-07-15,0.1045,0.1048,0.1038,0.104,JOD
2015-07-16,0.1039,0.1039,0.1031,0.1033,JOD
2015-07-17,0.1034,0.1036,0.1029,0.1029,JOD
2015-07-19,0.1029,0.103,0.1028,0.103,JOD
2015-07-20,0.1028,0.1032,0.1028,0.1029,JOD
2015-07-21,0.1029,0.1041,0.1027,0.1039,JOD
2015-07-22,0.1038,0.1041,0.1032,0.1036,JOD
2015-07-23,0.1037,0.1046,0.1037,0.1044,JOD
2015-07-24,0.1043,0.1044,0.1038,0.1042,JOD
2015-07-26,0.1043,0.1043,0.1042,0.1042,JOD
2015-07-27,0.1042,0.1057,0.1042,0.1053,JOD
2015-07-28,0.1053,0.1054,0.1046,0.1049,JOD
2015-07-29,0.105,0.1052,0.1041,0.1043,JOD
2015-07-30,0.1043,0.1043,0.1034,0.1038,JOD
2015-07-31,0.1039,0.1055,0.1037,0.1042,JOD
2015-08-02,0.1043,0.1043,0.1041,0.1041,JOD
2015-08-03,0.1041,0.1044,0.1039,0.1039,JOD
2015-08-04,0.1039,0.1044,0.1033,0.1033,JOD
2015-08-05,0.1033,0.1037,0.103,0.1034,JOD
2015-08-06,0.1035,0.1039,0.1033,0.1037,JOD
2015-08-07,0.1037,0.1042,0.1031,0.104,JOD
2015-08-09,0.1041,0.1041,0.104,0.104,JOD
2015-08-10,0.104,0.1048,0.1038,0.1046,JOD
2015-08-11,0.1046,0.1053,0.1041,0.1047,JOD
2015-08-12,0.1049,0.1064,0.1047,0.106,JOD
2015-08-13,0.1059,0.1062,0.1052,0.1058,JOD
2015-08-14,0.1059,0.1063,0.1053,0.1055,JOD
2015-08-16,0.1054,0.1055,0.1052,0.1052,JOD
2015-08-17,0.1053,0.1057,0.105,0.1052,JOD
2015-08-18,0.1052,0.1053,0.1046,0.1046,JOD
2015-08-19,0.1047,0.1057,0.1047,0.1057,JOD
2015-08-20,0.1056,0.1067,0.1055,0.1067,JOD
2015-08-21,0.1067,0.1083,0.1066,0.1081,JOD
2015-08-23,0.1081,0.1082,0.108,0.108,JOD
2015-08-24,0.108,0.1112,0.108,0.1101,JOD
2015-08-25,0.11,0.11,0.1083,0.1097,JOD
2015-08-26,0.1097,0.1098,0.1073,0.1077,JOD
2015-08-27,0.1077,0.108,0.1064,0.1068,JOD
2015-08-28,0.1067,0.1075,0.106,0.1062,JOD
2015-08-30,0.1062,0.1065,0.1061,0.1065,JOD
2015-08-31,0.1065,0.107,0.1062,0.1066,JOD
2015-09-01,0.1066,0.1076,0.1066,0.1074,JOD
2015-09-02,0.1072,0.1073,0.1065,0.1065,JOD
2015-09-03,0.1065,0.1069,0.1054,0.1057,JOD
2015-09-04,0.1058,0.1063,0.1055,0.1059,JOD
2015-09-06,0.106,0.1061,0.1059,0.1059,JOD
2015-09-07,0.106,0.1062,0.1057,0.106,JOD
2015-09-08,0.106,0.1067,0.106,0.1065,JOD
2015-09-09,0.1065,0.1067,0.1058,0.1067,JOD
2015-09-10,0.1066,0.1072,0.1063,0.1072,JOD
2015-09-11,0.1071,0.1077,0.1068,0.1077,JOD
2015-09-13,0.1076,0.1078,0.1075,0.1078,JOD
2015-09-14,0.1077,0.1081,0.1072,0.1074,JOD
2015-09-15,0.1073,0.1077,0.1069,0.1071,JOD
2015-09-16,0.107,0.1074,0.1066,0.1072,JOD
2015-09-17,0.1072,0.1087,0.1072,0.1082,JOD
2015-09-18,0.1082,0.1087,0.107,0.1072,JOD
2015-09-20,0.1072,0.1072,0.107,0.107,JOD
2015-09-21,0.1071,0.1075,0.1062,0.1062,JOD
2015-09-22,0.1062,0.1065,0.1055,0.1055,JOD
2015-09-23,0.1055,0.1065,0.1054,0.1063,JOD
2015-09-24,0.1063,0.1073,0.106,0.106,JOD
2015-09-25,0.1062,0.1065,0.1057,0.1065,JOD
2015-09-27,0.1064,0.1064,0.1063,0.1064,JOD
2015-09-28,0.1064,0.1068,0.106,0.1068,JOD
2015-09-29,0.1066,0.1073,0.1064,0.107,JOD
2015-09-30,0.1069,0.1071,0.1059,0.1061,JOD
2015-10-01,0.106,0.1065,0.1058,0.1063,JOD
2015-10-02,0.1063,0.1076,0.1061,0.1065,JOD
2015-10-04,0.1065,0.1066,0.1064,0.1064,JOD
2015-10-05,0.1065,0.1074,0.1061,0.1064,JOD
2015-10-06,0.1063,0.1072,0.1061,0.107,JOD
2015-10-07,0.107,0.1072,0.1064,0.1068,JOD
2015-10-08,0.1067,0.1075,0.1067,0.1071,JOD
2015-10-09,0.1071,0.108,0.1069,0.1078,JOD
2015-10-11,0.1078,0.1079,0.1078,0.1078,JOD
2015-10-12,0.1079,0.1083,0.1078,0.1078,JOD
2015-10-13,0.1078,0.1085,0.1077,0.108,JOD
2015-10-14,0.108,0.109,0.108,0.109,JOD
2015-10-15,0.1089,0.1095,0.1079,0.1079,JOD
2015-10-16,0.1079,0.1083,0.1076,0.1078,JOD
2015-10-18,0.1076,0.1078,0.1076,0.1078,JOD
2015-10-19,0.1078,0.1083,0.1074,0.1075,JOD
2015-10-20,0.1075,0.1083,0.1075,0.1077,JOD
2015-10-21,0.1078,0.1081,0.1077,0.1077,JOD
2015-10-22,0.1077,0.1079,0.1051,0.1051,JOD
2015-10-23,0.1052,0.106,0.1043,0.1046,JOD
2015-10-25,0.1045,0.1046,0.1044,0.1046,JOD
2015-10-26,0.1045,0.1052,0.1045,0.105,JOD
2015-10-27,0.105,0.1053,0.1049,0.1049,JOD
2015-10-28,0.1049,0.1055,0.1037,0.1039,JOD
2015-10-29,0.1039,0.1044,0.1037,0.1042,JOD
2015-10-30,0.1043,0.105,0.104,0.1044,JOD
2015-11-01,0.1044,0.1047,0.1044,0.1047,JOD
2015-11-02,0.1046,0.1051,0.1045,0.1047,JOD
2015-11-03,0.1047,0.1049,0.104,0.1042,JOD
2015-11-04,0.1043,0.1043,0.1031,0.1033,JOD
2015-11-05,0.1033,0.1038,0.103,0.1036,JOD
2015-11-06,0.1036,0.1037,0.1019,0.1023,JOD
2015-11-08,0.1023,0.1023,0.1021,0.1021,JOD
2015-11-09,0.1022,0.1026,0.102,0.1022,JOD
2015-11-10,0.1023,0.1025,0.1014,0.102,JOD
2015-11-11,0.102,0.1024,0.1018,0.1024,JOD
2015-11-12,0.1024,0.1028,0.1017,0.1026,JOD
2015-11-13,0.1026,0.1027,0.1017,0.1021,JOD
2015-11-15,0.1022,0.1022,0.1014,0.1016,JOD
2015-11-16,0.1016,0.1023,0.1013,0.1016,JOD
2015-11-17,0.1016,0.1017,0.1012,0.1012,JOD
2015-11-18,0.1012,0.1017,0.1011,0.1015,JOD
2015-11-19,0.1016,0.1024,0.1015,0.102,JOD
2015-11-20,0.102,0.1021,0.1012,0.1012,JOD
2015-11-22,0.1012,0.1012,0.1011,0.1011,JOD
2015-11-23,0.1012,0.1014,0.1008,0.101,JOD
2015-11-24,0.1011,0.1016,0.1009,0.1014,JOD
2015-11-25,0.1012,0.1018,0.1006,0.101,JOD
2015-11-26,0.1011,0.1012,0.1008,0.101,JOD
2015-11-27,0.1009,0.1011,0.1006,0.1008,JOD
2015-11-29,0.1008,0.1008,0.1007,0.1007,JOD
2015-11-30,0.1007,0.1008,0.1004,0.1006,JOD
2015-12-01,0.1005,0.1013,0.1005,0.1011,JOD
2015-12-02,0.1012,0.1012,0.1004,0.101,JOD
2015-12-03,0.1009,0.1043,0.1003,0.1039,JOD
2015-12-04,0.1038,0.1042,0.1031,0.1034,JOD
2015-12-06,0.1035,0.1036,0.1034,0.1036,JOD
2015-12-07,0.1035,0.1035,0.1027,0.1031,JOD
2015-12-08,0.103,0.1037,0.1029,0.1035,JOD
2015-12-09,0.1035,0.105,0.1034,0.1048,JOD
2015-12-10,0.1047,0.1048,0.1039,0.1039,JOD
2015-12-11,0.1041,0.1049,0.1039,0.1044,JOD
2015-12-13,0.1045,0.1045,0.1043,0.1043,JOD
2015-12-14,0.1044,0.105,0.1041,0.1046,JOD
2015-12-15,0.1045,0.1052,0.1035,0.104,JOD
2015-12-16,0.104,0.1046,0.1033,0.1033,JOD
2015-12-17,0.1034,0.1035,0.1027,0.1031,JOD
2015-12-18,0.1031,0.1036,0.1028,0.1032,JOD
2015-12-20,0.1032,0.1033,0.1031,0.1033,JOD
2015-12-21,0.1033,0.1041,0.1032,0.1039,JOD
2015-12-22,0.1039,0.1044,0.1037,0.1041,JOD
2015-12-23,0.1041,0.1041,0.1033,0.1037,JOD
2015-12-24,0.1037,0.1043,0.1037,0.1041,JOD
2015-12-25,0.1042,0.1042,0.1042,0.1042,JOD
2015-12-27,0.1042,0.1043,0.1041,0.1043,JOD
2015-12-28,0.1042,0.1044,0.104,0.1042,JOD
2015-12-29,0.1044,0.1045,0.1038,0.104,JOD
2015-12-30,0.1039,0.1041,0.1035,0.1037,JOD
2015-12-31,0.1038,0.1039,0.1031,0.1033,JOD
2016-01-01,0.1033,0.1033,0.1033,0.1033,JOD
2016-01-03,0.1033,0.1033,0.1031,0.1031,JOD
2016-01-04,0.1031,0.1041,0.1025,0.1029,JOD
2016-01-05,0.1028,0.103,0.102,0.1022,JOD
2016-01-06,0.1023,0.1027,0.102,0.1025,JOD
2016-01-07,0.1025,0.1041,0.1025,0.1039,JOD
2016-01-08,0.1039,0.104,0.1029,0.104,JOD
2016-01-10,0.1039,0.1044,0.1039,0.1042,JOD
2016-01-11,0.1041,0.1041,0.1031,0.1031,JOD
2016-01-12,0.1032,0.1037,0.1029,0.1031,JOD
2016-01-13,0.1031,0.1035,0.1027,0.1032,JOD
2016-01-14,0.1034,0.104,0.1029,0.1032,JOD
2016-01-15,0.1032,0.1045,0.1032,0.1038,JOD
2016-01-17,0.1038,0.1039,0.1037,0.1037,JOD
2016-01-18,0.1038,0.1038,0.1034,0.1036,JOD
2016-01-19,0.1036,0.1038,0.1032,0.1036,JOD
2016-01-20,0.1035,0.1042,0.1033,0.1033,JOD
2016-01-21,0.1034,0.1038,0.1023,0.1031,JOD
2016-01-22,0.1029,0.1032,0.1023,0.1023,JOD
2016-01-24,0.1024,0.1024,0.1023,0.1024,JOD
2016-01-25,0.1024,0.103,0.1023,0.103,JOD
2016-01-26,0.103,0.1034,0.1029,0.1031,JOD
2016-01-27,0.1033,0.1037,0.1031,0.1035,JOD
2016-01-28,0.1035,0.1041,0.1033,0.1039,JOD
2016-01-29,0.1038,0.1039,0.1028,0.103,JOD
2016-01-31,0.103,0.103,0.1028,0.1028,JOD
2016-02-01,0.1029,0.1035,0.1029,0.1033,JOD
2016-02-02,0.1034,0.1039,0.1034,0.1036,JOD
2016-02-03,0.1036,0.1057,0.1035,0.1052,JOD
2016-02-04,0.1053,0.1067,0.1051,0.1063,JOD
2016-02-05,0.1063,0.1069,0.1054,0.1058,JOD
2016-02-07,0.1059,0.1059,0.1057,0.1057,JOD
2016-02-08,0.1057,0.1066,0.1055,0.1064,JOD
2016-02-09,0.1064,0.1076,0.1062,0.1072,JOD
2016-02-10,0.1071,0.1073,0.1058,0.1069,JOD
2016-02-11,0.1069,0.108,0.1069,0.1074,JOD
2016-02-12,0.1076,0.1077,0.1062,0.1065,JOD
2016-02-14,0.1065,0.1065,0.1061,0.1061,JOD
2016-02-15,0.1062,0.1066,0.1057,0.1062,JOD
2016-02-16,0.1062,0.1063,0.1055,0.1057,JOD
2016-02-17,0.1057,0.1062,0.1054,0.1056,JOD
2016-02-18,0.1055,0.1059,0.1051,0.1056,JOD
2016-02-19,0.1056,0.106,0.1052,0.1058,JOD
2016-02-21,0.1056,0.1057,0.1056,0.1057,JOD
2016-02-22,0.1057,0.1057,0.1044,0.1046,JOD
2016-02-23,0.1046,0.1051,0.1044,0.1046,JOD
2016-02-24,0.1046,0.1048,0.1041,0.1046,JOD
2016-02-25,0.1045,0.1049,0.1043,0.1047,JOD
2016-02-26,0.1046,0.1053,0.1039,0.1039,JOD
2016-02-28,0.104,0.104,0.1038,0.1038,JOD
2016-02-29,0.1039,0.1042,0.1031,0.1033,JOD
2016-03-01,0.1034,0.1036,0.1029,0.1031,JOD
2016-03-02,0.1033,0.1035,0.1029,0.1031,JOD
2016-03-03,0.1033,0.1041,0.1031,0.1041,JOD
2016-03-04,0.1041,0.1048,0.1035,0.1044,JOD
2016-03-06,0.1044,0.1044,0.1043,0.1043,JOD
2016-03-07,0.1043,0.1047,0.1038,0.1047,JOD
2016-03-08,0.1045,0.1049,0.1043,0.1044,JOD
