Date,Open,High,Low,Close,Currency
2015-01-01,19.4405,19.4834,19.4331,19.4678,JPY
2015-01-02,19.4621,19.5244,19.3631,19.4306,JPY
2015-01-05,19.4204,19.4341,19.1237,19.1837,JPY
2015-01-06,19.1787,19.1872,18.9072,18.9177,JPY
2015-01-07,18.9162,19.0403,18.8563,18.9754,JPY
2015-01-08,18.9706,19.0482,18.9092,18.9676,JPY
2015-01-09,18.9644,19.0083,18.8366,18.856,JPY
2015-01-12,18.8469,18.9409,18.7799,18.8247,JPY
2015-01-13,18.8208,18.8865,18.589,18.6649,JPY
2015-01-14,18.6634,18.6762,18.4105,18.5973,JPY
2015-01-15,18.5942,18.6608,18.1541,18.1795,JPY
2015-01-16,18.1757,18.3294,18.1303,18.3146,JPY
2015-01-19,18.3048,18.4073,18.1803,18.3584,JPY
2015-01-20,18.3546,18.5151,18.3468,18.4582,JPY
2015-01-21,18.4537,18.4741,18.2619,18.4181,JPY
2015-01-22,18.4128,18.4663,18.024,18.0917,JPY
2015-01-23,18.0888,18.1494,17.585,17.7292,JPY
2015-01-26,17.7256,17.9453,17.6101,17.8711,JPY
2015-01-27,17.8666,18.0334,17.7887,18.025,JPY
2015-01-28,18.0235,18.0509,17.7868,17.8198,JPY
2015-01-29,17.8154,18.0156,17.7735,17.9936,JPY
2015-01-30,17.9922,18.0317,17.7788,17.837,JPY
2015-02-02,17.8349,17.9494,17.7134,17.9168,JPY
2015-02-03,17.9159,18.1625,17.7804,18.1259,JPY
2015-02-04,18.1225,18.1847,17.8019,17.8708,JPY
2015-02-05,17.8641,18.1604,17.7996,18.1225,JPY
2015-02-06,18.1172,18.1689,18.0027,18.0991,JPY
2015-02-09,18.1136,18.1359,17.9526,18.0496,JPY
2015-02-10,18.0467,18.177,17.999,18.1651,JPY
2015-02-11,18.1607,18.3673,18.1293,18.3482,JPY
2015-02-12,18.3445,18.367,18.1023,18.2431,JPY
2015-02-13,18.2409,18.2791,18.1541,18.1869,JPY
2015-02-16,18.1825,18.2111,17.994,18.0697,JPY
2015-02-17,18.0645,18.3043,17.989,18.2862,JPY
2015-02-18,18.2771,18.2886,18.0546,18.185,JPY
2015-02-19,18.1821,18.2612,18.1259,18.1638,JPY
2015-02-20,18.16,18.2058,17.9065,18.1471,JPY
2015-02-23,18.1425,18.1842,18.0068,18.0521,JPY
2015-02-24,18.0499,18.1746,18.0291,18.0826,JPY
2015-02-25,18.0808,18.1256,18.0247,18.0814,JPY
2015-02-26,18.08,18.1266,17.8836,17.922,JPY
2015-02-27,17.9192,17.9957,17.8721,17.9275,JPY
