Date,Open,High,Low,Close,Currency
2015-01-01,1.4676,1.474,1.4652,1.473,MAD
2015-01-02,1.4704,1.4766,1.4634,1.4714,MAD
2015-01-05,1.4686,1.4798,1.4618,1.4701,MAD
2015-01-06,1.4676,1.4741,1.4612,1.472,MAD
2015-01-07,1.4697,1.4735,1.4595,1.4696,MAD
2015-01-08,1.4671,1.472,1.4587,1.4686,MAD
2015-01-09,1.466,1.4736,1.4588,1.4684,MAD
2015-01-12,1.4628,1.475,1.4594,1.4673,MAD
2015-01-13,1.4635,1.4711,1.4572,1.469,MAD
2015-01-14,1.4682,1.4719,1.4575,1.4692,MAD
2015-01-15,1.4683,1.4782,1.4473,1.464,MAD
2015-01-16,1.4598,1.467,1.4517,1.4627,MAD
2015-01-19,1.4578,1.468,1.4553,1.4653,MAD
2015-01-20,1.4649,1.4674,1.4547,1.4634,MAD
2015-01-21,1.461,1.4675,1.4532,1.4647,MAD
2015-01-22,1.4622,1.4697,1.4471,1.4567,MAD
2015-01-23,1.4544,1.4592,1.4418,1.4523,MAD
2015-01-26,1.4504,1.4596,1.443,1.4525,MAD
2015-01-27,1.4498,1.4586,1.4433,1.4575,MAD
2015-01-28,1.4568,1.4599,1.4467,1.4544,MAD
2015-01-29,1.4519,1.4575,1.4446,1.4559,MAD
2015-01-30,1.4547,1.4596,1.4446,1.4556,MAD
2015-02-02,1.4505,1.4592,1.4464,1.4562,MAD
2015-02-03,1.4537,1.4611,1.4463,1.4593,MAD
2015-02-04,1.4586,1.4615,1.4468,1.456,MAD
2015-02-05,1.4499,1.4643,1.4464,1.4596,MAD
2015-02-06,1.4584,1.4728,1.4448,1.4539,MAD
2015-02-09,1.4489,1.4585,1.4442,1.4571,MAD
2015-02-10,1.4542,1.4567,1.4453,1.4551,MAD
2015-02-11,1.454,1.4602,1.4458,1.4559,MAD
2015-02-12,1.4551,1.4636,1.4457,1.4554,MAD
2015-02-13,1.4509,1.4608,1.4484,1.456,MAD
2015-02-16,1.4579,1.4627,1.447,1.454,MAD
2015-02-17,1.4524,1.4588,1.4474,1.4568,MAD
2015-02-18,1.4497,1.4625,1.4402,1.4538,MAD
2015-02-19,1.4485,1.4606,1.4471,1.4549,MAD
2015-02-20,1.4542,1.456,1.4397,1.4512,MAD
2015-02-23,1.4456,1.453,1.4422,1.4507,MAD
2015-02-24,1.4499,1.4537,1.4412,1.4502,MAD
2015-02-25,1.4495,1.4552,1.4423,1.4497,MAD
2015-02-26,1.4484,1.4509,1.4384,1.4464,MAD
2015-02-27,1.4408,1.4475,1.4376,1.4461,MAD
2015-03-02,1.4407,1.4525,1.439,1.4519,MAD
2015-03-03,1.4464,1.4527,1.4399,1.4512,MAD
2015-03-04,1.4464,1.456,1.4353,1.4426,MAD
2015-03-05,1.4363,1.4486,1.4343,1.4434,MAD
2015-03-06,1.4428,1.4525,1.4312,1.4365,MAD
2015-03-09,1.4354,1.4427,1.4307,1.4388,MAD
2015-03-10,1.4375,1.4391,1.4268,1.4343,MAD
2015-03-11,1.4336,1.4368,1.4217,1.4293,MAD
2015-03-12,1.4287,1.4331,1.4233,1.4316,MAD
2015-03-13,1.4306,1.4323,1.4192,1.4266,MAD
2015-03-16,1.4248,1.4323,1.4198,1.4284,MAD
2015-03-17,1.4258,1.4325,1.4214,1.4298,MAD
2015-03-18,1.4287,1.4361,1.3949,1.4067,MAD
2015-03-19,1.4026,1.4381,1.4001,1.4335,MAD
2015-03-20,1.4297,1.4408,1.427,1.4371,MAD
2015-03-23,1.4329,1.4425,1.4284,1.4401,MAD
2015-03-24,1.4394,1.4431,1.4304,1.4383,MAD
2015-03-25,1.4375,1.4407,1.4303,1.4383,MAD
2015-03-26,1.4375,1.4437,1.4266,1.4361,MAD
2015-03-27,1.4352,1.4396,1.4266,1.4356,MAD
2015-03-30,1.4349,1.4371,1.4267,1.4342,MAD
2015-03-31,1.4301,1.4365,1.4238,1.4308,MAD
2015-04-01,1.4297,1.4349,1.4237,1.432,MAD
2015-04-02,1.4299,1.4367,1.4258,1.4344,MAD
2015-04-03,1.434,1.4413,1.4203,1.4342,MAD
2015-04-06,1.4292,1.4416,1.4292,1.4357,MAD
