Date,Open,High,Low,Close,Currency
2015-01-01,7.2705,7.2812,7.2682,7.2791,PHP
2015-01-02,7.2717,7.2813,7.2216,7.2326,PHP
2015-01-05,7.224,7.2485,7.195,7.2247,PHP
2015-01-06,7.2167,7.2372,7.183,7.1969,PHP
2015-01-07,7.1909,7.2052,7.1529,7.1746,PHP
2015-01-08,7.1675,7.1771,7.1045,7.1164,PHP
2015-01-09,7.1144,7.1545,7.0969,7.1428,PHP
2015-01-12,7.1366,7.1593,7.1165,7.1354,PHP
2015-01-13,7.1335,7.1478,7.0599,7.0708,PHP
2015-01-14,7.0685,7.1065,7.0354,7.0793,PHP
2015-01-15,7.073,7.0832,6.9336,6.9868,PHP
2015-01-16,6.9789,7.0049,6.8701,6.9497,PHP
2015-01-19,6.94,6.9764,6.9272,6.958,PHP
2015-01-20,6.9553,6.9759,6.9147,6.9252,PHP
2015-01-21,6.9188,6.9537,6.8918,6.9259,PHP
2015-01-22,6.9198,6.9368,6.7168,6.751,PHP
2015-01-23,6.7466,6.7596,6.5781,6.6363,PHP
2015-01-26,6.6077,6.6797,6.6001,6.6495,PHP
2015-01-27,6.6443,6.7612,6.6406,6.7387,PHP
2015-01-28,6.7326,6.7549,6.682,6.6951,PHP
2015-01-29,6.6887,6.723,6.6674,6.6968,PHP
2015-01-30,6.6914,6.7458,6.6894,6.7115,PHP
2015-02-02,6.7062,6.7405,6.6973,6.729,PHP
2015-02-03,6.7247,6.8154,6.7025,6.7835,PHP
2015-02-04,6.7819,6.7972,6.7044,6.7217,PHP
2015-02-05,6.7195,6.8184,6.6955,6.8028,PHP
2015-02-06,6.7962,6.8178,6.7177,6.7313,PHP
2015-02-09,6.721,6.7797,6.7161,6.7526,PHP
2015-02-10,6.7484,6.7648,6.7163,6.7539,PHP
2015-02-11,6.7488,6.779,6.7262,6.7725,PHP
2015-02-12,6.7682,6.798,6.7328,6.7814,PHP
2015-02-13,6.7769,6.8094,6.7625,6.7805,PHP
2015-02-16,6.7719,6.7946,6.7268,6.7484,PHP
2015-02-17,6.745,6.7953,6.7294,6.7843,PHP
2015-02-18,6.7755,6.7917,6.7162,6.7556,PHP
2015-02-19,6.7487,6.8079,6.7351,6.7504,PHP
2015-02-20,6.7438,6.7748,6.6827,6.7424,PHP
2015-02-23,6.7399,6.7672,6.7032,6.7337,PHP
2015-02-24,6.7272,6.7426,6.6784,6.7001,PHP
2015-02-25,6.6962,6.738,6.6836,6.6957,PHP
2015-02-26,6.6908,6.7189,6.5949,6.616,PHP
2015-02-27,6.6117,6.6499,6.5995,6.6144,PHP
2015-03-02,6.6132,6.6472,6.5965,6.6242,PHP
2015-03-03,6.6197,6.6369,6.5972,6.6131,PHP
2015-03-04,6.607,6.6232,6.5479,6.5586,PHP
2015-03-05,6.5531,6.5791,6.5028,6.5354,PHP
2015-03-06,6.5276,6.5347,6.4284,6.4539,PHP
2015-03-09,6.4453,6.4771,6.429,6.4451,PHP
2015-03-10,6.4349,6.4447,6.3592,6.3678,PHP
2015-03-11,6.3639,6.3877,6.2533,6.2757,PHP
2015-03-12,6.2718,6.3356,6.2386,6.3108,PHP
2015-03-13,6.3051,6.3237,6.2188,6.241,PHP
2015-03-16,6.2318,6.3208,6.2266,6.2912,PHP
2015-03-17,6.2862,6.3771,6.2762,6.3499,PHP
2015-03-18,6.344,6.4264,6.3381,6.3856,PHP
2015-03-19,6.3816,6.5369,6.3816,6.4299,PHP
2015-03-20,6.4246,6.5438,6.412,6.5103,PHP
2015-03-23,6.504,6.5892,6.4694,6.5593,PHP
2015-03-24,6.5553,6.609,6.5343,6.5466,PHP
2015-03-25,6.543,6.6058,6.5295,6.5735,PHP
2015-03-26,6.5696,6.6358,6.5198,6.537,PHP
2015-03-27,6.5327,6.5706,6.4751,6.5304,PHP
2015-03-30,6.5257,6.5342,6.4672,6.4826,PHP
2015-03-31,6.4792,6.5061,6.406,6.4163,PHP
2015-04-01,6.4127,6.4485,6.3969,6.4208,PHP
2015-04-02,6.4153,6.4828,6.4031,6.4654,PHP
2015-04-03,6.4612,6.5324,6.4524,6.5061,PHP
2015-04-06,6.5166,6.5629,6.4822,6.4922,PHP
2015-04-07,6.4866,6.5248,6.431,6.4428,PHP
2015-04-08,6.4384,6.485,6.4129,6.4196,PHP
2015-04-09,6.4154,6.4234,6.3365,6.3528,PHP
2015-04-10,6.3488,6.3684,6.2964,6.3283,PHP
2015-04-13,6.3199,6.35,6.2907,6.318,PHP
2015-04-14,6.3135,6.3853,6.2888,6.3533,PHP
2015-04-15,6.3476,6.366,6.3008,6.3545,PHP
2015-04-16,6.3512,6.4285,6.3196,6.3942,PHP
2015-04-17,6.3902,6.431,6.3675,6.4104,PHP
2015-04-20,6.4071,6.4328,6.3502,6.3676,PHP
2015-04-21,6.3631,6.3874,6.3191,6.3583,PHP
2015-04-22,6.354,6.3998,6.338,6.3537,PHP
2015-04-23,6.3495,6.4275,6.3282,6.4115,PHP
2015-04-24,6.4077,6.4672,6.3932,6.4431,PHP
2015-04-27,6.4358,6.4779,6.4139,6.4588,PHP
2015-04-28,6.4533,6.5134,6.4344,6.5028,PHP
2015-04-29,6.4985,6.6344,6.4897,6.6039,PHP
2015-04-30,6.5981,6.7254,6.5888,6.7067,PHP
2015-05-01,6.702,6.7431,6.675,6.6943,PHP
2015-05-04,6.6866,6.7088,6.6445,6.6689,PHP
2015-05-05,6.6648,6.7043,6.6127,6.684,PHP
2015-05-06,6.6789,6.7823,6.6581,6.7694,PHP
2015-05-07,6.7647,6.8288,6.7262,6.7454,PHP
2015-05-08,6.7409,6.7508,6.6792,6.6947,PHP
2015-05-11,6.6964,6.71,6.655,6.6952,PHP
2015-05-12,6.6896,6.7759,6.6812,6.7294,PHP
2015-05-13,6.7245,6.7954,6.7077,6.7761,PHP
2015-05-14,6.772,6.8324,6.7525,6.8066,PHP
2015-05-15,6.8035,6.8219,6.7363,6.8094,PHP
2015-05-18,6.8063,6.8197,6.7318,6.7464,PHP
2015-05-19,6.7418,6.7612,6.6421,6.6587,PHP
2015-05-20,6.6551,6.6702,6.611,6.6315,PHP
2015-05-21,6.6271,6.6674,6.6112,6.6384,PHP
2015-05-22,6.6339,6.696,6.5787,6.5909,PHP
2015-05-25,6.5843,6.5884,6.5537,6.5675,PHP
2015-05-26,6.5656,6.5734,6.5174,6.5367,PHP
2015-05-27,6.5333,6.558,6.4913,6.5306,PHP
2015-05-28,6.5269,6.5579,6.4896,6.5397,PHP
2015-05-29,6.5356,6.5731,6.5276,6.5609,PHP
2015-06-01,6.5535,6.5595,6.4987,6.5259,PHP
2015-06-02,6.5219,6.6907,6.5058,6.662,PHP
2015-06-03,6.658,6.7756,6.653,6.7748,PHP
2015-06-04,6.7702,6.8462,6.7459,6.7674,PHP
2015-06-05,6.7632,6.7973,6.6934,6.7177,PHP
2015-06-08,6.7131,6.8388,6.6939,6.8273,PHP
2015-06-09,6.8229,6.8559,6.7736,6.8195,PHP
2015-06-10,6.8155,6.8555,6.7907,6.8294,PHP
2015-06-11,6.8252,6.8461,6.7915,6.8298,PHP
2015-06-12,6.8256,6.8435,6.7736,6.8416,PHP
2015-06-15,6.8371,6.8415,6.7825,6.8283,PHP
2015-06-16,6.8237,6.8552,6.7862,6.8025,PHP
2015-06-17,6.7981,6.878,6.7903,6.8752,PHP
2015-06-18,6.8706,6.8951,6.8239,6.8349,PHP
2015-06-19,6.8299,6.8681,6.8181,6.8459,PHP
2015-06-22,6.8518,6.8833,6.8165,6.8385,PHP
2015-06-23,6.8342,6.861,6.7315,6.751,PHP
2015-06-24,6.7473,6.7971,6.7378,6.7773,PHP
2015-06-25,6.7711,6.7972,6.7385,6.7754,PHP
2015-06-26,6.7704,6.7832,6.7267,6.7519,PHP
2015-06-29,6.7492,6.8154,6.6324,6.7903,PHP
2015-06-30,6.7857,6.7999,6.7179,6.734,PHP
2015-07-01,6.733,6.7566,6.6826,6.6897,PHP
2015-07-02,6.6854,6.7309,6.6723,6.7092,PHP
2015-07-03,6.705,6.7189,6.6775,6.7001,PHP
2015-07-06,6.6353,6.7101,6.6305,6.6779,PHP
2015-07-07,6.6738,6.6907,6.6155,6.6794,PHP
2015-07-08,6.6751,6.7171,6.6468,6.7134,PHP
2015-07-09,6.7093,6.7349,6.648,6.692,PHP
2015-07-10,6.685,6.7771,6.6819,6.7374,PHP
2015-07-13,6.7327,6.7733,6.6517,6.6614,PHP
2015-07-14,6.6568,6.7177,6.6385,6.664,PHP
2015-07-15,6.6605,6.7001,6.6329,6.6517,PHP
2015-07-16,6.6475,6.6628,6.5811,6.5959,PHP
2015-07-17,6.5897,6.618,6.5621,6.5694,PHP
2015-07-20,6.5611,6.6075,6.5573,6.5793,PHP
2015-07-21,6.5747,6.6363,6.5617,6.6242,PHP
2015-07-22,6.6198,6.6531,6.5881,6.6218,PHP
2015-07-23,6.6161,6.7003,6.6129,6.6761,PHP
2015-07-24,6.6728,6.7081,6.6593,6.704,PHP
2015-07-27,6.6955,6.7914,6.6829,6.7709,PHP
2015-07-28,6.7661,6.7738,6.7135,6.7401,PHP
2015-07-29,6.7361,6.7554,6.6813,6.6981,PHP
2015-07-30,6.6955,6.7302,6.6702,6.6969,PHP
2015-07-31,6.6919,6.7912,6.6844,6.7229,PHP
2015-08-03,6.7163,6.7355,6.6859,6.716,PHP
2015-08-04,6.7117,6.7267,6.6522,6.6573,PHP
2015-08-05,6.6536,6.6899,6.6445,6.6865,PHP
2015-08-06,6.6835,6.716,6.6697,6.6995,PHP
2015-08-07,6.696,6.7409,6.6587,6.734,PHP
2015-08-10,6.7294,6.7774,6.7066,6.7629,PHP
2015-08-11,6.7585,6.8469,6.7349,6.817,PHP
2015-08-12,6.8123,6.9382,6.81,6.9068,PHP
2015-08-13,6.9017,6.9111,6.8582,6.8953,PHP
2015-08-14,6.8909,6.9221,6.8579,6.8746,PHP
2015-08-17,6.8699,6.9039,6.8608,6.8756,PHP
2015-08-18,6.8701,6.8933,6.8321,6.8409,PHP
2015-08-19,6.8384,6.9114,6.8323,6.9029,PHP
2015-08-20,6.8967,7.0188,6.8936,7.0146,PHP
2015-08-21,7.0087,7.122,6.9975,7.1211,PHP
2015-08-24,7.1121,7.3502,7.0997,7.2889,PHP
2015-08-25,7.2825,7.2912,7.1092,7.2105,PHP
2015-08-26,7.2037,7.2356,7.0454,7.0633,PHP
2015-08-27,7.0566,7.125,6.9973,7.0328,PHP
2015-08-28,7.0268,7.0873,6.9764,7.0061,PHP
2015-08-31,6.9981,7.0689,6.9875,7.0242,PHP
2015-09-01,7.0182,7.0946,7.0165,7.0871,PHP
2015-09-02,7.0794,7.0905,7.0219,7.035,PHP
2015-09-03,7.029,7.0545,6.9454,6.974,PHP
2015-09-04,6.9684,7.0332,6.9497,7.0095,PHP
2015-09-07,7.013,7.0427,6.993,7.0401,PHP
2015-09-08,7.0372,7.0737,6.9981,7.0304,PHP
2015-09-09,7.0262,7.0497,6.9866,7.0481,PHP
2015-09-10,7.0437,7.0905,7.0091,7.0818,PHP
2015-09-11,7.0783,7.1182,7.0573,7.1046,PHP
2015-09-14,7.0977,7.1324,7.0719,7.0842,PHP
2015-09-15,7.08,7.0995,7.047,7.0553,PHP
2015-09-16,7.0507,7.0777,7.0042,7.0572,PHP
2015-09-17,7.0527,7.1266,7.0244,7.1249,PHP
2015-09-18,7.1204,7.1253,7.0146,7.0401,PHP
2015-09-21,7.0367,7.0652,6.971,6.9786,PHP
2015-09-22,6.9726,7.011,6.9369,6.9575,PHP
2015-09-23,6.9516,7.0511,6.9327,7.04,PHP
