Date,Open,High,Low,Close,Currency
2015-01-01,0.5753,0.5764,0.5741,0.5756,PLN
2015-01-02,0.5746,0.5801,0.574,0.5781,PLN
2015-01-05,0.5777,0.5804,0.5754,0.5766,PLN
2015-01-06,0.5765,0.5812,0.5754,0.5802,PLN
2015-01-07,0.5799,0.581,0.5765,0.5773,PLN
2015-01-08,0.5771,0.5791,0.5748,0.5756,PLN
2015-01-09,0.5756,0.5772,0.5709,0.5736,PLN
2015-01-12,0.573,0.5766,0.5723,0.5746,PLN
2015-01-13,0.5745,0.5775,0.5735,0.5758,PLN
2015-01-14,0.5757,0.5777,0.5713,0.5725,PLN
2015-01-15,0.5722,0.5875,0.5683,0.5806,PLN
2015-01-16,0.5802,0.5836,0.5781,0.5787,PLN
2015-01-19,0.5784,0.5834,0.5775,0.5827,PLN
2015-01-20,0.5825,0.5835,0.5805,0.5832,PLN
2015-01-21,0.5823,0.5835,0.5764,0.5783,PLN
2015-01-22,0.5785,0.5796,0.5697,0.5717,PLN
2015-01-23,0.5712,0.5728,0.5633,0.5644,PLN
2015-01-26,0.5646,0.5707,0.5635,0.5658,PLN
2015-01-27,0.5654,0.5701,0.5645,0.5699,PLN
2015-01-28,0.5698,0.5716,0.5671,0.5704,PLN
2015-01-29,0.57,0.572,0.5641,0.5662,PLN
2015-01-30,0.5659,0.5669,0.5609,0.5625,PLN
2015-02-02,0.5625,0.5629,0.5589,0.5626,PLN
2015-02-03,0.5621,0.5633,0.5582,0.5605,PLN
2015-02-04,0.5604,0.5624,0.5576,0.5601,PLN
2015-02-05,0.5598,0.5621,0.5579,0.5602,PLN
2015-02-06,0.56,0.5614,0.5533,0.5593,PLN
2015-02-09,0.5582,0.564,0.5574,0.5621,PLN
2015-02-10,0.5618,0.5649,0.5607,0.5644,PLN
2015-02-11,0.564,0.5684,0.5625,0.5657,PLN
2015-02-12,0.5655,0.5662,0.5586,0.5599,PLN
2015-02-13,0.5596,0.5629,0.5586,0.5615,PLN
2015-02-16,0.561,0.5631,0.5584,0.5611,PLN
2015-02-17,0.5606,0.5639,0.56,0.5633,PLN
2015-02-18,0.5629,0.5644,0.5586,0.562,PLN
2015-02-19,0.5615,0.5635,0.5583,0.5603,PLN
2015-02-20,0.5599,0.5621,0.556,0.5589,PLN
2015-02-23,0.558,0.5615,0.5562,0.5603,PLN
2015-02-24,0.5595,0.5612,0.556,0.5572,PLN
2015-02-25,0.557,0.5586,0.5556,0.5572,PLN
2015-02-26,0.5567,0.5574,0.5535,0.5566,PLN
2015-02-27,0.5558,0.557,0.5546,0.556,PLN
