Date,Open,High,Low,Close,Currency
2015-01-01,0.6015,0.6024,0.6011,0.6019,RON
2015-01-02,0.6015,0.6033,0.6012,0.6023,RON
2015-01-05,0.6017,0.6051,0.5981,0.6041,RON
2015-01-06,0.6038,0.605,0.6032,0.6046,RON
2015-01-07,0.6042,0.6057,0.6031,0.6044,RON
2015-01-08,0.6041,0.6045,0.6019,0.6032,RON
2015-01-09,0.6029,0.6042,0.6011,0.6032,RON
2015-01-12,0.6028,0.6043,0.6017,0.603,RON
2015-01-13,0.6027,0.6044,0.6019,0.6038,RON
2015-01-14,0.6034,0.6054,0.6026,0.6048,RON
2015-01-15,0.6044,0.6092,0.5976,0.6059,RON
2015-01-16,0.6052,0.6074,0.6046,0.6061,RON
2015-01-19,0.6054,0.6066,0.6044,0.6058,RON
2015-01-20,0.6054,0.6076,0.6048,0.607,RON
2015-01-21,0.6065,0.6084,0.6031,0.6055,RON
2015-01-22,0.605,0.6085,0.6006,0.6035,RON
2015-01-23,0.6031,0.6047,0.6,0.602,RON
2015-01-26,0.5997,0.6034,0.5987,0.6006,RON
2015-01-27,0.6001,0.6015,0.5985,0.5996,RON
2015-01-28,0.5997,0.6009,0.5965,0.5978,RON
2015-01-29,0.5974,0.5989,0.5952,0.5969,RON
2015-01-30,0.596,0.5975,0.5949,0.596,RON
2015-02-02,0.5957,0.5971,0.5894,0.5904,RON
2015-02-03,0.5898,0.5928,0.5896,0.5918,RON
2015-02-04,0.5912,0.5935,0.5906,0.5915,RON
2015-02-05,0.591,0.5937,0.5903,0.5933,RON
2015-02-06,0.593,0.5984,0.5915,0.5936,RON
2015-02-09,0.5931,0.5965,0.5924,0.595,RON
2015-02-10,0.5953,0.5968,0.5941,0.5959,RON
2015-02-11,0.5955,0.5988,0.595,0.5976,RON
2015-02-12,0.5972,0.5983,0.5939,0.5961,RON
2015-02-13,0.5951,0.5975,0.5947,0.5972,RON
2015-02-16,0.5968,0.5978,0.5956,0.597,RON
2015-02-17,0.5965,0.5984,0.596,0.5979,RON
2015-02-18,0.5976,0.5993,0.5932,0.5976,RON
2015-02-19,0.597,0.5983,0.5955,0.5972,RON
2015-02-20,0.5967,0.5992,0.5944,0.5974,RON
2015-02-23,0.5963,0.5987,0.5948,0.5964,RON
2015-02-24,0.5961,0.5974,0.5944,0.5956,RON
2015-02-25,0.5952,0.5962,0.5912,0.5924,RON
2015-02-26,0.592,0.5941,0.5914,0.5938,RON
2015-02-27,0.5936,0.5956,0.5923,0.5941,RON
2015-03-02,0.5943,0.5974,0.5935,0.5967,RON
2015-03-03,0.5966,0.5986,0.5954,0.598,RON
2015-03-04,0.5973,0.5988,0.5958,0.5974,RON
