Date,Open,High,Low,Close,Currency
2015-01-01,9.8689,9.8851,9.6616,9.6616,RUB
2015-01-02,9.6681,9.7379,9.4043,9.4685,RUB
2015-01-04,9.4294,9.4351,9.3759,9.4351,RUB
2015-01-05,9.4345,9.8068,9.3264,9.768,RUB
2015-01-06,9.761,10.2856,9.7044,10.0677,RUB
2015-01-07,10.0796,10.2014,9.9106,9.9701,RUB
2015-01-08,9.9658,9.9959,9.4188,9.5489,RUB
2015-01-09,9.5521,9.8723,9.4882,9.8723,RUB
2015-01-11,9.8606,9.8845,9.8606,9.8845,RUB
2015-01-12,9.8839,10.0988,9.8414,10.0541,RUB
2015-01-13,10.0501,10.5698,10.0335,10.3362,RUB
2015-01-14,10.3232,10.6064,10.0781,10.1961,RUB
2015-01-15,10.1828,10.3735,10.0162,10.1595,RUB
2015-01-16,10.1606,10.2453,10.0034,10.1637,RUB
2015-01-18,10.1546,10.1673,10.1491,10.1673,RUB
2015-01-19,10.1573,10.2225,10.0025,10.1498,RUB
2015-01-20,10.1436,10.2392,10.0902,10.122,RUB
2015-01-21,10.1087,10.2814,10.1053,10.2132,RUB
2015-01-22,10.2145,10.2294,9.7932,9.8233,RUB
2015-01-23,9.8206,9.8443,9.5891,9.6575,RUB
2015-01-25,9.6495,9.6495,9.5653,9.5885,RUB
2015-01-26,9.5968,10.476,9.5476,10.2414,RUB
2015-01-27,10.2572,10.4274,10.137,10.3906,RUB
2015-01-28,10.3793,10.3796,10.1658,10.2668,RUB
2015-01-29,10.2743,10.5521,10.2561,10.4883,RUB
2015-01-30,10.4878,10.9501,10.425,10.6276,RUB
2015-02-01,10.6247,10.6535,10.6247,10.6535,RUB
2015-02-02,10.6427,10.7236,10.3966,10.4116,RUB
2015-02-03,10.4109,10.4239,10.0065,10.0347,RUB
2015-02-04,10.0259,10.5206,9.9434,10.3224,RUB
2015-02-05,10.3224,10.518,10.126,10.2605,RUB
2015-02-06,10.2529,10.3598,10.0491,10.2056,RUB
2015-02-08,10.1984,10.2049,10.18,10.2049,RUB
2015-02-09,10.1953,10.218,9.9295,10.0062,RUB
2015-02-10,9.9951,10.1811,9.9094,9.9322,RUB
2015-02-11,9.9412,10.1518,9.8697,9.9014,RUB
2015-02-12,9.899,10.2078,9.8302,9.9974,RUB
2015-02-13,9.9965,10.0671,9.6538,9.7023,RUB
2015-02-15,9.7024,9.7027,9.6932,9.6932,RUB
2015-02-16,9.6997,9.7348,9.5256,9.6375,RUB
2015-02-17,9.6214,9.781,9.5279,9.781,RUB
2015-02-18,9.7704,9.7789,9.3319,9.4383,RUB
2015-02-19,9.4402,9.572,9.3928,9.4538,RUB
2015-02-20,9.4547,9.4978,9.3621,9.4109,RUB
2015-02-22,9.4278,9.4278,9.4108,9.4108,RUB
2015-02-23,9.4161,9.7844,9.3946,9.6848,RUB
2015-02-24,9.6842,9.7271,9.5198,9.5442,RUB
2015-02-25,9.546,9.5858,9.3226,9.369,RUB
2015-02-26,9.3611,9.3698,9.1046,9.1812,RUB
2015-02-27,9.1849,9.3328,9.1509,9.1972,RUB
2015-03-01,9.1741,9.1782,9.156,9.156,RUB
2015-03-02,9.1603,9.4192,9.1577,9.4192,RUB
2015-03-03,9.41,9.4296,9.2771,9.297,RUB
2015-03-04,9.2883,9.294,9.1398,9.1869,RUB
2015-03-05,9.1923,9.1981,9.1042,9.1042,RUB
2015-03-06,9.0267,9.0267,9.0267,9.0267,RUB
2015-03-08,8.7929,8.7929,8.7929,8.7929,RUB
2015-03-09,8.7937,8.7937,8.7937,8.7937,RUB
2015-03-10,8.8409,8.8409,8.8409,8.8409,RUB
2015-03-11,8.9229,8.9229,8.9229,8.9229,RUB
2015-03-12,8.8261,8.8261,8.8261,8.8261,RUB
2015-03-13,8.7316,8.7316,8.7316,8.7316,RUB
2015-03-15,8.7585,8.7585,8.7585,8.7585,RUB
2015-03-16,8.7642,8.7642,8.7642,8.7642,RUB
2015-03-17,8.8253,8.8253,8.8253,8.8253,RUB
2015-03-18,8.7318,8.7318,8.7318,8.7318,RUB
2015-03-19,8.6384,8.6384,8.6384,8.6384,RUB
2015-03-20,8.6007,8.6007,8.6007,8.6007,RUB
2015-03-22,8.6063,8.6063,8.6063,8.6063,RUB
2015-03-23,8.6104,8.6104,8.6104,8.6104,RUB
2015-03-24,8.6253,8.6253,8.6253,8.6253,RUB
2015-03-25,8.4405,8.4405,8.4405,8.4405,RUB
2015-03-26,8.429,8.429,8.429,8.429,RUB
2015-03-27,8.3546,8.3546,8.3546,8.3546,RUB
2015-03-29,8.4322,8.4322,8.4322,8.4322,RUB
2015-03-30,8.4442,8.4442,8.4442,8.4442,RUB
2015-03-31,8.3472,8.3472,8.3472,8.3472,RUB
2015-04-01,8.3658,8.3658,8.3658,8.3658,RUB
2015-04-02,8.3019,8.3019,8.3019,8.3019,RUB
2015-04-03,8.2268,8.2268,8.2268,8.2268,RUB
2015-04-05,8.3211,8.3211,8.3211,8.3211,RUB
2015-04-06,8.3429,8.3429,8.3429,8.3429,RUB
2015-04-07,8.1148,8.1148,7.9392,7.956,RUB
2015-04-08,7.9573,7.9824,7.7216,7.7464,RUB
2015-04-09,7.7487,7.7515,7.4192,7.4192,RUB
2015-04-10,7.4273,7.5934,7.145,7.5682,RUB
2015-04-12,7.5739,7.5739,7.4931,7.4931,RUB
2015-04-13,7.5,7.6186,7.345,7.3699,RUB
2015-04-14,7.3717,7.4195,7.2333,7.2725,RUB
2015-04-15,7.2694,7.2694,7.0924,7.1237,RUB
2015-04-16,7.1211,7.2182,7.0491,7.1844,RUB
2015-04-17,7.1794,7.6269,7.1794,7.5357,RUB
2015-04-19,7.5326,7.543,7.5208,7.5208,RUB
2015-04-20,7.5344,7.7406,7.4173,7.6808,RUB
2015-04-21,7.6873,7.7514,7.6169,7.7006,RUB
2015-04-22,7.7126,7.7674,7.4457,7.4457,RUB
2015-04-23,7.4459,7.5008,7.3254,7.3777,RUB
