Date,Open,High,Low,Close,Currency
2015-01-01,1.266,1.2693,1.2656,1.2664,SEK
2015-01-02,1.2658,1.2777,1.2635,1.2774,SEK
2015-01-05,1.2766,1.2827,1.2672,1.2733,SEK
2015-01-06,1.2723,1.2738,1.2634,1.2647,SEK
2015-01-07,1.2644,1.2713,1.2608,1.2692,SEK
2015-01-08,1.2689,1.2774,1.2604,1.273,SEK
2015-01-09,1.2725,1.2832,1.27,1.2808,SEK
2015-01-12,1.2797,1.2898,1.2781,1.2843,SEK
2015-01-13,1.2841,1.2873,1.2645,1.2772,SEK
2015-01-14,1.2769,1.2854,1.2708,1.2813,SEK
2015-01-15,1.281,1.2883,1.2647,1.2681,SEK
2015-01-16,1.2669,1.2761,1.2576,1.2641,SEK
2015-01-19,1.2634,1.2745,1.2577,1.2702,SEK
2015-01-20,1.2697,1.2759,1.2641,1.2685,SEK
2015-01-21,1.268,1.2796,1.2645,1.2762,SEK
2015-01-22,1.2756,1.2778,1.2539,1.2567,SEK
2015-01-23,1.2573,1.2608,1.2459,1.255,SEK
2015-01-26,1.253,1.2626,1.2498,1.2525,SEK
2015-01-27,1.252,1.2569,1.2472,1.2504,SEK
2015-01-28,1.2501,1.2608,1.2446,1.2579,SEK
2015-01-29,1.2574,1.26,1.2487,1.2591,SEK
2015-01-30,1.2588,1.2621,1.2495,1.2566,SEK
2015-02-02,1.2569,1.2677,1.2532,1.2671,SEK
2015-02-03,1.2669,1.2685,1.2602,1.2664,SEK
2015-02-04,1.2661,1.2704,1.2611,1.2626,SEK
2015-02-05,1.2623,1.2727,1.2593,1.2714,SEK
2015-02-06,1.2714,1.2807,1.2667,1.277,SEK
2015-02-09,1.276,1.2803,1.2693,1.2721,SEK
2015-02-10,1.2696,1.2737,1.262,1.2664,SEK
2015-02-11,1.2663,1.2786,1.2636,1.2761,SEK
2015-02-12,1.2758,1.3013,1.2706,1.2936,SEK
2015-02-13,1.2933,1.2956,1.2849,1.2883,SEK
2015-02-16,1.2867,1.2903,1.2797,1.2837,SEK
2015-02-17,1.2819,1.2845,1.2741,1.2765,SEK
2015-02-18,1.2747,1.2867,1.2738,1.2801,SEK
2015-02-19,1.2791,1.2874,1.2773,1.2864,SEK
2015-02-20,1.2863,1.287,1.27,1.2762,SEK
2015-02-23,1.2762,1.2843,1.2725,1.2784,SEK
2015-02-24,1.2781,1.2811,1.2732,1.2789,SEK
2015-02-25,1.2784,1.279,1.2605,1.2626,SEK
2015-02-26,1.2619,1.264,1.2552,1.2615,SEK
2015-02-27,1.261,1.2628,1.2478,1.2514,SEK
2015-03-02,1.2496,1.2558,1.2496,1.2512,SEK
2015-03-03,1.2501,1.2528,1.2395,1.2406,SEK
2015-03-04,1.2403,1.2433,1.2346,1.2374,SEK
2015-03-05,1.237,1.2396,1.2326,1.2344,SEK
2015-03-06,1.234,1.2391,1.2229,1.2319,SEK
2015-03-09,1.2317,1.2379,1.2308,1.2363,SEK
2015-03-10,1.2355,1.2368,1.2273,1.2291,SEK
2015-03-11,1.2289,1.2312,1.2186,1.2206,SEK
2015-03-12,1.2203,1.2308,1.2148,1.2247,SEK
2015-03-13,1.2245,1.2296,1.2218,1.2261,SEK
2015-03-16,1.225,1.23,1.2229,1.2266,SEK
2015-03-17,1.2264,1.2347,1.2232,1.2338,SEK
2015-03-18,1.2328,1.2557,1.2198,1.2243,SEK
2015-03-19,1.2242,1.255,1.222,1.241,SEK
2015-03-20,1.2408,1.2538,1.2389,1.2516,SEK
2015-03-23,1.251,1.2533,1.2429,1.2478,SEK
2015-03-24,1.2474,1.2506,1.2413,1.243,SEK
2015-03-25,1.2428,1.2505,1.2406,1.2467,SEK
2015-03-26,1.2466,1.2535,1.2445,1.2518,SEK
2015-03-27,1.2514,1.2538,1.2453,1.2514,SEK
2015-03-30,1.2526,1.2548,1.2435,1.2458,SEK
2015-03-31,1.2453,1.2484,1.2384,1.2395,SEK
2015-04-01,1.2386,1.2488,1.2377,1.2485,SEK
2015-04-02,1.2481,1.2577,1.2462,1.2569,SEK
2015-04-03,1.2564,1.2582,1.2464,1.2551,SEK
2015-04-06,1.2547,1.2567,1.2496,1.2532,SEK
2015-04-07,1.2531,1.2572,1.247,1.256,SEK
2015-04-08,1.2552,1.2571,1.2481,1.2508,SEK
2015-04-09,1.2506,1.2529,1.2467,1.2497,SEK
2015-04-10,1.2493,1.2535,1.245,1.2518,SEK
2015-04-13,1.251,1.2551,1.2457,1.2477,SEK
2015-04-14,1.2468,1.2527,1.2447,1.2503,SEK
2015-04-15,1.2499,1.2532,1.2444,1.2482,SEK
2015-04-16,1.2486,1.2493,1.2351,1.2383,SEK
2015-04-17,1.238,1.2527,1.236,1.2506,SEK
