Date,Open,High,Low,Close,Currency
2015-01-01,5.35,5.355,5.34,5.355,THB
2015-01-02,5.35,5.365,5.31,5.315,THB
2015-01-05,5.32,5.325,5.27,5.285,THB
2015-01-06,5.28,5.3,5.25,5.25,THB
2015-01-07,5.25,5.26,5.21,5.23,THB
2015-01-08,5.23,5.23,5.19,5.21,THB
2015-01-09,5.21,5.235,5.2,5.225,THB
2015-01-12,5.22,5.25,5.21,5.23,THB
2015-01-13,5.23,5.24,5.19,5.19,THB
2015-01-14,5.19,5.22,5.17,5.19,THB
2015-01-15,5.19,5.205,5.09,5.125,THB
2015-01-16,5.12,5.135,5.02,5.075,THB
2015-01-19,5.07,5.1,5.05,5.09,THB
2015-01-20,5.09,5.11,5.07,5.08,THB
2015-01-21,5.08,5.11,5.06,5.09,THB
2015-01-22,5.08,5.1,4.95,4.98,THB
2015-01-23,4.98,4.985,4.87,4.905,THB
2015-01-26,4.89,4.935,4.88,4.915,THB
2015-01-27,4.91,4.99,4.91,4.97,THB
2015-01-28,4.97,4.99,4.93,4.94,THB
2015-01-29,4.93,5.005,4.93,4.985,THB
2015-01-30,4.99,5.0,4.96,4.97,THB
2015-02-02,4.97,4.975,4.93,4.965,THB
2015-02-03,4.96,5.055,4.94,5.025,THB
2015-02-04,5.02,5.035,4.96,4.975,THB
2015-02-05,4.97,5.035,4.95,5.025,THB
2015-02-06,5.03,5.0319,4.9546,4.9667,THB
2015-02-09,4.959,4.9821,4.94,4.9597,THB
2015-02-10,4.9579,4.9714,4.9362,4.9645,THB
2015-02-11,4.962,4.9782,4.9464,4.973,THB
2015-02-12,4.9711,5.0074,4.9559,4.9948,THB
2015-02-13,4.9927,5.015,4.984,4.9926,THB
2015-02-16,4.9955,5.0051,4.9554,4.9702,THB
2015-02-17,4.9673,5.0074,4.9552,4.9966,THB
2015-02-18,4.9932,4.9978,4.9572,4.986,THB
2015-02-19,4.9825,5.0065,4.9635,4.9721,THB
2015-02-20,4.9687,4.9836,4.9178,4.9594,THB
2015-02-23,4.9655,4.971,4.9287,4.9455,THB
2015-02-24,4.9451,4.9563,4.9281,4.9424,THB
2015-02-25,4.9408,4.9682,4.9378,4.9471,THB
2015-02-26,4.9467,4.9558,4.8475,4.8609,THB
2015-02-27,4.859,4.871,4.8359,4.853,THB
2015-03-02,4.8572,4.8704,4.8362,4.8564,THB
2015-03-03,4.8531,4.8723,4.8404,4.852,THB
2015-03-04,4.8499,4.856,4.8074,4.8128,THB
2015-03-05,4.8123,4.8342,4.7816,4.8,THB
2015-03-06,4.7997,4.8032,4.7302,4.7445,THB
2015-03-09,4.7383,4.7681,4.7333,4.7468,THB
2015-03-10,4.7432,4.7488,4.6899,4.6959,THB
2015-03-11,4.6943,4.7127,4.6335,4.6479,THB
2015-03-12,4.6462,4.7014,4.6302,4.6842,THB
2015-03-13,4.6803,4.6868,4.6172,4.6296,THB
2015-03-16,4.6363,4.6835,4.62,4.6633,THB
2015-03-17,4.6608,4.7019,4.6507,4.677,THB
2015-03-18,4.6749,4.71,4.6531,4.6663,THB
2015-03-19,4.6631,4.7839,4.6617,4.6848,THB
2015-03-20,4.6816,4.7563,4.6773,4.7292,THB
2015-03-23,4.7274,4.7812,4.6999,4.778,THB
2015-03-24,4.7732,4.8002,4.7456,4.7558,THB
2015-03-25,4.7543,4.7969,4.7388,4.7772,THB
2015-03-26,4.7776,4.8202,4.7328,4.7452,THB
2015-03-27,4.7432,4.7703,4.7122,4.7482,THB
2015-03-30,4.7376,4.7574,4.7106,4.7273,THB
2015-03-31,4.7255,4.7281,4.6637,4.6735,THB
2015-04-01,4.6714,4.6996,4.6652,4.6797,THB
2015-04-02,4.6793,4.7447,4.665,4.7251,THB
2015-04-03,4.7263,4.7791,4.716,4.7561,THB
2015-04-06,4.7528,4.7911,4.7347,4.7402,THB
2015-04-07,4.7389,4.7685,4.7036,4.7125,THB
